demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1158.6451684238561,2785
global,global,1,living,526.9457513362757,1414
global,global,2,living,1586.9264367112216,2251
global,global,3,living,1315.7293747648303,2452
global,global,4,living,1652.0755788290978,1803
global,global,5,living,1513.4076074025122,2355
global,global,6,living,2155.9255479005847,2183
global,global,7,living,2353.352907959532,2273
global,global,8,living,101.97810261413333,1642
global,global,0,biodiversity,1431.739355420968,2609
global,global,1,biodiversity,2331.5308373773487,2062
global,global,2,biodiversity,2073.6404685285393,2263
global,global,3,biodiversity,940.1021510390003,1490
global,global,4,biodiversity,2206.0173720485577,2294
global,global,5,biodiversity,1758.7962654581459,2509
global,global,6,biodiversity,1365.1138405156403,2360
global,global,7,biodiversity,1886.8805269445634,2538
global,global,8,biodiversity,2057.318563212758,2647
global,global,0,safety,311.83298151947434,1687
global,global,1,safety,2404.6927364280214,2848
global,global,2,safety,2016.8552614831053,2519
global,global,3,safety,1282.4709503265435,2416
global,global,4,safety,1532.003732522415,3138
global,global,5,safety,2131.026255147407,2996
global,global,6,safety,1921.0544004858425,2242
global,global,7,safety,468.23598950579185,2479
global,global,8,safety,1262.122328917946,3045
gender,man,0,living,1775.8772206745273,1390
gender,man,1,living,844.5155615486931,716
gender,man,2,living,1738.7317862569446,1131
gender,man,3,living,1482.569163892726,1261
gender,man,4,living,1665.2803137771273,882
gender,man,5,living,1378.7027824965771,1207
gender,man,6,living,1893.4142850242495,1176
gender,man,7,living,2120.6229804453214,1136
gender,man,8,living,744.70387023844,843
gender,man,0,biodiversity,1306.761742339296,1360
gender,man,1,biodiversity,2005.6577720447413,1123
gender,man,2,biodiversity,1978.48655350055,1184
gender,man,3,biodiversity,198.69902888918116,798
gender,man,4,biodiversity,2085.265233563884,1122
gender,man,5,biodiversity,1070.1557883756948,1202
gender,man,6,biodiversity,1472.1054369816788,1156
gender,man,7,biodiversity,1655.2628619286177,1308
gender,man,8,biodiversity,1796.953434681566,1321
gender,man,0,safety,1609.1384259919498,951
gender,man,1,safety,591.7620390023974,1478
gender,man,2,safety,2018.0126386916056,1189
gender,man,3,safety,1050.3229827165865,1298
gender,man,4,safety,1895.6058690023724,1571
gender,man,5,safety,1934.5750057305158,1506
gender,man,6,safety,1727.6191271142252,1183
gender,man,7,safety,1302.5552174616143,1358
gender,man,8,safety,1642.2332106951196,1574
gender,woman,0,living,729.0081899341262,1095
gender,woman,1,living,1146.4466328003589,609
gender,woman,2,living,1640.8263391177395,913
gender,woman,3,living,1541.1470315818676,1025
gender,woman,4,living,1923.4422898028918,686
gender,woman,5,living,1887.2674123744575,901
gender,woman,6,living,1720.7896354363486,840
gender,woman,7,living,1854.3242551491985,908
gender,woman,8,living,1490.5718934127908,687
gender,woman,0,biodiversity,1762.6853172432393,1056
gender,woman,1,biodiversity,1922.906260736887,792
gender,woman,2,biodiversity,1696.1482966609497,836
gender,woman,3,biodiversity,1886.9994093893883,619
gender,woman,4,biodiversity,1610.028721882838,944
gender,woman,5,biodiversity,1692.4617438438981,1092
gender,woman,6,biodiversity,1662.5551065524514,980
gender,woman,7,biodiversity,1482.5841364226642,1008
gender,woman,8,biodiversity,1401.2053420349885,1043
gender,woman,0,safety,739.5089003124247,651
gender,woman,1,safety,2052.0996028337054,1176
gender,woman,2,safety,1548.0869410347054,1073
gender,woman,3,safety,1767.5113138965482,967
gender,woman,4,safety,1373.114541232855,1263
gender,woman,5,safety,1482.8269467344626,1204
gender,woman,6,safety,1686.2847291710732,878
gender,woman,7,safety,1055.524031659448,1012
gender,woman,8,safety,1322.2252793180865,1210
gender,other,0,living,1562.7708044655367,11
gender,other,1,living,1489.2748228062908,15
gender,other,2,living,1427.7032117910921,12
gender,other,3,living,1500.1135184554478,18
gender,other,4,living,1510.0850425338979,15
gender,other,5,living,1480.4309107569748,12
gender,other,6,living,1533.6514404502782,15
gender,other,7,living,1551.0594006352112,14
gender,other,8,living,1452.041855340415,14
gender,other,0,biodiversity,1549.5660518018917,12
gender,other,1,biodiversity,1452.2506028059622,16
gender,other,2,biodiversity,1511.665602632052,9
gender,other,3,biodiversity,1560.7873770338977,19
gender,other,4,biodiversity,1488.0907016661447,11
gender,other,5,biodiversity,1476.7528819687375,10
gender,other,6,biodiversity,1439.8847356038202,7
gender,other,7,biodiversity,1500.00864706153,10
gender,other,8,biodiversity,1525.6742517514904,10
gender,other,0,safety,1499.3432777668781,16
gender,other,1,safety,1512.4050371824771,9
gender,other,2,safety,1451.5636270811945,14
gender,other,3,safety,1498.9030155549697,10
gender,other,4,safety,1414.4535992293775,17
gender,other,5,safety,1476.6998961733514,10
gender,other,6,safety,1559.9450666367454,7
gender,other,7,safety,1545.9990068367056,16
gender,other,8,safety,1535.9602739722527,9
age,younger,0,living,1633.7964381184354,742
age,younger,1,living,1476.2464103011964,420
age,younger,2,living,1352.4512345507096,661
age,younger,3,living,1591.987604386807,678
age,younger,4,living,1767.3524162450628,436
age,younger,5,living,1421.6067255758153,642
age,younger,6,living,1672.6930013833519,671
age,younger,7,living,1839.534134529972,607
age,younger,8,living,1557.359697421635,471
age,younger,0,biodiversity,1259.7425274974605,745
age,younger,1,biodiversity,1744.021618071342,603
age,younger,2,biodiversity,1595.1106404723428,612
age,younger,3,biodiversity,1658.1806450721308,491
age,younger,4,biodiversity,1785.6132450134228,661
age,younger,5,biodiversity,1457.8613070406911,721
age,younger,6,biodiversity,1532.4472524202536,638
age,younger,7,biodiversity,1553.8452157726472,679
age,younger,8,biodiversity,1888.0943259304731,670
age,younger,0,safety,1443.3024556657933,511
age,younger,1,safety,1720.2129879577722,834
age,younger,2,safety,1959.6879810021271,649
age,younger,3,safety,1405.6164339233844,705
age,younger,4,safety,1458.737463553095,926
age,younger,5,safety,1904.2239584569982,816
age,younger,6,safety,1497.6492693258153,606
age,younger,7,safety,343.0899768998042,700
age,younger,8,safety,1055.9761167720717,887
age,middle,0,living,1350.515675249721,1174
age,middle,1,living,1124.8156181356733,615
age,middle,2,living,1790.948395874837,930
age,middle,3,living,1230.0154965728061,1035
age,middle,4,living,1913.7793877229599,681
age,middle,5,living,1443.368752237562,977
age,middle,6,living,2002.4419366119307,892
age,middle,7,living,1629.4544515054895,1001
age,middle,8,living,1106.896532876963,721
age,middle,0,biodiversity,1111.977263189273,1126
age,middle,1,biodiversity,1749.7374207369478,851
age,middle,2,biodiversity,1533.3584908353198,1004
age,middle,3,biodiversity,1415.662352775283,644
age,middle,4,biodiversity,2037.5153343382,947
age,middle,5,biodiversity,1023.1300942986522,1061
age,middle,6,biodiversity,1623.24479295374,937
age,middle,7,biodiversity,1709.2222315356669,1053
age,middle,8,biodiversity,1808.8404740865508,1111
age,middle,0,safety,1112.5187884350228,735
age,middle,1,safety,1924.9697553151996,1196
age,middle,2,safety,1672.9979284600322,1053
age,middle,3,safety,1663.58271608971,1075
age,middle,4,safety,2060.675662150466,1235
age,middle,5,safety,1461.980264030203,1238
age,middle,6,safety,1835.857673743228,1015
age,middle,7,safety,1755.5786087011284,1147
age,middle,8,safety,1282.661866256251,1294
age,older,0,living,1514.688348219502,573
age,older,1,living,1239.977451508693,301
age,older,2,living,1675.1417051725414,461
age,older,3,living,1631.4677526267205,585
age,older,4,living,1592.8796523205451,465
age,older,5,living,1814.4892792136848,497
age,older,6,living,1448.1420524516848,463
age,older,7,living,1868.4093072838264,447
age,older,8,living,716.3140339443094,344
age,older,0,biodiversity,1799.7302347935786,541
age,older,1,biodiversity,1621.8621681543377,479
age,older,2,biodiversity,1907.7009252706866,407
age,older,3,biodiversity,736.5948962119754,293
age,older,4,biodiversity,1313.0007816054176,464
age,older,5,biodiversity,1415.1102271465336,518
age,older,6,biodiversity,1231.5604761318612,565
age,older,7,biodiversity,1211.7801020187753,586
age,older,8,biodiversity,1252.9110297761486,589
age,older,0,safety,913.5084891106989,361
age,older,1,safety,1564.773524196946,623
age,older,2,safety,1437.0425505285853,565
age,older,3,safety,1094.6527325723468,488
age,older,4,safety,1537.021638047355,685
age,older,5,safety,1664.5617335382099,658
age,older,6,safety,1782.8807590761714,442
age,older,7,safety,1850.2534324502433,528
age,older,8,safety,1744.875455153936,600
ethnicity,white,0,living,1026.2769790059813,2145
ethnicity,white,1,living,95.8224948700726,1127
ethnicity,white,2,living,1437.90188370506,1770
ethnicity,white,3,living,1285.7246464323382,1984
ethnicity,white,4,living,1857.665502049498,1373
ethnicity,white,5,living,1729.594970508923,1828
ethnicity,white,6,living,2207.6330911391633,1736
ethnicity,white,7,living,2138.52485584666,1774
ethnicity,white,8,living,14.786597019254515,1331
ethnicity,white,0,biodiversity,1109.31519484486,2129
ethnicity,white,1,biodiversity,2195.2502819152137,1652
ethnicity,white,2,biodiversity,1888.4979730094853,1748
ethnicity,white,3,biodiversity,1451.7404455479077,1222
ethnicity,white,4,biodiversity,2156.80783508071,1796
ethnicity,white,5,biodiversity,1811.0290392835739,1989
ethnicity,white,6,biodiversity,1526.4253279458,1863
ethnicity,white,7,biodiversity,2042.1688653062354,2001
ethnicity,white,8,biodiversity,1674.0802646789573,2050
ethnicity,white,0,safety,832.7674105842301,1370
ethnicity,white,1,safety,2100.0627776301353,2290
ethnicity,white,2,safety,2190.357031446428,1980
ethnicity,white,3,safety,914.080596808048,1991
ethnicity,white,4,safety,2137.2924019345555,2477
ethnicity,white,5,safety,2321.497140398363,2374
ethnicity,white,6,safety,1682.1584292504851,1789
ethnicity,white,7,safety,978.0233919302786,2013
ethnicity,white,8,safety,2031.3304593759774,2358
ethnicity,other,0,living,1376.4591421330006,244
ethnicity,other,1,living,1473.18277748738,150
ethnicity,other,2,living,1715.7852905439595,213
ethnicity,other,3,living,1276.0992095295308,219
ethnicity,other,4,living,1670.157956206037,145
ethnicity,other,5,living,1533.180799219513,197
ethnicity,other,6,living,1577.889586593785,195
ethnicity,other,7,living,1419.6317370847562,204
ethnicity,other,8,living,1603.5263063255316,153
ethnicity,other,0,biodiversity,1656.5668023616408,203
ethnicity,other,1,biodiversity,1598.4212872616379,194
ethnicity,other,2,biodiversity,1738.9914905113865,200
ethnicity,other,3,biodiversity,1362.0990212931677,165
ethnicity,other,4,biodiversity,1571.999239481074,194
ethnicity,other,5,biodiversity,1331.4900078349144,222
ethnicity,other,6,biodiversity,1426.0866878561615,192
ethnicity,other,7,biodiversity,1240.6614588354978,217
ethnicity,other,8,biodiversity,1635.253392805963,231
ethnicity,other,0,safety,1321.1943446749042,178
ethnicity,other,1,safety,1636.089242050792,267
ethnicity,other,2,safety,1612.1673133700076,214
ethnicity,other,3,safety,1710.214063564593,190
ethnicity,other,4,safety,1468.1030737273802,267
ethnicity,other,5,safety,1567.6167039681561,247
ethnicity,other,6,safety,1540.3562299970251,199
ethnicity,other,7,safety,1675.5755321849329,264
ethnicity,other,8,safety,1393.0175464983206,316
education,sixteen,0,living,1577.726294277669,166
education,sixteen,1,living,1289.0965741337156,92
education,sixteen,2,living,1627.7433281125573,148
education,sixteen,3,living,1652.8628624334497,173
education,sixteen,4,living,1340.694791775221,123
education,sixteen,5,living,1676.0451645202368,139
education,sixteen,6,living,1488.2693147757618,146
education,sixteen,7,living,1542.9215174278745,139
education,sixteen,8,living,1435.50751996048,96
education,sixteen,0,biodiversity,1314.767428095065,174
education,sixteen,1,biodiversity,1702.1641446931385,147
education,sixteen,2,biodiversity,1679.0029907036937,129
education,sixteen,3,biodiversity,1447.4780441335347,91
education,sixteen,4,biodiversity,1583.0686643907652,149
education,sixteen,5,biodiversity,1414.1501750769894,138
education,sixteen,6,biodiversity,1510.9918292211578,152
education,sixteen,7,biodiversity,1289.4310281635555,152
education,sixteen,8,biodiversity,1567.739717982483,154
education,sixteen,0,safety,1689.8948769399638,119
education,sixteen,1,safety,1470.163442850425,198
education,sixteen,2,safety,1517.144686192789,188
education,sixteen,3,safety,1582.29636159737,171
education,sixteen,4,safety,1597.8303104466029,169
education,sixteen,5,safety,1359.246245116597,199
education,sixteen,6,safety,1652.247287105643,159
education,sixteen,7,safety,1439.9121811901434,173
education,sixteen,8,safety,1537.2216555149964,188
education,eighteen,0,living,1617.7901203134727,455
education,eighteen,1,living,1598.1854533891383,302
education,eighteen,2,living,1723.4861174804182,347
education,eighteen,3,living,1398.3772246208166,404
education,eighteen,4,living,1483.5460166879423,338
education,eighteen,5,living,1018.0223479392575,390
education,eighteen,6,living,1524.7861827732245,383
education,eighteen,7,living,1660.3029605915656,373
education,eighteen,8,living,1803.5445520434696,260
education,eighteen,0,biodiversity,1270.0690948132108,418
education,eighteen,1,biodiversity,1400.8793950094578,365
education,eighteen,2,biodiversity,1526.9539698330332,370
education,eighteen,3,biodiversity,1555.292728832038,234
education,eighteen,4,biodiversity,1869.8869630439958,398
education,eighteen,5,biodiversity,1690.8923424242205,425
education,eighteen,6,biodiversity,1566.8814682281238,395
education,eighteen,7,biodiversity,1649.7162562172562,451
education,eighteen,8,biodiversity,1272.279003266727,422
education,eighteen,0,safety,1452.6773571468377,295
education,eighteen,1,safety,1889.8391501010585,428
education,eighteen,2,safety,1213.4619859456138,437
education,eighteen,3,safety,1320.9795358652539,416
education,eighteen,4,safety,1412.3389324590241,542
education,eighteen,5,safety,1693.9873309489838,493
education,eighteen,6,safety,1607.8559398938942,367
education,eighteen,7,safety,1300.402844403369,470
education,eighteen,8,safety,1734.5702960562994,464
education,older,0,living,530.686353387446,1844
education,older,1,living,251.04470262353922,930
education,older,2,living,1007.5877910802144,1535
education,older,3,living,1046.837942864613,1702
education,older,4,living,1672.471858554107,1100
education,older,5,living,1962.6943903704407,1566
education,older,6,living,2091.1720563969666,1474
education,older,7,living,1786.2022198771601,1521
education,older,8,living,443.2779697157687,1166
education,older,0,biodiversity,1731.0045478480454,1792
education,older,1,biodiversity,2172.788383879378,1391
education,older,2,biodiversity,1898.6492931509122,1506
education,older,3,biodiversity,1239.0340417211314,1092
education,older,4,biodiversity,2077.308782477706,1501
education,older,5,biodiversity,1439.098714076063,1716
education,older,6,biodiversity,1589.3761641511283,1573
education,older,7,biodiversity,1862.100619919,1694
education,older,8,biodiversity,1367.194159906514,1763
education,older,0,safety,607.9635029608181,1183
education,older,1,safety,1957.2567573993067,2011
education,older,2,safety,2233.270006362463,1624
education,older,3,safety,1543.9075471014198,1659
education,older,4,safety,1584.5324750222576,2112
education,older,5,safety,1998.4251537261287,1987
education,older,6,safety,1737.818034580926,1516
