demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1341.4046458143384,1632
global,global,1,living,1774.1699479593105,2353
global,global,2,living,2088.567907615276,2104
global,global,3,living,482.65923651462174,1688
global,global,4,living,1983.4688205215334,1977
global,global,5,living,2190.347474368749,2079
global,global,6,living,868.6187411831845,2019
global,global,7,living,1491.6226870507328,1663
global,global,8,living,2251.887525392739,1727
global,global,0,biodiversity,2056.0001576077666,1963
global,global,1,biodiversity,2364.8405900448256,2316
global,global,2,biodiversity,1011.6771824571266,2392
global,global,3,biodiversity,1593.093676135153,2844
global,global,4,biodiversity,2259.0846807225375,2308
global,global,5,biodiversity,1961.2011826355163,2725
global,global,6,biodiversity,1799.731745949633,2821
global,global,7,biodiversity,1141.2829053907453,2256
global,global,8,biodiversity,1420.783826379948,1489
global,global,0,safety,1188.7236546665438,2988
global,global,1,safety,1303.885677448846,3399
global,global,2,safety,930.2886691401048,2937
global,global,3,safety,1305.103443781135,2667
global,global,4,safety,1377.035826213211,3190
global,global,5,safety,2028.3956992938333,2386
global,global,6,safety,1940.3926520344949,3242
global,global,7,safety,2280.4385102287483,1949
global,global,8,safety,1678.7374875603593,2186
gender,man,0,living,1123.1691108466198,791
gender,man,1,living,1290.612600283635,1212
gender,man,2,living,1987.9201671240605,1050
gender,man,3,living,1194.8064314724293,885
gender,man,4,living,1808.8064626412083,958
gender,man,5,living,826.5612792267126,1122
gender,man,6,living,482.19025316666864,1095
gender,man,7,living,1619.5338354557323,869
gender,man,8,living,1893.049380677463,868
gender,man,0,biodiversity,2049.2297389154824,969
gender,man,1,biodiversity,1720.6452730024976,1066
gender,man,2,biodiversity,-395.38693975304074,1119
gender,man,3,biodiversity,1524.519296977993,1402
gender,man,4,biodiversity,1595.82413382559,1094
gender,man,5,biodiversity,801.7425343030476,1425
gender,man,6,biodiversity,1132.5087560884385,1376
gender,man,7,biodiversity,701.3858962506191,1198
gender,man,8,biodiversity,609.5234965205045,855
gender,man,0,safety,950.1160533919729,1563
gender,man,1,safety,1255.6087108434017,1745
gender,man,2,safety,1383.9174588368387,1532
gender,man,3,safety,1569.3481154229717,1406
gender,man,4,safety,1179.7089240031457,1684
gender,man,5,safety,1983.3009779775894,1291
gender,man,6,safety,1881.7009240083555,1699
gender,man,7,safety,2021.4362970698041,1024
gender,man,8,safety,1650.4402211890622,1126
gender,woman,0,living,1460.0808684132605,714
