demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1183.128189680022,2311
global,global,1,living,537.6809370555926,1759
global,global,2,living,1083.867767554437,2140
global,global,3,living,-419.0549654853176,2211
global,global,4,living,2166.933149312102,961
global,global,5,living,2033.248913241608,2409
global,global,6,living,1326.7741872800277,2620
global,global,7,living,1765.5652188109902,1677
global,global,8,living,1393.4876234569108,2174
global,global,0,biodiversity,2174.6041524345437,1922
global,global,1,biodiversity,292.24409737020846,3102
global,global,2,biodiversity,496.23831925703985,2634
global,global,3,biodiversity,2105.031480847589,2345
global,global,4,biodiversity,2320.5565899387952,2267
global,global,5,biodiversity,436.4984789018651,2327
global,global,6,biodiversity,710.6784764079194,1674
global,global,7,biodiversity,1499.33809096458,2536
global,global,8,biodiversity,2049.5030010090572,2497
global,global,0,safety,1564.9761807766185,2737
global,global,1,safety,2472.1438314029483,2558
global,global,2,safety,805.0178840161307,2249
global,global,3,safety,1636.8801751776493,3236
global,global,4,safety,1970.3821266957752,2756
global,global,5,safety,1887.9946608286798,3115
global,global,6,safety,1303.4892844397577,2924
global,global,7,safety,477.70949674349083,1234
global,global,8,safety,2187.8279892055048,2925
gender,man,0,living,1552.1294840370213,1209
gender,man,1,living,1025.3082364528063,875
gender,man,2,living,1753.4444604406096,1069
gender,man,3,living,1071.309228608859,1129
gender,man,4,living,1990.4773655101333,527
gender,man,5,living,2044.277408575233,1200
gender,man,6,living,1706.8841579811253,1335
gender,man,7,living,1510.557060720088,850
gender,man,8,living,1483.5101908503898,1150
gender,man,0,biodiversity,1932.8314816065592,884
gender,man,1,biodiversity,293.89499598246584,1581
gender,man,2,biodiversity,1976.9859603659388,1343
gender,man,3,biodiversity,1609.7716826471742,1117
gender,man,4,biodiversity,1859.882337304879,1156
gender,man,5,biodiversity,1496.8006978988262,1232
gender,man,6,biodiversity,885.4749235833312,859
gender,man,7,biodiversity,1792.6742841092127,1385
gender,man,8,biodiversity,1716.9907097900625,1289
gender,man,0,safety,1113.4702338463105,1437
gender,man,1,safety,2120.699012226924,1337
gender,man,2,safety,1188.7108987941042,1148
gender,man,3,safety,1699.0539551309143,1628
gender,man,4,safety,1309.9807295182134,1478
gender,man,5,safety,2034.6290104795182,1611
gender,man,6,safety,1528.2459930532077,1507
gender,man,7,safety,958.7971896563802,677
gender,man,8,safety,1923.6820675296947,1411
gender,woman,0,living,1371.359776644013,889
gender,woman,1,living,1486.1424455114227,719
gender,woman,2,living,1210.941214706891,834
gender,woman,3,living,677.336190868236,903
gender,woman,4,living,1877.2831446237542,376
gender,woman,5,living,1763.3966835612812,929
gender,woman,6,living,1564.3022437552136,1067
gender,woman,7,living,1729.7655906072398,663
gender,woman,8,living,1835.583036928305,812
gender,woman,0,biodiversity,1896.0990909787884,808
gender,woman,1,biodiversity,1303.6149943968521,1282
gender,woman,2,biodiversity,856.879814723507,1083
gender,woman,3,biodiversity,1462.129619902946,1018
gender,woman,4,biodiversity,2053.892782140583,859
gender,woman,5,biodiversity,761.1243608891605,898
gender,woman,6,biodiversity,1249.733347734441,701
gender,woman,7,biodiversity,1689.7719451958951,1019
gender,woman,8,biodiversity,1968.7267673726226,976
gender,woman,0,safety,1737.2586189947815,1062
gender,woman,1,safety,1595.3750026071134,1093
gender,woman,2,safety,1677.6771093884947,954
gender,woman,3,safety,1574.2917707303393,1346
gender,woman,4,safety,2099.9061399641964,1048
gender,woman,5,safety,854.5105722066868,1188
gender,woman,6,safety,1884.4111046082294,1176
gender,woman,7,safety,1468.738197137211,497
gender,woman,8,safety,1912.746110409909,1268
gender,other,0,living,1452.5557237146575,16
gender,other,1,living,1562.7431781272287,9
gender,other,2,living,1547.8847196913857,10
gender,other,3,living,1469.5674233016252,17
gender,other,4,living,1439.9984709632936,7
gender,other,5,living,1488.6384216623214,17
gender,other,6,living,1510.22652281599,13
