demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2275.5600314781586,2349
global,global,1,living,1995.4132903159937,2779
global,global,2,living,1176.861695502284,2532
global,global,3,living,319.8480341538565,2286
global,global,4,living,1497.3593096062266,1943
global,global,5,living,1259.1664404095488,2331
global,global,6,living,2014.1318130531874,1569
global,global,7,living,2181.5829292446415,2394
global,global,8,living,272.83787885169,1291
global,global,0,biodiversity,2284.278318581081,2511
global,global,1,biodiversity,1656.0716194310435,2395
global,global,2,biodiversity,1592.982913799753,2207
global,global,3,biodiversity,1800.8235304365696,2471
global,global,4,biodiversity,2341.255691612746,1860
global,global,5,biodiversity,1127.9591249066016,1838
global,global,6,biodiversity,-23.76062338309857,1526
global,global,7,biodiversity,2156.7617481889406,2912
global,global,8,biodiversity,656.2544313169068,2356
global,global,0,safety,1579.8010142269807,2895
global,global,1,safety,1652.1556171571522,2493
global,global,2,safety,2246.76896379342,3279
global,global,3,safety,851.1183194982232,2186
global,global,4,safety,1772.467900904277,2513
global,global,5,safety,1383.4565532355384,2494
global,global,6,safety,1085.8584775583693,2598
global,global,7,safety,2366.9929338534766,2672
global,global,8,safety,2304.527456379352,2620
gender,man,0,living,2041.4319767105762,1133
gender,man,1,living,983.3092460690964,1422
gender,man,2,living,1676.9358070529315,1288
gender,man,3,living,1462.807725407716,1214
gender,man,4,living,1824.4900568361898,1022
gender,man,5,living,1687.7343393240387,1173
gender,man,6,living,1298.6740222380045,783
gender,man,7,living,1431.5062814393289,1258
gender,man,8,living,1139.0965736506892,667
gender,man,0,biodiversity,2090.657122235728,1195
gender,man,1,biodiversity,2031.4708047907975,1167
gender,man,2,biodiversity,1862.7240928537353,1108
gender,man,3,biodiversity,1719.9702655919768,1321
gender,man,4,biodiversity,1770.4827932666758,1003
gender,man,5,biodiversity,1220.6399242245602,939
gender,man,6,biodiversity,1279.8578402150251,800
gender,man,7,biodiversity,1929.7690253918531,1497
gender,man,8,biodiversity,1362.631533725423,1242
gender,man,0,safety,494.566280034792,1440
gender,man,1,safety,1751.550369483602,1231
gender,man,2,safety,1836.22833441615,1686
gender,man,3,safety,1462.6614573983902,1189
gender,man,4,safety,1422.6724009212608,1468
gender,man,5,safety,1762.2832486036323,1266
gender,man,6,safety,2004.576471740283,1241
gender,man,7,safety,2076.518390694635,1354
gender,man,8,safety,1230.3944669273956,1317
gender,woman,0,living,899.7884772163551,920
gender,woman,1,living,1946.8798817593936,1065
gender,woman,2,living,1454.6306022095255,1057
gender,woman,3,living,664.8846968357714,891
gender,woman,4,living,1861.3221950435163,750
gender,woman,5,living,1375.072935368716,960
gender,woman,6,living,1825.5599658789906,661
gender,woman,7,living,1743.2048983714942,924
gender,woman,8,living,1060.9067860103637,566
gender,woman,0,biodiversity,1644.7528526165613,1032
gender,woman,1,biodiversity,1477.4960272451262,993
gender,woman,2,biodiversity,1343.5336414627996,882
gender,woman,3,biodiversity,1731.7569201620934,986
gender,woman,4,biodiversity,1963.5837910341543,678
gender,woman,5,biodiversity,1683.6945406192997,768
gender,woman,6,biodiversity,359.35486501326073,641
gender,woman,7,biodiversity,1901.3797393790624,1163
gender,woman,8,biodiversity,1405.5155726316596,975
gender,woman,0,safety,1700.9647205976646,1169
gender,woman,1,safety,1084.8165000632755,956
gender,woman,2,safety,1660.10875014472,1340
gender,woman,3,safety,847.430724463146,892
gender,woman,4,safety,1841.9283628283104,900
gender,woman,5,safety,1631.1480656380097,1017
gender,woman,6,safety,980.317795103456,1085
gender,woman,7,safety,1729.7069250871557,1150
gender,woman,8,safety,2052.8777386579177,1047
gender,other,0,living,1463.5714339541105,11
gender,other,1,living,1511.6217004402952,15
gender,other,2,living,1487.9570968049984,13
gender,other,3,living,1500.8277994045893,16
gender,other,4,living,1536.7846860284972,15
gender,other,5,living,1451.557115043744,10
gender,other,6,living,1571.9558342811165,10
gender,other,7,living,1535.9462408645932,11
gender,other,8,living,1439.585699413623,5
gender,other,0,biodiversity,1549.1481710982828,14
gender,other,1,biodiversity,1488.3950703239914,15
gender,other,2,biodiversity,1412.4493338115851,15
gender,other,3,biodiversity,1476.3593795127704,12
gender,other,4,biodiversity,1559.9450666367454,7
gender,other,5,biodiversity,1451.157144665411,10
gender,other,6,biodiversity,1524.172269465837,16
gender,other,7,biodiversity,1499.4770251121556,14
gender,other,8,biodiversity,1535.2769091644523,13
gender,other,0,safety,1438.5456264590148,19
gender,other,1,safety,1452.4478024008113,14
gender,other,2,safety,1569.2622922892356,8
gender,other,3,safety,1527.3595717035787,8
gender,other,4,safety,1522.4618962493319,16
gender,other,5,safety,1454.379121044289,12
gender,other,6,safety,1547.607429669479,14
gender,other,7,safety,1487.5859426178458,15
gender,other,8,safety,1499.7074766883902,10
age,younger,0,living,1425.0352967824226,625
age,younger,1,living,1521.8399807677265,790
age,younger,2,living,1540.3572900469774,733
age,younger,3,living,1058.1035658621881,727
age,younger,4,living,888.19153715179,527
age,younger,5,living,1802.976716914049,635
age,younger,6,living,1718.8296287909088,374
age,younger,7,living,1923.6966719885424,646
age,younger,8,living,681.6113750354478,301
age,younger,0,biodiversity,1774.0586320788393,656
age,younger,1,biodiversity,1720.9511484076247,664
age,younger,2,biodiversity,1575.8061835830138,658
age,younger,3,biodiversity,508.00747625209834,675
age,younger,4,biodiversity,1925.5176117789226,463
age,younger,5,biodiversity,1529.8317340041467,597
age,younger,6,biodiversity,1303.8120350363192,385
age,younger,7,biodiversity,1270.5411610215708,898
age,younger,8,biodiversity,1615.2302656961074,730
age,younger,0,safety,1542.7706682610105,816
age,younger,1,safety,1664.9280133585714,730
age,younger,2,safety,1757.2614818251745,955
age,younger,3,safety,877.0346690301513,574
age,younger,4,safety,1639.0110552426097,773
