demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1629.7465966128523,2211
global,global,1,living,1971.0786764033796,2210
global,global,2,living,2175.2132888336237,1359
global,global,3,living,-172.71175279109477,1568
global,global,4,living,1596.3826888857063,1980
global,global,5,living,1086.9814142719083,2328
global,global,6,living,1791.648617120212,2263
global,global,7,living,992.0175536289313,2138
global,global,8,living,1883.3674174547527,1717
global,global,0,biodiversity,2005.3080231490574,2490
global,global,1,biodiversity,2390.209755492374,2688
global,global,2,biodiversity,1455.8406386798933,2488
global,global,3,biodiversity,1866.4867844662701,2902
global,global,4,biodiversity,1309.3389292213362,2698
global,global,5,biodiversity,1984.4688475983685,2158
global,global,6,biodiversity,2258.333527655526,2054
global,global,7,biodiversity,1554.8157779313076,2307
global,global,8,biodiversity,1006.5707581327542,2387
global,global,0,safety,1247.8062567311983,3079
global,global,1,safety,327.9485304529267,2960
global,global,2,safety,1278.5145351438125,2196
global,global,3,safety,1808.2319546655656,2553
global,global,4,safety,2151.6011103006763,1822
global,global,5,safety,1127.6915562486035,2355
global,global,6,safety,1700.111497480443,3520
global,global,7,safety,2193.031738008973,2247
global,global,8,safety,1589.3650146749053,2622
gender,man,0,living,1045.7644772140484,1198
gender,man,1,living,1780.9880738288975,1092
gender,man,2,living,1957.333349342315,713
gender,man,3,living,72.96498708577226,796
gender,man,4,living,1720.312870597427,974
gender,man,5,living,1744.8879661465016,1180
gender,man,6,living,1478.1302405886318,1161
gender,man,7,living,1191.5943325210283,1116
gender,man,8,living,1872.2363204027067,808
gender,man,0,biodiversity,1390.5737627979104,1210
gender,man,1,biodiversity,1902.8136437738697,1381
gender,man,2,biodiversity,1711.0072556070165,1244
gender,man,3,biodiversity,1640.629132796659,1506
gender,man,4,biodiversity,-62.535234665508554,1404
gender,man,5,biodiversity,1598.8142341635435,1093
gender,man,6,biodiversity,2087.7571968436055,973
gender,man,7,biodiversity,1777.056233579481,1218
gender,man,8,biodiversity,680.692096243759,1241
gender,man,0,safety,1585.9414067497423,1618
gender,man,1,safety,586.7609844298718,1518
gender,man,2,safety,1298.395048124644,1092
gender,man,3,safety,1972.4079621791277,1290
gender,man,4,safety,1923.5630644066703,1011
gender,man,5,safety,779.0765542678544,1197
gender,man,6,safety,1846.059265466478,1785
gender,man,7,safety,2087.6343317508117,1175
gender,man,8,safety,1442.6343098856642,1430
gender,woman,0,living,1893.394924462834,794
gender,woman,1,living,1603.8557948353618,888
gender,woman,2,living,1923.306747768198,502
gender,woman,3,living,1312.1668522633183,702
gender,woman,4,living,1349.4242198164034,824
gender,woman,5,living,691.4474170351316,872
gender,woman,6,living,1750.8813083129896,893
gender,woman,7,living,1490.7053677712036,909
gender,woman,8,living,950.3834431556038,740
gender,woman,0,biodiversity,1756.5657518948938,1084
gender,woman,1,biodiversity,1152.811636159821,1158
gender,woman,2,biodiversity,880.2995244667906,979
gender,woman,3,biodiversity,1240.6086645510054,1115
gender,woman,4,biodiversity,1884.6270155087784,1009
gender,woman,5,biodiversity,2052.9866566923233,850
gender,woman,6,biodiversity,1696.1342381663685,820
gender,woman,7,biodiversity,1437.9247660180822,899
gender,woman,8,biodiversity,1615.2602098747486,982
gender,woman,0,safety,1645.8332960977277,1218
gender,woman,1,safety,814.0128790934264,1219
gender,woman,2,safety,1492.7289795394547,922
gender,woman,3,safety,1223.7324419063661,1050
gender,woman,4,safety,1956.5326066239033,700
gender,woman,5,safety,1507.3174914599015,1001
gender,woman,6,safety,-29.317685699627884,1403
gender,woman,7,safety,1851.7697589840366,921
gender,woman,8,safety,1759.8665085395216,1014
gender,other,0,living,1500.443075558474,12
gender,other,1,living,1473.604526238084,16
gender,other,2,living,1488.7898220438171,13
gender,other,3,living,1523.6519450062165,12
gender,other,4,living,1569.2051778546356,8
gender,other,5,living,1428.010732028302,6
gender,other,6,living,1451.6153272472918,12
gender,other,7,living,1512.4295343404606,11
gender,other,8,living,1546.8821297789689,10
gender,other,0,biodiversity,1475.8598794746194,10
gender,other,1,biodiversity,1546.1612363218428,16
gender,other,2,biodiversity,1442.9256473934386,13
gender,other,3,biodiversity,1535.515811400528,11
gender,other,4,biodiversity,1570.7353572087218,6
gender,other,5,biodiversity,1499.1008315131623,16
gender,other,6,biodiversity,1511.971788684205,9
gender,other,7,biodiversity,1424.991049594512,16
gender,other,8,biodiversity,1487.2572515831914,17
gender,other,0,safety,1473.204637857112,18
gender,other,1,safety,1502.72433029073,14
gender,other,2,safety,1488.1597761255553,17
gender,other,3,safety,1452.7976111860555,10
gender,other,4,safety,1427.5168704758155,14
gender,other,5,safety,1528.4447633225102,12
gender,other,6,safety,1547.21856737734,14
gender,other,7,safety,1514.3410168907226,13
gender,other,8,safety,1569.1003301660169,12
age,younger,0,living,1691.9853990046367,558
age,younger,1,living,1782.940577751527,692
age,younger,2,living,1858.674397985006,399
age,younger,3,living,1258.0319504279503,470
age,younger,4,living,1734.3063666047922,523
age,younger,5,living,1449.5549314199548,633
age,younger,6,living,1502.6386385002527,632
age,younger,7,living,1601.423441978649,636
age,younger,8,living,1660.1286406246377,523
age,younger,0,biodiversity,1721.471963503513,681
age,younger,1,biodiversity,1762.1730229933926,771
age,younger,2,biodiversity,1359.7120608692474,755
age,younger,3,biodiversity,1376.1195700902767,797
age,younger,4,biodiversity,1596.392846156923,696
age,younger,5,biodiversity,1825.8747781769666,586
age,younger,6,biodiversity,1860.860632288672,506
age,younger,7,biodiversity,1279.3787425787564,699
age,younger,8,biodiversity,1214.0951569018423,685
age,younger,0,safety,1648.1878951615258,905
age,younger,1,safety,1849.6105487271334,786
age,younger,2,safety,1217.4308333471026,614
age,younger,3,safety,1512.5683697270058,734
age,younger,4,safety,1741.8857607388359,532
age,younger,5,safety,1549.2268365408515,635
age,younger,6,safety,1780.5691525252846,966
age,younger,7,safety,1869.412588868437,640
age,younger,8,safety,1415.4821144961256,728
age,middle,0,living,1653.0423271490156,973
age,middle,1,living,1871.2264965871536,825
age,middle,2,living,1917.8469422286942,558
age,middle,3,living,1420.5121710136873,743
age,middle,4,living,1620.2835151850895,859
age,middle,5,living,1516.283998891247,959
age,middle,6,living,1385.7166023389384,923
age,middle,7,living,467.02628021705675,889
age,middle,8,living,1789.0551440539625,711
age,middle,0,biodiversity,1839.8520987171269,1080
