demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2123.4148157899767,3171
global,global,1,living,1351.1218076022292,2304
global,global,2,living,449.19896486510856,2727
global,global,3,living,664.7179190885159,1981
global,global,4,living,2437.7693191603857,2700
global,global,5,living,2006.9096005490028,2480
global,global,6,living,2255.683436198921,2549
global,global,7,living,2162.4252172678603,2748
global,global,8,living,1125.895990513876,2224
global,global,0,biodiversity,-165.80902632995537,1101
global,global,1,biodiversity,2034.8016018478909,3965
global,global,2,biodiversity,1790.6032916937168,3279
global,global,3,biodiversity,1061.798753357753,3034
global,global,4,biodiversity,2445.2464431932985,2008
global,global,5,biodiversity,2151.6605418568547,3266
global,global,6,biodiversity,2057.4856209710733,3299
global,global,7,biodiversity,992.5306189442175,2879
global,global,8,biodiversity,2327.985594670528,2451
global,global,0,safety,453.600360739055,1453
global,global,1,safety,1884.6568401923687,1444
global,global,2,safety,2045.7094796873835,1509
global,global,3,safety,1580.0150229707808,1742
global,global,4,safety,1083.3223081301437,1868
global,global,5,safety,2167.0929274463765,1923
global,global,6,safety,1282.390805103464,1500
global,global,7,safety,573.1308676840824,1718
global,global,8,safety,1658.0281861717322,1977
gender,man,0,living,1710.0788544917418,1565
gender,man,1,living,1657.2052552544278,1256
gender,man,2,living,1130.2519078215614,1389
gender,man,3,living,747.2184154098493,988
gender,man,4,living,2007.152480829655,1307
gender,man,5,living,1425.1283748939707,1298
gender,man,6,living,1621.7903970549894,1336
gender,man,7,living,2135.2036629353083,1372
gender,man,8,living,1266.3969361309005,1171
gender,man,0,biodiversity,829.9258948575381,628
gender,man,1,biodiversity,1662.4768125644714,2082
gender,man,2,biodiversity,1738.9132201786686,1691
gender,man,3,biodiversity,1614.6664283169935,1585
gender,man,4,biodiversity,2095.81473971191,970
gender,man,5,biodiversity,1993.8107765837242,1663
gender,man,6,biodiversity,1300.3062777265518,1738
gender,man,7,biodiversity,1384.6056394671637,1465
gender,man,8,biodiversity,1913.544101142022,1188
gender,man,0,safety,1341.643588563842,788
gender,man,1,safety,1740.345178035873,784
gender,man,2,safety,1841.3978884729208,761
gender,man,3,safety,1961.2318814425691,847
gender,man,4,safety,1521.3158642609494,949
gender,man,5,safety,1815.1824495090907,990
gender,man,6,safety,948.5171761586548,746
gender,man,7,safety,1418.164470008394,878
gender,man,8,safety,1589.4213381063375,989
gender,woman,0,living,1936.2064795537856,1298
gender,woman,1,living,1340.2207701207888,944
gender,woman,2,living,1193.6313085749057,1098
gender,woman,3,living,1011.54537640221,780
gender,woman,4,living,1694.0050519471367,1147
gender,woman,5,living,1812.8938849230751,988
gender,woman,6,living,2005.4192891524608,949
gender,woman,7,living,1532.3073412992792,1102
gender,woman,8,living,1783.5928235227907,870
gender,woman,0,biodiversity,1002.8660004609653,447
gender,woman,1,biodiversity,1909.5149923604183,1547
gender,woman,2,biodiversity,1643.3764055287822,1261
gender,woman,3,biodiversity,1391.1093359344222,1246
gender,woman,4,biodiversity,1823.46269473387,945
gender,woman,5,biodiversity,1754.7654506880408,1296
gender,woman,6,biodiversity,2073.628100516239,1289
gender,woman,7,biodiversity,976.9299464009212,1192
gender,woman,8,biodiversity,1942.6407810889555,1035
gender,woman,0,safety,1207.0118678821277,583
gender,woman,1,safety,1726.1527944477828,514
gender,woman,2,safety,1924.9324763153618,596
gender,woman,3,safety,320.2555089160833,716
gender,woman,4,safety,1246.6652178593688,749
gender,woman,5,safety,1820.055468450617,756
gender,woman,6,safety,1361.1957301642312,642
gender,woman,7,safety,359.0548178271073,713
gender,woman,8,safety,1326.1812473934583,765
gender,other,0,living,1549.7144562810417,12
gender,other,1,living,1465.61975529915,15
gender,other,2,living,1409.9264813877548,19
gender,other,3,living,1444.096931785365,21
gender,other,4,living,1536.5982839683281,19
gender,other,5,living,1509.9877369660217,15
gender,other,6,living,1479.1107364161414,22
gender,other,7,living,1528.3271632708522,18
gender,other,8,living,1576.4664663620174,19
gender,other,0,biodiversity,1531.384067058504,19
gender,other,1,biodiversity,1539.0954857961933,17
gender,other,2,biodiversity,1561.9644347897827,13
gender,other,3,biodiversity,1449.1821177970533,10
gender,other,4,biodiversity,1449.9475386463862,8
gender,other,5,biodiversity,1392.5492747254589,14
gender,other,6,biodiversity,1555.4548846353966,11
gender,other,7,biodiversity,1510.2294835193468,15
gender,other,8,biodiversity,1488.770815894611,11
gender,other,0,safety,1536.0,5
gender,other,1,safety,1500.0,6
gender,other,2,safety,1452.0,8
gender,other,3,safety,1548.0,4
gender,other,4,safety,1464.0,7
gender,other,5,safety,1512.0,5
gender,other,6,safety,1488.0,11
gender,other,7,safety,1476.0,6
gender,other,8,safety,1524.0,8
age,younger,0,living,1667.676500162321,820
age,younger,1,living,1462.227358274747,681
age,younger,2,living,1243.754299671444,743
age,younger,3,living,1096.259551546919,536
age,younger,4,living,1955.8339727358662,752
age,younger,5,living,1719.2338042197903,696
age,younger,6,living,1546.4946359063085,699
age,younger,7,living,1843.070846665397,742
age,younger,8,living,1377.423226333238,705
age,younger,0,biodiversity,1222.5125808155358,435
age,younger,1,biodiversity,1363.9859055026388,1173
age,younger,2,biodiversity,1748.0563646472137,905
age,younger,3,biodiversity,1289.6928208518416,806
age,younger,4,biodiversity,1906.868335854087,510
age,younger,5,biodiversity,1472.5260549877594,929
age,younger,6,biodiversity,1839.2223286150004,934
age,younger,7,biodiversity,1671.4221159954482,749
age,younger,8,biodiversity,1511.674640981119,703
age,younger,0,safety,1470.4141595077642,430
age,younger,1,safety,1847.0173859169188,385
age,younger,2,safety,1743.0347862493732,443
age,younger,3,safety,1502.3721805206628,478
age,younger,4,safety,1366.1279633899296,562
age,younger,5,safety,1657.5715977382695,547
age,younger,6,safety,1318.350254963811,415
age,younger,7,safety,1218.3053905938614,482
age,younger,8,safety,1709.8924063727559,522
age,middle,0,living,1372.4648017167542,1320
age,middle,1,living,1536.1208860206532,1029
age,middle,2,living,1058.5231330628808,1175
age,middle,3,living,777.2632905183149,771
age,middle,4,living,1500.1034757521588,1104
age,middle,5,living,1480.2351870986117,1113
age,middle,6,living,1972.4808636000478,993
age,middle,7,living,1892.9743443085972,1035
age,middle,8,living,1830.3439614998315,862
age,middle,0,biodiversity,1402.4314550563288,479
age,middle,1,biodiversity,1869.9449010232847,1631
age,middle,2,biodiversity,1941.081047712093,1317
age,middle,3,biodiversity,1297.131837863947,1330
age,middle,4,biodiversity,1900.4721531931077,926
age,middle,5,biodiversity,2012.017458253356,1394
age,middle,6,biodiversity,1673.3952919799187,1413
age,middle,7,biodiversity,1224.787252092102,1288
age,middle,8,biodiversity,1970.1211651270162,1052
age,middle,0,safety,1376.4012728746,659
age,middle,1,safety,1842.0475287659724,627
age,middle,2,safety,1877.6866457671088,611
age,middle,3,safety,1817.1864787976783,736
age,middle,4,safety,1783.7755201576058,763
age,middle,5,safety,1584.6176651314145,845
age,middle,6,safety,1501.276952951958,669
age,middle,7,safety,1223.019314965208,771
age,middle,8,safety,1656.1380835155412,835
age,older,0,living,1774.097967711947,730
age,older,1,living,1501.4530069218285,495
age,older,2,living,1849.2735685904831,583
age,older,3,living,1274.3197998431856,474
age,older,4,living,1751.02249417,608
age,older,5,living,1799.8637685149558,480
age,older,6,living,1672.2807112109851,615
age,older,7,living,1410.0082228746473,716
age,older,8,living,1188.9018688578944,493
age,older,0,biodiversity,1010.5610298060609,176
age,older,1,biodiversity,1415.8120123062674,833
age,older,2,biodiversity,1456.9776090767436,731
age,older,3,biodiversity,1538.4297095440506,694
age,older,4,biodiversity,1478.2231220075528,479
age,older,5,biodiversity,1905.5767046598735,644
age,older,6,biodiversity,1600.0282512914443,687
age,older,7,biodiversity,1726.6671832780557,625
age,older,8,biodiversity,1826.4591834319087,465
age,older,0,safety,1347.685270464502,282
age,older,1,safety,1677.4857336228845,284
age,older,2,safety,1800.8839311153388,304
age,older,3,safety,1433.2831152731487,352
age,older,4,safety,1497.8922484645761,381
age,older,5,safety,1712.317150800807,352
age,older,6,safety,1530.5815879597965,309
age,older,7,safety,893.5101740586657,340
age,older,8,safety,1561.4845641001455,396
ethnicity,white,0,living,1773.8122325923243,2531
ethnicity,white,1,living,1829.0823005169723,1948
ethnicity,white,2,living,785.0421772169519,2166
ethnicity,white,3,living,-407.2138300708875,1544
ethnicity,white,4,living,2308.999067828793,2150
ethnicity,white,5,living,2029.9261104412487,1956
ethnicity,white,6,living,2061.498320635164,1984
ethnicity,white,7,living,1509.2149831246204,2190
ethnicity,white,8,living,1173.2271452430086,1793
ethnicity,white,0,biodiversity,203.53215144374852,898
ethnicity,white,1,biodiversity,1681.0023865044075,3154
ethnicity,white,2,biodiversity,1829.5840185765205,2579
ethnicity,white,3,biodiversity,1532.8736472578792,2474
ethnicity,white,4,biodiversity,2198.3146741991536,1618
ethnicity,white,5,biodiversity,2122.081505063622,2529
ethnicity,white,6,biodiversity,1875.0344937508878,2602
ethnicity,white,7,biodiversity,779.8655789294716,2298
ethnicity,white,8,biodiversity,2237.6674520635656,1900
ethnicity,white,0,safety,45.54268350100027,1187
ethnicity,white,1,safety,1809.6857668493028,1136
ethnicity,white,2,safety,2078.7191798934186,1183
ethnicity,white,3,safety,1716.965352800788,1348
ethnicity,white,4,safety,850.5020706977873,1454
ethnicity,white,5,safety,1688.7358802016001,1491
ethnicity,white,6,safety,924.0554586337239,1186
ethnicity,white,7,safety,1123.786018781815,1361
ethnicity,white,8,safety,1242.8625016561668,1500
ethnicity,other,0,living,1398.276800086366,238
ethnicity,other,1,living,1316.3319503132082,185
ethnicity,other,2,living,1518.0974842001074,240
ethnicity,other,3,living,1598.5775714427148,174
ethnicity,other,4,living,1481.9381231632233,230
ethnicity,other,5,living,1147.5793462436102,239
ethnicity,other,6,living,1689.5586878426507,223
ethnicity,other,7,living,1634.4801961945138,216
ethnicity,other,8,living,1729.6654412053688,193
ethnicity,other,0,biodiversity,1442.621681237486,144
ethnicity,other,1,biodiversity,1674.6442115246923,343
ethnicity,other,2,biodiversity,1812.5888268453446,258
ethnicity,other,3,biodiversity,1071.114237233919,265
ethnicity,other,4,biodiversity,1642.0061822088007,228
ethnicity,other,5,biodiversity,1421.1337472982548,328
ethnicity,other,6,biodiversity,1370.9428703807043,314
ethnicity,other,7,biodiversity,1525.2737543111573,263
ethnicity,other,8,biodiversity,1507.4170389606577,225
ethnicity,other,0,safety,1685.9359824180865,132
ethnicity,other,1,safety,1631.2819634401246,116
ethnicity,other,2,safety,1331.8706743158868,133
ethnicity,other,3,safety,1488.8706417000044,150
ethnicity,other,4,safety,1584.1743031966107,169
ethnicity,other,5,safety,1556.0824431709598,187
ethnicity,other,6,safety,1448.4354116847535,142
ethnicity,other,7,safety,1602.7884509213927,169
ethnicity,other,8,safety,1416.4646617101753,176
education,sixteen,0,living,1450.7710818253827,211
education,sixteen,1,living,1580.9542802334872,167
education,sixteen,2,living,1549.6774061740623,203
education,sixteen,3,living,1691.4768189799772,121
education,sixteen,4,living,1254.6287911217705,147
education,sixteen,5,living,1510.7350233630802,174
education,sixteen,6,living,1607.918123273646,169
education,sixteen,7,living,1379.933284976566,200
education,sixteen,8,living,1669.1251597191197,152
education,sixteen,0,biodiversity,1600.3032894292767,102
education,sixteen,1,biodiversity,1262.5375767209737,246
education,sixteen,2,biodiversity,1659.8286543086194,212
education,sixteen,3,biodiversity,1550.0525835986743,182
education,sixteen,4,biodiversity,1716.2241941745117,147
education,sixteen,5,biodiversity,1627.633689914015,188
education,sixteen,6,biodiversity,1409.6505519217744,204
education,sixteen,7,biodiversity,1535.1032059558072,186
education,sixteen,8,biodiversity,1089.9585222301478,137
education,sixteen,0,safety,1203.173123356501,63
education,sixteen,1,safety,1587.406484512596,87
education,sixteen,2,safety,1534.266162297065,106
education,sixteen,3,safety,1562.9389675449474,99
education,sixteen,4,safety,1504.9122780019293,133
education,sixteen,5,safety,1475.2319866840437,141
education,sixteen,6,safety,1654.1417480073808,80
education,sixteen,7,safety,1289.3626901539526,86
education,sixteen,8,safety,1630.3004852821782,129
education,eighteen,0,living,1405.2657333973443,523
education,eighteen,1,living,1703.3067289595742,428
education,eighteen,2,living,1669.668376601287,468
education,eighteen,3,living,1039.25103996786,360
education,eighteen,4,living,1877.9247784432057,464
education,eighteen,5,living,1554.2698866629235,450
education,eighteen,6,living,1631.8874162829259,420
education,eighteen,7,living,1521.2790521782606,517
education,eighteen,8,living,1231.7659480023779,318
education,eighteen,0,biodiversity,1214.0817002769306,198
education,eighteen,1,biodiversity,1753.5856519784177,670
education,eighteen,2,biodiversity,1824.41442889887,500
education,eighteen,3,biodiversity,407.622733853245,496
education,eighteen,4,biodiversity,1517.8898746878065,353
education,eighteen,5,biodiversity,1456.1094277519808,443
education,eighteen,6,biodiversity,1732.8450868632976,538
education,eighteen,7,biodiversity,1690.1718293768479,539
education,eighteen,8,biodiversity,1642.5598125041697,425
education,eighteen,0,safety,1472.3310267607485,241
education,eighteen,1,safety,1494.0651605175785,249
education,eighteen,2,safety,1772.7841294067857,230
education,eighteen,3,safety,1525.9250983773777,345
education,eighteen,4,safety,1677.6681626089342,282
education,eighteen,5,safety,1654.8118829340904,317
education,eighteen,6,safety,1007.0629773303949,240
education,eighteen,7,safety,1401.8640106186629,316
education,eighteen,8,safety,1614.6463033043804,312
education,older,0,living,1585.479990034487,2091
education,older,1,living,1385.3326627993026,1594
education,older,2,living,821.0325561101197,1803
education,older,3,living,521.0345185336233,1277
education,older,4,living,1899.0599245182395,1819
education,older,5,living,2139.4620791500915,1649
education,older,6,living,1852.8294921850209,1676
education,older,7,living,2018.7618905801426,1732
education,older,8,living,1335.8341391984102,1565
education,older,0,biodiversity,451.2752078786222,783
education,older,1,biodiversity,1582.199055506152,2684
education,older,2,biodiversity,1718.9177843653385,2215
education,older,3,biodiversity,2010.7954410474995,2126
education,older,4,biodiversity,2079.5104097139056,1403
education,older,5,biodiversity,2146.4374412378825,2313
education,older,6,biodiversity,1808.010286059452,2277
education,older,7,biodiversity,985.7466071514201,1915
education,older,8,biodiversity,2225.0469423922027,1656
education,older,0,safety,1177.5574613794997,1056
education,older,1,safety,1999.790306995641,948
education,older,2,safety,1938.7171176629247,1011
education,older,3,safety,1321.4202996702697,1104
education,older,4,safety,1106.6933708336533,1269
education,older,5,safety,1892.9435317629013,1273
education,older,6,safety,1247.3260442855437,1071
education,older,7,safety,351.6005373591069,1173
education,older,8,safety,1611.850771284913,1297
income,lower,0,living,1876.2596533165747,534
income,lower,1,living,1219.4679559682527,417
income,lower,2,living,1400.795190205268,496
income,lower,3,living,1447.9194653154539,374
income,lower,4,living,1736.4558102586711,462
income,lower,5,living,1353.0039739269946,422
income,lower,6,living,1698.7277513462277,404
income,lower,7,living,1605.7216723377776,502
income,lower,8,living,1478.1549872696833,349
income,lower,0,biodiversity,1146.2762524808606,221
income,lower,1,biodiversity,1557.597912563932,650
income,lower,2,biodiversity,1768.2121414450119,545
income,lower,3,biodiversity,1798.029012131442,494
income,lower,4,biodiversity,1451.7104201068446,363
income,lower,5,biodiversity,1642.9570175733145,521
income,lower,6,biodiversity,1724.4696876350022,528
income,lower,7,biodiversity,1479.6969755994273,518
income,lower,8,biodiversity,1687.1392651243261,440
income,lower,0,safety,1207.918347259267,233
income,lower,1,safety,1821.4828009305954,221
income,lower,2,safety,1661.719437734913,260
income,lower,3,safety,1387.522194679177,274
income,lower,4,safety,1543.848425125657,323
income,lower,5,safety,1598.2859144360134,321
income,lower,6,safety,1444.0398068585628,248
income,lower,7,safety,910.4993775685193,260
income,lower,8,safety,1574.3186027677004,340
income,middle,0,living,1704.4545325763854,885
income,middle,1,living,1648.530181296451,760
income,middle,2,living,1489.4089483055445,839
income,middle,3,living,1343.311117719337,599
income,middle,4,living,1680.4873736001143,807
income,middle,5,living,1896.5051994306739,720
income,middle,6,living,1916.9503276066735,715
income,middle,7,living,1276.9069236017376,819
income,middle,8,living,1189.3860326884314,710
income,middle,0,biodiversity,1534.0889996978615,326
income,middle,1,biodiversity,1760.1750872974844,1159
income,middle,2,biodiversity,1660.961840916132,934
income,middle,3,biodiversity,1417.979805864943,860
income,middle,4,biodiversity,1922.1395394272377,582
income,middle,5,biodiversity,1901.896154948965,910
income,middle,6,biodiversity,1608.7169082632224,1004
income,middle,7,biodiversity,1109.4138940820014,800
income,middle,8,biodiversity,1838.9911225392325,719
income,middle,0,safety,1169.7684069174127,370
income,middle,1,safety,1360.895881333335,428
income,middle,2,safety,1798.074441427129,456
income,middle,3,safety,1568.0558308097268,552
income,middle,4,safety,1464.8520684535972,522
income,middle,5,safety,1838.6432023957834,584
income,middle,6,safety,1644.6127896236742,456
income,middle,7,safety,1439.1759345701062,488
income,middle,8,safety,1752.2279276402382,530
income,higher,0,living,1327.309417121949,923
income,higher,1,living,1640.9520860258224,685
income,higher,2,living,980.0466940905485,715
income,higher,3,living,513.0652014992933,468
income,higher,4,living,1792.601964412544,777
income,higher,5,living,1668.6563237665923,748
income,higher,6,living,1736.8742205508624,751
income,higher,7,living,1705.6200056170667,736
income,higher,8,living,1899.7711125236385,633
income,higher,0,biodiversity,1022.8122329781995,365
income,higher,1,biodiversity,1736.569565555984,1163
income,higher,2,biodiversity,1289.8332391461927,948
income,higher,3,biodiversity,1859.6488548443042,978
income,higher,4,biodiversity,1866.8209090446749,636
income,higher,5,biodiversity,1720.7246892652465,1017
income,higher,6,biodiversity,1803.2061700196284,1014
income,higher,7,biodiversity,1046.0609297014782,859
income,higher,8,biodiversity,1924.0058999045864,682
income,higher,0,safety,1377.295552334591,532
income,higher,1,safety,1780.3890306348853,425
income,higher,2,safety,1844.6663369445978,432
income,higher,3,safety,1515.0644939877272,458
income,higher,4,safety,1205.7839566509967,561
income,higher,5,safety,1594.405169209331,535
income,higher,6,safety,1698.469705309557,457
income,higher,7,safety,1286.4090817302756,539
income,higher,8,safety,1735.0182201516427,561
movement,yes,0,living,1435.4560683404393,610
movement,yes,1,living,1359.4116609527848,408
movement,yes,2,living,1615.060799878001,536
movement,yes,3,living,1525.00418903337,423
movement,yes,4,living,1683.3259346371324,552
movement,yes,5,living,1712.9082660646545,450
movement,yes,6,living,1836.43258011892,502
movement,yes,7,living,1782.672923520161,600
movement,yes,8,living,829.587752644724,385
movement,yes,0,biodiversity,1141.7875786209695,173
movement,yes,1,biodiversity,1658.0624933385304,818
movement,yes,2,biodiversity,1890.4117768458273,602
movement,yes,3,biodiversity,1511.7295016446524,612
movement,yes,4,biodiversity,1187.47207571452,437
movement,yes,5,biodiversity,1488.5519421312863,580
movement,yes,6,biodiversity,1799.041570694236,564
movement,yes,7,biodiversity,1713.3746182194866,589
movement,yes,8,biodiversity,1610.207369929685,499
movement,yes,0,safety,852.3785799266893,235
movement,yes,1,safety,1803.9887568818376,295
movement,yes,2,safety,1494.495905914469,323
movement,yes,3,safety,1579.6191616583417,375
movement,yes,4,safety,1663.8626021805794,381
movement,yes,5,safety,1615.2313166855117,387
movement,yes,6,safety,1730.4172168418268,282
movement,yes,7,safety,1048.921481649051,315
movement,yes,8,safety,1406.6809026566577,393
movement,no,0,living,1620.6823442505079,2198
movement,no,1,living,1806.8866271674653,1771
movement,no,2,living,888.4962798746715,1913
movement,no,3,living,375.0964346493151,1319
movement,no,4,living,2161.0629430173663,1868
movement,no,5,living,1559.1873616519192,1804
movement,no,6,living,1866.1392176996196,1748
movement,no,7,living,2066.8151050533784,1846
movement,no,8,living,1729.8232219673175,1633
movement,no,0,biodiversity,854.6306213464882,897
movement,no,1,biodiversity,1046.5249306958158,2751
movement,no,2,biodiversity,1654.1042285452904,2304
movement,no,3,biodiversity,1317.5486547248015,2175
movement,no,4,biodiversity,2127.872569865047,1435
movement,no,5,biodiversity,1855.4391021445394,2330
movement,no,6,biodiversity,987.0472295522937,2419
movement,no,7,biodiversity,739.2983007331684,2017
movement,no,8,biodiversity,2016.5808727079875,1684
movement,no,0,safety,1428.983598084156,1121
movement,no,1,safety,1812.5274912297389,977
movement,no,2,safety,2048.019759633109,1013
movement,no,3,safety,1494.664443610941,1161
movement,no,4,safety,791.8343212661495,1298
movement,no,5,safety,1750.555412010036,1333
movement,no,6,safety,751.6430864630915,1092
movement,no,7,safety,427.72724669938594,1251
movement,no,8,safety,1670.3389093238313,1338
dog,yes,0,living,1631.4503529719796,1046
dog,yes,1,living,1577.366278363977,730
dog,yes,2,living,1886.301277919086,901
dog,yes,3,living,1410.5681824088467,596
dog,yes,4,living,731.2995750403833,833
dog,yes,5,living,1805.281213710442,819
dog,yes,6,living,1854.0962689294322,757
dog,yes,7,living,1764.593123347202,916
dog,yes,8,living,1908.0401090002672,786
dog,yes,0,biodiversity,1210.122244900362,397
dog,yes,1,biodiversity,1725.9695092419392,1315
dog,yes,2,biodiversity,1786.340462862057,1037
dog,yes,3,biodiversity,1324.7517885163247,975
dog,yes,4,biodiversity,1920.1547143349694,616
dog,yes,5,biodiversity,2008.3038953876967,985
dog,yes,6,biodiversity,1351.4995956296266,1051
dog,yes,7,biodiversity,745.8697160764648,862
dog,yes,8,biodiversity,1669.121308115164,806
dog,yes,0,safety,1659.550704917313,533
dog,yes,1,safety,1836.494044729118,417
dog,yes,2,safety,1585.104642924997,516
dog,yes,3,safety,1715.8064048582164,538
dog,yes,4,safety,1689.9468626284643,592
dog,yes,5,safety,1626.2181878558758,642
dog,yes,6,safety,1131.9001534706913,476
dog,yes,7,safety,802.4459545551692,553
dog,yes,8,safety,919.9138283662193,593
dog,no,0,living,1818.6270510695615,1804
dog,no,1,living,1865.3427630036074,1471
dog,no,2,living,525.4837444773776,1596
dog,no,3,living,449.34716971403117,1179
dog,no,4,living,2246.7094818441687,1623
dog,no,5,living,1292.4098702462902,1461
dog,no,6,living,1889.4976439794793,1532
dog,no,7,living,1722.5272136522685,1567
dog,no,8,living,842.0767541745802,1257
dog,no,0,biodiversity,435.88713515919983,692
dog,no,1,biodiversity,1659.09394404471,2307
