demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2038.1803895030607,2811
global,global,1,living,825.1002369616223,2291
global,global,2,living,2252.0003778217665,2111
global,global,3,living,516.7469996085106,2206
global,global,4,living,1799.424462289068,2028
global,global,5,living,1077.298956446529,2406
global,global,6,living,424.2189122278784,2905
global,global,7,living,2139.204502221059,2483
global,global,8,living,2001.5363751306083,3339
global,global,0,biodiversity,2157.033644487128,1302
global,global,1,biodiversity,1800.7977985772925,2227
global,global,2,biodiversity,598.0787797641732,2142
global,global,3,biodiversity,818.9457526575823,2317
global,global,4,biodiversity,1899.8513127923277,1327
global,global,5,biodiversity,587.3852279565938,1582
global,global,6,biodiversity,793.2145363935963,2227
global,global,7,biodiversity,1715.3813480529548,2125
global,global,8,biodiversity,2011.499231871674,2305
global,global,0,safety,1830.7508604444388,2750
global,global,1,safety,-22.247455782086462,2221
global,global,2,safety,1675.3156999268638,2027
global,global,3,safety,2204.346467320679,2617
global,global,4,safety,652.2971604198149,2992
global,global,5,safety,2133.5744439434957,2549
global,global,6,safety,2334.0457918763814,2009
global,global,7,safety,2048.967352963854,2755
global,global,8,safety,1991.7065808802456,3246
gender,man,0,living,2064.402237930493,1401
gender,man,1,living,1572.548109969054,1253
gender,man,2,living,1519.277385661417,1135
gender,man,3,living,1782.6588040010151,1235
gender,man,4,living,1895.1107482074035,981
gender,man,5,living,745.3095898108992,1230
gender,man,6,living,1826.0001648586035,1471
gender,man,7,living,1992.6407801690357,1357
gender,man,8,living,1475.5971930283624,1745
gender,man,0,biodiversity,1989.305383064083,624
gender,man,1,biodiversity,1686.2624157294954,1103
gender,man,2,biodiversity,982.5982180119966,1053
gender,man,3,biodiversity,922.9487489527789,1196
gender,man,4,biodiversity,1726.3941583619808,644
gender,man,5,biodiversity,882.5840087946831,781
gender,man,6,biodiversity,1535.2271666323381,1145
gender,man,7,biodiversity,1585.6286525649762,1157
gender,man,8,biodiversity,1858.734914479079,1141
gender,man,0,safety,1517.2329096349588,1416
gender,man,1,safety,229.3831302102752,1111
gender,man,2,safety,924.0320538656822,971
