demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,903.6161608002409,2507
global,global,1,living,2236.1514018370535,1756
global,global,2,living,1409.7112293379514,2799
global,global,3,living,1920.9253079964667,2694
global,global,4,living,2266.864567503355,1932
global,global,5,living,1501.1973289859352,2973
global,global,6,living,2037.8247596128635,2464
global,global,7,living,1052.5987325740416,2896
global,global,8,living,828.6028984313782,2121
global,global,0,biodiversity,1979.7738088455121,2566
global,global,1,biodiversity,579.9458523048681,2691
global,global,2,biodiversity,-205.9442134963167,2055
global,global,3,biodiversity,1939.4536443010945,2987
global,global,4,biodiversity,1271.6020123639273,1868
global,global,5,biodiversity,2348.425447164777,1760
global,global,6,biodiversity,1409.1860016454746,2269
global,global,7,biodiversity,1856.0962467124561,2481
global,global,8,biodiversity,2057.659193781468,2131
global,global,0,safety,2306.056250541856,1767
global,global,1,safety,1374.476025268125,2214
global,global,2,safety,-123.30270608065513,2011
global,global,3,safety,1466.5018682083046,2483
global,global,4,safety,1805.5754859294327,2318
global,global,5,safety,1723.4268448134064,1997
global,global,6,safety,1570.626299653112,2664
global,global,7,safety,2097.37923532793,2311
global,global,8,safety,984.6396903013612,2585
gender,man,0,living,-259.1071470223826,1237
gender,man,1,living,1742.4895664648802,940
gender,man,2,living,1876.8424089656608,1443
gender,man,3,living,1836.9817164417018,1356
gender,man,4,living,1851.755823889439,1011
gender,man,5,living,828.2843844926101,1510
gender,man,6,living,2048.178776896559,1244
gender,man,7,living,1246.5001347626885,1447
gender,man,8,living,1341.3904180595898,1102
gender,man,0,biodiversity,2049.2031329271726,1273
gender,man,1,biodiversity,1479.0186680999504,1462
gender,man,2,biodiversity,1345.8144476620025,1088
gender,man,3,biodiversity,1369.0096526378304,1600
gender,man,4,biodiversity,1795.065645501747,995
gender,man,5,biodiversity,1922.9509506338352,853
gender,man,6,biodiversity,1157.6391534143836,1161
gender,man,7,biodiversity,1773.9261376604036,1242
gender,man,8,biodiversity,1582.4745210622573,1090
gender,man,0,safety,2119.497876201799,883
gender,man,1,safety,1461.7329552810966,1163
gender,man,2,safety,985.3146631795687,1078
gender,man,3,safety,1017.7643049857045,1258
gender,man,4,safety,1414.7547124039215,1167
gender,man,5,safety,1561.3325633236523,1039
gender,man,6,safety,1805.0902030465227,1326
gender,man,7,safety,1896.0467754368033,1170
gender,man,8,safety,1706.712882927723,1286
gender,woman,0,living,1681.847168317471,1024
gender,woman,1,living,1839.1455743205117,703
gender,woman,2,living,922.6236766239219,1085
gender,woman,3,living,1053.6738969038677,1079
gender,woman,4,living,2008.0154656902428,793
gender,woman,5,living,1869.9469581125468,1180
gender,woman,6,living,1423.7139422921264,1014
gender,woman,7,living,974.866353490733,1144
gender,woman,8,living,876.9225580661708,918
gender,woman,0,biodiversity,1165.4792961607873,1094
gender,woman,1,biodiversity,1360.5349394428608,1075
gender,woman,2,biodiversity,911.3506701695411,825
gender,woman,3,biodiversity,1980.4270886569175,1167
gender,woman,4,biodiversity,1096.0610367632955,724
gender,woman,5,biodiversity,1791.447487067196,760
gender,woman,6,biodiversity,1884.7469792665418,902
gender,woman,7,biodiversity,1900.4741163471988,998
gender,woman,8,biodiversity,1656.7211938112505,877
gender,woman,0,safety,1733.4950324488827,710
gender,woman,1,safety,1573.5295381997964,832
gender,woman,2,safety,1017.0385000838891,826
gender,woman,3,safety,1884.5143918783424,970
gender,woman,4,safety,1914.156421270454,915
gender,woman,5,safety,1669.7419625911311,723
gender,woman,6,safety,793.8083216048238,1068
gender,woman,7,safety,1861.2332944820082,971
gender,woman,8,safety,735.310152101997,1091
gender,other,0,living,1512.9347526872416,17
gender,other,1,living,1438.6600349812993,7
gender,other,2,living,1567.7230569046023,15
gender,other,3,living,1534.2860716258747,7
gender,other,4,living,1499.0930815023783,18
gender,other,5,living,1453.2659280752705,18
gender,other,6,living,1468.4716640302743,11
gender,other,7,living,1545.6404683751623,16
gender,other,8,living,1487.2152707433568,13
gender,other,0,biodiversity,1548.0648198348463,8
gender,other,1,biodiversity,1451.7457442124037,8
gender,other,2,biodiversity,1512.0717042613053,5
gender,other,3,biodiversity,1504.568375569343,16
gender,other,4,biodiversity,1421.4739944675591,12
gender,other,5,biodiversity,1524.8663840929457,12
gender,other,6,biodiversity,1464.0625853487288,17
gender,other,7,biodiversity,1500.7885443485047,14
gender,other,8,biodiversity,1565.640427245489,10
gender,other,0,safety,1425.632073692758,14
gender,other,1,safety,1490.6289767016494,13
gender,other,2,safety,1547.9998532647846,6
gender,other,3,safety,1535.8464104158336,11
gender,other,4,safety,1463.6628585075694,19
gender,other,5,safety,1559.9469640090629,9
gender,other,6,safety,1453.9913437782816,10
gender,other,7,safety,1497.4806688421513,18
gender,other,8,safety,1523.677403378243,14
age,younger,0,living,549.9367779817854,627
age,younger,1,living,1689.75233301998,522
age,younger,2,living,1515.2576512345083,776
age,younger,3,living,1458.9771671776064,718
age,younger,4,living,1799.806167352299,569
age,younger,5,living,1762.738375924977,822
age,younger,6,living,1867.367457395923,642
age,younger,7,living,1651.3283149406716,819
age,younger,8,living,1580.3610466082623,637
age,younger,0,biodiversity,1722.708255064443,732
age,younger,1,biodiversity,810.1446835063967,787
age,younger,2,biodiversity,1053.5360918046076,632
age,younger,3,biodiversity,1714.2457903988156,834
age,younger,4,biodiversity,1393.1014049349033,576
age,younger,5,biodiversity,1826.0225977512398,438
age,younger,6,biodiversity,1676.6321815304352,689
age,younger,7,biodiversity,1275.206932135637,677
age,younger,8,biodiversity,1883.7879392340358,597
age,younger,0,safety,1903.3380012959472,546
age,younger,1,safety,986.0579878857025,617
age,younger,2,safety,1545.7122658655321,583
age,younger,3,safety,1020.5516047836679,648
age,younger,4,safety,1654.0676694460371,597
age,younger,5,safety,1717.9285593610152,536
age,younger,6,safety,1350.4680243118626,705
age,younger,7,safety,1740.8432001177493,720
age,younger,8,safety,1809.3324868067104,736
age,middle,0,living,1143.5915584525583,1063
age,middle,1,living,1970.7258642249794,743
age,middle,2,living,1211.6325228409492,1187
age,middle,3,living,1869.7459076565417,1197
age,middle,4,living,1788.3171580699147,825
age,middle,5,living,353.8747440898448,1213
age,middle,6,living,1635.816590740346,1070
age,middle,7,living,1940.2420849931693,1203
age,middle,8,living,1728.5039634402237,987
age,middle,0,biodiversity,1802.571788513659,1094
age,middle,1,biodiversity,1405.8016321849107,1141
age,middle,2,biodiversity,549.8360874916381,848
age,middle,3,biodiversity,1568.320410455127,1259
age,middle,4,biodiversity,1441.5212439703887,771
age,middle,5,biodiversity,1720.8784018626234,782
age,middle,6,biodiversity,1609.569378669046,917
age,middle,7,biodiversity,2088.63710930566,1017
age,middle,8,biodiversity,1197.513817684101,879
age,middle,0,safety,1905.6730066539212,673
age,middle,1,safety,1471.400821468245,932
age,middle,2,safety,890.0615217182399,871
age,middle,3,safety,1727.6843594832849,1041
age,middle,4,safety,1191.8475007725015,987
age,middle,5,safety,1653.796542883754,804
age,middle,6,safety,1625.2032497312453,1150
age,middle,7,safety,1939.4052942840449,989
age,middle,8,safety,1068.9130970405856,1105
age,older,0,living,1698.6150427530415,584
age,older,1,living,1820.5225923744076,380
age,older,2,living,1639.0163032292614,573
age,older,3,living,1039.0527527761174,513
age,older,4,living,1739.987993513351,430
age,older,5,living,1776.9748323046838,653
age,older,6,living,1515.4654763200426,556
age,older,7,living,1393.477552590787,578
