demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,129.0006935653785,1885
global,global,1,living,1115.3918874993258,2595
global,global,2,living,1219.517067794928,2121
global,global,3,living,2086.1435294426738,2138
global,global,4,living,2146.733965518879,2429
global,global,5,living,1493.378975835396,1618
global,global,6,living,2302.770446313156,2225
global,global,7,living,1882.2570307762567,2207
global,global,8,living,2043.5887574410983,2464
global,global,0,biodiversity,2133.0507149779287,2527
global,global,1,biodiversity,1141.1352857576787,2770
global,global,2,biodiversity,1329.915878500772,2934
global,global,3,biodiversity,352.25924340613,2752
global,global,4,biodiversity,1456.801911103248,2283
global,global,5,biodiversity,2354.5847028540666,2546
global,global,6,biodiversity,1553.9400383579652,2908
global,global,7,biodiversity,2248.8748920733447,2489
global,global,8,biodiversity,1906.0568025162338,2439
global,global,0,safety,2066.411128726581,2399
global,global,1,safety,1724.9881207100811,2545
global,global,2,safety,2245.0575302484544,1552
global,global,3,safety,572.1178560825009,2205
global,global,4,safety,873.3733433706215,2269
global,global,5,safety,-390.37010069882746,1975
global,global,6,safety,1869.9517733759185,2373
global,global,7,safety,1752.1815125371572,1980
global,global,8,safety,1428.6854586061072,2672
gender,man,0,living,-177.5177675130557,966
gender,man,1,living,1436.1245432333217,1335
gender,man,2,living,1904.9250787434678,1056
gender,man,3,living,1677.6056672392515,1069
gender,man,4,living,1760.8731009512721,1239
gender,man,5,living,1652.481030124213,908
gender,man,6,living,1956.6935975696856,1112
gender,man,7,living,1804.2169873184555,1111
gender,man,8,living,1867.917794323816,1264
gender,man,0,biodiversity,1918.4736423583497,1308
gender,man,1,biodiversity,-135.60822995668713,1422
gender,man,2,biodiversity,896.0318276528513,1488
gender,man,3,biodiversity,-61.03243273789576,1455
gender,man,4,biodiversity,1841.5038948195697,1107
gender,man,5,biodiversity,2085.4619434880146,1312
gender,man,6,biodiversity,1422.3043460749448,1425
gender,man,7,biodiversity,1788.9159992395387,1304
gender,man,8,biodiversity,1318.7857993131129,1191
gender,man,0,safety,1661.7815485842232,1231
gender,man,1,safety,1769.6651706503862,1319
gender,man,2,safety,2081.244500360432,856
gender,man,3,safety,1186.2022970732557,1075
gender,man,4,safety,1284.4818513369796,1143
gender,man,5,safety,278.5357087945957,1023
gender,man,6,safety,1734.2978229368862,1240
gender,man,7,safety,1837.8136485482808,1016
gender,man,8,safety,1427.0771130536975,1449
gender,woman,0,living,1910.6127671137235,775
gender,woman,1,living,1206.6453841801606,1042
gender,woman,2,living,872.0762292485172,885
gender,woman,3,living,1750.9172185422442,830
gender,woman,4,living,1823.105794415603,920
gender,woman,5,living,929.329172708265,592
gender,woman,6,living,1884.0550373408682,903
gender,woman,7,living,1672.2094103321162,894
gender,woman,8,living,1463.1359609927695,1019
gender,woman,0,biodiversity,1870.9160850555952,987
gender,woman,1,biodiversity,1722.7223249659717,1070
gender,woman,2,biodiversity,1101.1773248147952,1220
gender,woman,3,biodiversity,1780.911447255644,1127
gender,woman,4,biodiversity,1202.9296193590171,972
gender,woman,5,biodiversity,1343.9793878038504,1080
gender,woman,6,biodiversity,1989.2331726363755,1172
gender,woman,7,biodiversity,1587.4043539289555,972
gender,woman,8,biodiversity,1670.394268397605,1040
gender,woman,0,safety,2034.7215406450084,927
gender,woman,1,safety,1408.7070396289646,1009
gender,woman,2,safety,1838.3120131335288,584
gender,woman,3,safety,1292.7349683391885,981
gender,woman,4,safety,1361.7573624861,923
gender,woman,5,safety,1206.2717068750717,853
gender,woman,6,safety,1529.2340121173222,927
gender,woman,7,safety,1322.9900998091225,753
gender,woman,8,safety,1679.5060208766026,1011
gender,other,0,living,1465.322810610765,9
gender,other,1,living,1501.58448040957,12
gender,other,2,living,1537.325687036222,19
gender,other,3,living,1559.9303484500729,15
gender,other,4,living,1424.8686026806508,10
gender,other,5,living,1514.0660356814003,17
gender,other,6,living,1485.7036442864478,15
gender,other,7,living,1452.415630301343,12
gender,other,8,living,1556.4524139599196,7
gender,other,0,biodiversity,1441.2832729792603,13
gender,other,1,biodiversity,1559.172385326556,5
gender,other,2,biodiversity,1547.997635749261,8
gender,other,3,biodiversity,1500.0163148690353,12
gender,other,4,biodiversity,1476.5304315791502,16
gender,other,5,biodiversity,1488.858210865385,13
gender,other,6,biodiversity,1523.9291836783918,8
gender,other,7,biodiversity,1453.2658458170015,8
gender,other,8,biodiversity,1510.777266346842,13
gender,other,0,safety,1487.487013910446,17
gender,other,1,safety,1466.2231748742506,17
gender,other,2,safety,1442.069504408731,15
gender,other,3,safety,1550.425257967901,12
gender,other,4,safety,1510.1644052276852,17
gender,other,5,safety,1476.9181824800332,20
gender,other,6,safety,1578.7680888269952,11
gender,other,7,safety,1534.6017738061464,9
gender,other,8,safety,1452.9260060672711,8
age,younger,0,living,943.60301082835,526
age,younger,1,living,1892.186006066125,704
age,younger,2,living,1629.6858184501061,612
age,younger,3,living,1467.1025760146756,631
age,younger,4,living,1564.2640436448125,625
age,younger,5,living,1484.7547324680404,505
age,younger,6,living,1810.6558113895146,621
age,younger,7,living,1364.801272379659,649
age,younger,8,living,1861.5009111927172,675
