demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1754.629998844672,2636
global,global,1,living,745.6443259764488,2602
global,global,2,living,1221.7056733694471,2775
global,global,3,living,2199.0017537520985,2061
global,global,4,living,1995.157952555755,2856
global,global,5,living,934.1518714021546,2256
global,global,6,living,1677.0155237102356,2761
global,global,7,living,2315.8239998082186,1766
global,global,8,living,-663.9482916684468,2285
global,global,0,biodiversity,2242.0830220825396,1373
global,global,1,biodiversity,1161.122824396233,2158
global,global,2,biodiversity,852.6698239919573,2254
global,global,3,biodiversity,1671.9852645954882,2254
global,global,4,biodiversity,1896.0755074436033,2191
global,global,5,biodiversity,653.2572996378021,1854
global,global,6,biodiversity,1492.296618799868,2431
global,global,7,biodiversity,703.7065110273041,2093
global,global,8,biodiversity,1763.2953334891931,2014
global,global,0,safety,1289.7964187178645,3026
global,global,1,safety,1530.1101258823542,3156
global,global,2,safety,1600.9618255910398,2612
global,global,3,safety,919.0201859585824,2423
global,global,4,safety,1357.2000718784695,2412
global,global,5,safety,2255.880195172363,2428
global,global,6,safety,1815.1370006581908,1840
global,global,7,safety,2154.1633009036696,2197
global,global,8,safety,1431.3110825935612,2586
gender,man,0,living,1927.4970526229092,1402
gender,man,1,living,1427.0980468437783,1382
gender,man,2,living,1301.731858452095,1378
gender,man,3,living,2027.3019037310694,1062
gender,man,4,living,1991.307852228027,1420
gender,man,5,living,1722.6712773683093,1144
gender,man,6,living,1777.7472823468256,1406
gender,man,7,living,1823.9859064480888,1000
gender,man,8,living,495.45661868598864,1240
gender,man,0,biodiversity,2037.1595596291806,718
gender,man,1,biodiversity,1747.245803072811,1131
gender,man,2,biodiversity,1671.2360190976283,1218
gender,man,3,biodiversity,1121.7705100534658,1148
gender,man,4,biodiversity,1905.5841554061994,1130
gender,man,5,biodiversity,839.6222765125518,907
gender,man,6,biodiversity,1580.8061528610463,1231
gender,man,7,biodiversity,1045.2333460094756,1050
gender,man,8,biodiversity,1831.1709616990938,1061
gender,man,0,safety,1559.5110274371052,1521
gender,man,1,safety,1454.4509388903373,1581
gender,man,2,safety,252.16782825276695,1279
gender,man,3,safety,557.6394627758999,1223
gender,man,4,safety,1989.8468316058693,1305
gender,man,5,safety,1300.4796799576834,1256
gender,man,6,safety,1855.469304532084,864
gender,man,7,safety,2016.2220297916804,1059
gender,man,8,safety,1585.9375867722702,1308
gender,woman,0,living,1768.0622050498723,1035
gender,woman,1,living,1324.112689434368,1087
gender,woman,2,living,475.29711377190733,1134
gender,woman,3,living,1689.3206332628406,833
gender,woman,4,living,1905.0791244960742,1203
gender,woman,5,living,1017.3571049317267,884
gender,woman,6,living,884.2741230295802,1110
gender,woman,7,living,1967.6862849571814,647
gender,woman,8,living,1589.1837277797192,923
gender,woman,0,biodiversity,1973.7892832547432,562
