demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1515.6760454951325,2053
global,global,1,living,2152.3998729045497,1547
global,global,2,living,876.9676533038667,2328
global,global,3,living,1385.4096125952824,2242
global,global,4,living,1259.9820896538547,1992
global,global,5,living,2225.0182759656373,2180
global,global,6,living,-125.57259126298746,2027
global,global,7,living,943.6172620272091,1562
global,global,8,living,1799.2818149059237,1701
global,global,0,biodiversity,1790.2843645473288,2191
global,global,1,biodiversity,402.1241213401228,2293
global,global,2,biodiversity,876.5380994673367,2876
global,global,3,biodiversity,2074.6894735156125,2575
global,global,4,biodiversity,2171.046490581836,2415
global,global,5,biodiversity,1838.1194907849876,2785
global,global,6,biodiversity,2235.765096178373,1760
global,global,7,biodiversity,1433.6818916072327,3107
global,global,8,biodiversity,655.9226439536603,2430
global,global,0,safety,1989.9090564222465,2580
global,global,1,safety,1795.767058536293,3170
global,global,2,safety,2000.4532307828815,3260
global,global,3,safety,1640.051541390783,3293
global,global,4,safety,803.7190775067111,1321
global,global,5,safety,2413.8038585770632,2245
global,global,6,safety,1053.2949266022833,2165
global,global,7,safety,1385.90056429334,2690
global,global,8,safety,2075.656979630496,2512
gender,man,0,living,1162.1970706364862,1001
gender,man,1,living,1950.5778890282263,756
gender,man,2,living,728.3177619415935,1214
gender,man,3,living,1680.2477020353383,1105
gender,man,4,living,-69.46210051955178,983
gender,man,5,living,1888.9139686994406,1102
gender,man,6,living,1069.3653481340298,1020
gender,man,7,living,859.415651398388,835
gender,man,8,living,1567.3229535427747,892
gender,man,0,biodiversity,2031.8564928653823,1102
gender,man,1,biodiversity,908.1938473968,1258
gender,man,2,biodiversity,1146.2653733889256,1455
gender,man,3,biodiversity,1319.546012785006,1383
gender,man,4,biodiversity,1957.8988100502768,1234
gender,man,5,biodiversity,1539.5376939124558,1481
gender,man,6,biodiversity,1912.2005236102113,880
gender,man,7,biodiversity,1680.3143914475584,1633
gender,man,8,biodiversity,1502.0808124805492,1206
gender,man,0,safety,1973.2961541182067,1241
gender,man,1,safety,1893.7999757439716,1547
gender,man,2,safety,1916.0707679510024,1711
gender,man,3,safety,1561.4110836290024,1728
gender,man,4,safety,1366.0192260074464,752
gender,man,5,safety,2036.8966275575342,1099
gender,man,6,safety,172.683674222649,1105
gender,man,7,safety,1329.5751898669714,1437
gender,man,8,safety,1574.7222029707875,1264
gender,woman,0,living,1666.7491011524364,827
gender,woman,1,living,1530.492560044977,641
gender,woman,2,living,1835.6877675276821,970
gender,woman,3,living,730.7372720071845,946
gender,woman,4,living,1730.8742192447296,740
gender,woman,5,living,1879.0618584325355,845
gender,woman,6,living,1068.8204224161807,885
gender,woman,7,living,936.7895054870686,606
gender,woman,8,living,1852.9752750892658,646
gender,woman,0,biodiversity,650.8108378711111,834
gender,woman,1,biodiversity,925.1233965431984,888
gender,woman,2,biodiversity,1426.1634385309667,1194
gender,woman,3,biodiversity,2041.7923157541825,1006
gender,woman,4,biodiversity,1317.8926950658006,971
gender,woman,5,biodiversity,1823.5407479951373,1093
gender,woman,6,biodiversity,1986.1982932092321,670
gender,woman,7,biodiversity,1795.1343906835343,1287
gender,woman,8,biodiversity,1013.7525834341011,1023
gender,woman,0,safety,1374.2061125207902,1052
gender,woman,1,safety,1344.6827770374252,1356
gender,woman,2,safety,1814.3693293044444,1218
gender,woman,3,safety,1778.135965337897,1354
gender,woman,4,safety,1133.949609832157,506
gender,woman,5,safety,1844.0322494928444,963
gender,woman,6,safety,1893.3634889375915,882
gender,woman,7,safety,2020.253111293015,1034
gender,woman,8,safety,1208.7142472129447,1031
gender,other,0,living,1523.1667580963654,14
gender,other,1,living,1499.9725443750253,10
gender,other,2,living,1511.6184301856017,11
gender,other,3,living,1464.0010566588671,5
gender,other,4,living,1408.7369582703905,17
gender,other,5,living,1548.6769465296181,12
gender,other,6,living,1488.000987282082,7
gender,other,7,living,1567.562775010163,6
gender,other,8,living,1476.0010213815967,8
gender,other,0,biodiversity,1430.8436344552701,16
gender,other,1,biodiversity,1489.3494737944768,25
gender,other,2,biodiversity,1550.0062537889348,14
gender,other,3,biodiversity,1465.4604053693884,7
gender,other,4,biodiversity,1526.5402322104696,10
gender,other,5,biodiversity,1479.6078260855777,16
gender,other,6,biodiversity,1499.8568994434102,16
gender,other,7,biodiversity,1512.8645493237618,15
gender,other,8,biodiversity,1560.084193560089,9
gender,other,0,safety,1511.6913054090785,13
gender,other,1,safety,1452.880128324464,14
gender,other,2,safety,1490.0629074880349,17
gender,other,3,safety,1534.9013817799005,13
gender,other,4,safety,1546.7095950192568,14
gender,other,5,safety,1425.5194440932787,6
gender,other,6,safety,1499.7835549908873,18
gender,other,7,safety,1571.9569191179673,8
gender,other,8,safety,1465.149999124612,17
age,younger,0,living,1552.508773369915,576
age,younger,1,living,1814.5833330731614,446
age,younger,2,living,1413.9904525544202,706
age,younger,3,living,1475.815839735728,639
age,younger,4,living,-201.5631315485678,521
age,younger,5,living,1930.8479411990488,614
age,younger,6,living,759.5729114200145,515
age,younger,7,living,1275.5699581628542,477
age,younger,8,living,1135.828332480812,490
age,younger,0,biodiversity,1321.849933287323,583
age,younger,1,biodiversity,1375.7647915608443,691
age,younger,2,biodiversity,1720.1069481714233,845
age,younger,3,biodiversity,1580.4045051455914,689
age,younger,4,biodiversity,1192.4129117704272,681
age,younger,5,biodiversity,1293.7181836452487,848
age,younger,6,biodiversity,1809.9751234828418,530
age,younger,7,biodiversity,1914.2208357593029,865
age,younger,8,biodiversity,1893.6883756200623,656
age,younger,0,safety,995.633426334736,748
age,younger,1,safety,1920.247860635507,807
age,younger,2,safety,1594.0389967148117,889
age,younger,3,safety,1237.8330651902945,911
age,younger,4,safety,1283.345264912308,377
age,younger,5,safety,1906.3882858448455,668
age,younger,6,safety,1496.3176123179517,614
age,younger,7,safety,1759.8727350849267,684
age,younger,8,safety,435.45170249030815,712
age,middle,0,living,1289.865254833764,861
age,middle,1,living,1875.0508259738885,646
age,middle,2,living,1240.6309810468067,1020
age,middle,3,living,1275.5198663178853,928
age,middle,4,living,1711.2392629074725,835
age,middle,5,living,1471.2741042616285,917
age,middle,6,living,1395.611758628153,909
age,middle,7,living,750.4887591735508,647
age,middle,8,living,1915.9460134541366,681
age,middle,0,biodiversity,1283.017320063498,902
age,middle,1,biodiversity,280.7068338463495,942
age,middle,2,biodiversity,1564.8646250203058,1252
age,middle,3,biodiversity,1781.198041251455,1142
age,middle,4,biodiversity,1866.9789406006835,947
age,middle,5,biodiversity,1755.3618183857677,1154
age,middle,6,biodiversity,1939.8772861508191,623
age,middle,7,biodiversity,1220.831347745413,1375
age,middle,8,biodiversity,1151.4158831029804,1051
age,middle,0,safety,1980.9970232783023,1044
age,middle,1,safety,1448.2328565219166,1368
age,middle,2,safety,1941.9617714044848,1330
age,middle,3,safety,1284.2961283009292,1435
age,middle,4,safety,1116.5225771980251,591
age,middle,5,safety,1895.7286779022236,947
age,middle,6,safety,1494.6794507197437,949
age,middle,7,safety,1425.7036207146487,1212
age,middle,8,safety,1861.8802519982653,1040
age,older,0,living,1746.7729556446159,403
age,older,1,living,1074.2257165618837,312
age,older,2,living,1651.416921989867,458
age,older,3,living,1707.7855198346597,492
age,older,4,living,1297.8579439893551,369
age,older,5,living,1585.487815546451,425
age,older,6,living,1676.7489818767197,482
age,older,7,living,1209.0441424901153,312
age,older,8,living,1775.4648225838462,375
age,older,0,biodiversity,1585.926187497288,464
age,older,1,biodiversity,1709.042622773637,534
age,older,2,biodiversity,1387.7305645171484,555
age,older,3,biodiversity,1658.0422899895595,558
age,older,4,biodiversity,1637.8030926750396,583
age,older,5,biodiversity,1825.0593233127317,579
age,older,6,biodiversity,1516.1111500072786,413
age,older,7,biodiversity,1872.8746469818227,682
age,older,8,biodiversity,942.3028634452787,524
age,older,0,safety,1826.7805747474977,506
age,older,1,safety,1637.6535798362374,731
age,older,2,safety,967.7302671646931,719
