demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1577.4830137554322,2569
global,global,1,living,2258.6666528182723,2569
global,global,2,living,912.6540142504797,2661
global,global,3,living,997.9457863776468,3075
global,global,4,living,2383.7326842655248,3221
global,global,5,living,2086.055622758065,2794
global,global,6,living,1280.64194131432,2422
global,global,7,living,2321.732531819848,2637
global,global,8,living,2427.8884847502973,3166
global,global,0,biodiversity,1029.32867605292,2000
global,global,1,biodiversity,1697.4196417499356,2134
global,global,2,biodiversity,1342.5030489530839,1893
global,global,3,biodiversity,1505.166357300485,2585
global,global,4,biodiversity,2155.304550534572,1974
global,global,5,biodiversity,2193.7938677022003,2160
global,global,6,biodiversity,1761.1995244923987,1756
global,global,7,biodiversity,289.9949380316853,1542
global,global,8,biodiversity,662.9575817612891,1090
global,global,0,safety,1647.074989043176,2400
global,global,1,safety,1977.6737710382345,2312
global,global,2,safety,594.6436968693876,2593
global,global,3,safety,1388.50078907804,2975
global,global,4,safety,318.2866032514555,2419
global,global,5,safety,1294.3203598547275,2456
global,global,6,safety,1601.142395045697,2337
global,global,7,safety,2157.6584259145307,1003
global,global,8,safety,1711.9900804868764,2557
gender,man,0,living,613.7834943491401,1276
gender,man,1,living,1943.50925810055,1312
gender,man,2,living,1025.4462576886124,1403
gender,man,3,living,1782.8242520021709,1515
gender,man,4,living,1099.52408853561,1643
gender,man,5,living,1171.763653105873,1452
gender,man,6,living,1468.0068820601377,1287
gender,man,7,living,1906.577108500928,1267
gender,man,8,living,2095.712972791641,1623
gender,man,0,biodiversity,635.5611000003848,1001
gender,man,1,biodiversity,1814.615480587671,1045
gender,man,2,biodiversity,1888.547838005801,906
gender,man,3,biodiversity,1619.7199168765328,1342
gender,man,4,biodiversity,2044.1431209365571,993
gender,man,5,biodiversity,1777.842452389699,1078
gender,man,6,biodiversity,1538.084661797076,949
gender,man,7,biodiversity,1400.3210353148365,833
gender,man,8,biodiversity,1206.8317521762472,591
gender,man,0,safety,1271.6449567744812,1218
gender,man,1,safety,1758.3738688789779,1198
gender,man,2,safety,1869.348559675119,1466
gender,man,3,safety,1458.514729806967,1524
gender,man,4,safety,1793.973100364216,1212
gender,man,5,safety,1911.666399055631,1298
gender,man,6,safety,1014.758113664892,1115
gender,man,7,safety,1844.620739843089,576
gender,man,8,safety,1804.6985154632196,1301
gender,woman,0,living,1998.6504933293631,1048
gender,woman,1,living,1607.0607071033903,998
gender,woman,2,living,1405.5921346453274,1049
gender,woman,3,living,1451.438799592794,1256
gender,woman,4,living,1944.1327582994263,1312
gender,woman,5,living,1887.4768823465404,1095
gender,woman,6,living,1500.9073429975883,968
gender,woman,7,living,1911.5342867069428,1104
gender,woman,8,living,1424.7415109777073,1278
gender,woman,0,biodiversity,1588.6243647027122,856
gender,woman,1,biodiversity,1285.7884782683532,872
gender,woman,2,biodiversity,1374.3744784403923,806
gender,woman,3,biodiversity,1383.4674660894445,1036
gender,woman,4,biodiversity,1923.8358268252812,744
gender,woman,5,biodiversity,1679.1775544062295,879
gender,woman,6,biodiversity,1961.2105678273956,689
gender,woman,7,biodiversity,593.8690093659663,628
gender,woman,8,biodiversity,1137.4698879919256,434
gender,woman,0,safety,1756.4370072535944,952
gender,woman,1,safety,1859.8927833352755,885
gender,woman,2,safety,-463.10421517428875,973
gender,woman,3,safety,1449.1385956775043,1239
gender,woman,4,safety,959.7084497561589,1010
gender,woman,5,safety,1072.3707818033865,998
gender,woman,6,safety,1629.7979648002415,927
gender,woman,7,safety,1940.233588451556,410
gender,woman,8,safety,1412.385962396406,1022
gender,other,0,living,1514.4901110071403,17
gender,other,1,living,1557.4215076628561,15
gender,other,2,living,1500.35052956181,10
gender,other,3,living,1476.355065961266,14
gender,other,4,living,1428.0633000933617,10
gender,other,5,living,1446.8082833093501,12
gender,other,6,living,1463.445000229532,17
gender,other,7,living,1571.0441153758275,10
gender,other,8,living,1534.857067912775,15
gender,other,0,biodiversity,1551.0928524852254,16
gender,other,1,biodiversity,1438.352606594792,5
gender,other,2,biodiversity,1452.0390713549018,8
gender,other,3,biodiversity,1558.80802647308,17
gender,other,4,biodiversity,1514.5499665717184,11
gender,other,5,biodiversity,1526.5842924852523,16
gender,other,6,biodiversity,1474.9078357684539,12
gender,other,7,biodiversity,1488.8211698875034,9
gender,other,8,biodiversity,1500.0918196760952,10
gender,other,0,safety,1558.5149581195324,11
gender,other,1,safety,1487.5007998005387,15
