demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1055.782772161583,2476
global,global,1,living,2307.448597322815,1875
global,global,2,living,2206.631173705734,2680
global,global,3,living,1626.8582845113679,2867
global,global,4,living,1939.9079526556927,2482
global,global,5,living,4.199713049616204,2692
global,global,6,living,2119.095539280548,2444
global,global,7,living,947.9125211692775,1917
global,global,8,living,72.1221553525803,1703
global,global,0,biodiversity,2171.891922286027,2282
global,global,1,biodiversity,1274.8038442390202,2137
global,global,2,biodiversity,760.5746549997783,2411
global,global,3,biodiversity,1599.6470669877883,2498
global,global,4,biodiversity,1943.4764627982127,2355
global,global,5,biodiversity,2062.927986304417,2356
global,global,6,biodiversity,2256.394380877756,1969
global,global,7,biodiversity,123.64955181422518,1759
global,global,8,biodiversity,1394.4743994407345,2679
global,global,0,safety,1666.7981740415505,2175
global,global,1,safety,1805.0236495926702,2525
global,global,2,safety,1404.1676776624442,2927
global,global,3,safety,2316.285663579834,2382
global,global,4,safety,1578.8966215761773,1875
global,global,5,safety,1993.6466794518903,2621
global,global,6,safety,1261.7486192750193,2523
global,global,7,safety,1978.8578788698776,2565
global,global,8,safety,508.734910822279,2125
gender,man,0,living,1567.0287609523941,1248
gender,man,1,living,1953.7836094984045,866
gender,man,2,living,1891.488100651047,1360
gender,man,3,living,949.462563161794,1364
gender,man,4,living,1296.6979562083739,1344
gender,man,5,living,663.7430809689324,1412
gender,man,6,living,1835.5531334547227,1195
gender,man,7,living,1671.5930869284684,968
gender,man,8,living,1017.798982041952,915
gender,man,0,biodiversity,1262.6955134674613,1152
gender,man,1,biodiversity,1012.1457358086212,1183
gender,man,2,biodiversity,1572.4506339850539,1290
gender,man,3,biodiversity,1896.9689957709509,1268
gender,man,4,biodiversity,2045.8301879816925,1179
gender,man,5,biodiversity,1814.4639118906773,1257
gender,man,6,biodiversity,1468.1822198592743,1019
gender,man,7,biodiversity,1600.5179194471582,921
gender,man,8,biodiversity,1873.3778814193586,1301
gender,man,0,safety,1483.9776278100433,1158
gender,man,1,safety,574.2838103552718,1238
gender,man,2,safety,1311.1188740065788,1509
gender,man,3,safety,2026.326343283268,1201
gender,man,4,safety,1992.1208383989556,907
gender,man,5,safety,1801.3743205292706,1358
gender,man,6,safety,1220.0037985738943,1397
gender,man,7,safety,1740.6550629806745,1272
gender,man,8,safety,-42.7223477491916,1142
gender,woman,0,living,1385.7450072668507,1024
gender,woman,1,living,1862.832074953548,817
gender,woman,2,living,1571.1564084924266,1107
gender,woman,3,living,1495.6517199254565,1194
gender,woman,4,living,1906.9115126877764,891
gender,woman,5,living,1821.812432950688,1085
gender,woman,6,living,1927.9557898488601,997
gender,woman,7,living,1632.0921730264922,789
gender,woman,8,living,1604.411243085612,712
gender,woman,0,biodiversity,1946.16191725147,917
gender,woman,1,biodiversity,1515.8250471370327,851
gender,woman,2,biodiversity,1675.3946497520262,922
gender,woman,3,biodiversity,1024.5363384330121,1022
gender,woman,4,biodiversity,576.7694767839547,963
gender,woman,5,biodiversity,1649.4839987412465,894
gender,woman,6,biodiversity,1871.2908684735623,741
gender,woman,7,biodiversity,727.7420201389517,729
gender,woman,8,biodiversity,1471.5661919249276,1173
gender,woman,0,safety,1774.8752180821957,878
gender,woman,1,safety,1788.6355441564583,1027
gender,woman,2,safety,961.7259678032442,1125
gender,woman,3,safety,1854.3401712856396,956
gender,woman,4,safety,1703.4646428206458,749
gender,woman,5,safety,1342.3911964367126,1000
gender,woman,6,safety,1585.4908717352441,962
gender,woman,7,safety,1803.1380816113751,1035
gender,woman,8,safety,1906.5869531510461,908
gender,other,0,living,1561.212925293012,9
gender,other,1,living,1535.9213436974244,13
gender,other,2,living,1452.8409004635025,10
gender,other,3,living,1486.1539265844278,11
gender,other,4,living,1463.758186189989,13
gender,other,5,living,1511.1834954807357,13
gender,other,6,living,1547.9469421644922,12
gender,other,7,living,1502.4413112881819,16
gender,other,8,living,1440.0314076946443,9
gender,other,0,biodiversity,1571.3577887381614,16
gender,other,1,biodiversity,1453.8342586168067,14
gender,other,2,biodiversity,1525.6571674246152,16
gender,other,3,biodiversity,1500.60690048322,18
gender,other,4,biodiversity,1499.2323441117655,12
gender,other,5,biodiversity,1548.0536911383197,8
gender,other,6,biodiversity,1492.391505129349,11
gender,other,7,biodiversity,1487.2915111616649,15
gender,other,8,biodiversity,1424.621381819601,6
gender,other,0,safety,1550.601278475437,14
gender,other,1,safety,1536.3324493246682,11
gender,other,2,safety,1583.8595930616543,12
gender,other,3,safety,1463.9918992033538,13
