demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,55.065419729876766,1920
global,global,1,living,2052.9770551180304,2163
global,global,2,living,370.47798167295326,2165
global,global,3,living,790.1665263133129,1745
global,global,4,living,2217.719285134846,2419
global,global,5,living,569.8635768793133,2095
global,global,6,living,2039.9673238418,1960
global,global,7,living,2001.2140405257626,1861
global,global,8,living,2152.5471066926134,1934
global,global,0,biodiversity,1419.0534462516723,2587
global,global,1,biodiversity,427.5887668311674,3052
global,global,2,biodiversity,1630.8045681800575,2687
global,global,3,biodiversity,2174.476773077586,1505
global,global,4,biodiversity,901.5702611852619,2429
global,global,5,biodiversity,1879.4868525500008,2849
global,global,6,biodiversity,2081.114021056114,1930
global,global,7,biodiversity,1966.6860213751588,2113
global,global,8,biodiversity,1330.7023222766163,3198
global,global,0,safety,-45.81566271098828,1473
global,global,1,safety,1320.2585682857732,3066
global,global,2,safety,2212.78893451396,2616
global,global,3,safety,1861.405828017013,2301
global,global,4,safety,2174.1630124496974,2169
global,global,5,safety,1431.513972452628,2818
global,global,6,safety,2432.412181325029,2870
global,global,7,safety,1113.7247338503228,2590
global,global,8,safety,1903.267180792861,2785
gender,man,0,living,1167.0250599621713,998
gender,man,1,living,1878.767687843679,1061
gender,man,2,living,1762.9075656734035,1163
gender,man,3,living,1124.010704811712,914
gender,man,4,living,1850.8949455393094,1218
gender,man,5,living,1472.4969436851627,1065
gender,man,6,living,1542.1431671339208,1019
gender,man,7,living,1947.0101173612054,967
gender,man,8,living,1969.8276187711272,1001
gender,man,0,biodiversity,1619.8560457319218,1314
gender,man,1,biodiversity,1584.4714650022217,1611
gender,man,2,biodiversity,332.6428713062668,1246
gender,man,3,biodiversity,2044.249924804269,757
gender,man,4,biodiversity,669.9393224911872,1238
gender,man,5,biodiversity,1505.5701606300051,1428
gender,man,6,biodiversity,1911.0554453461384,1044
gender,man,7,biodiversity,1755.8552795499531,1067
gender,man,8,biodiversity,1875.9173742528797,1607
gender,man,0,safety,265.7246916336004,734
gender,man,1,safety,1356.2009070605948,1550
gender,man,2,safety,1778.0541300536813,1375
gender,man,3,safety,2065.0612957092803,1201
gender,man,4,safety,1950.9905383699456,1002
gender,man,5,safety,1690.4205632293267,1512
gender,man,6,safety,1922.5831872222464,1455
gender,man,7,safety,1895.1551415089962,1388
gender,man,8,safety,1509.9859184195338,1489
gender,woman,0,living,1057.6435046173,815
gender,woman,1,living,1798.1623931951726,889
gender,woman,2,living,9.654560289966959,858
gender,woman,3,living,1396.6623072531818,719
gender,woman,4,living,1650.718640232022,953
gender,woman,5,living,986.2974605320863,905
gender,woman,6,living,1850.797682992627,739
gender,woman,7,living,1303.9000913642744,752
gender,woman,8,living,1975.9039088813895,746
gender,woman,0,biodiversity,681.6556423950905,991
gender,woman,1,biodiversity,282.53338152477085,1214
gender,woman,2,biodiversity,1793.9506667417368,1128
gender,woman,3,biodiversity,1613.0521166649698,630
gender,woman,4,biodiversity,1741.3905115418559,1063
gender,woman,5,biodiversity,1830.6172049053523,1148
gender,woman,6,biodiversity,1957.8389210160622,711
gender,woman,7,biodiversity,1483.692077355303,890
gender,woman,8,biodiversity,1013.8771756570542,1311
gender,woman,0,safety,921.2989314798093,657
gender,woman,1,safety,1740.1725019750088,1223
gender,woman,2,safety,1722.9876119332912,991
gender,woman,3,safety,775.8629907551874,956
gender,woman,4,safety,1947.7193558643787,868
gender,woman,5,safety,1566.6892931838408,1127
gender,woman,6,safety,2021.93670410363,1152
gender,woman,7,safety,703.4383829447843,973
gender,woman,8,safety,1908.1100375711806,1059
gender,other,0,living,1449.5449526601788,10
gender,other,1,living,1512.414300586377,9
gender,other,2,living,1545.64324847306,8
gender,other,3,living,1476.0,10
gender,other,4,living,1437.1539810698632,5
gender,other,5,living,1557.2522768827446,7
gender,other,6,living,1524.414300586377,4
gender,other,7,living,1488.0,5
gender,other,8,living,1500.0,10
gender,other,0,biodiversity,1476.4067882893733,18
gender,other,1,biodiversity,1512.831321901994,13
gender,other,2,biodiversity,1500.3408381539077,16
gender,other,3,biodiversity,1524.0983645656356,8
gender,other,4,biodiversity,1454.0921381940243,10
gender,other,5,biodiversity,1409.1470162673486,9
gender,other,6,biodiversity,1553.25959922266,15
gender,other,7,biodiversity,1570.366601059734,10
gender,other,8,biodiversity,1488.3790249671854,9
gender,other,0,safety,1509.6627838716247,21
gender,other,1,safety,1419.3025238895452,11
gender,other,2,safety,1493.6169565075445,17
gender,other,3,safety,1591.6629006804455,20
gender,other,4,safety,1548.1711094657874,16
gender,other,5,safety,1487.6197830492986,23
gender,other,6,safety,1450.1449890300287,16
gender,other,7,safety,1535.5513593909232,17
gender,other,8,safety,1464.695125467245,21
age,younger,0,living,1103.9084290852843,562
age,younger,1,living,1905.3427663297878,581
age,younger,2,living,760.2687563808496,575
age,younger,3,living,1223.2634004646807,482
age,younger,4,living,1811.8019524900164,629
age,younger,5,living,1416.0405090996283,575
age,younger,6,living,1677.3886569159583,508
age,younger,7,living,1124.204443097107,512
age,younger,8,living,1583.2695733738292,522
age,younger,0,biodiversity,1927.322685473359,744
age,younger,1,biodiversity,1279.9970189772066,946
age,younger,2,biodiversity,1220.0471677795022,716
age,younger,3,biodiversity,1519.8763224653035,449
age,younger,4,biodiversity,1476.4905800940992,668
age,younger,5,biodiversity,1808.5588731013513,812
age,younger,6,biodiversity,1444.7322089262593,636
age,younger,7,biodiversity,1868.8035324102505,617
age,younger,8,biodiversity,1776.9504631879995,934
age,younger,0,safety,1095.9079349671615,371
age,younger,1,safety,1658.1899986905605,837
age,younger,2,safety,1695.4181217558107,695
age,younger,3,safety,1477.9576047886367,689
age,younger,4,safety,1625.8689673209724,599
age,younger,5,safety,1256.2402318833845,772
age,younger,6,safety,1934.525591289243,805
age,younger,7,safety,1196.0512799705116,710
age,younger,8,safety,1906.0218562566777,836
age,middle,0,living,1262.0794389385535,778
age,middle,1,living,1777.7227839336983,942
age,middle,2,living,1325.444734238923,985
age,middle,3,living,1569.3672472912851,783
age,middle,4,living,1430.2013137743418,996
age,middle,5,living,1045.747615890622,941
age,middle,6,living,1659.677719833622,809
age,middle,7,living,1876.4034390133043,717
age,middle,8,living,1951.9917614228086,801
age,middle,0,biodiversity,1374.5760358579887,1081
age,middle,1,biodiversity,1106.2101358928446,1257
age,middle,2,biodiversity,1343.373840439676,1108
age,middle,3,biodiversity,1967.1592597471106,607
age,middle,4,biodiversity,59.67287227541884,1036
age,middle,5,biodiversity,1508.5358654250188,1176
age,middle,6,biodiversity,1934.7465092931552,769
age,middle,7,biodiversity,1014.5706592741417,870
age,middle,8,biodiversity,1295.7362129335115,1350
age,middle,0,safety,1228.8034419059231,687
age,middle,1,safety,1178.328057239599,1318
age,middle,2,safety,1942.2456600050073,1050
