demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2115.539307615634,2659
global,global,1,living,2029.5393233834684,2427
global,global,2,living,991.3612308129212,2823
global,global,3,living,2415.472552256997,2450
global,global,4,living,664.5435252483529,2714
global,global,5,living,2205.5839925969326,2391
global,global,6,living,1224.2246370641851,2922
global,global,7,living,1118.2738413598652,2366
global,global,8,living,169.779208332743,1262
global,global,0,biodiversity,1046.9843145007046,2892
global,global,1,biodiversity,2089.4660884104355,2412
global,global,2,biodiversity,1689.5956574542527,2003
global,global,3,biodiversity,2358.0149676197684,1846
global,global,4,biodiversity,719.3774316389787,2219
global,global,5,biodiversity,2171.1735674961183,2074
global,global,6,biodiversity,1521.1143928252357,2150
global,global,7,biodiversity,943.0922749267503,2182
global,global,8,biodiversity,839.5475006566472,1848
global,global,0,safety,1988.7735514907247,2664
global,global,1,safety,2240.134983013512,2190
global,global,2,safety,1098.8718501708572,2407
global,global,3,safety,1200.232480770991,2749
global,global,4,safety,961.123147278922,2072
global,global,5,safety,1891.2920621416636,2342
global,global,6,safety,1425.4148768828618,2620
global,global,7,safety,2403.447177948191,2324
global,global,8,safety,691.9086150884905,2292
gender,man,0,living,2108.3409180037547,1373
gender,man,1,living,1945.334381328157,1225
gender,man,2,living,1250.6230287994608,1416
gender,man,3,living,1913.525386445517,1283
gender,man,4,living,1337.1342525870498,1451
gender,man,5,living,1991.0232468370637,1276
gender,man,6,living,1165.485913238748,1440
gender,man,7,living,1751.8484788150188,1299
gender,man,8,living,-308.80803493619345,585
gender,man,0,biodiversity,1666.9572325074246,1435
gender,man,1,biodiversity,2004.487848986957,1178
gender,man,2,biodiversity,1798.340863540983,1082
gender,man,3,biodiversity,1204.9878039776008,992
gender,man,4,biodiversity,1463.129832534014,1103
gender,man,5,biodiversity,1945.2066196593057,994
gender,man,6,biodiversity,1388.0627067522341,1110
gender,man,7,biodiversity,-309.6408610506607,1109
gender,man,8,biodiversity,1118.498943367854,961
gender,man,0,safety,1658.5988521898228,1464
gender,man,1,safety,2055.1700963512712,1122
gender,man,2,safety,1766.934698526458,1253
gender,man,3,safety,1613.323178106791,1400
gender,man,4,safety,1203.7134957377484,1026
gender,man,5,safety,1708.5365531644684,1245
gender,man,6,safety,1265.3626301997253,1320
gender,man,7,safety,1916.5097745432722,1184
gender,man,8,safety,648.3553916143605,1098
gender,woman,0,living,1645.5061984190856,1021
gender,woman,1,living,1774.3976259453048,995
gender,woman,2,living,1104.6727556448957,1142
gender,woman,3,living,1948.4109735526547,954
gender,woman,4,living,896.1193827038977,1087
gender,woman,5,living,1978.771980343959,957
gender,woman,6,living,1550.5810399665615,1214
gender,woman,7,living,982.8175885983759,871
gender,woman,8,living,1376.0616376509488,601
gender,woman,0,biodiversity,1024.3339658261068,1150
gender,woman,1,biodiversity,1361.537155918361,988
gender,woman,2,biodiversity,269.4091132896082,786
gender,woman,3,biodiversity,2005.5406369739944,676
gender,woman,4,biodiversity,1491.942030081908,925
gender,woman,5,biodiversity,1413.1363259830193,806
gender,woman,6,biodiversity,1645.182827208028,881
gender,woman,7,biodiversity,1715.9317756709893,915
gender,woman,8,biodiversity,1674.5600807200392,773
gender,woman,0,safety,1979.5666701551277,1042
gender,woman,1,safety,1741.7469646356496,870
gender,woman,2,safety,448.4097491054662,963
gender,woman,3,safety,1169.9962253777433,1135
gender,woman,4,safety,1266.62985792546,899
gender,woman,5,safety,1492.8659655764243,897
gender,woman,6,safety,1408.843769117704,1037
gender,woman,7,safety,1897.6105988300556,892
gender,woman,8,safety,1206.184663826799,991
