demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,401.2331016170758,2101
global,global,1,living,2323.2488581393886,2300
global,global,2,living,1503.2456071104932,2438
global,global,3,living,2109.745768728065,2521
global,global,4,living,1315.6922132485538,2287
global,global,5,living,2272.9419928590532,2475
global,global,6,living,656.9939345592993,1771
global,global,7,living,1868.1091971696078,1993
global,global,8,living,162.3240942685677,2060
global,global,0,biodiversity,1665.3935779772116,2666
global,global,1,biodiversity,1059.87777779945,2460
global,global,2,biodiversity,1575.8034235725706,2193
global,global,3,biodiversity,1333.4908129208543,2521
global,global,4,biodiversity,2191.7801467863646,2409
global,global,5,biodiversity,1820.3793604783098,1733
global,global,6,biodiversity,2053.3954544546486,1461
global,global,7,biodiversity,-60.450279805611295,1517
global,global,8,biodiversity,982.2450109254727,2396
global,global,0,safety,1272.6883324538605,2597
global,global,1,safety,1108.9689838469847,2857
global,global,2,safety,2159.8137557152013,2436
global,global,3,safety,1512.8672098967113,2494
global,global,4,safety,2105.6793770193603,2129
global,global,5,safety,1482.0701292666479,2811
global,global,6,safety,2372.1572585597814,2861
global,global,7,safety,1424.4510318562927,3019
global,global,8,safety,1642.9293830048398,2794
gender,man,0,living,663.6452619370737,1093
gender,man,1,living,2049.4941701571865,1168
gender,man,2,living,1296.00469697289,1288
gender,man,3,living,1961.7669896336608,1280
gender,man,4,living,1824.4961577152856,1105
gender,man,5,living,1940.287403032136,1247
gender,man,6,living,942.0599423105543,953
gender,man,7,living,1315.048820145544,1029
gender,man,8,living,127.0622771000449,989
gender,man,0,biodiversity,1648.941323628184,1342
gender,man,1,biodiversity,1263.9878323518017,1226
gender,man,2,biodiversity,1922.6691794475132,1145
gender,man,3,biodiversity,810.4891004482524,1265
gender,man,4,biodiversity,1486.5194557818563,1234
gender,man,5,biodiversity,1568.4256181950825,921
gender,man,6,biodiversity,1991.5803955062192,782
gender,man,7,biodiversity,1223.8704514475196,832
gender,man,8,biodiversity,1874.128986333199,1253
gender,man,0,safety,1395.9528857375435,1328
gender,man,1,safety,789.3238674892018,1480
gender,man,2,safety,1693.8200699321571,1282
gender,man,3,safety,657.8045318633795,1300
gender,man,4,safety,1925.706451291567,1067
gender,man,5,safety,1255.4425854961153,1400
gender,man,6,safety,2125.7088012917434,1438
gender,man,7,safety,1203.0940706409071,1532
gender,man,8,safety,1560.9261878903478,1445
gender,woman,0,living,798.483654626123,836
gender,woman,1,living,2044.414304662483,861
gender,woman,2,living,1443.7323742327753,948
gender,woman,3,living,1710.8485668457301,953
gender,woman,4,living,978.5035878758191,930
gender,woman,5,living,1943.0082494805301,980
gender,woman,6,living,1374.573468258209,714
gender,woman,7,living,1778.838788755227,822
gender,woman,8,living,961.7469661179482,926
gender,woman,0,biodiversity,1643.774973198784,1060
gender,woman,1,biodiversity,1437.1593944099416,1040
gender,woman,2,biodiversity,1505.1516367501995,923
