demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,-531.9144055574789,1560
global,global,1,living,1599.4277165025123,1679
global,global,2,living,874.6881046074175,2204
global,global,3,living,1217.6672551431514,2684
global,global,4,living,2203.435383111171,2830
global,global,5,living,1269.226043528745,2592
global,global,6,living,1071.6568799331365,2400
global,global,7,living,1952.8274444397598,2775
global,global,8,living,2313.8720996318325,2108
global,global,0,biodiversity,2259.5012832430225,1989
global,global,1,biodiversity,877.0149433205945,2267
global,global,2,biodiversity,365.5265812381959,2046
global,global,3,biodiversity,826.8966975272645,1883
global,global,4,biodiversity,182.32755638685111,2118
global,global,5,biodiversity,1832.3416122566837,1913
global,global,6,biodiversity,1935.8188916550546,2084
global,global,7,biodiversity,2006.2192772772764,2063
global,global,8,biodiversity,2179.899753507442,2073
global,global,0,safety,1871.4564752688136,2883
global,global,1,safety,2007.7124565941856,3002
global,global,2,safety,1930.722727978302,2380
global,global,3,safety,931.8833123807522,2933
global,global,4,safety,2295.947021629466,2396
global,global,5,safety,101.64896565442918,2171
global,global,6,safety,367.0146481939412,2043
global,global,7,safety,1737.5437958453324,3438
global,global,8,safety,1308.0533252040675,2786
gender,man,0,living,1427.4411675219446,855
gender,man,1,living,1989.1132516410398,818
gender,man,2,living,1488.3413478307352,1072
gender,man,3,living,745.2372247709511,1374
gender,man,4,living,1842.5983243595674,1435
gender,man,5,living,981.3381529955501,1346
gender,man,6,living,1699.253040413431,1269
gender,man,7,living,1804.3813814739085,1379
gender,man,8,living,2015.8884880585967,1106
gender,man,0,biodiversity,1844.3374371749296,1009
gender,man,1,biodiversity,1634.998177787398,1194
gender,man,2,biodiversity,1547.6153941682894,1099
gender,man,3,biodiversity,744.670640297952,918
gender,man,4,biodiversity,335.669175845263,1060
gender,man,5,biodiversity,2053.0117601445154,965
gender,man,6,biodiversity,1713.680973812094,1002
gender,man,7,biodiversity,1784.1518412014877,1066
gender,man,8,biodiversity,1675.9929735630262,1039
gender,man,0,safety,1951.6462027262176,1511
gender,man,1,safety,1902.6392391663837,1504
gender,man,2,safety,2148.813725991152,1175
gender,man,3,safety,1284.6241531814944,1501
gender,man,4,safety,1931.6159942188417,1253
gender,man,5,safety,1043.513182306372,1105
gender,man,6,safety,1333.2380430630014,1104
gender,man,7,safety,1702.0208506335823,1775
gender,man,8,safety,1522.6475389998145,1490
gender,woman,0,living,663.1842680879464,672
gender,woman,1,living,1963.071543348176,708
gender,woman,2,living,1265.810823252953,997
gender,woman,3,living,1640.2285478999233,1048
gender,woman,4,living,1857.608412958093,1118
gender,woman,5,living,1802.0955159304733,984
gender,woman,6,living,1243.0508227534435,978
gender,woman,7,living,1882.6696992256198,1126
gender,woman,8,living,1760.763524624221,765
gender,woman,0,biodiversity,1920.1446986082394,768
gender,woman,1,biodiversity,1331.6945514821962,901
gender,woman,2,biodiversity,355.1370713678311,789
gender,woman,3,biodiversity,1559.4236370573024,766
gender,woman,4,biodiversity,1432.0955569562266,851
gender,woman,5,biodiversity,1289.5725923012376,800
