demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1626.4735750462262,2986
global,global,1,living,963.3329462075251,2755
global,global,2,living,1163.9520348641256,2841
global,global,3,living,2142.0842571284993,2938
global,global,4,living,1333.4038251177094,3910
global,global,5,living,1808.2862474426881,2367
global,global,6,living,1694.4255039977854,3164
global,global,7,living,866.9716365670215,3483
global,global,8,living,2266.671200428811,2236
global,global,0,biodiversity,1052.2549587075277,1325
global,global,1,biodiversity,414.50372422180516,1802
global,global,2,biodiversity,1715.500552194079,2207
global,global,3,biodiversity,1764.5223864124687,2294
global,global,4,biodiversity,1172.9676189520787,2293
global,global,5,biodiversity,560.8186896721337,1225
global,global,6,biodiversity,932.6500139004182,2207
global,global,7,biodiversity,2095.3904826573153,2382
global,global,8,biodiversity,2281.3024581636,1799
global,global,0,safety,1606.2108979803102,2639
global,global,1,safety,1993.5173839292418,1914
global,global,2,safety,401.7515404968668,1518
global,global,3,safety,1670.5941311638755,2768
global,global,4,safety,880.2248707548488,1839
global,global,5,safety,2165.9478001817442,1987
global,global,6,safety,978.7060438584905,2587
global,global,7,safety,2036.0885698912366,1995
global,global,8,safety,1828.228074031931,1839
gender,man,0,living,546.3036571277453,1448
gender,man,1,living,1634.5034896316542,1448
gender,man,2,living,1570.4437303253965,1383
gender,man,3,living,1962.0852381559296,1556
gender,man,4,living,1728.823096351088,2016
gender,man,5,living,1911.961582360985,1264
gender,man,6,living,2061.16517372398,1626
gender,man,7,living,1501.2063824286586,1755
gender,man,8,living,2133.6548833830143,1136
gender,man,0,biodiversity,1331.4899730376017,720
gender,man,1,biodiversity,1477.8736876331684,909
gender,man,2,biodiversity,1737.168257115717,1112
gender,man,3,biodiversity,1796.0414346484665,1187
gender,man,4,biodiversity,1534.516093400653,1200
gender,man,5,biodiversity,551.4790386229025,565
gender,man,6,biodiversity,793.4601760649233,1127
gender,man,7,biodiversity,1981.7716046398882,1180
gender,man,8,biodiversity,2013.986259849353,884
gender,man,0,safety,1946.0947702337082,1355
gender,man,1,safety,1853.2810137478402,1023
gender,man,2,safety,933.7547498569144,756
gender,man,3,safety,1912.7839828857414,1439
gender,man,4,safety,1474.5984295101514,994
gender,man,5,safety,1553.6473803108095,974
gender,man,6,safety,1320.4502101800836,1376
gender,man,7,safety,1832.1624302353455,986
gender,man,8,safety,336.056613192206,1005
gender,woman,0,living,1751.3459048088705,1212
gender,woman,1,living,1527.606697715588,1110
gender,woman,2,living,926.6715053626258,1186
gender,woman,3,living,1804.4611867583876,1174
gender,woman,4,living,1600.8101127412206,1546
gender,woman,5,living,1928.6586809684159,967
gender,woman,6,living,1551.3915013549636,1235
gender,woman,7,living,736.0542282738437,1342
gender,woman,8,living,1979.284877645844,932
gender,woman,0,biodiversity,1097.7386269391573,491
gender,woman,1,biodiversity,1013.6809610698301,701
gender,woman,2,biodiversity,1789.11197270925,940
gender,woman,3,biodiversity,1857.7639406439162,948
gender,woman,4,biodiversity,805.0992969197935,937
gender,woman,5,biodiversity,1469.5280272910877,518
gender,woman,6,biodiversity,1480.7072459152055,880
gender,woman,7,biodiversity,1624.165009588781,995
gender,woman,8,biodiversity,2030.827182895677,716
gender,woman,0,safety,1360.1996475550761,1057
gender,woman,1,safety,1747.9882872342966,744
gender,woman,2,safety,1006.5635669616826,600
gender,woman,3,safety,1464.7806936616405,1092
gender,woman,4,safety,1039.5854844443004,706
gender,woman,5,safety,1536.0374328479118,842
gender,woman,6,safety,1496.1270411675155,1034
gender,woman,7,safety,1667.018900251942,873
gender,woman,8,safety,2001.0273475597517,690
gender,other,0,living,1549.1970940098172,14
gender,other,1,living,1477.2917160718011,24
gender,other,2,living,1504.8840524869747,12
gender,other,3,living,1522.5786341566613,22
gender,other,4,living,1537.8437690229116,17
gender,other,5,living,1452.392939050561,10
gender,other,6,living,1488.2833346613693,11
gender,other,7,living,1413.5799186994464,23
gender,other,8,living,1559.9999851688253,7
gender,other,0,biodiversity,1488.4602110202125,13
gender,other,1,biodiversity,1411.4123229998,9
gender,other,2,biodiversity,1475.9038601763675,10
gender,other,3,biodiversity,1548.8272093250828,14
gender,other,4,biodiversity,1510.9668914488468,13
gender,other,5,biodiversity,1500.478099310583,10
gender,other,6,biodiversity,1567.6931822553063,10
gender,other,7,biodiversity,1460.4138812761848,9
gender,other,8,biodiversity,1527.666919816652,12
gender,other,0,safety,1514.3572676956082,15
gender,other,1,safety,1452.1469612215787,10
gender,other,2,safety,1488.0445034179397,11
gender,other,3,safety,1527.535712818688,12
gender,other,4,safety,1549.5040669945636,10
gender,other,5,safety,1508.9733465032434,13
gender,other,6,safety,1476.4584274232143,6
gender,other,7,safety,1549.988393858478,12
gender,other,8,safety,1438.352606594792,9
age,younger,0,living,1800.7963559706805,831
age,younger,1,living,1699.3923148991405,771
age,younger,2,living,1138.6265154251544,782
age,younger,3,living,1440.7719543646533,846
age,younger,4,living,1551.292260539919,1093
age,younger,5,living,1856.5664794214417,623
age,younger,6,living,1680.3514253937383,932
age,younger,7,living,1586.1789950186067,1015
age,younger,8,living,1890.2791977445854,617
age,younger,0,biodiversity,1209.4205817187435,338
age,younger,1,biodiversity,1508.034878939721,562
age,younger,2,biodiversity,1915.5462549744884,583
age,younger,3,biodiversity,1697.077499451088,629
age,younger,4,biodiversity,1530.1075690630973,716
age,younger,5,biodiversity,1164.358656725849,315
age,younger,6,biodiversity,1556.7543862397538,577
age,younger,7,biodiversity,1653.439186982822,663
age,younger,8,biodiversity,1804.0726523580995,479
age,younger,0,safety,1320.0572077750617,722
age,younger,1,safety,1724.0052607160399,602
age,younger,2,safety,845.1831018728708,355
age,younger,3,safety,1252.6013716225693,711
age,younger,4,safety,1541.76201267552,522
age,younger,5,safety,1691.4982143622808,550
age,younger,6,safety,1808.3802582506692,769
age,younger,7,safety,1931.5509444980282,613
age,younger,8,safety,1297.044474510916,566
age,middle,0,living,168.8194555207312,1201
age,middle,1,living,1086.3163293242128,1157
age,middle,2,living,972.8784780666693,1157
age,middle,3,living,1847.092116125634,1268
age,middle,4,living,1913.041311725108,1626
age,middle,5,living,1168.6046237269072,1082
age,middle,6,living,1725.0330107212333,1324
age,middle,7,living,-280.66725267883197,1370
age,middle,8,living,2045.1839077621514,989
age,middle,0,biodiversity,1387.1541056741173,597
age,middle,1,biodiversity,213.8913789378672,722
