demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,616.747540263418,2249
global,global,1,living,2093.6633109265235,1576
global,global,2,living,2108.5568610480514,1905
global,global,3,living,1854.2194305102653,2346
global,global,4,living,2287.0914989107205,2061
global,global,5,living,1338.0139684334767,2524
global,global,6,living,1661.3867139467711,2504
global,global,7,living,1893.0799922312538,2153
global,global,8,living,1574.8319699728581,2370
global,global,0,biodiversity,2037.511421600473,2847
global,global,1,biodiversity,2229.248143613218,2597
global,global,2,biodiversity,1046.766027288468,2264
global,global,3,biodiversity,190.32566439321215,2785
global,global,4,biodiversity,1976.197575961977,2315
global,global,5,biodiversity,2114.141173338014,1759
global,global,6,biodiversity,1858.8347752804655,2587
global,global,7,biodiversity,1145.9027681100683,2443
global,global,8,biodiversity,2163.970514558862,2917
global,global,0,safety,235.97460056547183,1502
global,global,1,safety,1796.3807680201012,2277
global,global,2,safety,2367.160446071604,1707
global,global,3,safety,1554.1051536007571,3113
global,global,4,safety,1894.794099725644,2621
global,global,5,safety,1710.0061233389565,2608
global,global,6,safety,1171.7086826893335,2722
global,global,7,safety,2034.6216844769394,2250
global,global,8,safety,2129.674820343939,2298
gender,man,0,living,1523.760602819851,1231
gender,man,1,living,1940.3833676250836,777
gender,man,2,living,1925.782719349871,922
gender,man,3,living,1603.1054424370845,1213
gender,man,4,living,1885.2070352316682,1069
gender,man,5,living,1545.6845013209581,1348
gender,man,6,living,1727.0400034201496,1250
gender,man,7,living,1476.0679064567335,1135
gender,man,8,living,785.637652399314,1221
gender,man,0,biodiversity,1482.8670645838922,1456
gender,man,1,biodiversity,1992.3696653929485,1335
gender,man,2,biodiversity,978.9876322772407,1194
gender,man,3,biodiversity,1140.9088252861832,1478
gender,man,4,biodiversity,1862.634509572456,1195
gender,man,5,biodiversity,1786.6588091497208,935
gender,man,6,biodiversity,1943.65677226815,1289
gender,man,7,biodiversity,1100.9571507083053,1264
gender,man,8,biodiversity,2072.13710020662,1504
gender,man,0,safety,702.3502228898643,757
gender,man,1,safety,1933.951003412353,1133
gender,man,2,safety,2024.9632541636906,965
gender,man,3,safety,1885.3750005052764,1545
gender,man,4,safety,1766.6628726558297,1320
gender,man,5,safety,1696.8371016686222,1218
gender,man,6,safety,1186.0550987551972,1322
gender,man,7,safety,1607.7021337460371,1217
gender,man,8,safety,1961.0331387595018,1131
gender,woman,0,living,1235.7943238717548,931
gender,woman,1,living,1936.8017507864224,635
gender,woman,2,living,1570.9632579642914,757
gender,woman,3,living,1762.0838084224476,974
gender,woman,4,living,1436.4459125487851,796
gender,woman,5,living,1855.7626661550307,1034
gender,woman,6,living,1619.3598439713865,1008
gender,woman,7,living,1492.8238985744279,836
gender,woman,8,living,1898.2540897229055,1015
gender,woman,0,biodiversity,1691.2736392734375,1126
gender,woman,1,biodiversity,1193.7790143290188,1062
gender,woman,2,biodiversity,1767.3746936938553,897
