demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1651.5563085475574,2393
global,global,1,living,668.3864284108396,1487
global,global,2,living,637.5130156999011,2788
global,global,3,living,2019.5449389511775,2297
global,global,4,living,1534.6972941754534,2581
global,global,5,living,2127.6818973306176,2336
global,global,6,living,1978.2051787975456,2570
global,global,7,living,521.3330462259175,2115
global,global,8,living,2316.5298988221143,1655
global,global,0,biodiversity,2212.9869505612965,2276
global,global,1,biodiversity,2367.971410704443,2449
global,global,2,biodiversity,2168.949411395032,2085
global,global,3,biodiversity,1533.1185121365797,2356
global,global,4,biodiversity,942.0260847615067,2079
global,global,5,biodiversity,813.2400237876977,1815
global,global,6,biodiversity,1596.7909308586527,2984
global,global,7,biodiversity,1966.4390349371854,2798
global,global,8,biodiversity,2103.257132903483,2724
global,global,0,safety,1420.9729395463696,2750
global,global,1,safety,1662.502423531142,2288
global,global,2,safety,1404.9061256911682,2787
global,global,3,safety,1133.6154100646013,1618
global,global,4,safety,2379.2274770942045,2691
global,global,5,safety,2175.64842270614,2131
global,global,6,safety,2333.494430247762,2843
global,global,7,safety,1030.1522625641494,2221
global,global,8,safety,1966.3273620012728,2183
gender,man,0,living,1765.9355788016298,1229
gender,man,1,living,1246.8869512296878,772
gender,man,2,living,1745.9749900037527,1434
gender,man,3,living,1918.007766386739,1174
gender,man,4,living,429.47160110364973,1319
gender,man,5,living,2066.6840547914835,1186
gender,man,6,living,1817.58577356514,1273
gender,man,7,living,1384.228382388034,1111
gender,man,8,living,1837.7784460577186,850
gender,man,0,biodiversity,1783.3037323453573,1116
gender,man,1,biodiversity,2084.759394610132,1195
gender,man,2,biodiversity,1969.5338301803167,1054
gender,man,3,biodiversity,1630.9010426332463,1253
gender,man,4,biodiversity,1265.617489858621,1108
gender,man,5,biodiversity,1282.6430244300122,972
gender,man,6,biodiversity,1583.3564503292246,1513
gender,man,7,biodiversity,1324.8627824842233,1473
gender,man,8,biodiversity,1541.0284081807836,1358
gender,man,0,safety,598.2512363285399,1457
gender,man,1,safety,1631.805380559654,1157
gender,man,2,safety,1106.1986749890489,1441
gender,man,3,safety,280.26945490753087,792
gender,man,4,safety,1674.987652035624,1368
gender,man,5,safety,2063.5033985903024,1005
gender,man,6,safety,1994.3775098200201,1461
gender,man,7,safety,1202.6784131978845,1145
