demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1447.8267550643966,1978
global,global,1,living,2000.2241950331704,2140
global,global,2,living,2189.462345220953,1804
global,global,3,living,592.1484211260907,1993
global,global,4,living,1169.1684628571115,2308
global,global,5,living,730.4820884880087,1779
global,global,6,living,1917.8777539423652,1831
global,global,7,living,2116.877065132733,2439
global,global,8,living,1218.5527368785379,1972
global,global,0,biodiversity,2135.9642133494012,2651
global,global,1,biodiversity,2373.4860162846453,2659
global,global,2,biodiversity,2263.304658749509,2673
global,global,3,biodiversity,85.44758461713164,2381
global,global,4,biodiversity,865.7642825605185,2606
global,global,5,biodiversity,1047.0426971894894,2571
global,global,6,biodiversity,963.0031636612322,3062
global,global,7,biodiversity,1494.6196226269656,2647
global,global,8,biodiversity,2239.017959753583,2846
global,global,0,safety,673.139375678338,1938
global,global,1,safety,1921.3844189634635,2720
global,global,2,safety,911.9196148334245,2549
global,global,3,safety,1167.083409833645,2062
global,global,4,safety,2148.4843529084396,1543
global,global,5,safety,1752.2202670759561,2934
global,global,6,safety,847.2742927699493,2661
global,global,7,safety,981.3417838816302,2671
global,global,8,safety,2057.3111991816363,1882
gender,man,0,living,1307.2152861350644,1030
gender,man,1,living,1543.0724255312916,1120
gender,man,2,living,1826.6375484147318,888
gender,man,3,living,1170.309418394588,1007
gender,man,4,living,1479.0909786361594,1143
gender,man,5,living,1416.0387065218108,946
gender,man,6,living,2009.9306031935937,951
gender,man,7,living,1619.9449969996638,1247
gender,man,8,living,1271.76863257564,988
gender,man,0,biodiversity,199.66873036436152,1265
gender,man,1,biodiversity,2017.6128863304532,1363
gender,man,2,biodiversity,1888.5830457395411,1363
gender,man,3,biodiversity,1262.8820613971218,1298
gender,man,4,biodiversity,1729.955098418411,1318
gender,man,5,biodiversity,1998.010801801431,1334
gender,man,6,biodiversity,1699.8632443532372,1579
gender,man,7,biodiversity,1823.8988572374076,1301
gender,man,8,biodiversity,2087.0275026870777,1483
gender,man,0,safety,479.2121451249672,1054
gender,man,1,safety,1533.9282715744378,1403
gender,man,2,safety,1514.4075144388216,1298
gender,man,3,safety,1581.4844919017798,1056
gender,man,4,safety,1861.605955009939,802
