demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1774.5789731762738,2529
global,global,1,living,983.4446918895275,2229
global,global,2,living,2092.2717134192108,2464
global,global,3,living,2283.344949401241,1869
global,global,4,living,599.4291939765988,1848
global,global,5,living,1850.5900014060226,2003
global,global,6,living,1950.8448427951,2596
global,global,7,living,1581.2721540625773,2330
global,global,8,living,211.77497558081592,2102
global,global,0,biodiversity,185.10553581911705,2331
global,global,1,biodiversity,1167.8334451972953,2688
global,global,2,biodiversity,2135.751905516571,2509
global,global,3,biodiversity,1346.9087643360895,2173
global,global,4,biodiversity,-154.12276228943952,2081
global,global,5,biodiversity,2017.8969465882399,2129
global,global,6,biodiversity,2214.0393019736357,1926
global,global,7,biodiversity,1920.710893463437,2058
global,global,8,biodiversity,1714.0534553608916,2285
global,global,0,safety,1739.2487938457732,2692
global,global,1,safety,2403.481027117187,2695
global,global,2,safety,1989.191494876681,2721
global,global,3,safety,1273.1571377497912,2050
global,global,4,safety,797.0558820166734,2598
global,global,5,safety,1804.2478175874571,2689
global,global,6,safety,2248.8476128501857,2759
global,global,7,safety,500.40608895387226,2219
global,global,8,safety,1377.6874449366378,2727
gender,man,0,living,1900.6162011788504,1269
gender,man,1,living,961.3044438182093,1068
gender,man,2,living,1692.4396342067616,1255
gender,man,3,living,1594.700440278471,1014
gender,man,4,living,1189.188776936368,880
gender,man,5,living,1822.1342206706659,1036
gender,man,6,living,2087.040248418296,1286
gender,man,7,living,786.0319442662139,1224
gender,man,8,living,482.63665071172613,1040
gender,man,0,biodiversity,1506.4908765746845,1226
gender,man,1,biodiversity,1980.3902734622602,1384
gender,man,2,biodiversity,1437.0828260009519,1219
gender,man,3,biodiversity,1230.6051650833185,1078
gender,man,4,biodiversity,1349.0448620065665,1032
gender,man,5,biodiversity,2036.1110039414787,1030
gender,man,6,biodiversity,1372.8425104848266,1044
gender,man,7,biodiversity,1814.42783575113,1065
gender,man,8,biodiversity,1838.8410994765304,1250
gender,man,0,safety,1849.9877744372327,1430
gender,man,1,safety,1808.140669402679,1392
gender,man,2,safety,1632.6597656929823,1393
gender,man,3,safety,2036.6171482824445,1046
gender,man,4,safety,-226.4000017655221,1292
gender,man,5,safety,2123.556991219104,1468
gender,man,6,safety,1557.3578881034682,1407
gender,man,7,safety,1195.2073809353656,1182
gender,man,8,safety,1833.8237290812458,1414
gender,woman,0,living,1413.4387862178564,1035
gender,woman,1,living,1532.2055228969775,927
gender,woman,2,living,1733.8475580745928,981
gender,woman,3,living,1972.250332666213,735
gender,woman,4,living,1380.4123942061335,765
gender,woman,5,living,1683.0079672046043,765
gender,woman,6,living,779.9872859574544,1034
gender,woman,7,living,1793.2776034528056,953
gender,woman,8,living,1213.8325907499097,855
gender,woman,0,biodiversity,1516.1978640275338,999
gender,woman,1,biodiversity,1141.8648853136547,1074
gender,woman,2,biodiversity,1606.463206351636,999
gender,woman,3,biodiversity,1685.024587720055,845
gender,woman,4,biodiversity,695.2758667840316,860
gender,woman,5,biodiversity,1774.6693082876247,877
gender,woman,6,biodiversity,1954.3582538478302,764
gender,woman,7,biodiversity,1889.4545058210958,835
gender,woman,8,biodiversity,922.0782236260483,899
gender,woman,0,safety,1226.780579161611,1085
gender,woman,1,safety,1906.0374952598563,1081
gender,woman,2,safety,1799.8428562546644,1089
gender,woman,3,safety,1027.7417344370394,803
gender,woman,4,safety,1631.8237207478828,1095
gender,woman,5,safety,1158.5926121394327,1056
gender,woman,6,safety,1982.657853421309,1059
gender,woman,7,safety,593.9510391448302,933
gender,woman,8,safety,1743.7062477857696,1065
gender,other,0,living,1464.0405685537114,15
gender,other,1,living,1571.8454438195959,10
gender,other,2,living,1520.4741441015651,18
gender,other,3,living,1536.3156180075305,13
gender,other,4,living,1487.8108899217925,19
gender,other,5,living,1438.3941004179142,15
gender,other,6,living,1482.8836552263936,18
gender,other,7,living,1546.2992016342882,6
gender,other,8,living,1452.5254889991313,10
gender,other,0,biodiversity,1465.777981312156,13
gender,other,1,biodiversity,1514.093938543749,9
gender,other,2,biodiversity,1525.619669510513,8
gender,other,3,biodiversity,1503.1464950248655,14
gender,other,4,biodiversity,1536.5061996753798,11
gender,other,5,biodiversity,1548.0,6
gender,other,6,biodiversity,1488.0,5
gender,other,7,biodiversity,1489.3884079038196,17
gender,other,8,biodiversity,1443.8411795192003,17
gender,other,0,safety,1513.1232380159965,11
gender,other,1,safety,1463.4939798832409,13
gender,other,2,safety,1500.5628801602143,18
gender,other,3,safety,1555.8984461113987,11
gender,other,4,safety,1535.3603205471102,17
gender,other,5,safety,1474.7331376968455,14
gender,other,6,safety,1422.2418448240298,12
gender,other,7,safety,1452.6417117113272,8
gender,other,8,safety,1572.3269029607752,10
age,younger,0,living,1551.5041864786363,676
age,younger,1,living,1680.3315733472853,659
age,younger,2,living,1542.9029961466126,716
age,younger,3,living,1900.2396412067237,506
age,younger,4,living,786.3871051038477,505
age,younger,5,living,1362.4406371985012,587
age,younger,6,living,1846.2733934212358,761
age,younger,7,living,1520.2652525675887,677
age,younger,8,living,1654.575014491884,651
age,younger,0,biodiversity,651.8980623589019,634
age,younger,1,biodiversity,1613.6621503626025,733
