demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1176.3129468515042,2638
global,global,1,living,1366.1077798499477,3299
global,global,2,living,2035.140483321133,2899
global,global,3,living,1027.1929577187411,1833
global,global,4,living,2170.010965548356,3204
global,global,5,living,2389.604382154917,2762
global,global,6,living,1574.414405481694,2582
global,global,7,living,2279.1312868475516,3166
global,global,8,living,1892.0390096765805,3269
global,global,0,biodiversity,510.0942043190517,2007
global,global,1,biodiversity,1967.3484760059364,2796
global,global,2,biodiversity,2224.2010566903214,2239
global,global,3,biodiversity,1278.3103642533365,2632
global,global,4,biodiversity,2126.422833165303,3058
global,global,5,biodiversity,2051.854081620361,2038
global,global,6,biodiversity,2395.6825305838806,2152
global,global,7,biodiversity,178.19031321240587,2302
global,global,8,biodiversity,1825.0538458770038,2382
global,global,0,safety,-207.56902629263257,1332
global,global,1,safety,2049.3945785490578,2160
global,global,2,safety,214.7928906491086,2069
global,global,3,safety,1825.6678013301137,1663
global,global,4,safety,1305.2639414206203,2128
global,global,5,safety,1569.8032525218243,1840
global,global,6,safety,1922.8325374160224,1719
global,global,7,safety,2138.6061214569886,1230
global,global,8,safety,794.6182217168388,1901
gender,man,0,living,1738.5573742777556,1403
gender,man,1,living,1831.2029153483934,1613
gender,man,2,living,1423.8541933711062,1455
gender,man,3,living,974.9143887361688,868
gender,man,4,living,1979.282999800951,1585
gender,man,5,living,2086.7207253844467,1445
gender,man,6,living,1769.4638102731049,1343
gender,man,7,living,2070.9489867576226,1635
gender,man,8,living,1621.1948057166326,1725
gender,man,0,biodiversity,1355.226228081779,1078
gender,man,1,biodiversity,1794.1959356761706,1446
gender,man,2,biodiversity,1827.6410650425973,1192
gender,man,3,biodiversity,1334.6261428948637,1338
gender,man,4,biodiversity,1896.6253181942477,1585
gender,man,5,biodiversity,1849.741546632693,1029
gender,man,6,biodiversity,2004.2700239903666,1153
gender,man,7,biodiversity,272.6390503266636,1223
gender,man,8,biodiversity,2062.707551629379,1186
gender,man,0,safety,948.5589863939331,694
gender,man,1,safety,1600.135456501337,1045
gender,man,2,safety,1312.1228199239072,1072
gender,man,3,safety,1254.7285058258828,857
gender,man,4,safety,1644.5924578284746,1092
gender,man,5,safety,1876.3495444289586,804
gender,man,6,safety,1903.261761783442,828
gender,man,7,safety,1943.1139675961856,695
gender,man,8,safety,1030.7144453040728,1035
gender,woman,0,living,817.6286755537755,977
gender,woman,1,living,1220.7162895418771,1326
gender,woman,2,living,2040.0005591077581,1197
gender,woman,3,living,1777.4793722679156,882
gender,woman,4,living,1559.763500380722,1386
gender,woman,5,living,1626.0701923857296,1081
gender,woman,6,living,1961.3869930746257,931
gender,woman,7,living,1824.257153198959,1219
gender,woman,8,living,1748.3272807193434,1235
gender,woman,0,biodiversity,1331.0837489707965,772
gender,woman,1,biodiversity,1612.920481057964,1119
gender,woman,2,biodiversity,1463.9070999187438,875
gender,woman,3,biodiversity,1136.2714678187706,1102
gender,woman,4,biodiversity,1802.6373683365691,1231
gender,woman,5,biodiversity,1696.0074166200484,857
gender,woman,6,biodiversity,1994.0787407051143,806
gender,woman,7,biodiversity,1780.1104528834078,971
gender,woman,8,biodiversity,947.3597702013894,967
gender,woman,0,safety,1239.5909789483196,605
gender,woman,1,safety,1422.5070089726134,902
gender,woman,2,safety,1110.4645581093832,894
gender,woman,3,safety,1915.9627744962322,607
gender,woman,4,safety,1454.657569971971,886
gender,woman,5,safety,1516.0668068382254,724
gender,woman,6,safety,1806.5283775112196,672
gender,woman,7,safety,1862.03770318044,475
gender,woman,8,safety,1487.152882329533,769
gender,other,0,living,1486.1078862725333,13
gender,other,1,living,1479.4929812388232,14
gender,other,2,living,1552.2748208558796,12
gender,other,3,living,1498.2880531539622,20
gender,other,4,living,1515.8521561090683,17
gender,other,5,living,1412.6034118816526,29
gender,other,6,living,1441.5917221057414,19
gender,other,7,living,1581.1195135477035,21
gender,other,8,living,1533.7423900677293,15
gender,other,0,biodiversity,1406.5170890683864,9
gender,other,1,biodiversity,1511.9341689558485,9
gender,other,2,biodiversity,1535.7648910574464,9
gender,other,3,biodiversity,1576.5904331542847,11
gender,other,4,biodiversity,1523.597090989865,12
gender,other,5,biodiversity,1475.5861936430479,10
gender,other,6,biodiversity,1512.0138151990573,7
gender,other,7,biodiversity,1485.613830121681,11
gender,other,8,biodiversity,1452.0148036579558,6
gender,other,0,safety,1476.0,6
gender,other,1,safety,1501.975996007704,10
gender,other,2,safety,1528.069019774089,12
gender,other,3,safety,1548.2056483125357,14
gender,other,4,safety,1487.931504699472,7
gender,other,5,safety,1465.6224789509317,9
gender,other,6,safety,1512.2049460398134,13
gender,other,7,safety,1423.7516271887068,8
gender,other,8,safety,1556.4316702867152,15
age,younger,0,living,1867.4583206623076,825
age,younger,1,living,1574.0544439766506,878
age,younger,2,living,1643.1934712075986,738
age,younger,3,living,1142.488463199334,534
age,younger,4,living,1266.0385913394598,908
age,younger,5,living,1754.352239655555,828
age,younger,6,living,1867.304807958373,702
age,younger,7,living,1501.950653292664,930
age,younger,8,living,1888.2655347289572,899
age,younger,0,biodiversity,1057.7701838688492,580
age,younger,1,biodiversity,1501.1373393572474,730
age,younger,2,biodiversity,1631.8482957915628,618
age,younger,3,biodiversity,1778.1731849544774,705
age,younger,4,biodiversity,1453.4406814819956,801
age,younger,5,biodiversity,1584.8098812289854,590
age,younger,6,biodiversity,1888.1512839878371,571
age,younger,7,biodiversity,1743.48752645587,734
age,younger,8,biodiversity,1701.734301114806,629
age,younger,0,safety,1061.6263058597578,362
age,younger,1,safety,1701.6248172513724,580
age,younger,2,safety,1040.4110733585987,636
age,younger,3,safety,1625.3342147490125,476
age,younger,4,safety,1342.7964086000245,643
age,younger,5,safety,1502.2943617712433,447
age,younger,6,safety,1836.6279943347945,499
age,younger,7,safety,1816.1194234019138,370
age,younger,8,safety,1429.4834009789565,569
age,middle,0,living,616.15170454734,1013
age,middle,1,living,1826.3305387318173,1347
age,middle,2,living,1877.6429719844796,1240
age,middle,3,living,1584.0001012287876,747
age,middle,4,living,2014.0375268502462,1385
age,middle,5,living,1976.4832230935194,1093
age,middle,6,living,1891.571839469612,1055
age,middle,7,living,1634.7265547921377,1274
age,middle,8,living,1828.8266257801622,1374
age,middle,0,biodiversity,1487.1684877970556,851
age,middle,1,biodiversity,1915.507160540021,1245
age,middle,2,biodiversity,1859.8100592922706,1004
age,middle,3,biodiversity,1202.3711400229636,1121
age,middle,4,biodiversity,2014.3296265481354,1393
age,middle,5,biodiversity,2047.1391577894224,863
age,middle,6,biodiversity,1945.7082279887265,956
age,middle,7,biodiversity,1398.4450132158413,999
age,middle,8,biodiversity,1569.48742727327,1064
age,middle,0,safety,1233.9531291851658,629
age,middle,1,safety,1517.7354158526082,875
age,middle,2,safety,1261.63065199442,861
age,middle,3,safety,1897.2680803252251,699
age,middle,4,safety,1633.875604738989,924
age,middle,5,safety,1952.4676530193285,662
age,middle,6,safety,1134.235308539435,644
age,middle,7,safety,1602.8898958088266,563
age,middle,8,safety,1558.7631655616572,867
age,older,0,living,1146.4172496751792,540
age,older,1,living,1063.39641045159,718
age,older,2,living,1544.7251130568357,676
age,older,3,living,1422.645119573274,491
age,older,4,living,1921.1127455766136,681
age,older,5,living,1745.668620276839,621
age,older,6,living,1748.6974153921751,533
age,older,7,living,1688.139867207128,656
age,older,8,living,1618.6493386545285,700
age,older,0,biodiversity,1197.5803423979285,425
age,older,1,biodiversity,1613.626143724753,594
age,older,2,biodiversity,1289.4948891551671,450
age,older,3,biodiversity,1668.2842872952722,606
age,older,4,biodiversity,1861.995085489976,627
age,older,5,biodiversity,1589.313228062597,432
age,older,6,biodiversity,1783.154470600242,434
age,older,7,biodiversity,1383.497070527437,466
age,older,8,biodiversity,1807.441821589335,470
age,older,0,safety,1083.340586988787,316
age,older,1,safety,1520.2452271138668,497
age,older,2,safety,1384.0009855728517,476
age,older,3,safety,1783.9231677066675,302
age,older,4,safety,1493.5414592888915,407
