demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,370.48591733409745,2500
global,global,1,living,1912.4256456180347,2567
global,global,2,living,1577.017542675017,1992
global,global,3,living,425.34817930262693,2237
global,global,4,living,1996.1230633392527,1579
global,global,5,living,2051.6959943869147,662
global,global,6,living,2123.3843127845967,2551
global,global,7,living,1219.7907380326167,2147
global,global,8,living,1647.8183495675914,2373
global,global,0,biodiversity,2367.2890300172357,2756
global,global,1,biodiversity,1050.3209645663896,2782
global,global,2,biodiversity,-87.88447842163005,1933
global,global,3,biodiversity,-383.98631661783406,1274
global,global,4,biodiversity,1821.1058977688517,2899
global,global,5,biodiversity,1472.8241466064105,2287
global,global,6,biodiversity,1960.6109065037808,2571
global,global,7,biodiversity,1718.4061099707749,2167
global,global,8,biodiversity,2275.6263098288105,2323
global,global,0,safety,2087.6744725567587,2822
global,global,1,safety,1984.5190391600486,3209
global,global,2,safety,1382.4371734440383,2631
global,global,3,safety,2196.557200056218,2649
global,global,4,safety,2012.816575991125,2845
global,global,5,safety,1250.9170647835176,1893
global,global,6,safety,2418.453915442319,2663
global,global,7,safety,1902.5306134083798,2553
global,global,8,safety,135.17295817772847,2435
gender,man,0,living,349.4252911819638,1290
gender,man,1,living,1971.7390165112345,1242
gender,man,2,living,1804.0070744099237,998
gender,man,3,living,1108.150633030081,1173
gender,man,4,living,1696.056951408048,756
gender,man,5,living,1838.711319246347,331
gender,man,6,living,1725.6028102081605,1316
gender,man,7,living,1071.0774899435821,1128
gender,man,8,living,1553.5459049626495,1184
gender,man,0,biodiversity,1749.046384494401,1406
gender,man,1,biodiversity,1671.2368615925877,1489
gender,man,2,biodiversity,1261.8516201782284,978
gender,man,3,biodiversity,1499.80378606019,710
gender,man,4,biodiversity,1114.444971441735,1520
gender,man,5,biodiversity,1799.7338366618742,1142
gender,man,6,biodiversity,2090.0766971375488,1216
gender,man,7,biodiversity,1412.5309046649727,1178
gender,man,8,biodiversity,1833.6814513245122,1157
gender,man,0,safety,1734.1898408536752,1382
gender,man,1,safety,1148.3798313535965,1611
gender,man,2,safety,340.70145158661177,1310
gender,man,3,safety,1073.6511244964306,1435
gender,man,4,safety,2071.131230902971,1422
gender,man,5,safety,1957.005739506263,1054
gender,man,6,safety,1988.419121372948,1366
gender,man,7,safety,1099.8807734192405,1318
gender,man,8,safety,822.5426555087735,1312
gender,woman,0,living,737.8547272709957,1064
gender,woman,1,living,1389.5063345254396,1054
gender,woman,2,living,499.1264284939022,810
gender,woman,3,living,963.2070026926895,880
gender,woman,4,living,1775.977783612192,614
gender,woman,5,living,1904.677219866945,281
gender,woman,6,living,1802.565329678149,1021
gender,woman,7,living,1623.6813206331562,876
gender,woman,8,living,1332.8962484435078,950
gender,woman,0,biodiversity,846.1552168775713,1115
gender,woman,1,biodiversity,1354.4793217978322,1082
gender,woman,2,biodiversity,1068.3416073010924,906
gender,woman,3,biodiversity,-213.77515228802088,507
gender,woman,4,biodiversity,1947.037619053435,1119
gender,woman,5,biodiversity,1690.7232730731243,906
gender,woman,6,biodiversity,636.6566757522525,1027
gender,woman,7,biodiversity,1866.06660227629,750
gender,woman,8,biodiversity,1763.9397342111306,902
gender,woman,0,safety,1580.2562215182497,1170
gender,woman,1,safety,1860.2947302714558,1310
gender,woman,2,safety,1927.8257570099306,1123
gender,woman,3,safety,1757.5412483099346,996
gender,woman,4,safety,732.6086639750633,1129
gender,woman,5,safety,996.1962542509598,751
gender,woman,6,safety,1909.8204400910502,1075
gender,woman,7,safety,2014.0363101106957,1036
gender,woman,8,safety,1434.2617749380056,1014
gender,other,0,living,1562.30910501978,7
gender,other,1,living,1535.013767784592,17
gender,other,2,living,1464.414300586377,5
gender,other,3,living,1524.033175370354,12
gender,other,4,living,1499.9421680129356,10
gender,other,5,living,1488.0011413856714,13
gender,other,6,living,1478.4776120113222,6
gender,other,7,living,1437.9237244563178,9
gender,other,8,living,1513.6485252462926,9
gender,other,0,biodiversity,1454.864521368408,16
gender,other,1,biodiversity,1473.980267167538,16
gender,other,2,biodiversity,1545.738322312323,10
gender,other,3,biodiversity,1500.0098962130942,8
gender,other,4,biodiversity,1513.9056317017184,15
gender,other,5,biodiversity,1534.7164904249216,15
gender,other,6,biodiversity,1562.3640224325097,9
gender,other,7,biodiversity,1480.2524252795604,14
gender,other,8,biodiversity,1439.2595212458273,9
gender,other,0,safety,1412.0137105278409,17
gender,other,1,safety,1552.550136871421,18
gender,other,2,safety,1489.4754409471673,13
gender,other,3,safety,1523.2043945809903,22
gender,other,4,safety,1560.494526807679,15
gender,other,5,safety,1449.8955781967513,16
gender,other,6,safety,1536.6544427339045,9
gender,other,7,safety,1501.1545009672698,18
gender,other,8,safety,1478.7491398524278,10
age,younger,0,living,1224.7077202096514,708
age,younger,1,living,1728.664829400546,667
age,younger,2,living,1553.32211736003,539
age,younger,3,living,1098.5197266240223,622
age,younger,4,living,1798.2711471048578,381
age,younger,5,living,1858.3043597201095,186
age,younger,6,living,1647.8343518596496,724
age,younger,7,living,1050.5881889023537,577
age,younger,8,living,1162.6894373882988,636
age,younger,0,biodiversity,1455.5966041941315,776
age,younger,1,biodiversity,1222.2718818680796,733
age,younger,2,biodiversity,1017.7770481047481,559
age,younger,3,biodiversity,1109.4358577088822,387
age,younger,4,biodiversity,1671.6381791402441,803
age,younger,5,biodiversity,1852.923033477402,620
age,younger,6,biodiversity,1954.2112413397417,641
age,younger,7,biodiversity,997.17462167926,664
age,younger,8,biodiversity,1486.6213966101807,623
age,younger,0,safety,1847.344028535173,757
age,younger,1,safety,1322.4313047092264,848
age,younger,2,safety,1436.155247023813,754
age,younger,3,safety,1746.094369018188,854
age,younger,4,safety,1796.6377152454613,730
age,younger,5,safety,1660.763879178813,654
age,younger,6,safety,1906.476973094297,736
age,younger,7,safety,1600.8134904092387,841
age,younger,8,safety,1722.7454052743747,762
age,middle,0,living,1111.4985639876413,1074
age,middle,1,living,1390.0938569802229,1119
age,middle,2,living,1729.4261550040053,850
age,middle,3,living,1032.4766047280461,901
age,middle,4,living,1509.6406568853697,687
age,middle,5,living,1825.0678850729166,262
age,middle,6,living,1955.2665696408176,1045
age,middle,7,living,1617.558365703881,969
age,middle,8,living,1346.3593547117614,1015
age,middle,0,biodiversity,1842.8619270566796,1188
age,middle,1,biodiversity,1648.3031927735208,1227
age,middle,2,biodiversity,1797.6778263133328,924
age,middle,3,biodiversity,951.9147166785137,534
age,middle,4,biodiversity,1757.9079624626377,1252
age,middle,5,biodiversity,1073.330095652134,973
age,middle,6,biodiversity,1040.6046893227692,1067
age,middle,7,biodiversity,2003.0861780373252,835
age,middle,8,biodiversity,1937.8177186896885,936
age,middle,0,safety,1654.2679456168419,1161
age,middle,1,safety,1741.8123103094144,1358
age,middle,2,safety,346.2337297889316,1047
age,middle,3,safety,1903.8278917410603,1055
age,middle,4,safety,1101.9788279830161,1213
age,middle,5,safety,1718.341743653857,816
age,middle,6,safety,1956.8833818154965,1157
age,middle,7,safety,909.4979303990506,1049
age,middle,8,safety,1141.0500162537421,1034
age,older,0,living,1089.5970189421887,580
age,older,1,living,1851.389251142431,522
age,older,2,living,1370.779878452044,423
age,older,3,living,1266.737564212056,547
age,older,4,living,1727.8807507692939,309
age,older,5,living,1444.4058864596689,177
age,older,6,living,1328.519047151588,563
age,older,7,living,1815.8609808366311,462
age,older,8,living,1556.9138681505176,495
age,older,0,biodiversity,1779.3836230469608,560
age,older,1,biodiversity,1755.2309245777803,628
age,older,2,biodiversity,1187.5452238659777,412
age,older,3,biodiversity,1071.9841651252739,300
age,older,4,biodiversity,1344.061486662141,582
age,older,5,biodiversity,1042.9933224301544,464
age,older,6,biodiversity,1705.4422809709752,530
age,older,7,biodiversity,1558.390642074811,427
age,older,8,biodiversity,1865.1153265446749,497
age,older,0,safety,1628.2319722448724,653
age,older,1,safety,1520.1599182525194,723
age,older,2,safety,1693.8856528131414,631
age,older,3,safety,1463.8594241027588,529
age,older,4,safety,1808.8604508634382,609
age,older,5,safety,917.4251407782973,343
age,older,6,safety,1669.3687454357253,546
age,older,7,safety,1909.9552404211465,480
age,older,8,safety,1390.817684260616,536
ethnicity,white,0,living,163.61646379679863,2058
ethnicity,white,1,living,1870.9014118260618,1973
ethnicity,white,2,living,1670.2951574920996,1525
ethnicity,white,3,living,598.2618114624047,1775
ethnicity,white,4,living,1997.756070012294,1199
ethnicity,white,5,living,2048.784126062095,530
ethnicity,white,6,living,1957.187106989672,2067
ethnicity,white,7,living,1444.4379747252742,1703
ethnicity,white,8,living,1476.1167092312025,1846
ethnicity,white,0,biodiversity,1815.4667498446693,2163
ethnicity,white,1,biodiversity,1683.35015130787,2252
ethnicity,white,2,biodiversity,400.7847818259918,1622
ethnicity,white,3,biodiversity,-20.21766363551737,1081
ethnicity,white,4,biodiversity,1460.0343347741364,2284
ethnicity,white,5,biodiversity,1146.0733242976114,1796
ethnicity,white,6,biodiversity,1890.1722890703059,1975
ethnicity,white,7,biodiversity,1973.997971632472,1646
ethnicity,white,8,biodiversity,2271.999896149617,1771
ethnicity,white,0,safety,2079.936045479387,2229
ethnicity,white,1,safety,1499.5485525035144,2545
ethnicity,white,2,safety,1587.0174149368133,2109
ethnicity,white,3,safety,1156.374167284597,2113
ethnicity,white,4,safety,2091.204804131302,2247
ethnicity,white,5,safety,1224.0820124117274,1530
ethnicity,white,6,safety,2277.0650387740225,2115
ethnicity,white,7,safety,1905.387125639006,1999
ethnicity,white,8,safety,525.4096155542773,2007
ethnicity,other,0,living,1615.7319245954834,224
ethnicity,other,1,living,1576.3732396410603,245
ethnicity,other,2,living,1327.8886696811915,204
ethnicity,other,3,living,1315.9488468022619,209
ethnicity,other,4,living,1648.2078296789018,128
ethnicity,other,5,living,1598.1497160034082,68
ethnicity,other,6,living,1691.8534703377836,191
ethnicity,other,7,living,1500.5087991659614,230
ethnicity,other,8,living,1480.6077276535343,211
ethnicity,other,0,biodiversity,1362.7199363854393,258
ethnicity,other,1,biodiversity,1533.2033619853394,230
ethnicity,other,2,biodiversity,1477.521088676811,188
ethnicity,other,3,biodiversity,1252.1128295140993,97
ethnicity,other,4,biodiversity,1564.9459058483794,264
ethnicity,other,5,biodiversity,1778.9218840475737,182
ethnicity,other,6,biodiversity,1510.0302622792217,201
ethnicity,other,7,biodiversity,1586.0042399904785,198
ethnicity,other,8,biodiversity,1623.621861904708,208
ethnicity,other,0,safety,1438.0701050129474,236
ethnicity,other,1,safety,1781.0423725712826,268
ethnicity,other,2,safety,1224.8061819309416,234
ethnicity,other,3,safety,1467.6366747772656,243
ethnicity,other,4,safety,1683.2653799396255,214
ethnicity,other,5,safety,1545.0940335274213,216
ethnicity,other,6,safety,1555.4111466986203,236
ethnicity,other,7,safety,1606.926835667017,278
ethnicity,other,8,safety,1427.7613235409844,219
education,sixteen,0,living,1444.470983097314,169
education,sixteen,1,living,1484.159847511855,144
education,sixteen,2,living,1391.9321168633153,117
education,sixteen,3,living,1342.5009866474554,170
education,sixteen,4,living,1726.134614696194,77
education,sixteen,5,living,1649.4897192128753,46
education,sixteen,6,living,1514.024738196359,208
education,sixteen,7,living,1598.041338665801,167
education,sixteen,8,living,1222.8218500117869,148
education,sixteen,0,biodiversity,1605.5781723217042,167
education,sixteen,1,biodiversity,1444.661947393485,188
education,sixteen,2,biodiversity,1287.7891187324008,86
education,sixteen,3,biodiversity,1529.8495433046833,134
education,sixteen,4,biodiversity,1768.3615758338274,180
education,sixteen,5,biodiversity,1507.5500691800992,148
education,sixteen,6,biodiversity,1563.8544595424003,194
education,sixteen,7,biodiversity,1377.9062785162034,125
education,sixteen,8,biodiversity,1475.7621689708246,148
education,sixteen,0,safety,1241.3051868310529,187
education,sixteen,1,safety,1372.0221820848533,208
education,sixteen,2,safety,1653.2723929638316,157
education,sixteen,3,safety,1566.4713180218787,167
education,sixteen,4,safety,1611.2129081717449,182
education,sixteen,5,safety,1521.7533672012312,127
education,sixteen,6,safety,1355.4476767521385,157
education,sixteen,7,safety,1731.6956206005568,137
education,sixteen,8,safety,1372.6571957692267,134
education,eighteen,0,living,956.6763033841487,475
education,eighteen,1,living,1637.6841687621627,434
education,eighteen,2,living,1562.2281169811595,337
education,eighteen,3,living,1418.4287723801006,375
education,eighteen,4,living,1300.0036694250448,312
education,eighteen,5,living,1534.741872518259,132
education,eighteen,6,living,1850.4125623600153,416
education,eighteen,7,living,1703.8012886878187,355
education,eighteen,8,living,1097.5312768467645,378
education,eighteen,0,biodiversity,1646.2871336252995,453
education,eighteen,1,biodiversity,1729.3747676486585,502
education,eighteen,2,biodiversity,1604.6014597544377,333
education,eighteen,3,biodiversity,1072.2353055537894,192
education,eighteen,4,biodiversity,1779.1285934479754,403
education,eighteen,5,biodiversity,1136.5009760626342,401
education,eighteen,6,biodiversity,1483.240309674371,443
education,eighteen,7,biodiversity,1759.562842910016,362
education,eighteen,8,biodiversity,1235.6450092710763,371
education,eighteen,0,safety,1780.359466150866,470
education,eighteen,1,safety,1720.2116135866374,525
education,eighteen,2,safety,1622.90877134623,446
education,eighteen,3,safety,1821.9044779339529,407
education,eighteen,4,safety,1495.9970678872673,437
education,eighteen,5,safety,1353.0914423090205,321
education,eighteen,6,safety,1079.6218507827316,499
education,eighteen,7,safety,1165.723410238949,426
education,eighteen,8,safety,1464.2257906423251,437
education,older,0,living,808.3588350820268,1693
education,older,1,living,1488.6173327572048,1716
education,older,2,living,1407.970086917452,1343
education,older,3,living,990.2207035448031,1493
education,older,4,living,1890.0709125869007,978
education,older,5,living,1943.0461915468968,441
education,older,6,living,1864.9235908886442,1689
education,older,7,living,1197.635748647387,1467
education,older,8,living,1580.9491997227976,1594
education,older,0,biodiversity,1397.5608296793907,1881
education,older,1,biodiversity,1249.2006745675442,1859
education,older,2,biodiversity,749.9121164836339,1448
education,older,3,biodiversity,121.3636914570798,884
education,older,4,biodiversity,877.9700251482456,2035
education,older,5,biodiversity,2010.5164989035818,1487
education,older,6,biodiversity,1446.7935170721075,1590
education,older,7,biodiversity,1849.0737128087198,1425
education,older,8,biodiversity,2093.201977398911,1513
education,older,0,safety,1928.3441112205385,1877
education,older,1,safety,1554.3714532727922,2172
education,older,2,safety,-67.29621575390135,1804
education,older,3,safety,784.788497549003,1842
education,older,4,safety,1581.0961870004207,1921
education,older,5,safety,1505.3806676718248,1359
education,older,6,safety,2181.2426915595865,1761
education,older,7,safety,872.9866374543075,1773
education,older,8,safety,996.3900778915536,1735
income,lower,0,living,1327.7343504025177,456
income,lower,1,living,1545.0879600184367,459
income,lower,2,living,1748.2915300361149,326
income,lower,3,living,1181.0441035286904,378
income,lower,4,living,1625.9495002450228,291
income,lower,5,living,1786.1600669871082,117
income,lower,6,living,1598.416980405358,452
income,lower,7,living,1690.8830563638599,416
income,lower,8,living,1268.641722747565,413
income,lower,0,biodiversity,645.1344986329859,431
income,lower,1,biodiversity,1642.3614394130761,448
income,lower,2,biodiversity,1088.4870377407433,279
income,lower,3,biodiversity,1331.3478159444812,234
income,lower,4,biodiversity,1732.1013979883733,498
income,lower,5,biodiversity,1482.944585472269,353
income,lower,6,biodiversity,1757.5346116187118,456
income,lower,7,biodiversity,1521.3298248968852,402
income,lower,8,biodiversity,1823.9881300514396,341
income,lower,0,safety,1744.7880582755538,450
income,lower,1,safety,1539.1488799298074,532
income,lower,2,safety,1363.567711961496,467
income,lower,3,safety,1781.0218593155078,464
income,lower,4,safety,1233.3047894375707,468
income,lower,5,safety,1450.7238191826893,304
income,lower,6,safety,1677.7957411193938,472
income,lower,7,safety,1810.0487423334055,393
income,lower,8,safety,1430.0889643438327,420
income,middle,0,living,1111.3326225106825,758
income,middle,1,living,1792.0360496782992,721
income,middle,2,living,1380.5989763185432,583
income,middle,3,living,1458.5519302598937,657
income,middle,4,living,1849.6723954375784,397
income,middle,5,living,1691.4868136335854,217
income,middle,6,living,1758.1428708628375,776
income,middle,7,living,1145.3697426549852,574
income,middle,8,living,1564.0580316810403,669
income,middle,0,biodiversity,1923.1539437416322,759
income,middle,1,biodiversity,1069.0470723574483,838
income,middle,2,biodiversity,1278.1400447967014,629
income,middle,3,biodiversity,1389.0186768292706,404
income,middle,4,biodiversity,1672.1324323020215,795
income,middle,5,biodiversity,1482.8848682112289,716
income,middle,6,biodiversity,1744.2090619451226,698
income,middle,7,biodiversity,1850.014224869981,542
income,middle,8,biodiversity,1581.8792311690245,677
income,middle,0,safety,1875.074540579171,861
income,middle,1,safety,1932.594969601824,918
income,middle,2,safety,1747.1681980043802,833
income,middle,3,safety,1822.0391500450107,755
income,middle,4,safety,1602.6084789826898,826
income,middle,5,safety,1725.2470829581105,569
income,middle,6,safety,1757.423563259638,794
income,middle,7,safety,1684.4660089784586,792
income,middle,8,safety,1434.8311062412322,776
income,higher,0,living,1256.2257534253545,729
income,higher,1,living,1290.8769068705062,731
income,higher,2,living,1540.8895880625284,588
income,higher,3,living,1196.8287656894224,667
income,higher,4,living,1576.8104536851326,436
income,higher,5,living,1783.3193137912008,180
income,higher,6,living,1847.2095233677596,705
income,higher,7,living,1734.704577882941,656
income,higher,8,living,1424.8960731735913,684
income,higher,0,biodiversity,1804.896142380359,875
income,higher,1,biodiversity,1419.3562786183957,847
income,higher,2,biodiversity,1507.7687245198233,660
income,higher,3,biodiversity,969.0343306208729,394
income,higher,4,biodiversity,1870.994621529941,868
income,higher,5,biodiversity,1694.9852759545977,620
income,higher,6,biodiversity,1099.4032717872585,698
income,higher,7,biodiversity,1591.708846320217,610
income,higher,8,biodiversity,1930.8109064869664,652
income,higher,0,safety,1879.4300027175047,807
income,higher,1,safety,1843.3339253512593,955
income,higher,2,safety,672.3340704291079,699
income,higher,3,safety,1160.734526381883,789
income,higher,4,safety,1812.0518999404715,838
income,higher,5,safety,1623.393867146019,646
income,higher,6,safety,1937.2245269957511,776
income,higher,7,safety,1523.5763651781958,768
income,higher,8,safety,1358.021153180097,720
movement,yes,0,living,1322.3101344088527,527
movement,yes,1,living,1729.6725194110204,493
movement,yes,2,living,1747.3285261218946,377
movement,yes,3,living,1216.1072883691966,457
movement,yes,4,living,1570.9992272691306,322
movement,yes,5,living,1810.2524681085051,123
movement,yes,6,living,1516.4024256061869,471
movement,yes,7,living,1099.2126661924142,428
movement,yes,8,living,1361.7966738098014,460
movement,yes,0,biodiversity,1781.318931146315,550
movement,yes,1,biodiversity,1690.5129394643473,564
movement,yes,2,biodiversity,1493.3769309963623,366
movement,yes,3,biodiversity,1055.7156928011063,222
movement,yes,4,biodiversity,1662.16366913789,586
movement,yes,5,biodiversity,1087.4974655948329,427
movement,yes,6,biodiversity,1632.2082852586118,467
movement,yes,7,biodiversity,1729.618815635557,428
movement,yes,8,biodiversity,1827.6152824668743,408
movement,yes,0,safety,1287.9028221267747,572
movement,yes,1,safety,1511.6279665198906,657
movement,yes,2,safety,1174.3777718839776,530
movement,yes,3,safety,1804.9235617095705,560
movement,yes,4,safety,1782.9548178471532,518
movement,yes,5,safety,1394.3012676179287,351
movement,yes,6,safety,1608.2107128839616,502
movement,yes,7,safety,1846.807919072474,479
movement,yes,8,safety,1041.135086141844,481
movement,no,0,living,636.7132082108837,1780
movement,no,1,living,1495.5666110222628,1776
movement,no,2,living,712.6668728578553,1393
movement,no,3,living,1231.3002188462094,1558
movement,no,4,living,1889.1128465908123,1023
movement,no,5,living,1801.363840777537,488
movement,no,6,living,2099.3480903017626,1821
movement,no,7,living,1529.2674036684716,1547
movement,no,8,living,1593.562952533396,1638
movement,no,0,biodiversity,2103.2460323639248,1942
movement,no,1,biodiversity,1003.5923612196478,1976
movement,no,2,biodiversity,618.4909509242959,1483
movement,no,3,biodiversity,809.7791619382587,982
movement,no,4,biodiversity,1703.7693097018723,2009
movement,no,5,biodiversity,1889.354372867281,1586
movement,no,6,biodiversity,1856.574595050282,1746
movement,no,7,biodiversity,1928.6744480242821,1470
movement,no,8,biodiversity,2201.6066187464075,1614
movement,no,0,safety,2238.289886679419,1949
