demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1704.3068072730387,2685
global,global,1,living,999.4337850190715,2451
global,global,2,living,147.84825863699984,2346
global,global,3,living,2350.7599544471836,3273
global,global,4,living,918.985938854119,2360
global,global,5,living,2043.8007245433723,2752
global,global,6,living,2260.601095998016,2284
global,global,7,living,2180.4966479403774,2905
global,global,8,living,1999.155149730996,2532
global,global,0,biodiversity,1818.8544008933663,1993
global,global,1,biodiversity,495.43914192790004,1032
global,global,2,biodiversity,1737.8375459050837,2549
global,global,3,biodiversity,2012.6486698991812,2272
global,global,4,biodiversity,2187.607737439942,2647
global,global,5,biodiversity,1059.5523129643154,2212
global,global,6,biodiversity,2101.908719762315,1791
global,global,7,biodiversity,242.0429435109153,1399
global,global,8,biodiversity,1476.3674224273118,2231
global,global,0,safety,2109.667455562272,2977
global,global,1,safety,716.6154227155707,1938
global,global,2,safety,847.2207000260282,2506
global,global,3,safety,2087.447600213964,2618
global,global,4,safety,2252.9421157717993,1847
global,global,5,safety,1963.2078475907865,3058
global,global,6,safety,1488.4852711147767,2063
global,global,7,safety,1679.554789128784,2273
global,global,8,safety,-55.00932876138908,2306
gender,man,0,living,1391.5399061792932,1314
gender,man,1,living,1614.7356646378012,1286
gender,man,2,living,1562.7727848431828,1243
gender,man,3,living,1929.611827735022,1696
gender,man,4,living,1998.1316146338943,1233
gender,man,5,living,1941.3274092667784,1391
gender,man,6,living,1013.2414603088822,1110
gender,man,7,living,1786.5068350403994,1527
gender,man,8,living,1851.9700165281165,1318
gender,man,0,biodiversity,1905.1680410399752,1014
gender,man,1,biodiversity,1129.4151062128988,601
gender,man,2,biodiversity,1996.2112819511738,1221
gender,man,3,biodiversity,1474.4802115990335,1170
gender,man,4,biodiversity,2030.6241428678147,1301
gender,man,5,biodiversity,1035.2258181751254,1117
gender,man,6,biodiversity,1684.4673658850486,943
gender,man,7,biodiversity,923.7537823775355,759
gender,man,8,biodiversity,566.15816769289,1104
gender,man,0,safety,1752.5239962785438,1548
gender,man,1,safety,1388.755385022029,1027
gender,man,2,safety,1318.1992818645765,1282
gender,man,3,safety,1638.392597490855,1317
gender,man,4,safety,2045.6857282318688,952
gender,man,5,safety,1881.7585455855433,1472
gender,man,6,safety,1729.5351094366058,1019
gender,man,7,safety,1808.3129105868306,1282
gender,man,8,safety,1249.277286403756,1177
gender,woman,0,living,1924.216279629203,1135
gender,woman,1,living,1524.6208576755034,1002
gender,woman,2,living,731.2024696681473,938
gender,woman,3,living,1947.4637386381794,1294
gender,woman,4,living,-818.9783801846941,942
gender,woman,5,living,1811.919001480598,1090
gender,woman,6,living,1753.11464509133,941
gender,woman,7,living,1997.4760082433002,1120
gender,woman,8,living,1264.054803296946,1022
gender,woman,0,biodiversity,1845.4425606000045,867
gender,woman,1,biodiversity,916.63255334746,371
gender,woman,2,biodiversity,1505.8486284769658,1042
gender,woman,3,biodiversity,1409.3844053591167,951
gender,woman,4,biodiversity,1879.269639811323,1062
gender,woman,5,biodiversity,1588.1343080996496,916
gender,woman,6,biodiversity,1986.9307334918408,729
gender,woman,7,biodiversity,965.6858199980619,526
gender,woman,8,biodiversity,1910.4140813581846,932
gender,woman,0,safety,1451.8212768691012,1189
gender,woman,1,safety,1216.2916757898477,743
gender,woman,2,safety,1823.7157405147389,1063
gender,woman,3,safety,1797.3634710945846,1042
gender,woman,4,safety,1316.828319204846,792
gender,woman,5,safety,1894.5542038362635,1239
gender,woman,6,safety,1727.0447975092368,861
gender,woman,7,safety,1948.852545544632,751
gender,woman,8,safety,905.1167295134745,908
gender,other,0,living,1498.3042250753335,8
gender,other,1,living,1486.5182350033008,9
gender,other,2,living,1455.1134948392926,16
gender,other,3,living,1536.0725038321548,13
gender,other,4,living,1436.1052556356155,13
gender,other,5,living,1466.941480984122,9
gender,other,6,living,1513.443256487514,9
gender,other,7,living,1547.2837639230247,12
gender,other,8,living,1560.7777737139659,13
gender,other,0,biodiversity,1512.136690381092,9
gender,other,1,biodiversity,1457.6185573839919,19
gender,other,2,biodiversity,1445.0725627608263,13
gender,other,3,biodiversity,1428.5692594950006,16
gender,other,4,biodiversity,1535.4214272866402,11
gender,other,5,biodiversity,1549.2993661663074,12
gender,other,6,biodiversity,1500.4085109721182,6
gender,other,7,biodiversity,1578.5367543841544,15
gender,other,8,biodiversity,1483.775533369618,21
gender,other,0,safety,1499.4398076636076,18
gender,other,1,safety,1536.006422622304,7
gender,other,2,safety,1411.995997553019,11
gender,other,3,safety,1488.0235730441836,15
gender,other,4,safety,1522.5619239691125,16
gender,other,5,safety,1575.7694164913607,7
gender,other,6,safety,1441.6335102658038,11
gender,other,7,safety,1458.593971449222,17
gender,other,8,safety,1547.2942702555779,12
age,younger,0,living,730.3250878858279,690
age,younger,1,living,1740.3627521566632,727
age,younger,2,living,1585.1784880626644,714
age,younger,3,living,1766.6427118376657,892
age,younger,4,living,1731.1512458632294,672
age,younger,5,living,1457.31447639412,776
age,younger,6,living,1124.9684520287724,598
age,younger,7,living,1603.3172644188737,807
age,younger,8,living,1961.3350399162032,652
age,younger,0,biodiversity,1744.8308927089763,535
age,younger,1,biodiversity,1172.370454956834,319
age,younger,2,biodiversity,1281.037307277848,708
age,younger,3,biodiversity,1679.8877967015392,610
age,younger,4,biodiversity,1800.5023042446555,700
age,younger,5,biodiversity,1430.75037560326,631
age,younger,6,biodiversity,1878.1604861431717,463
age,younger,7,biodiversity,1202.4149861418064,499
age,younger,8,biodiversity,1359.677433450965,637
age,younger,0,safety,1851.1317809770057,915
age,younger,1,safety,1531.196290435661,568
age,younger,2,safety,618.0307684947112,640
age,younger,3,safety,1890.6429895173903,775
age,younger,4,safety,1830.503727857311,579
age,younger,5,safety,1634.0384779540316,778
age,younger,6,safety,689.0670493885659,548
age,younger,7,safety,1793.5715052471396,701
age,younger,8,safety,1593.6990893317577,648
age,middle,0,living,1813.3107535752645,1204
age,middle,1,living,1404.5886402605504,1050
age,middle,2,living,953.0407736092426,1014
age,middle,3,living,1948.3770573018508,1365
age,middle,4,living,1158.2161792027753,1015
age,middle,5,living,1971.2314275714448,1175
age,middle,6,living,1772.907599795762,933
age,middle,7,living,2013.2817102410725,1179
age,middle,8,living,1783.3218414948747,1123
age,middle,0,biodiversity,2005.0081946100784,891
age,middle,1,biodiversity,1368.1593941532174,460
age,middle,2,biodiversity,1462.0858388191718,1005
age,middle,3,biodiversity,1866.0976416655612,1065
age,middle,4,biodiversity,1712.8667599149694,1090
age,middle,5,biodiversity,1628.0172028532725,933
age,middle,6,biodiversity,1746.0759680983635,797
age,middle,7,biodiversity,950.0037133598175,512
age,middle,8,biodiversity,1809.9561420642451,935
age,middle,0,safety,998.059486680199,1199
age,middle,1,safety,323.4966426563879,753
age,middle,2,safety,1361.5795167832198,1157
age,middle,3,safety,1292.389063850287,1086
age,middle,4,safety,1711.2021539282723,779
age,middle,5,safety,1858.723946113885,1264
age,middle,6,safety,1973.2174878211142,867
age,middle,7,safety,1561.4081421908702,902
age,middle,8,safety,1449.1233045888707,995
age,older,0,living,1925.988491007722,549
age,older,1,living,1548.1543220358265,509
age,older,2,living,1483.8834087940047,466
age,older,3,living,1615.899697472691,736
age,older,4,living,1390.4105776176677,496
age,older,5,living,1660.076900919346,526
