demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1163.014508284443,2091
global,global,1,living,1641.0292542248765,2495
global,global,2,living,2146.342794432279,2428
global,global,3,living,87.6279822962052,1882
global,global,4,living,1045.635010238343,2111
global,global,5,living,2282.8774472495984,1702
global,global,6,living,1740.3822884259987,2820
global,global,7,living,1888.714386010385,2003
global,global,8,living,6.575279353057184,1864
global,global,0,biodiversity,2100.3059230159347,2719
global,global,1,biodiversity,2016.7693642111024,2828
global,global,2,biodiversity,288.51542830363826,2326
global,global,3,biodiversity,1873.5386586175746,2267
global,global,4,biodiversity,2141.633783789816,1758
global,global,5,biodiversity,1578.5188292523408,2601
global,global,6,biodiversity,2303.6626242999046,2606
global,global,7,biodiversity,1407.0208042986064,2933
global,global,8,biodiversity,1727.5931198728003,2998
global,global,0,safety,1147.5844651681555,2198
global,global,1,safety,548.0791701073439,2592
global,global,2,safety,1537.1094846266199,2647
global,global,3,safety,2297.385894397606,1675
global,global,4,safety,587.2878045437042,2181
global,global,5,safety,2190.9974893472167,2703
global,global,6,safety,1361.6176548064734,2421
global,global,7,safety,1324.7952635292388,2193
global,global,8,safety,1963.964606699969,2258
gender,man,0,living,1666.9152368176678,1094
gender,man,1,living,1308.711024800003,1255
gender,man,2,living,1629.8755673216344,1218
gender,man,3,living,1171.06944697316,1028
gender,man,4,living,1390.3187667135833,1106
gender,man,5,living,1949.2279569018178,840
gender,man,6,living,1848.5243733662846,1468
gender,man,7,living,2001.5363648091839,994
gender,man,8,living,1230.8182920469799,1057
gender,man,0,biodiversity,1579.8186411109386,1306
gender,man,1,biodiversity,2010.7875617950515,1441
gender,man,2,biodiversity,137.4331481319901,1233
gender,man,3,biodiversity,1419.9786095239915,1094
gender,man,4,biodiversity,1966.824732719056,860
gender,man,5,biodiversity,1291.9586398863235,1306
gender,man,6,biodiversity,8.999393312872357,1388
gender,man,7,biodiversity,1217.637269290023,1508
gender,man,8,biodiversity,1166.0703710949515,1528
gender,man,0,safety,1507.585433548929,1232
gender,man,1,safety,1087.948150471909,1327
gender,man,2,safety,1731.6843903728702,1347
gender,man,3,safety,1988.6164666458797,835
gender,man,4,safety,864.2042446091286,1183
gender,man,5,safety,1966.443599112652,1415
gender,man,6,safety,1795.5380348694803,1259
gender,man,7,safety,-285.11545335849155,999
gender,man,8,safety,1935.0860884050041,1103
gender,woman,0,living,1419.3567949976855,786
gender,woman,1,living,1936.8486060128073,987
gender,woman,2,living,1833.0414766805425,984
gender,woman,3,living,1096.2372595970924,743
gender,woman,4,living,1222.33176328417,903
gender,woman,5,living,1989.860633423179,743
gender,woman,6,living,1660.0294597620123,1119
gender,woman,7,living,1733.3199205973383,795
gender,woman,8,living,215.28855566404656,664
gender,woman,0,biodiversity,1759.0819979080409,1088
gender,woman,1,biodiversity,92.50476985694257,1093
gender,woman,2,biodiversity,1778.7342302091702,1055
gender,woman,3,biodiversity,1901.6142600581657,868
gender,woman,4,biodiversity,1539.2794468127126,751
gender,woman,5,biodiversity,1533.5573777956067,1105
gender,woman,6,biodiversity,1988.8785240005398,1026
gender,woman,7,biodiversity,1456.2389787957532,1166
gender,woman,8,biodiversity,892.6633172153189,1142
gender,woman,0,safety,1306.0563115184418,848
gender,woman,1,safety,1646.0087673430803,1067
gender,woman,2,safety,1495.4493809928015,1058
gender,woman,3,safety,1967.814042525663,719
