demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,739.4565438993513,2439
global,global,1,living,889.579260821762,2690
global,global,2,living,1390.0766063808396,2517
global,global,3,living,1784.8577421174125,2467
global,global,4,living,839.9366683443568,1749
global,global,5,living,2220.9638866661876,1862
global,global,6,living,2132.8964323020127,1889
global,global,7,living,1529.6773148294212,2035
global,global,8,living,1073.3176174138068,2234
global,global,0,biodiversity,2133.86031297407,1750
global,global,1,biodiversity,1983.2854265460476,1962
global,global,2,biodiversity,1089.0575329284388,2290
global,global,3,biodiversity,1543.0185171503283,2458
global,global,4,biodiversity,926.0282509507082,2145
global,global,5,biodiversity,2234.3511064414033,1930
global,global,6,biodiversity,544.4043767925841,1728
global,global,7,biodiversity,1912.0723452262016,2322
global,global,8,biodiversity,1040.7082494999831,1761
global,global,0,safety,564.9484447026856,3024
global,global,1,safety,2419.9099321584476,2714
global,global,2,safety,782.2888914913373,2583
global,global,3,safety,896.9715837532749,3102
global,global,4,safety,1860.7076702317825,2650
global,global,5,safety,1953.9888578311104,3203
global,global,6,safety,2089.8758333929823,2461
global,global,7,safety,1468.2567600489713,2569
global,global,8,safety,2179.4131688186544,2766
gender,man,0,living,1553.7256761837125,1212
gender,man,1,living,96.4654054555215,1358
gender,man,2,living,1670.3054355181227,1287
gender,man,3,living,1920.0276096380242,1283
gender,man,4,living,1438.5236659601885,848
gender,man,5,living,2065.255470873694,915
gender,man,6,living,1379.3654123808776,1019
gender,man,7,living,1811.1023523239053,1071
gender,man,8,living,1292.794893100537,1163
gender,man,0,biodiversity,1839.2523176482,876
gender,man,1,biodiversity,1760.2289189234518,980
gender,man,2,biodiversity,1128.1584730635857,1140
gender,man,3,biodiversity,1727.5708623904434,1244
gender,man,4,biodiversity,1694.6125516675147,1019
gender,man,5,biodiversity,2012.0959756631491,972
gender,man,6,biodiversity,1219.882723466626,898
gender,man,7,biodiversity,1329.9433333605696,1219
gender,man,8,biodiversity,590.1117032749803,908
gender,man,0,safety,1672.8979141424436,1594
gender,man,1,safety,2132.503008285438,1360
gender,man,2,safety,1623.6171380854917,1407
gender,man,3,safety,1756.654063669038,1607
gender,man,4,safety,1548.5657177970613,1389
gender,man,5,safety,1791.8489579393804,1583
gender,man,6,safety,1413.9054353305062,1295
gender,man,7,safety,2010.3054811287493,1265
gender,man,8,safety,1663.5167460082903,1512
gender,woman,0,living,669.2275777048433,1010
gender,woman,1,living,1893.0593881766931,1088
gender,woman,2,living,1465.6919581719194,1055
gender,woman,3,living,1489.3762273406999,1024
gender,woman,4,living,844.0673492959859,695
gender,woman,5,living,1856.0253437789652,814
gender,woman,6,living,1946.9506274940618,740
gender,woman,7,living,1510.9151624365793,797
gender,woman,8,living,886.5424967746729,865
gender,woman,0,biodiversity,1958.6926400828436,664
gender,woman,1,biodiversity,1305.6880102402451,773
gender,woman,2,biodiversity,1524.9922453893735,945
gender,woman,3,biodiversity,1819.815611399918,1028
gender,woman,4,biodiversity,1446.3171689240287,890
gender,woman,5,biodiversity,1557.0390228601082,777
gender,woman,6,biodiversity,910.7834915953548,723
gender,woman,7,biodiversity,1898.4197280547971,906
gender,woman,8,biodiversity,1766.5279231179543,728
gender,woman,0,safety,764.5002276739607,1172
gender,woman,1,safety,1886.6373810918876,1130
gender,woman,2,safety,1034.053987641147,994
gender,woman,3,safety,1055.5841413753553,1234
gender,woman,4,safety,1639.2049123507693,1031
gender,woman,5,safety,1950.5888369299912,1329
gender,woman,6,safety,1762.6580275503018,959
gender,woman,7,safety,1540.2731486080288,1079
gender,woman,8,safety,1972.4453628902193,1018
gender,other,0,living,1487.9558424132124,15
gender,other,1,living,1559.6177014826278,9
gender,other,2,living,1461.159432565754,11
gender,other,3,living,1512.4515380257033,15
gender,other,4,living,1526.0882728170773,8
gender,other,5,living,1427.6740182212402,6
gender,other,6,living,1477.2556307664586,8
gender,other,7,living,1502.0649284400552,14
gender,other,8,living,1546.0271338676482,10
gender,other,0,biodiversity,1571.7739940234471,10
gender,other,1,biodiversity,1427.726644099654,12
gender,other,2,biodiversity,1500.311389724007,20
gender,other,3,biodiversity,1486.9915477559186,13
gender,other,4,biodiversity,1512.535340586561,13
gender,other,5,biodiversity,1536.0696591236097,9
gender,other,6,biodiversity,1536.8011643018228,15
gender,other,7,biodiversity,1476.021641959439,10
gender,other,8,biodiversity,1452.7968635248706,12
gender,other,0,safety,1513.4119526991192,13
gender,other,1,safety,1500.3270883843336,16
gender,other,2,safety,1427.7827487126563,18
gender,other,3,safety,1488.5982505645297,15
gender,other,4,safety,1568.89069015355,18
gender,other,5,safety,1466.2467071145836,15
gender,other,6,safety,1537.7741440524746,17
gender,other,7,safety,1548.111213850873,8
gender,other,8,safety,1451.9922691898144,8
age,younger,0,living,1309.783265445682,715
age,younger,1,living,1711.7336415163918,789
age,younger,2,living,943.1999404704235,768
age,younger,3,living,1853.8858839171198,705
age,younger,4,living,1038.4883267243615,441
age,younger,5,living,1890.0722989313533,537
age,younger,6,living,1680.158245565458,545
age,younger,7,living,1776.2242475150115,619
age,younger,8,living,1598.5627207752364,701
age,younger,0,biodiversity,1729.6467159274464,524
age,younger,1,biodiversity,1867.7686650307667,502
age,younger,2,biodiversity,1147.625349649114,649
age,younger,3,biodiversity,1668.211105520206,698
age,younger,4,biodiversity,1705.49484214905,592
age,younger,5,biodiversity,1779.9608594206757,544
age,younger,6,biodiversity,1383.7562872156886,521
age,younger,7,biodiversity,1105.4924747661719,658
age,younger,8,biodiversity,831.0479318337733,482
age,younger,0,safety,1555.2718389941917,813
age,younger,1,safety,1599.340583164556,739
age,younger,2,safety,1119.2048278568054,697
age,younger,3,safety,1621.3209691949532,825
age,younger,4,safety,1437.6149043410837,772
age,younger,5,safety,1513.0036342918283,932
age,younger,6,safety,1804.8732215249124,646
age,younger,7,safety,1639.4522074527374,691
age,younger,8,safety,1906.1139486762368,677
age,middle,0,living,658.5430782927541,1005
age,middle,1,living,1731.977273474164,1079
age,middle,2,living,1625.9386736192203,1085
age,middle,3,living,1909.439483777124,1062
age,middle,4,living,1570.6683776513923,725
age,middle,5,living,1959.6741342819953,818
age,middle,6,living,1822.8663171547091,785
age,middle,7,living,1761.4123013144747,818
age,middle,8,living,1262.6803927224664,915
age,middle,0,biodiversity,1909.7837381710162,648
age,middle,1,biodiversity,1242.8905998617302,819
age,middle,2,biodiversity,674.4055864752847,946
age,middle,3,biodiversity,1729.0637581255073,1096
age,middle,4,biodiversity,1601.2996170704437,868
age,middle,5,biodiversity,1886.069223043851,797
age,middle,6,biodiversity,1328.3090024600378,759
age,middle,7,biodiversity,1755.1569376904295,997
