demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2449.45522650675,3032
global,global,1,living,1452.7783589647395,3577
global,global,2,living,1604.8139008336195,3368
global,global,3,living,2278.5161568158496,2333
global,global,4,living,1331.4712062734723,3666
global,global,5,living,2331.065856318015,3169
global,global,6,living,706.362190947185,1741
global,global,7,living,2052.9826811073344,3771
global,global,8,living,1068.5617299070645,3243
global,global,0,biodiversity,2172.1471258960582,882
global,global,1,biodiversity,1766.2915013969514,2694
global,global,2,biodiversity,916.211036732876,1832
global,global,3,biodiversity,1506.4287864708888,2520
global,global,4,biodiversity,2036.2695948639278,3076
global,global,5,biodiversity,1892.7811843656307,2438
global,global,6,biodiversity,1593.5924615372746,2692
global,global,7,biodiversity,1660.0903808036226,2277
global,global,8,biodiversity,2105.5968701590073,2277
global,global,0,safety,954.6864680874521,2022
global,global,1,safety,1905.2586387343501,1172
global,global,2,safety,2091.586003124371,1766
global,global,3,safety,2061.3068001636993,1453
global,global,4,safety,880.2791484012145,1743
global,global,5,safety,1710.2301466739939,1860
global,global,6,safety,204.46418456680684,1212
global,global,7,safety,1892.5492851555534,1884
global,global,8,safety,842.8217345395033,1600
gender,man,0,living,1857.188405647879,1494
gender,man,1,living,811.2571074883263,1810
gender,man,2,living,2019.386435023829,1745
gender,man,3,living,2120.7348344729735,1254
gender,man,4,living,84.52429611846024,1898
gender,man,5,living,1406.2509964251385,1526
gender,man,6,living,1547.9935554745628,969
gender,man,7,living,1498.4023449146077,1914
gender,man,8,living,1612.8803529667105,1732
gender,man,0,biodiversity,1827.2053974824007,520
gender,man,1,biodiversity,890.9417115631177,1380
gender,man,2,biodiversity,1361.27172914435,972
gender,man,3,biodiversity,1703.5891099140858,1325
gender,man,4,biodiversity,1580.6489696194535,1540
gender,man,5,biodiversity,1429.1478557198373,1267
gender,man,6,biodiversity,1893.8257262476955,1292
gender,man,7,biodiversity,1930.195082577052,1169
gender,man,8,biodiversity,1976.2040357260148,1147
gender,man,0,safety,896.5266608689021,1037
gender,man,1,safety,1680.084757063642,628
gender,man,2,safety,1717.4030792464355,905
gender,man,3,safety,1958.3507130193052,739
gender,man,4,safety,664.1358778166631,811
gender,man,5,safety,1512.312112841301,969
gender,man,6,safety,518.4627941739584,594
gender,man,7,safety,1928.1627136481106,965
gender,man,8,safety,1442.6441433170396,822
gender,woman,0,living,2026.5141165198154,1327
gender,woman,1,living,1860.2130941421337,1521
gender,woman,2,living,1735.5242978946528,1288
gender,woman,3,living,1986.152355301225,912
gender,woman,4,living,1710.9104327359207,1515
gender,woman,5,living,1931.9190185529392,1359
gender,woman,6,living,975.6322756723425,635
gender,woman,7,living,1666.839784955848,1510
gender,woman,8,living,-123.37979550755588,1291
gender,woman,0,biodiversity,1904.2093628520493,318
gender,woman,1,biodiversity,1964.6495486182484,1031
gender,woman,2,biodiversity,1448.2437713316137,769
gender,woman,3,biodiversity,1470.1250237939714,1002
gender,woman,4,biodiversity,1731.6292537430145,1199
gender,woman,5,biodiversity,1212.7535586696958,905
gender,woman,6,biodiversity,1148.219788930809,1058
gender,woman,7,biodiversity,809.2281162404403,861
gender,woman,8,biodiversity,714.0921537511663,913
gender,woman,0,safety,1734.1018724014903,828
gender,woman,1,safety,1908.0048196568587,441
gender,woman,2,safety,1827.9207404530446,703
gender,woman,3,safety,1037.5771271687174,554
gender,woman,4,safety,1507.0051453340816,793
gender,woman,5,safety,1622.1398408553193,759
gender,woman,6,safety,1320.102418249117,545
gender,woman,7,safety,1776.82126571189,773
gender,woman,8,safety,701.3184696976545,658
gender,other,0,living,1452.068386566729,10
gender,other,1,living,1531.5497522786532,20
gender,other,2,living,1497.6858089715665,24
gender,other,3,living,1464.7693897929441,15
gender,other,4,living,1566.3112437562781,13
gender,other,5,living,1488.2801376140942,13
gender,other,6,living,1523.62089104236,22
gender,other,7,living,1548.4951472720868,12
gender,other,8,living,1438.761034864537,5
gender,other,0,biodiversity,1499.957007395307,12
gender,other,1,biodiversity,1432.7680968260797,10
gender,other,2,biodiversity,1546.4715239946017,8
gender,other,3,biodiversity,1464.1707834991444,19
gender,other,4,biodiversity,1512.4605756609399,21
gender,other,5,biodiversity,1488.3930431568522,13
gender,other,6,biodiversity,1524.8075444938952,8
gender,other,7,biodiversity,1474.5043401245862,14
gender,other,8,biodiversity,1563.7510881085718,9
gender,other,0,safety,1437.9480317118766,5
gender,other,1,safety,1449.486217200253,16
gender,other,2,safety,1535.1959115822615,11
gender,other,3,safety,1463.9133854422914,5
gender,other,4,safety,1509.9673690463524,11
gender,other,5,safety,1487.991313572539,11
gender,other,6,safety,1523.8811332777943,12
gender,other,7,safety,1581.1454709462953,9
gender,other,8,safety,1499.9213868296988,10
age,younger,0,living,1909.2006608360527,791
age,younger,1,living,1811.8403816448792,984
age,younger,2,living,1788.856133636574,940
age,younger,3,living,1839.6727820385738,641
age,younger,4,living,1381.835968506243,993
age,younger,5,living,1280.7435981734338,824
age,younger,6,living,1318.6167007180795,546
age,younger,7,living,1046.1681780223137,927
age,younger,8,living,1744.262791915766,920
age,younger,0,biodiversity,1728.201266001843,372
age,younger,1,biodiversity,1658.4270608975098,779
age,younger,2,biodiversity,1606.0267612206499,571
age,younger,3,biodiversity,1864.6742293852924,700
age,younger,4,biodiversity,1925.5404546163957,872
age,younger,5,biodiversity,1480.6226053717044,663
age,younger,6,biodiversity,1140.9825720262304,700
age,younger,7,biodiversity,1788.7891215478103,693
age,younger,8,biodiversity,1568.7270833257264,658
age,younger,0,safety,1149.4716135214442,616
age,younger,1,safety,1486.4216733619292,305
age,younger,2,safety,1863.0365468378616,488
age,younger,3,safety,1799.6391237891507,394
age,younger,4,safety,1703.4903627346007,474
age,younger,5,safety,1514.6560904956316,592
age,younger,6,safety,1131.5070785433509,318
age,younger,7,safety,1429.1959292029812,538
age,younger,8,safety,1396.9690494107815,483
age,middle,0,living,1319.7817737200721,1332
age,middle,1,living,1707.9315920709132,1542
age,middle,2,living,1614.6075140915743,1374
age,middle,3,living,2127.6306282300648,951
age,middle,4,living,1396.70741511884,1638
age,middle,5,living,1762.8667101269584,1347
age,middle,6,living,1225.404399578713,773
age,middle,7,living,1659.316224891359,1613
age,middle,8,living,1098.67301435931,1364
age,middle,0,biodiversity,1914.8035557826377,317
age,middle,1,biodiversity,1581.7504903887157,1102
age,middle,2,biodiversity,935.8665407627404,759
age,middle,3,biodiversity,1422.8725318973723,1091
age,middle,4,biodiversity,1390.5567237381563,1228
age,middle,5,biodiversity,1715.8983879527723,1022
age,middle,6,biodiversity,1761.2464349244347,1138
age,middle,7,biodiversity,1333.9242547416436,906
age,middle,8,biodiversity,1866.4515471823165,927
age,middle,0,safety,1692.5214404901424,859
age,middle,1,safety,1943.2744905944278,473
age,middle,2,safety,912.0742858215465,781
age,middle,3,safety,1526.975095013871,596
age,middle,4,safety,1074.6535993773475,763
age,middle,5,safety,1857.9836097296038,786
age,middle,6,safety,1436.2644629373312,571
age,middle,7,safety,1522.7826517428077,833
age,middle,8,safety,473.450008428653,662
age,older,0,living,1767.4939521155989,694
age,older,1,living,1086.4843891499536,806
age,older,2,living,1910.211132129685,742
age,older,3,living,1645.105441458665,568
age,older,4,living,1795.3909007728732,785
age,older,5,living,1828.7566920859394,725
age,older,6,living,1566.829019894728,302
age,older,7,living,1716.6458672096658,885
age,older,8,living,1409.5508465388684,743
age,older,0,biodiversity,1717.1146661301902,163
age,older,1,biodiversity,1403.5712332544351,528
age,older,2,biodiversity,1599.414270381173,412
age,older,3,biodiversity,1753.4400611962367,548
age,older,4,biodiversity,1684.8924973454837,647
age,older,5,biodiversity,1058.6549583737656,503
age,older,6,biodiversity,1787.4418286945975,510
age,older,7,biodiversity,1182.0020019770122,441
age,older,8,biodiversity,944.6998336564241,478
age,older,0,safety,1422.2236633551668,395
age,older,1,safety,1547.806708137856,305
age,older,2,safety,1805.152811784398,342
age,older,3,safety,1025.3632539222424,304
age,older,4,safety,1481.1532168373963,376
age,older,5,safety,972.7203177162755,360
age,older,6,safety,1155.1553057317108,261
age,older,7,safety,1773.4124546917456,364
age,older,8,safety,1672.5803921828062,341
