demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2315.798525085496,1616
global,global,1,living,806.8758204436381,3553
global,global,2,living,1001.9060326998332,2345
global,global,3,living,2109.2865150486496,1915
global,global,4,living,886.7249951487137,1801
global,global,5,living,1311.4125149183067,2349
global,global,6,living,1933.3866660877616,2571
global,global,7,living,1460.9922265873042,2757
global,global,8,living,-236.95113593643063,1487
global,global,0,biodiversity,-84.03635018697479,2366
global,global,1,biodiversity,1532.7055522541302,2632
global,global,2,biodiversity,1304.0511213019547,2823
global,global,3,biodiversity,2195.653323171573,2438
global,global,4,biodiversity,1823.3890974037238,2120
global,global,5,biodiversity,2376.8881156538023,2814
global,global,6,biodiversity,1474.096010339791,2766
global,global,7,biodiversity,2132.850359158782,2742
global,global,8,biodiversity,150.06466975709762,1669
global,global,0,safety,1719.3253579039135,2632
global,global,1,safety,656.0695480548495,2443
global,global,2,safety,2314.161333606615,1712
global,global,3,safety,2223.9196910849037,2442
global,global,4,safety,1497.558472820427,2599
global,global,5,safety,800.4639997385882,1806
global,global,6,safety,409.29098646823627,2065
global,global,7,safety,1792.138855243286,2235
global,global,8,safety,1636.741754142383,2602
gender,man,0,living,2003.8932018632174,785
gender,man,1,living,1803.5394912302934,1754
gender,man,2,living,1347.7063617717215,1267
gender,man,3,living,1916.8311205745688,1035
gender,man,4,living,1050.603797521817,927
gender,man,5,living,1232.197339891988,1167
gender,man,6,living,2042.1922336350597,1274
gender,man,7,living,1099.3606304850218,1399
gender,man,8,living,1013.7167822121987,868
gender,man,0,biodiversity,1120.9920815691469,1243
gender,man,1,biodiversity,1940.4517694248302,1343
gender,man,2,biodiversity,1673.9143271322068,1402
gender,man,3,biodiversity,1731.8945014179442,1243
gender,man,4,biodiversity,1909.90975845344,1166
gender,man,5,biodiversity,2133.2248060174393,1362
gender,man,6,biodiversity,441.96726743521805,1359
gender,man,7,biodiversity,1439.5188543643942,1422
gender,man,8,biodiversity,474.9122227922635,856
gender,man,0,safety,1745.6521261083012,1331
gender,man,1,safety,845.7872713773124,1223
gender,man,2,safety,2064.72774405947,912
gender,man,3,safety,1961.0609158747382,1271
gender,man,4,safety,2003.252862583172,1393
gender,man,5,safety,1041.938600459518,911
gender,man,6,safety,720.252041911037,1092
gender,man,7,safety,1562.5179042286784,1138
gender,man,8,safety,1699.7634515339355,1281
gender,woman,0,living,1925.8515152859093,681
gender,woman,1,living,1209.0884144809963,1473
gender,woman,2,living,1840.1676256960395,930
gender,woman,3,living,1989.1896725209735,705
gender,woman,4,living,1365.3756987212646,768
gender,woman,5,living,1471.0841842518007,935
gender,woman,6,living,1603.4303736812176,1083
gender,woman,7,living,1520.7266558199094,1047
gender,woman,8,living,628.9855126089994,548
gender,woman,0,biodiversity,940.2125107964088,967
gender,woman,1,biodiversity,1034.6242294205722,1062
gender,woman,2,biodiversity,1508.04641695071,1133
gender,woman,3,biodiversity,1995.4969219712307,975
gender,woman,4,biodiversity,1224.283478166485,851
gender,woman,5,biodiversity,1670.0340285558736,1153
gender,woman,6,biodiversity,1866.4836719191662,1102
gender,woman,7,biodiversity,1924.6940268755257,1030
gender,woman,8,biodiversity,1410.328364456796,733
gender,woman,0,safety,1592.7980083707316,1093
gender,woman,1,safety,1442.5267385181935,1007
gender,woman,2,safety,2006.2663444518937,653
gender,woman,3,safety,1903.220253255141,925
gender,woman,4,safety,-14.886124472064154,1009
gender,woman,5,safety,1464.4117653561862,778
gender,woman,6,safety,1438.0326645636558,855
gender,woman,7,safety,1776.9244952065249,871
gender,woman,8,safety,1605.0958606750983,1101
gender,other,0,living,1416.2758663452917,9
gender,other,1,living,1569.9844721683721,12
gender,other,2,living,1460.6235491996529,11
gender,other,3,living,1549.5541327081582,16
gender,other,4,living,1488.8974896265752,11
gender,other,5,living,1475.952292140848,14
gender,other,6,living,1515.1971233864697,13
gender,other,7,living,1499.2914768066487,22
gender,other,8,living,1524.0422623438653,10
gender,other,0,biodiversity,1556.4730660141993,9
gender,other,1,biodiversity,1510.571249488874,15
gender,other,2,biodiversity,1578.505679306008,11
gender,other,3,biodiversity,1450.2209326086263,14
gender,other,4,biodiversity,1500.047791521854,12
gender,other,5,biodiversity,1524.4461250132697,12
gender,other,6,biodiversity,1424.1290301865504,12
gender,other,7,biodiversity,1478.0048358276165,14
gender,other,8,biodiversity,1464.336012204758,11
gender,other,0,safety,1448.4116254956464,12
gender,other,1,safety,1534.9575359254652,15
gender,other,2,safety,1486.9931031883018,13
gender,other,3,safety,1487.3759163198667,13
gender,other,4,safety,1556.671854471234,9
gender,other,5,safety,1510.9273768890096,15
gender,other,6,safety,1578.4811990698274,9
gender,other,7,safety,1411.0339935543134,13
gender,other,8,safety,1464.305251299936,11
age,younger,0,living,1905.645894856125,437
age,younger,1,living,1644.685172282925,979
age,younger,2,living,1229.761232299469,661
age,younger,3,living,1689.076096387182,594
age,younger,4,living,1397.0155229989791,508
age,younger,5,living,916.4658500453669,640
age,younger,6,living,1553.8922102194426,659
age,younger,7,living,1833.7232860798383,726
age,younger,8,living,1597.2735989624396,478
age,younger,0,biodiversity,1597.2291890057893,698
age,younger,1,biodiversity,1686.852431794406,772
age,younger,2,biodiversity,1385.5687341589482,773
age,younger,3,biodiversity,1549.5204386672876,714
age,younger,4,biodiversity,1772.5010036771164,522
age,younger,5,biodiversity,1938.1281597653083,740
age,younger,6,biodiversity,1091.3063882942529,763
age,younger,7,biodiversity,1715.6118278498716,815
age,younger,8,biodiversity,1505.4232475880697,501
age,younger,0,safety,1589.4441119058076,781
age,younger,1,safety,1616.9059100746626,682
age,younger,2,safety,1799.5725235506484,516
age,younger,3,safety,1855.8645901747834,686
age,younger,4,safety,1681.7687323319963,769
age,younger,5,safety,1760.9799972699932,539
age,younger,6,safety,1555.955041307721,654
age,younger,7,safety,1773.3338627593894,558
age,younger,8,safety,1143.3690097851274,617
age,middle,0,living,1628.4609729406359,692
age,middle,1,living,1501.093327448888,1537
age,middle,2,living,1900.4214724183291,1015
age,middle,3,living,1961.9430278882226,723
age,middle,4,living,757.8273603807601,758
age,middle,5,living,1011.8885622382979,982
age,middle,6,living,1744.0890517114274,1123
age,middle,7,living,878.4915731753495,1115
age,middle,8,living,546.5429514946254,583
age,middle,0,biodiversity,549.1127273883526,1017
age,middle,1,biodiversity,1639.4580258180665,1123
age,middle,2,biodiversity,1761.2927607069043,1193
age,middle,3,biodiversity,1887.3127456790226,985
age,middle,4,biodiversity,1369.8919171257123,984
age,middle,5,biodiversity,1534.0413004590168,1228
age,middle,6,biodiversity,1698.8754158039976,1150
age,middle,7,biodiversity,2058.609771166931,1093
age,middle,8,biodiversity,463.07959137693274,709
age,middle,0,safety,1889.2925943112539,1080
age,middle,1,safety,982.4473343899751,1015
age,middle,2,safety,1986.8868743315754,714
age,middle,3,safety,1207.8796111470451,1060
age,middle,4,safety,1228.350421100358,1071
age,middle,5,safety,1453.883025739197,804
age,middle,6,safety,868.9826673587615,896
age,middle,7,safety,1596.9700359410697,909
age,middle,8,safety,1749.8925377820967,1189
age,older,0,living,1790.8367710251232,345
age,older,1,living,1336.2332994355368,721
age,older,2,living,1181.2694061049517,512
age,older,3,living,1766.607146418728,426
age,older,4,living,1560.0824814979721,433
age,older,5,living,1823.406829683292,482
age,older,6,living,1698.657167885552,586
age,older,7,living,1461.9463549209947,628
age,older,8,living,1382.9673596393038,357
age,older,0,biodiversity,1694.9018109170465,500
age,older,1,biodiversity,1664.5092555792335,518
age,older,2,biodiversity,1788.1852321566985,576
age,older,3,biodiversity,1725.8651153927099,525
age,older,4,biodiversity,1463.8516125428519,513
age,older,5,biodiversity,1833.8924051829306,552
age,older,6,biodiversity,1365.003728884453,560
age,older,7,biodiversity,1586.3330568522279,545
age,older,8,biodiversity,1164.8492466453538,389
age,older,0,safety,1285.6375918007109,566
age,older,1,safety,1491.7592914703905,546
age,older,2,safety,1758.9780183909927,339
age,older,3,safety,1872.0350494587437,453
age,older,4,safety,1616.7450939170706,555
age,older,5,safety,1263.9106850454066,360
age,older,6,safety,1370.6426872617044,403
age,older,7,safety,1700.4481695366762,550
age,older,8,safety,1687.554890018613,588
ethnicity,white,0,living,2181.12415566006,1252
ethnicity,white,1,living,1311.2041995543045,2805
ethnicity,white,2,living,1391.9674061500318,1861
ethnicity,white,3,living,2153.80507401317,1495
ethnicity,white,4,living,370.149277302054,1472
ethnicity,white,5,living,527.7720445221883,1817
ethnicity,white,6,living,1939.2901243250674,2083
ethnicity,white,7,living,955.470327768607,2144
ethnicity,white,8,living,287.4602935495381,1223
ethnicity,white,0,biodiversity,844.7048883771597,1884
ethnicity,white,1,biodiversity,2138.7016321672827,2073
ethnicity,white,2,biodiversity,1397.2672430978769,2190
ethnicity,white,3,biodiversity,2088.0283970732094,1935
ethnicity,white,4,biodiversity,1643.5766445768304,1754
ethnicity,white,5,biodiversity,2291.6356051112543,2154
ethnicity,white,6,biodiversity,1716.755500068751,2104
ethnicity,white,7,biodiversity,1943.5776604182527,2117
ethnicity,white,8,biodiversity,940.9277146577723,1389
ethnicity,white,0,safety,1790.1275317589227,2106
ethnicity,white,1,safety,1031.8554053268276,1947
ethnicity,white,2,safety,2259.295348291087,1332
ethnicity,white,3,safety,2099.4342118929585,1889
ethnicity,white,4,safety,1869.4028232284504,2082
ethnicity,white,5,safety,956.8105688173728,1479
ethnicity,white,6,safety,1042.8268887048828,1695
ethnicity,white,7,safety,1404.5969144813982,1778
ethnicity,white,8,safety,1099.5370910618717,2100
ethnicity,other,0,living,1509.5677352870694,170
ethnicity,other,1,living,1431.900319973267,296
ethnicity,other,2,living,1605.0568271839657,232
ethnicity,other,3,living,1546.0641991669743,174
ethnicity,other,4,living,1735.9315219947734,160
ethnicity,other,5,living,1692.527965088826,211
ethnicity,other,6,living,1367.565658081328,212
ethnicity,other,7,living,1567.5871475849444,225
ethnicity,other,8,living,1311.960616044527,132
ethnicity,other,0,biodiversity,1262.4739210603727,256
ethnicity,other,1,biodiversity,1378.4809967011822,241
ethnicity,other,2,biodiversity,1528.7692471332368,254
ethnicity,other,3,biodiversity,1684.9838129785003,211
ethnicity,other,4,biodiversity,1648.8511615276402,189
ethnicity,other,5,biodiversity,1561.2478969846775,273
ethnicity,other,6,biodiversity,1476.3060897525588,271
ethnicity,other,7,biodiversity,1762.6232894236277,253
ethnicity,other,8,biodiversity,1334.274964618844,158
ethnicity,other,0,safety,1493.499796760689,238
ethnicity,other,1,safety,1365.027548041613,196
ethnicity,other,2,safety,1628.8614695742833,177
ethnicity,other,3,safety,1293.1200723779614,210
ethnicity,other,4,safety,1246.350131407236,227
ethnicity,other,5,safety,1580.5167054447597,162
ethnicity,other,6,safety,1437.642015914397,183
ethnicity,other,7,safety,1731.4617720806261,162
ethnicity,other,8,safety,1710.4244727342946,207
education,sixteen,0,living,1717.2534226081375,91
education,sixteen,1,living,1196.6751557958323,184
education,sixteen,2,living,1431.7878391879754,147
education,sixteen,3,living,1550.7812910048908,134
education,sixteen,4,living,1379.2401592258548,118
education,sixteen,5,living,1506.0910050556695,141
education,sixteen,6,living,1645.8962494157681,165
education,sixteen,7,living,1585.1453257948226,162
education,sixteen,8,living,1412.7594778704477,112
education,sixteen,0,biodiversity,1697.5059042657786,144
education,sixteen,1,biodiversity,1657.9268644531735,176
education,sixteen,2,biodiversity,1559.9910338745574,189
education,sixteen,3,biodiversity,1460.581243217646,184
education,sixteen,4,biodiversity,1497.9598974445869,170
education,sixteen,5,biodiversity,1522.902576889461,194
education,sixteen,6,biodiversity,1623.1546434900617,159
education,sixteen,7,biodiversity,1090.4062001996465,152
education,sixteen,8,biodiversity,1441.4134897749614,122
education,sixteen,0,safety,1577.513831476263,167
education,sixteen,1,safety,1549.4245083843402,176
education,sixteen,2,safety,1635.4968579477547,95
education,sixteen,3,safety,1480.703593895993,163
education,sixteen,4,safety,1601.1138577548725,197
education,sixteen,5,safety,1319.8842581488796,105
education,sixteen,6,safety,1177.2679944960512,140
education,sixteen,7,safety,1533.2525707179905,148
education,sixteen,8,safety,1684.546142926962,137
education,eighteen,0,living,1771.3282038335878,273
education,eighteen,1,living,1605.6006970512753,590
education,eighteen,2,living,1842.5844053248259,382
education,eighteen,3,living,1635.9374534541212,300
education,eighteen,4,living,1397.6221847430638,311
education,eighteen,5,living,1358.9024267993868,356
education,eighteen,6,living,1225.980558179896,422
education,eighteen,7,living,1177.1153611877746,442
education,eighteen,8,living,1430.8413356540507,266
education,eighteen,0,biodiversity,1254.78390964461,396
education,eighteen,1,biodiversity,1755.181717432714,471
education,eighteen,2,biodiversity,1462.9729701099411,456
education,eighteen,3,biodiversity,1599.6410673669372,374
education,eighteen,4,biodiversity,1132.6352493621596,407
education,eighteen,5,biodiversity,1516.4789535302011,459
education,eighteen,6,biodiversity,1704.1649371197743,443
education,eighteen,7,biodiversity,1821.8381863585805,406
education,eighteen,8,biodiversity,1216.406250045558,322
education,eighteen,0,safety,1559.042782609302,450
education,eighteen,1,safety,402.10420931587106,361
education,eighteen,2,safety,1822.1376160090974,287
education,eighteen,3,safety,1120.7507460321963,412
education,eighteen,4,safety,1624.896104863656,445
education,eighteen,5,safety,1645.3882884409265,352
education,eighteen,6,safety,1732.8258726958318,349
education,eighteen,7,safety,1493.2680996243198,433
education,eighteen,8,safety,1578.6889953003215,477
education,older,0,living,1908.2682785291047,1090
education,older,1,living,1449.5024789276326,2427
education,older,2,living,1373.9256546724216,1654
education,older,3,living,2127.541670300935,1288
education,older,4,living,942.2201286934609,1258
education,older,5,living,1136.214422994236,1599
education,older,6,living,2061.23898771242,1756
education,older,7,living,1222.6722326167203,1819
education,older,8,living,-133.5719840664474,1025
education,older,0,biodiversity,-70.53058171249474,1659
education,older,1,biodiversity,1113.5088525266563,1754
education,older,2,biodiversity,1305.5787749628573,1873
education,older,3,biodiversity,2013.0546105089622,1644
education,older,4,biodiversity,1744.4476354845292,1430
education,older,5,biodiversity,2192.4042637280368,1827
education,older,6,biodiversity,433.2384613090939,1837
education,older,7,biodiversity,1808.673359128052,1871
education,older,8,biodiversity,740.1713373512492,1139
education,older,0,safety,1795.4398855487334,1783
education,older,1,safety,1565.7920364968018,1683
education,older,2,safety,2055.4120441495784,1177
education,older,3,safety,2126.426690851259,1612
education,older,4,safety,1583.8801333200595,1743
education,older,5,safety,768.9630049281376,1234
education,older,6,safety,854.254996266242,1445
education,older,7,safety,1900.061000923087,1405
education,older,8,safety,1619.8387836696068,1748
income,lower,0,living,1808.8956930973961,274
income,lower,1,living,1209.3209860247453,571
income,lower,2,living,1532.4048815480758,431
income,lower,3,living,1559.6887414579078,375
income,lower,4,living,1401.318554070204,345
income,lower,5,living,1249.029518119468,403
income,lower,6,living,1594.5613695729623,441
income,lower,7,living,1862.3182422395548,443
income,lower,8,living,1449.422245026417,299
income,lower,0,biodiversity,1530.660220649793,387
income,lower,1,biodiversity,1770.651997216614,471
income,lower,2,biodiversity,1221.2425833063544,442
income,lower,3,biodiversity,1448.447252822936,445
income,lower,4,biodiversity,1245.8019852415318,377
income,lower,5,biodiversity,1611.1171358534434,405
income,lower,6,biodiversity,1711.007603997799,440
income,lower,7,biodiversity,1831.826738251207,447
income,lower,8,biodiversity,1299.3145396788834,310
income,lower,0,safety,1631.2804671075285,400
income,lower,1,safety,1469.5435279192322,427
