demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1798.111367351769,2380
global,global,1,living,938.4889730853714,2286
global,global,2,living,2074.6010321137774,2230
global,global,3,living,2348.3225416142795,2115
global,global,4,living,1034.4017289502883,2731
global,global,5,living,791.8076551257511,2076
global,global,6,living,1960.1122868521306,1986
global,global,7,living,1477.2379898050137,2256
global,global,8,living,448.9285532568361,1702
global,global,0,biodiversity,2047.6599864432749,2210
global,global,1,biodiversity,2295.434456253953,1934
global,global,2,biodiversity,1516.2531047637456,2575
global,global,3,biodiversity,1409.5870213922014,2468
global,global,4,biodiversity,1935.0821906416634,1864
global,global,5,biodiversity,579.8335248603715,2459
global,global,6,biodiversity,669.8142556214572,2045
global,global,7,biodiversity,1466.385952673691,2811
global,global,8,biodiversity,2142.202219235096,2118
global,global,0,safety,1783.3507044585333,3186
global,global,1,safety,2254.7291520944304,2493
global,global,2,safety,1596.8856076908341,1993
global,global,3,safety,2293.997840498628,2614
global,global,4,safety,2357.045421582615,2955
global,global,5,safety,1908.7252698954962,2704
global,global,6,safety,948.13868500453,2374
global,global,7,safety,1837.4418873689958,2634
global,global,8,safety,-15.96604085116321,2101
gender,man,0,living,1261.9065875402307,1256
gender,man,1,living,972.7908150572707,1120
gender,man,2,living,1726.1337038766583,1093
gender,man,3,living,2042.4540264477494,1081
gender,man,4,living,876.6535939268923,1414
gender,man,5,living,1171.5712416616595,1113
gender,man,6,living,1762.6406163144695,990
gender,man,7,living,1951.2777532395182,1147
gender,man,8,living,673.9992602250455,878
gender,man,0,biodiversity,1769.4916052443114,1063
gender,man,1,biodiversity,2036.751331277177,981
gender,man,2,biodiversity,1934.9398100749218,1290
gender,man,3,biodiversity,1487.863309741821,1296
gender,man,4,biodiversity,495.44107627513574,869
gender,man,5,biodiversity,1513.4649583722037,1362
gender,man,6,biodiversity,431.9706571547969,1082
gender,man,7,biodiversity,1416.4980558109678,1450
gender,man,8,biodiversity,1680.6468080255395,1103
gender,man,0,safety,1820.9214263795172,1645
gender,man,1,safety,2125.2143935156478,1292
gender,man,2,safety,562.7614473522398,1021
gender,man,3,safety,2011.7266390200743,1285
gender,man,4,safety,-39.112412629417975,1430
gender,man,5,safety,1873.625748684639,1375
gender,man,6,safety,885.089282901106,1221
gender,man,7,safety,1501.65520901298,1423
gender,man,8,safety,1446.163491246289,1144
gender,woman,0,living,1970.2767600168424,983
gender,woman,1,living,1614.2641411217594,932
gender,woman,2,living,1917.611498551989,949
gender,woman,3,living,1005.8404193370019,816
gender,woman,4,living,1586.581396787585,1122
gender,woman,5,living,1561.1237199667091,866
gender,woman,6,living,1863.9005574769978,832
gender,woman,7,living,401.7020680772956,942
gender,woman,8,living,1308.2507533382548,724
gender,woman,0,biodiversity,1777.3392238544475,844
gender,woman,1,biodiversity,1855.2180978303102,775
gender,woman,2,biodiversity,1435.4635221468013,962
gender,woman,3,biodiversity,701.0153462288785,916
gender,woman,4,biodiversity,1657.5526033467772,800
gender,woman,5,biodiversity,798.7824163131371,984
gender,woman,6,biodiversity,1949.2681577766948,888
gender,woman,7,biodiversity,1556.346073805871,1144
gender,woman,8,biodiversity,1806.1142212791096,801
gender,woman,0,safety,1711.321686789746,1279
gender,woman,1,safety,1660.8243560682793,938
gender,woman,2,safety,1919.846720128992,791
gender,woman,3,safety,1685.4586735511832,975
gender,woman,4,safety,1871.7292009035095,1233
gender,woman,5,safety,1952.9501773636644,1088
gender,woman,6,safety,1385.920633910901,1009
gender,woman,7,safety,1202.5527050488045,1054
gender,woman,8,safety,-137.05408339231468,821
gender,other,0,living,1518.8586162860954,16
gender,other,1,living,1475.8398253879059,12
gender,other,2,living,1543.4112555170313,20
gender,other,3,living,1560.8037091229944,13
gender,other,4,living,1501.6371474467585,12
gender,other,5,living,1437.4390897671326,11
gender,other,6,living,1570.5882000719357,14
gender,other,7,living,1409.9829983634465,7
gender,other,8,living,1461.3365355633518,13
gender,other,0,biodiversity,1522.7158668904394,18
gender,other,1,biodiversity,1473.8568824402282,14
gender,other,2,biodiversity,1499.9604505613725,12
gender,other,3,biodiversity,1573.8121769951322,10
gender,other,4,biodiversity,1548.8260134510685,10
gender,other,5,biodiversity,1463.0406702615758,11
gender,other,6,biodiversity,1534.2039121621383,19
gender,other,7,biodiversity,1423.6441472409704,10
gender,other,8,biodiversity,1451.5902373451875,8
gender,other,0,safety,1548.1525004036819,12
gender,other,1,safety,1500.7984971427002,8
gender,other,2,safety,1568.098267930718,8
gender,other,3,safety,1462.4587742772949,15
gender,other,4,safety,1525.2142949160636,12
gender,other,5,safety,1441.6781347012723,9
gender,other,6,safety,1452.8523644393458,16
