demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1697.7107596524827,2148
global,global,1,living,954.6329373557825,2789
global,global,2,living,1383.1665690785771,2164
global,global,3,living,1149.525859621973,2750
global,global,4,living,2125.552889871613,1798
global,global,5,living,1253.3332944492922,2944
global,global,6,living,1712.3973521389964,2191
global,global,7,living,2290.78619404546,2483
global,global,8,living,843.8761389810703,2539
global,global,0,biodiversity,662.3393843804967,2517
global,global,1,biodiversity,2263.9394374505137,2076
global,global,2,biodiversity,948.2935384548365,2214
global,global,3,biodiversity,1712.611784280322,2374
global,global,4,biodiversity,578.5529668475352,2462
global,global,5,biodiversity,1872.5463425420166,1968
global,global,6,biodiversity,1639.9211239721474,3131
global,global,7,biodiversity,283.52944278649466,2182
global,global,8,biodiversity,2169.457264939541,2034
global,global,0,safety,1962.6261760470816,2251
global,global,1,safety,581.9423411110388,2036
global,global,2,safety,2071.514449345322,2664
global,global,3,safety,-640.0545393825091,2490
global,global,4,safety,2280.2051554169775,1734
global,global,5,safety,-154.84158226874774,1917
global,global,6,safety,1170.1575840630076,2431
global,global,7,safety,1883.3937036645834,2401
global,global,8,safety,791.2668811931699,2612
gender,man,0,living,1761.5551557242875,1123
gender,man,1,living,1174.713232452573,1295
gender,man,2,living,252.26284024714602,1119
gender,man,3,living,1648.930614145617,1365
gender,man,4,living,1861.6182937822475,908
gender,man,5,living,820.4705497141085,1440
gender,man,6,living,1973.0050069678027,1086
gender,man,7,living,2052.3624489508334,1308
gender,man,8,living,764.98152215782,1396
gender,man,0,biodiversity,1511.4085733652228,1302
gender,man,1,biodiversity,1984.449549053316,1134
gender,man,2,biodiversity,118.17357279876086,1047
gender,man,3,biodiversity,2081.846637293987,1217
gender,man,4,biodiversity,1709.995549954237,1276
gender,man,5,biodiversity,1865.013917163786,1023
gender,man,6,biodiversity,1642.1431496675145,1591
gender,man,7,biodiversity,1308.8399396766151,1126
gender,man,8,biodiversity,1681.4716111405442,1108
gender,man,0,safety,1968.4670388372804,1127
gender,man,1,safety,1805.4186721470592,1086
gender,man,2,safety,1746.8659072994017,1308
gender,man,3,safety,396.56458074032156,1211
gender,man,4,safety,2036.398902873524,894
gender,man,5,safety,1546.7961235188775,1079
gender,man,6,safety,1658.448589098794,1239
gender,man,7,safety,1242.0389664448553,1285
gender,man,8,safety,1421.4150821094718,1331
gender,woman,0,living,1604.7955861892572,862
gender,woman,1,living,839.2131642025693,1115
gender,woman,2,living,1960.2975513273468,893
gender,woman,3,living,539.9581194567576,1096
gender,woman,4,living,1778.6051687871347,726
gender,woman,5,living,1511.5079363009802,1145
gender,woman,6,living,1372.6277907015549,925
gender,woman,7,living,1900.1504620241947,994
gender,woman,8,living,1193.2690739535167,954
gender,woman,0,biodiversity,184.63406288048225,981
gender,woman,1,biodiversity,1897.4534151799764,805
gender,woman,2,biodiversity,1414.562083989275,969
gender,woman,3,biodiversity,1712.1040154584198,947
gender,woman,4,biodiversity,863.2756677676184,982
gender,woman,5,biodiversity,1355.502595580883,792
gender,woman,6,biodiversity,1843.9265441296475,1241
gender,woman,7,biodiversity,747.144381401534,920
gender,woman,8,biodiversity,1951.286085182247,751
gender,woman,0,safety,1756.8293660420131,942
gender,woman,1,safety,839.8572900183434,775
gender,woman,2,safety,1661.2710751166103,1135
gender,woman,3,safety,1428.3858158038636,1141
gender,woman,4,safety,1963.7709636512486,633
gender,woman,5,safety,305.7457938988786,734
gender,woman,6,safety,1141.1278080137658,945
gender,woman,7,safety,1922.079950034859,955
gender,woman,8,safety,975.6564542361247,1110
gender,other,0,living,1526.490746626433,10
gender,other,1,living,1523.7634029981489,10
gender,other,2,living,1439.866294679135,21
gender,other,3,living,1559.9481885210023,5
gender,other,4,living,1492.090169900206,9
gender,other,5,living,1463.9955190875728,9
gender,other,6,living,1477.155286405935,10
gender,other,7,living,1489.4698130240015,13
gender,other,8,living,1534.4480832375057,13
gender,other,0,biodiversity,1568.3864629895108,8
gender,other,1,biodiversity,1510.9590739198466,11
gender,other,2,biodiversity,1524.002719720849,8
gender,other,3,biodiversity,1451.2612623598127,12
gender,other,4,biodiversity,1464.8273719262868,15
gender,other,5,biodiversity,1500.8091441345205,10
gender,other,6,biodiversity,1486.3651049875223,15
gender,other,7,biodiversity,1547.9239757357009,8
gender,other,8,biodiversity,1440.0000702201385,7
gender,other,0,safety,1536.9820197315364,17
gender,other,1,safety,1501.5811346535143,26
gender,other,2,safety,1488.8147800610718,11
gender,other,3,safety,1429.1857313610344,14
gender,other,4,safety,1451.7181783191986,8
gender,other,5,safety,1475.3515199674227,16
gender,other,6,safety,1518.9914479798488,25
gender,other,7,safety,1560.044892584848,9
gender,other,8,safety,1550.4198027167452,18
age,younger,0,living,1664.1141935941262,613
