demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,745.338215684115,1414
global,global,1,living,1063.5126510025768,1903
global,global,2,living,2132.6392472972802,2096
global,global,3,living,1378.8737109164656,1979
global,global,4,living,1236.7858989653698,1923
global,global,5,living,1127.4205647733668,2059
global,global,6,living,1696.0564841429093,2349
global,global,7,living,2277.3530736493435,1850
global,global,8,living,2208.427886987458,1995
global,global,0,biodiversity,1568.6828175239461,2576
global,global,1,biodiversity,1948.1892628747255,2362
global,global,2,biodiversity,2263.659969858633,1809
global,global,3,biodiversity,913.2712197264593,2265
global,global,4,biodiversity,2120.8228137522087,2214
global,global,5,biodiversity,2348.4402558285988,2896
global,global,6,biodiversity,1306.0809210749771,2330
global,global,7,biodiversity,2040.8053461735233,2562
global,global,8,biodiversity,-120.66057123657733,1702
global,global,0,safety,827.2213176163783,2292
global,global,1,safety,2302.073438137312,3254
global,global,2,safety,1622.735414026468,2975
global,global,3,safety,2519.097796034568,3426
global,global,4,safety,813.5969964551219,2611
global,global,5,safety,2222.5511194587016,3363
global,global,6,safety,-907.7925921986713,1335
global,global,7,safety,1912.1837434787637,3134
global,global,8,safety,1800.6022015680944,2626
gender,man,0,living,1077.3123660418014,789
gender,man,1,living,896.5094195730634,971
gender,man,2,living,2029.361020343448,1068
gender,man,3,living,1667.0211844425455,994
gender,man,4,living,1540.204608046829,970
gender,man,5,living,1472.021166248323,1080
gender,man,6,living,1749.2794668653623,1192
gender,man,7,living,1898.4195141483328,927
gender,man,8,living,1828.8184347850665,1045
gender,man,0,biodiversity,1878.7526512843174,1203
gender,man,1,biodiversity,1900.2698894114058,1180
gender,man,2,biodiversity,2016.4279599341216,923
gender,man,3,biodiversity,1675.0299331017147,1106
gender,man,4,biodiversity,1959.4843867688217,1125
gender,man,5,biodiversity,1112.8944564661188,1408
gender,man,6,biodiversity,1587.931474282973,1108
gender,man,7,biodiversity,611.4322686508042,1258
gender,man,8,biodiversity,1095.12405676718,891
gender,man,0,safety,1552.694518163434,1232
gender,man,1,safety,2212.856560433288,1698
gender,man,2,safety,2053.8037646933694,1607
gender,man,3,safety,1854.3406892440041,1832
gender,man,4,safety,1876.0418967079163,1378
gender,man,5,safety,2158.031171990233,1677
gender,man,6,safety,728.9720211062446,750
gender,man,7,safety,2016.680401117756,1607
gender,man,8,safety,1505.0183824742164,1405
gender,woman,0,living,955.6215756226111,571
gender,woman,1,living,1723.8085115182153,791
gender,woman,2,living,1820.4502681567851,867
gender,woman,3,living,1641.6754739078747,875
gender,woman,4,living,1534.318992259183,856
gender,woman,5,living,902.5641496282975,786
gender,woman,6,living,1489.2411592060582,942
gender,woman,7,living,1960.1245354352698,801
gender,woman,8,living,1788.0158290283764,783
gender,woman,0,biodiversity,1140.3177911200048,1031
gender,woman,1,biodiversity,1225.2839844686591,900
gender,woman,2,biodiversity,1812.8171420355661,721
gender,woman,3,biodiversity,1246.7785362333395,877
gender,woman,4,biodiversity,1783.1741806540972,919
gender,woman,5,biodiversity,1954.9712003375141,1124
gender,woman,6,biodiversity,1414.315280008567,975
gender,woman,7,biodiversity,1987.6560436160973,1045
gender,woman,8,biodiversity,400.54265505309144,688
gender,woman,0,safety,815.4479383371261,887
gender,woman,1,safety,1990.7350858266786,1284
gender,woman,2,safety,1502.791798704674,1185
gender,woman,3,safety,2045.8372223590893,1312
gender,woman,4,safety,969.21097356207,1025
gender,woman,5,safety,1703.5191627734303,1380
gender,woman,6,safety,189.87562874746408,510
gender,woman,7,safety,1974.5005289282033,1283
gender,woman,8,safety,1796.4377663393448,1050
gender,other,0,living,1560.0,5
gender,other,1,living,1524.016736118009,10
gender,other,2,living,1500.0703787129362,8
gender,other,3,living,1461.2185054186455,11
gender,other,4,living,1427.6702996548386,6
gender,other,5,living,1512.002430794599,11
gender,other,6,living,1547.5345252026034,20
gender,other,7,living,1476.0,8
gender,other,8,living,1490.0376935465665,13
gender,other,0,biodiversity,1570.352106888246,8
gender,other,1,biodiversity,1536.0000005692173,5
gender,other,2,biodiversity,1439.999505769848,9
gender,other,3,biodiversity,1499.5861936430965,10
gender,other,4,biodiversity,1464.0138151983788,13
gender,other,5,biodiversity,1498.3378304404255,12
gender,other,6,biodiversity,1523.9995063594042,6
gender,other,7,biodiversity,1475.6000088421538,6
gender,other,8,biodiversity,1488.0143094285309,9
gender,other,0,safety,1573.967752034983,14
gender,other,1,safety,1454.3454642628672,14
gender,other,2,safety,1443.570535849117,15
gender,other,3,safety,1523.28014959981,20
gender,other,4,safety,1548.460937643438,22
gender,other,5,safety,1478.5667579665924,28
gender,other,6,safety,1464.22923539595,15
gender,other,7,safety,1535.153258501071,22
gender,other,8,safety,1499.7899025045867,18
age,younger,0,living,1623.3322718669476,475
