demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1652.9253135596994,3340
global,global,1,living,2066.7845329261595,3148
global,global,2,living,1835.0281637875044,2491
global,global,3,living,-1057.4467603400167,1372
global,global,4,living,1368.6579554822122,3079
global,global,5,living,667.9620128721803,2200
global,global,6,living,2145.978647152617,3222
global,global,7,living,910.7644034212857,2720
global,global,8,living,2361.5871250760515,2056
global,global,0,biodiversity,741.5472215190939,2519
global,global,1,biodiversity,2230.78916488739,2330
global,global,2,biodiversity,1682.4669933783487,3122
global,global,3,biodiversity,1948.889680445522,1832
global,global,4,biodiversity,1290.9488852710074,3107
global,global,5,biodiversity,1046.3419589760317,2597
global,global,6,biodiversity,1552.1928277743425,3083
global,global,7,biodiversity,2357.7267093336272,2379
global,global,8,biodiversity,1093.1273023116057,1733
global,global,0,safety,1100.3036032752927,2587
global,global,1,safety,1934.6301707321359,1557
global,global,2,safety,1558.2963051746628,1945
global,global,3,safety,2061.949161700753,1923
global,global,4,safety,524.8012973996723,1988
global,global,5,safety,719.6768113171963,1839
global,global,6,safety,2181.742248268093,1319
global,global,7,safety,1698.8934323244368,2069
global,global,8,safety,-330.3744124438496,1743
gender,man,0,living,2094.045668556371,1728
gender,man,1,living,1855.4502153932904,1572
gender,man,2,living,1812.4123253993366,1223
gender,man,3,living,810.3485020897664,762
gender,man,4,living,1248.9304125524357,1542
gender,man,5,living,935.9208372438425,1096
gender,man,6,living,1728.285920856088,1589
gender,man,7,living,1618.8373421627332,1430
gender,man,8,living,1900.1100212230208,1082
gender,man,0,biodiversity,1264.434974605683,1247
gender,man,1,biodiversity,1828.3404339797753,1297
gender,man,2,biodiversity,1737.1190153247271,1532
gender,man,3,biodiversity,1510.973199937649,952
gender,man,4,biodiversity,1983.3322423754444,1662
gender,man,5,biodiversity,1387.6435189888239,1337
gender,man,6,biodiversity,2014.8757462137728,1526
gender,man,7,biodiversity,2100.8703271509557,1199
gender,man,8,biodiversity,942.52418062608,892
gender,man,0,safety,1103.0039532575493,1366
gender,man,1,safety,1868.7822275924066,723
gender,man,2,safety,1575.018233001226,990
gender,man,3,safety,1624.55172297084,951
gender,man,4,safety,1229.404647735476,1073
gender,man,5,safety,1474.3287656811442,1008
gender,man,6,safety,2006.2981875419184,641
gender,man,7,safety,975.2010901792452,1088
gender,man,8,safety,796.0727035732225,916
gender,woman,0,living,1517.2554166649652,1340
gender,woman,1,living,1457.421737758055,1235
gender,woman,2,living,1898.6544516345434,962
gender,woman,3,living,91.14957573770786,552
gender,woman,4,living,1825.6578159312282,1226
gender,woman,5,living,993.834296381033,975
gender,woman,6,living,1053.4475381087989,1276
gender,woman,7,living,1009.7501435811386,1126
gender,woman,8,living,2018.870755327488,844
gender,woman,0,biodiversity,1189.6627339801903,1085
gender,woman,1,biodiversity,1967.6334057521158,876
gender,woman,2,biodiversity,1639.013807413239,1238
gender,woman,3,biodiversity,1877.8880710497026,717
gender,woman,4,biodiversity,347.434932586931,1115
gender,woman,5,biodiversity,1275.765536407635,1025
gender,woman,6,biodiversity,1610.7073190456642,1259
gender,woman,7,biodiversity,1362.8879727923486,981
gender,woman,8,biodiversity,1485.7829479970087,750
gender,woman,0,safety,1680.6675104782678,1013
gender,woman,1,safety,1913.712302889601,636
gender,woman,2,safety,1581.6016510115398,789
gender,woman,3,safety,1313.6454035347233,777
gender,woman,4,safety,1455.701009824222,815
gender,woman,5,safety,1255.042164242401,756
gender,woman,6,safety,1820.461418578617,582
gender,woman,7,safety,1877.6127839718151,799
gender,woman,8,safety,1131.2382081770506,719
gender,other,0,living,1422.4286449480649,6
gender,other,1,living,1576.5619005415099,17
gender,other,2,living,1458.3293503907832,19
gender,other,3,living,1451.9823463993941,6
gender,other,4,living,1515.1388184681346,11
gender,other,5,living,1558.7636598724196,11
gender,other,6,living,1500.8363641769417,16
gender,other,7,living,1465.3351438506243,17
gender,other,8,living,1535.7799680129665,13
gender,other,0,biodiversity,1537.064105165518,15
gender,other,1,biodiversity,1560.0288866412263,9
gender,other,2,biodiversity,1485.2432560022658,13
gender,other,3,biodiversity,1452.0077251520681,6
gender,other,4,biodiversity,1505.1796671172385,16
gender,other,5,biodiversity,1514.8222775722593,19
gender,other,6,biodiversity,1463.9223904299042,11
gender,other,7,biodiversity,1556.5658568875076,17
gender,other,8,biodiversity,1425.8594512453883,16
gender,other,0,safety,1451.4697548122672,10
gender,other,1,safety,1511.9972304164876,9
gender,other,2,safety,1501.3223763653202,8
gender,other,3,safety,1476.2328181880587,12
gender,other,4,safety,1484.8997933365815,17
gender,other,5,safety,1567.7010832267244,12
gender,other,6,safety,1525.339305425967,6
gender,other,7,safety,1546.376098343355,10
gender,other,8,safety,1430.7243717620074,16
age,younger,0,living,1157.7134533959716,966
age,younger,1,living,1844.4875990855312,810
age,younger,2,living,1962.823938909779,675
age,younger,3,living,829.8149466184108,416
age,younger,4,living,1787.0388594978758,841
age,younger,5,living,1698.0522151045457,667
age,younger,6,living,1623.6361029887555,815
age,younger,7,living,1367.3187302411966,795
age,younger,8,living,1745.206335729608,637
age,younger,0,biodiversity,1077.3541813561642,696
age,younger,1,biodiversity,1888.1597615501305,638
age,younger,2,biodiversity,1578.4511095772862,857
age,younger,3,biodiversity,1465.1938577602436,587
age,younger,4,biodiversity,1531.709531609872,898
age,younger,5,biodiversity,1589.60935930558,767
age,younger,6,biodiversity,1793.0838111465266,756
age,younger,7,biodiversity,1631.9488858159225,629
age,younger,8,biodiversity,1805.6758649649666,562
age,younger,0,safety,1619.8265627576975,701
age,younger,1,safety,1934.6606310102284,360
age,younger,2,safety,1547.39231096722,548
age,younger,3,safety,1441.5984102374773,555
age,younger,4,safety,1384.8064054942024,594
age,younger,5,safety,1243.8474250015029,513
age,younger,6,safety,1673.9666208622207,400
age,younger,7,safety,1056.4200656306475,579
age,younger,8,safety,290.15309409411464,520
age,middle,0,living,2022.588054550732,1361
age,middle,1,living,1892.8960339712823,1403
age,middle,2,living,1218.2894526139203,1024
age,middle,3,living,901.1184564541488,589
age,middle,4,living,1542.1316641892115,1296
age,middle,5,living,1107.297242355475,951
age,middle,6,living,1753.67677582648,1392
age,middle,7,living,616.9550086257724,1137
age,middle,8,living,1951.379094678854,821
age,middle,0,biodiversity,1598.595909317632,1107
age,middle,1,biodiversity,1708.4615670987155,1058
age,middle,2,biodiversity,1854.574607761099,1284
age,middle,3,biodiversity,1929.685934215654,697
age,middle,4,biodiversity,1038.2098282441461,1269
age,middle,5,biodiversity,1671.2619651057141,1071
age,middle,6,biodiversity,1454.7901563983685,1325
age,middle,7,biodiversity,1970.2121339064788,1047
age,middle,8,biodiversity,880.8031183348177,674
age,middle,0,safety,1335.9109381405785,1176
age,middle,1,safety,1451.9776082076864,676
age,middle,2,safety,1371.5880715684214,841
age,middle,3,safety,1760.78457101699,771
age,middle,4,safety,1134.3055198275958,880
age,middle,5,safety,1413.013233182808,786
age,middle,6,safety,1949.8077135062442,523
age,middle,7,safety,1862.663148230536,817
age,middle,8,safety,1274.5034120376333,772
age,older,0,living,1410.7748122369912,744
age,older,1,living,1284.4057218999621,606
age,older,2,living,1879.3534000398786,500
age,older,3,living,758.5330457491768,312
age,older,4,living,1799.672055201948,632
age,older,5,living,1007.916760924104,452
age,older,6,living,1427.345908313327,671
age,older,7,living,1779.8457007811026,634
age,older,8,living,1675.9734936899981,479
age,older,0,biodiversity,1522.77322366221,538
age,older,1,biodiversity,1889.4522703181763,479
age,older,2,biodiversity,1696.2985048962428,628
age,older,3,biodiversity,1645.7763107230164,382
age,older,4,biodiversity,1753.6377575986248,614
age,older,5,biodiversity,1221.7743611472238,539
age,older,6,biodiversity,1244.28475830015,706
age,older,7,biodiversity,1583.834820946315,510
age,older,8,biodiversity,1379.3238172736153,422
age,older,0,safety,1147.5752262631004,505
age,older,1,safety,1605.92764621206,332
age,older,2,safety,1774.4855372141412,393
age,older,3,safety,1425.592282778563,416
age,older,4,safety,1454.439193288303,415
age,older,5,safety,1491.9787441720457,471
age,older,6,safety,1821.5190271999668,301
age,older,7,safety,1579.6106592773738,496
age,older,8,safety,1534.970704183726,351
ethnicity,white,0,living,2000.6036506591774,2656
ethnicity,white,1,living,2115.6282529456066,2416
ethnicity,white,2,living,1585.331515344334,1937
ethnicity,white,3,living,150.26993635358258,1098
ethnicity,white,4,living,1836.6429569990908,2411
ethnicity,white,5,living,789.5397097086383,1731
ethnicity,white,6,living,2234.7836408171515,2528
ethnicity,white,7,living,1312.8442727393003,2241
ethnicity,white,8,living,2200.332420776581,1664
ethnicity,white,0,biodiversity,1211.8082021561236,2050
ethnicity,white,1,biodiversity,2150.3468506700265,1850
ethnicity,white,2,biodiversity,1746.4555582199212,2377
ethnicity,white,3,biodiversity,1987.8221264508893,1395
ethnicity,white,4,biodiversity,1405.1619780823605,2403
ethnicity,white,5,biodiversity,1845.764234621817,2048
ethnicity,white,6,biodiversity,1779.0066978936964,2439
ethnicity,white,7,biodiversity,2204.808485259547,1917
ethnicity,white,8,biodiversity,1433.243326884105,1413
ethnicity,white,0,safety,1253.9681490460919,2091
ethnicity,white,1,safety,2070.4683240492586,1215
ethnicity,white,2,safety,1788.5529386708279,1550
ethnicity,white,3,safety,1550.359646348821,1524
ethnicity,white,4,safety,734.0022948346694,1600
ethnicity,white,5,safety,529.7261945208987,1521
ethnicity,white,6,safety,2035.2047120539326,1056
ethnicity,white,7,safety,1660.2925932840515,1594
ethnicity,white,8,safety,1036.991431805719,1435
ethnicity,other,0,living,1604.922300787057,283
ethnicity,other,1,living,1408.365770831454,280
ethnicity,other,2,living,1689.4682891871785,187
ethnicity,other,3,living,1334.9530666857431,179
ethnicity,other,4,living,1726.5275802907504,259
ethnicity,other,5,living,1475.0981936902422,269
ethnicity,other,6,living,1455.7536361590487,252
ethnicity,other,7,living,1620.6315545313894,223
