demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2144.1684522662827,1899
global,global,1,living,1668.5782699977879,1980
global,global,2,living,1606.908621198252,2457
global,global,3,living,1179.7303868387994,2046
global,global,4,living,751.2640128048757,2230
global,global,5,living,1413.7399246796756,2555
global,global,6,living,2226.482903488469,1605
global,global,7,living,603.2452868543402,1901
global,global,8,living,1770.6176171512627,2399
global,global,0,biodiversity,2249.4643293873114,1753
global,global,1,biodiversity,903.8241528581591,2763
global,global,2,biodiversity,699.2602323533248,2125
global,global,3,biodiversity,1831.9444571785377,2230
global,global,4,biodiversity,1818.2086321624001,2494
global,global,5,biodiversity,1956.6668179411752,2566
global,global,6,biodiversity,2111.8635623420805,2039
global,global,7,biodiversity,1727.7971712210992,2392
global,global,8,biodiversity,1615.3299965842298,2530
global,global,0,safety,2506.708677344558,2722
global,global,1,safety,-180.8580839736164,1903
global,global,2,safety,2238.8051597121107,3254
global,global,3,safety,2105.763535699457,2399
global,global,4,safety,2013.541325752107,2541
global,global,5,safety,340.73914370770933,2873
global,global,6,safety,1667.2302569777717,2738
global,global,7,safety,2360.0590852457076,2769
global,global,8,safety,96.70852654935959,2137
gender,man,0,living,1842.5811066583542,955
gender,man,1,living,1320.4942624934013,1052
gender,man,2,living,1655.6484242730921,1273
gender,man,3,living,400.41184656239795,1074
gender,man,4,living,1192.829057243706,1098
gender,man,5,living,1616.6480791714773,1396
gender,man,6,living,2045.52410284445,799
gender,man,7,living,1575.7274761839778,989
gender,man,8,living,1544.0987077320144,1244
gender,man,0,biodiversity,1782.3729076410316,918
gender,man,1,biodiversity,475.15022111380426,1410
gender,man,2,biodiversity,396.25572483492675,1054
gender,man,3,biodiversity,1735.1434461961892,1202
gender,man,4,biodiversity,1479.4009532775262,1302
gender,man,5,biodiversity,1835.8852986301326,1305
gender,man,6,biodiversity,2045.5436745683094,1010
gender,man,7,biodiversity,1195.2648779989206,1167
gender,man,8,biodiversity,648.4338355472137,1386
gender,man,0,safety,1413.0986508036422,1413
gender,man,1,safety,764.5160886700925,1037
gender,man,2,safety,1954.1212919392426,1613
gender,man,3,safety,1659.894271763245,1235
gender,man,4,safety,828.4792617859985,1243
gender,man,5,safety,1896.563622169652,1533
gender,man,6,safety,2043.2215053132063,1265
gender,man,7,safety,1358.7870564098985,1380
gender,man,8,safety,391.03329526997214,1071
gender,woman,0,living,1906.5751911749762,770
gender,woman,1,living,1791.3010068419135,779
