demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,670.2011325690489,2747
global,global,1,living,745.2654883591525,2392
global,global,2,living,1058.25372150769,2726
global,global,3,living,2245.2956913262337,2274
global,global,4,living,2037.5429271591495,1596
global,global,5,living,1141.457789017571,2843
global,global,6,living,1867.219660546403,2081
global,global,7,living,179.42566753233274,2071
global,global,8,living,-227.8993495479033,958
global,global,0,biodiversity,1323.0715215031812,2628
global,global,1,biodiversity,2302.1455427505284,2266
global,global,2,biodiversity,1508.3223846001524,2602
global,global,3,biodiversity,1584.2533113983936,2555
global,global,4,biodiversity,2030.5709055729344,2230
global,global,5,biodiversity,1058.9521230539724,2126
global,global,6,biodiversity,1680.9381623734014,2856
global,global,7,biodiversity,2121.690371652606,2253
global,global,8,biodiversity,845.4497991128962,2616
global,global,0,safety,1084.2579554774088,2650
global,global,1,safety,2330.4075557105252,2509
global,global,2,safety,-547.2662435576186,1734
global,global,3,safety,1501.0041185313708,2664
global,global,4,safety,1173.570556045717,2714
global,global,5,safety,1765.7695254581347,2740
global,global,6,safety,2063.4778190749007,1952
global,global,7,safety,1415.1613559965808,1852
global,global,8,safety,483.84978226018586,2665
gender,man,0,living,1524.4948884782978,1397
gender,man,1,living,1167.1939404577456,1203
gender,man,2,living,1682.5654514605744,1352
gender,man,3,living,2037.802521708889,1107
gender,man,4,living,1921.4362766909621,827
gender,man,5,living,1198.6861902047676,1513
gender,man,6,living,1824.4175332923296,1121
gender,man,7,living,574.8570773682994,1018
gender,man,8,living,596.6990303335391,544
gender,man,0,biodiversity,1001.4750520521513,1333
gender,man,1,biodiversity,2024.9056853545521,1043
gender,man,2,biodiversity,1886.5844185521382,1334
gender,man,3,biodiversity,1996.725478193742,1294
gender,man,4,biodiversity,1611.4008812584004,1164
gender,man,5,biodiversity,1242.0188487904788,1089
gender,man,6,biodiversity,710.7637624566011,1454
gender,man,7,biodiversity,1806.913549573022,1173
gender,man,8,biodiversity,1532.3117347369362,1396
gender,man,0,safety,1405.0523102873722,1371
gender,man,1,safety,1773.044578099964,1344
gender,man,2,safety,706.5591854344422,854
gender,man,3,safety,1596.9747214150361,1384
gender,man,4,safety,1547.935253227879,1402
gender,man,5,safety,1938.1536413877182,1399
gender,man,6,safety,1741.5438943349247,1019
gender,man,7,safety,1894.8125080727464,892
gender,man,8,safety,2001.2510482685307,1397
gender,woman,0,living,1147.2724356448325,1120
gender,woman,1,living,1476.7913768623444,989
gender,woman,2,living,1288.3271415330896,1145
gender,woman,3,living,1829.2317643015224,965
gender,woman,4,living,1875.754074762635,644
gender,woman,5,living,1715.4812268849564,1096
