demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1927.163947422987,2090
global,global,1,living,1664.9665786921494,2727
global,global,2,living,1994.230753385956,2709
global,global,3,living,2209.871046027817,1633
global,global,4,living,978.2958901009307,2508
global,global,5,living,1871.825665197242,1394
global,global,6,living,1305.608755224909,2375
global,global,7,living,2042.9763503158574,2656
global,global,8,living,206.65055846194352,1884
global,global,0,biodiversity,1884.9875622398188,2054
global,global,1,biodiversity,1278.9235448384693,2464
global,global,2,biodiversity,2144.8029428714126,1241
global,global,3,biodiversity,1217.663138687753,2129
global,global,4,biodiversity,2066.5892950182333,2398
global,global,5,biodiversity,1941.5002791417621,2124
global,global,6,biodiversity,581.2223657931561,1594
global,global,7,biodiversity,885.6830409372351,2305
global,global,8,biodiversity,786.6218079393728,1609
global,global,0,safety,1242.2566659643994,2663
global,global,1,safety,1474.139708952656,2581
global,global,2,safety,1416.0855739850683,3686
global,global,3,safety,2365.0990221158618,2897
global,global,4,safety,2144.7042510142755,1953
global,global,5,safety,543.3114587344762,2105
global,global,6,safety,2090.986934915124,2755
global,global,7,safety,1789.216628885442,3575
global,global,8,safety,2265.4113432448544,3191
gender,man,0,living,1628.7176648467325,998
gender,man,1,living,405.7551481485248,1362
gender,man,2,living,1258.7209279184078,1321
gender,man,3,living,1970.8540759280427,808
gender,man,4,living,160.2147709355491,1273
gender,man,5,living,1559.6731052523019,708
gender,man,6,living,811.3276138010677,1235
gender,man,7,living,1852.3942292655668,1340
gender,man,8,living,500.09410979950275,1001
gender,man,0,biodiversity,1751.4771009066578,1057
gender,man,1,biodiversity,1087.493014218106,1294
gender,man,2,biodiversity,1965.0099550321697,629
gender,man,3,biodiversity,1316.212995575068,1065
gender,man,4,biodiversity,1895.3653204187895,1222
gender,man,5,biodiversity,1852.7273766487906,1110
gender,man,6,biodiversity,814.6164671817214,823
gender,man,7,biodiversity,1805.807195164112,1182
gender,man,8,biodiversity,991.9754759629003,884
gender,man,0,safety,893.00905220294,1308
gender,man,1,safety,1540.736298713871,1391
