demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2117.226737048415,2769
global,global,1,living,1095.3752266387894,2605
global,global,2,living,1887.4738306287497,2886
global,global,3,living,2313.2045412523235,1773
global,global,4,living,503.9339431207965,3147
global,global,5,living,1963.8382861437524,2630
global,global,6,living,181.64310669083713,2380
global,global,7,living,635.3118460285345,2617
global,global,8,living,1395.9664234544325,3095
global,global,0,biodiversity,2202.011185581968,2487
global,global,1,biodiversity,-302.2273943330169,2017
global,global,2,biodiversity,1596.5992384965136,2004
global,global,3,biodiversity,1930.1333195148275,2144
global,global,4,biodiversity,725.7627010518236,1909
global,global,5,biodiversity,2091.6715418676854,1922
global,global,6,biodiversity,1122.4140744810127,2146
global,global,7,biodiversity,2332.3548642076294,2096
global,global,8,biodiversity,140.1705785102389,1269
global,global,0,safety,1507.4052946858064,2744
global,global,1,safety,2272.608778451198,2801
global,global,2,safety,532.4340251615577,2290
global,global,3,safety,1128.2330198841798,2002
global,global,4,safety,797.5493275984782,2745
global,global,5,safety,420.3303693300592,2369
global,global,6,safety,1973.7347009531327,2588
global,global,7,safety,1626.1129783191998,2403
global,global,8,safety,2165.3803442910294,1462
gender,man,0,living,1792.1870835208372,1419
gender,man,1,living,1212.9903800969412,1336
gender,man,2,living,1828.3799711399565,1469
gender,man,3,living,2051.506675757122,926
gender,man,4,living,1101.356461104685,1665
gender,man,5,living,1847.0154571222106,1350
gender,man,6,living,1082.2812640400296,1264
gender,man,7,living,-46.77184759398404,1268
gender,man,8,living,1940.3389746714265,1569
gender,man,0,biodiversity,1657.3109251353253,1283
gender,man,1,biodiversity,1092.5154689566905,1064
gender,man,2,biodiversity,1483.2428281504879,1043
gender,man,3,biodiversity,2051.1386276939725,1014
gender,man,4,biodiversity,879.6848807992792,934
gender,man,5,biodiversity,1884.9573015234103,983
gender,man,6,biodiversity,327.1309571237905,1077
gender,man,7,biodiversity,1551.3176357808657,1055
gender,man,8,biodiversity,948.1608315437333,683
gender,man,0,safety,1618.3609384159006,1440
gender,man,1,safety,2037.918755040008,1376
gender,man,2,safety,413.8827362575742,1149
gender,man,3,safety,1309.212189970065,1032
gender,man,4,safety,1844.96243619901,1465
gender,man,5,safety,1527.0364846423686,1261
gender,man,6,safety,1165.0302478919648,1369
gender,man,7,safety,2006.716386179605,1212
gender,man,8,safety,1887.0323895115587,718
gender,woman,0,living,1887.137991137766,1058
gender,woman,1,living,1483.4004914444095,1079
gender,woman,2,living,1971.011761988891,1108
gender,woman,3,living,1885.378638608759,664
gender,woman,4,living,1407.9845075690903,1223
gender,woman,5,living,1669.6028676580434,1057
gender,woman,6,living,750.8105591473279,943
gender,woman,7,living,1802.3536521686876,1145
gender,woman,8,living,1856.7447325759192,1283
gender,woman,0,biodiversity,1886.808282333595,973
gender,woman,1,biodiversity,909.9378553653479,740
gender,woman,2,biodiversity,1329.7875052719721,772
gender,woman,3,biodiversity,1241.6081297078613,904
