demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2196.768884003131,1933
global,global,1,living,1847.2397469736784,2680
global,global,2,living,1639.6698193094012,2508
global,global,3,living,2311.1284001037848,2300
global,global,4,living,1403.7615348622985,3010
global,global,5,living,109.0324870222135,1978
global,global,6,living,602.3579847850294,2497
global,global,7,living,1927.382574339138,2987
global,global,8,living,247.73514561467235,2451
global,global,0,biodiversity,2332.48764263737,3105
global,global,1,biodiversity,2186.129069305025,2590
global,global,2,biodiversity,1926.2566026659492,2918
global,global,3,biodiversity,1295.8101134248752,2771
global,global,4,biodiversity,1535.977089339763,2706
global,global,5,biodiversity,2097.1188073847193,1995
global,global,6,biodiversity,241.16800677039046,1601
global,global,7,biodiversity,1782.0245945634524,2791
global,global,8,biodiversity,-228.75105413801273,959
global,global,0,safety,2130.911921066547,1903
global,global,1,safety,1165.5328538558285,2035
global,global,2,safety,467.77083419424497,2655
global,global,3,safety,1563.9957966437767,2716
global,global,4,safety,1784.1428590372634,1855
global,global,5,safety,1890.5009028911034,2433
global,global,6,safety,1443.5213146813107,2292
global,global,7,safety,2056.1920619701773,1235
global,global,8,safety,1171.8776970065842,2396
gender,man,0,living,1868.9511767605475,1025
gender,man,1,living,1992.8831652674892,1408
gender,man,2,living,1673.3035100155837,1284
gender,man,3,living,1956.5453230294181,1167
gender,man,4,living,1519.6956767466436,1542
gender,man,5,living,1296.4649896982237,1110
gender,man,6,living,1268.4693672653575,1288
gender,man,7,living,2076.1145445480456,1470
gender,man,8,living,329.94277413753855,1274
gender,man,0,biodiversity,1688.132785202622,1540
gender,man,1,biodiversity,1889.0167754689717,1327
gender,man,2,biodiversity,1926.7836692045016,1459
gender,man,3,biodiversity,1447.8860762818279,1458
gender,man,4,biodiversity,925.1802784521011,1346
gender,man,5,biodiversity,2018.1803422449998,937
gender,man,6,biodiversity,1062.4128603740685,861
gender,man,7,biodiversity,1949.2469376454937,1457
gender,man,8,biodiversity,1024.3870352256342,559
gender,man,0,safety,1648.2505254234247,983
gender,man,1,safety,727.8132951128274,997
gender,man,2,safety,1525.9163340695966,1375
gender,man,3,safety,1227.7300985395698,1448
gender,man,4,safety,1351.5136903929445,949
gender,man,5,safety,1779.7926150757453,1231
gender,man,6,safety,1222.517162079449,1152
gender,man,7,safety,1913.753888847973,590
gender,man,8,safety,1937.9447173521835,1187
gender,woman,0,living,1921.5017317086038,755
gender,woman,1,living,1784.3416348034739,1092
gender,woman,2,living,1954.2559354130174,990
gender,woman,3,living,1335.4357672862886,865
gender,woman,4,living,1894.6869087728035,1228
gender,woman,5,living,727.332734227975,740
gender,woman,6,living,1357.8842422959312,1037
gender,woman,7,living,1717.1892738549477,1232
gender,woman,8,living,1698.6790124259032,987
gender,woman,0,biodiversity,2094.5634160250816,1299
gender,woman,1,biodiversity,1353.5171949311045,1058
gender,woman,2,biodiversity,1797.794748081753,1183
gender,woman,3,biodiversity,1837.4742632176024,1108
gender,woman,4,biodiversity,1785.7749582395813,1128
gender,woman,5,biodiversity,1932.3965940812368,869
gender,woman,6,biodiversity,617.0815115654274,639
gender,woman,7,biodiversity,1572.5348088256198,1070
gender,woman,8,biodiversity,561.8841755500299,358
gender,woman,0,safety,1879.0277331309194,775
gender,woman,1,safety,1641.1327576810336,806
gender,woman,2,safety,420.578775373112,1076
gender,woman,3,safety,1364.3716967882203,1072
gender,woman,4,safety,1748.3419465493705,700
gender,woman,5,safety,1806.190607623118,942
gender,woman,6,safety,1828.4755985538375,975
gender,woman,7,safety,1225.9292735972585,524
gender,woman,8,safety,645.5048060114857,960
gender,other,0,living,1475.9508776645073,14
gender,other,1,living,1419.3830880598732,11
gender,other,2,living,1552.577109935983,16
gender,other,3,living,1512.0574006945199,15
gender,other,4,living,1531.0913325709757,15
gender,other,5,living,1509.9207802617157,13
gender,other,6,living,1453.8086365886647,18
gender,other,7,living,1488.0282040932543,17
gender,other,8,living,1562.8280017254413,13
gender,other,0,biodiversity,1556.7249283029832,13
gender,other,1,biodiversity,1488.7033594433353,11
gender,other,2,biodiversity,1477.1869065781243,12
gender,other,3,biodiversity,1473.5151236025781,10
gender,other,4,biodiversity,1435.4288040141257,11
gender,other,5,biodiversity,1558.409505120841,9
gender,other,6,biodiversity,1523.0845438884196,12
gender,other,7,biodiversity,1440.0,9
gender,other,8,biodiversity,1536.0558259895736,9
gender,other,0,safety,1439.5179620748106,9
gender,other,1,safety,1548.028812081643,12
gender,other,2,safety,1474.9670941901209,20
gender,other,3,safety,1488.6349372419775,17
gender,other,4,safety,1524.2180767150855,18
gender,other,5,safety,1456.8428837908307,10
gender,other,6,safety,1501.9632870517312,10
gender,other,7,safety,1559.93014014703,5
gender,other,8,safety,1513.0346181580624,9
age,younger,0,living,778.1699672094061,524
age,younger,1,living,1537.7214839371686,745
age,younger,2,living,1576.6369735658593,711
age,younger,3,living,1238.7123310849618,686
age,younger,4,living,1798.6646633511027,841
age,younger,5,living,1048.5829277600164,644
age,younger,6,living,1615.1881579261715,774
age,younger,7,living,1965.526372745027,782
age,younger,8,living,1724.9227692949255,625
age,younger,0,biodiversity,1794.8352068228364,820
age,younger,1,biodiversity,1615.8611366114337,704
age,younger,2,biodiversity,1711.2963676288066,824
age,younger,3,biodiversity,1495.6611568368746,784
age,younger,4,biodiversity,1119.424742178021,775
age,younger,5,biodiversity,1882.6247135738327,510
age,younger,6,biodiversity,1280.6996586188222,471
age,younger,7,biodiversity,1904.371576334067,799
age,younger,8,biodiversity,1409.7383203602726,321
age,younger,0,safety,1507.1684449688553,538
age,younger,1,safety,1139.0690339447065,502
age,younger,2,safety,1726.4394619833695,792
age,younger,3,safety,841.2060043145115,820
age,younger,4,safety,1881.9799441829657,517
age,younger,5,safety,1062.853554933504,606
age,younger,6,safety,1801.292098016279,637
age,younger,7,safety,1755.6135122537423,344
age,younger,8,safety,1320.6116501100319,686
age,middle,0,living,1989.099905581962,772
age,middle,1,living,1828.4180171429816,1206
age,middle,2,living,1558.7203766271373,1074
age,middle,3,living,1876.2211575813408,887
age,middle,4,living,1134.568374965816,1308
age,middle,5,living,751.1246226089454,804
age,middle,6,living,1345.7909956481917,1086
age,middle,7,living,1071.7539322556797,1255
age,middle,8,living,611.4167747317042,1086
age,middle,0,biodiversity,1659.778152111314,1371
age,middle,1,biodiversity,1566.4522396108346,1079
age,middle,2,biodiversity,2038.1920037505165,1227
age,middle,3,biodiversity,1479.6790159362747,1204
age,middle,4,biodiversity,1956.197327621386,1111
age,middle,5,biodiversity,1744.227924913087,891
age,middle,6,biodiversity,1423.5454559348784,699
age,middle,7,biodiversity,1539.9335751779138,1137
age,middle,8,biodiversity,612.6847444181105,353
age,middle,0,safety,1931.6270430432494,727
age,middle,1,safety,1752.526553511589,869
age,middle,2,safety,1007.1171005843329,1124
age,middle,3,safety,1839.5503890910584,1151
age,middle,4,safety,886.9372520587963,782
age,middle,5,safety,1529.4690591741464,1012
