demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1974.137525679886,2894
global,global,1,living,972.5475302799935,2010
global,global,2,living,561.9270002321782,1674
global,global,3,living,2046.7560179378002,2433
global,global,4,living,1778.8900965192445,2607
global,global,5,living,2229.2029109561518,2307
global,global,6,living,660.6597247946995,1317
global,global,7,living,1149.9370078033191,2365
global,global,8,living,2404.3432648888133,2233
global,global,0,biodiversity,933.4476918422188,2668
global,global,1,biodiversity,683.0348619452006,2009
global,global,2,biodiversity,1704.6941494210266,2593
global,global,3,biodiversity,2134.2342886278107,2155
global,global,4,biodiversity,1279.194234552716,2304
global,global,5,biodiversity,184.594007795133,2837
global,global,6,biodiversity,2306.358879924638,2257
global,global,7,biodiversity,1171.6258129870057,2733
global,global,8,biodiversity,1771.0875010340237,2664
global,global,0,safety,2035.008549083131,1904
global,global,1,safety,992.8868264261753,1658
global,global,2,safety,1845.2232788439153,2745
global,global,3,safety,2353.892577622958,2330
global,global,4,safety,1394.8460503946683,2956
global,global,5,safety,667.7833023024149,2415
global,global,6,safety,1422.9469927586692,2300
global,global,7,safety,2092.227818225367,2677
global,global,8,safety,2213.392414228547,2255
gender,man,0,living,1960.3018783213117,1441
gender,man,1,living,1168.6880374826599,1081
gender,man,2,living,699.6981618757311,793
gender,man,3,living,1738.2868956108048,1225
gender,man,4,living,1839.35100595695,1309
gender,man,5,living,2079.511129760177,1080
gender,man,6,living,1367.0892611617626,678
gender,man,7,living,935.111907226999,1235
gender,man,8,living,1275.0054491252768,1136
gender,man,0,biodiversity,607.4673975697293,1370
gender,man,1,biodiversity,-2.2643304403276936,1035
gender,man,2,biodiversity,1634.9579266306478,1291
gender,man,3,biodiversity,2036.4213045887618,1077
gender,man,4,biodiversity,1824.9898312690327,1169
gender,man,5,biodiversity,1580.8150316869398,1437
gender,man,6,biodiversity,1677.8500195704535,1221
gender,man,7,biodiversity,966.4838465949617,1414
gender,man,8,biodiversity,1721.6503295844593,1396
gender,man,0,safety,1624.9982913311208,939
gender,man,1,safety,200.83973558928858,885
gender,man,2,safety,2021.9312076154408,1402
gender,man,3,safety,911.5306998620645,1223
gender,man,4,safety,1704.941562373185,1542
gender,man,5,safety,1175.3161288079846,1233
gender,man,6,safety,1748.0100586938413,1238
gender,man,7,safety,1803.870059116148,1388
gender,man,8,safety,1953.1155966901224,1186
gender,woman,0,living,1309.0019541710853,1148
gender,woman,1,living,1111.6914688640757,832
gender,woman,2,living,1557.698034903747,695
gender,woman,3,living,1698.8300425337127,918
gender,woman,4,living,1421.008125943611,1083
gender,woman,5,living,1971.3223101496799,901
gender,woman,6,living,680.1546388788596,511
gender,woman,7,living,1731.9319993024455,976
gender,woman,8,living,1881.8960308273004,940
gender,woman,0,biodiversity,1494.5854239542234,1103
gender,woman,1,biodiversity,1798.1223703108556,863
gender,woman,2,biodiversity,1605.5301181860707,1062
gender,woman,3,biodiversity,1543.3130220301387,911
gender,woman,4,biodiversity,1134.4258598588422,848
gender,woman,5,biodiversity,1428.3580895546413,1247
gender,woman,6,biodiversity,2058.857091151732,854
gender,woman,7,biodiversity,1557.0735867787864,1142
gender,woman,8,biodiversity,885.0247565385209,1060
gender,woman,0,safety,1604.2349867678736,764
gender,woman,1,safety,1530.073014576017,732
gender,woman,2,safety,546.6870402507499,1041
gender,woman,3,safety,2044.5019411452588,915
gender,woman,4,safety,1049.847100431349,1167
gender,woman,5,safety,1390.134914816757,1022
gender,woman,6,safety,733.7794183998803,877
gender,woman,7,safety,1843.0982077599735,1006
gender,woman,8,safety,813.441413835029,850
gender,other,0,living,1501.6793593479406,16
gender,other,1,living,1512.4220311284835,15
gender,other,2,living,1448.5788129531527,24
gender,other,3,living,1464.6782977356352,15
gender,other,4,living,1552.5037782395154,20
gender,other,5,living,1486.4181110021595,15
gender,other,6,living,1415.3540953009347,7
gender,other,7,living,1581.1303738428142,23
gender,other,8,living,1537.1724268676144,13
gender,other,0,biodiversity,1460.4653243672205,13
gender,other,1,biodiversity,1547.4760389438661,14
gender,other,2,biodiversity,1499.4126964031782,8
gender,other,3,biodiversity,1487.908131059078,13
gender,other,4,biodiversity,1528.423190535401,16
gender,other,5,biodiversity,1452.1608201206623,10
gender,other,6,biodiversity,1511.0318837423017,11
gender,other,7,biodiversity,1425.2554811492078,8
gender,other,8,biodiversity,1577.8363287982293,13
gender,other,0,safety,1488.068866429469,11
gender,other,1,safety,1548.0530360321204,8
gender,other,2,safety,1536.3799550414285,11
gender,other,3,safety,1463.9970753117886,7
gender,other,4,safety,1501.2262942119562,14
gender,other,5,safety,1502.4776172538295,8
gender,other,6,safety,1454.5364098386888,8
gender,other,7,safety,1537.647393405208,7
gender,other,8,safety,1475.997176326935,10
age,younger,0,living,1429.1034409669696,777
age,younger,1,living,1237.0529111267779,609
age,younger,2,living,832.3092054246239,429
age,younger,3,living,1198.7212684515057,659
age,younger,4,living,1771.7966098215347,706
age,younger,5,living,1883.9886431609486,528
age,younger,6,living,674.640561044115,329
age,younger,7,living,1814.1232999145702,632
age,younger,8,living,1712.3086608916758,621
age,younger,0,biodiversity,828.0311702545289,789
age,younger,1,biodiversity,1747.9859087642742,633
age,younger,2,biodiversity,1181.1307209242082,639
age,younger,3,biodiversity,1805.4854150747183,666
age,younger,4,biodiversity,1626.1963814867763,713
age,younger,5,biodiversity,1820.0812392804783,790
age,younger,6,biodiversity,1480.7750145913062,678
age,younger,7,biodiversity,1322.987444739819,792
age,younger,8,biodiversity,1897.456796330516,732
age,younger,0,safety,1367.4567464487607,570
age,younger,1,safety,1054.4950154295002,443
age,younger,2,safety,1527.6162813963258,758
age,younger,3,safety,1914.9462926698013,669
age,younger,4,safety,1693.0474434236744,895
age,younger,5,safety,1272.489282807481,659
age,younger,6,safety,1640.3675732210434,686
age,younger,7,safety,1864.1065722592293,730
age,younger,8,safety,1805.389667340083,650
age,middle,0,living,1388.8902606566292,1221
age,middle,1,living,1350.0665340617122,843
age,middle,2,living,1311.271692887955,712
age,middle,3,living,1865.4769088464607,1005
age,middle,4,living,1099.7501966005032,1126
age,middle,5,living,1901.1013414372267,957
age,middle,6,living,1623.1344591457525,607
age,middle,7,living,-95.93719374456035,1062
age,middle,8,living,2011.7170205503824,957
age,middle,0,biodiversity,1408.1918254894535,1120
age,middle,1,biodiversity,1202.9892576954378,846
age,middle,2,biodiversity,1536.2812053471323,1126
age,middle,3,biodiversity,1911.4705372270355,862
age,middle,4,biodiversity,1370.2483603640542,900
age,middle,5,biodiversity,1094.6568330669165,1280
age,middle,6,biodiversity,2035.3874972550054,930
age,middle,7,biodiversity,1724.7471585100416,1180
age,middle,8,biodiversity,715.5768963564252,1116
age,middle,0,safety,1814.631658848693,734
age,middle,1,safety,1329.2136084027386,748
age,middle,2,safety,1888.8106490059565,1133
age,middle,3,safety,1838.0591041877647,983
age,middle,4,safety,1106.6771058299464,1197
age,middle,5,safety,1487.8846255169708,1054
age,middle,6,safety,1251.1508656814053,963
age,middle,7,safety,1924.2254733163713,1155
age,middle,8,safety,1530.8703807780146,931
age,older,0,living,1922.891863345785,597
age,older,1,living,1459.7185191100446,468
age,older,2,living,1586.8394916887482,367
age,older,3,living,1679.0047568057375,479
age,older,4,living,1619.168936487699,572
age,older,5,living,1523.715725471673,504
age,older,6,living,1221.8924594565824,256
age,older,7,living,1725.912353622626,528
age,older,8,living,1250.788367979008,501
age,older,0,biodiversity,1584.1604860241564,574
age,older,1,biodiversity,1441.0519330620464,435
age,older,2,biodiversity,1865.38634714643,591
age,older,3,biodiversity,1402.680639273546,476
age,older,4,biodiversity,1559.0691451414025,411
age,older,5,biodiversity,1774.8453891647134,612
age,older,6,biodiversity,1725.8397102362003,474
age,older,7,biodiversity,1137.630185312726,584
age,older,8,biodiversity,1645.7887601305883,617
age,older,0,safety,1616.8445292759895,409
age,older,1,safety,1739.3537422880838,426
age,older,2,safety,1667.4374452608613,555
age,older,3,safety,1773.7979764371796,491
age,older,4,safety,1816.7059377544113,622
age,older,5,safety,1331.1297680252087,538
age,older,6,safety,1387.6190353404074,472
age,older,7,safety,1727.431577739958,510
age,older,8,safety,1294.309618464875,459
ethnicity,white,0,living,1724.8777211797815,2279
ethnicity,white,1,living,1249.7515720738127,1658
ethnicity,white,2,living,1334.4465137067439,1302
ethnicity,white,3,living,1882.0858844952375,1883
ethnicity,white,4,living,1637.8195957438902,2067
ethnicity,white,5,living,2260.777164538736,1724
ethnicity,white,6,living,604.3836509127483,1029
ethnicity,white,7,living,1935.7553203956656,1940
ethnicity,white,8,living,2107.322990450859,1798
ethnicity,white,0,biodiversity,1141.1198627815922,2123
ethnicity,white,1,biodiversity,876.4403341790418,1638
ethnicity,white,2,biodiversity,1864.3060558517836,2061
ethnicity,white,3,biodiversity,2047.3450488219742,1784
