demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1478.1055083807664,2033
global,global,1,living,1845.860150542749,2480
global,global,2,living,1663.6070486189062,2684
global,global,3,living,2207.872509373918,2249
global,global,4,living,1176.1838064115482,2192
global,global,5,living,2097.4767621708634,2184
global,global,6,living,1368.4318836877146,1822
global,global,7,living,2340.320012784088,1643
global,global,8,living,1303.3261658773117,2739
global,global,0,biodiversity,2301.922026747556,2385
global,global,1,biodiversity,1024.2676053956347,2650
global,global,2,biodiversity,1817.0086925461153,1802
global,global,3,biodiversity,2025.4453825118787,3035
global,global,4,biodiversity,1917.9768420993569,3060
global,global,5,biodiversity,1991.947636439849,3049
global,global,6,biodiversity,1519.3768729091207,2321
global,global,7,biodiversity,2240.540711644119,2724
global,global,8,biodiversity,1323.6911387553796,2494
global,global,0,safety,251.55270940560976,1644
global,global,1,safety,1541.2427986684768,2754
global,global,2,safety,1644.2375181854982,1951
global,global,3,safety,2332.290478717429,2343
global,global,4,safety,850.3011114979712,2244
global,global,5,safety,2049.6948612444944,2256
global,global,6,safety,1855.9933264698705,2686
global,global,7,safety,802.197651160898,1753
global,global,8,safety,2179.6227773613223,2123
gender,man,0,living,624.3182817038469,1020
gender,man,1,living,2015.370629414546,1292
gender,man,2,living,1438.9063428684797,1356
gender,man,3,living,1697.4486532066592,1179
gender,man,4,living,1054.5739532616954,1095
gender,man,5,living,1494.1148861948632,1135
gender,man,6,living,1852.0217862139457,968
gender,man,7,living,1890.1407595006106,834
gender,man,8,living,1396.7254327751389,1373
gender,man,0,biodiversity,2014.0332877691226,1230
gender,man,1,biodiversity,492.56595618443646,1383
gender,man,2,biodiversity,1454.5558181748418,944
gender,man,3,biodiversity,1518.4745539479522,1496
gender,man,4,biodiversity,1731.2403398515821,1513
gender,man,5,biodiversity,737.4199025696819,1498
gender,man,6,biodiversity,1906.9938949447778,1151
gender,man,7,biodiversity,1981.4310684668042,1413
gender,man,8,biodiversity,1209.0883539103895,1330
gender,man,0,safety,343.3602971503034,825
gender,man,1,safety,1523.1993638993802,1480
gender,man,2,safety,972.1458314763989,1009
gender,man,3,safety,2075.139880851311,1166
gender,man,4,safety,694.8501770476062,1274
gender,man,5,safety,1663.0635340436952,1107
gender,man,6,safety,1764.0026578721595,1369
gender,man,7,safety,1271.3358982235034,934
gender,man,8,safety,1975.6621728730177,1050
gender,woman,0,living,1040.1721299315354,780
gender,woman,1,living,1761.7145140744476,962
gender,woman,2,living,1718.9021578962277,1073
gender,woman,3,living,1854.5127312291102,875
gender,woman,4,living,1517.6276577560666,905
gender,woman,5,living,1917.695789096178,869
gender,woman,6,living,823.4018802861743,713
gender,woman,7,living,1950.562518439571,657
gender,woman,8,living,1087.6570582749835,1042
gender,woman,0,biodiversity,1836.4774649823203,928
gender,woman,1,biodiversity,1629.4094490978673,1198
gender,woman,2,biodiversity,1501.3426995234129,738
gender,woman,3,biodiversity,1599.2122918111738,1259
gender,woman,4,biodiversity,1252.0194159956727,1268
gender,woman,5,biodiversity,1887.7133624840687,1231
gender,woman,6,biodiversity,881.081727917922,971
gender,woman,7,biodiversity,2037.1810175313951,1031
gender,woman,8,biodiversity,1996.2898953669624,1010
gender,woman,0,safety,1634.174820638854,730
gender,woman,1,safety,1888.0866850716818,1069
gender,woman,2,safety,1724.080491661339,741
gender,woman,3,safety,1278.0058724447754,944
gender,woman,4,safety,1905.9729315059212,861
gender,woman,5,safety,1743.1249581138372,956
gender,woman,6,safety,1364.0665218693302,1067
gender,woman,7,safety,1026.1297387907875,737
gender,woman,8,safety,1834.287241849837,853
gender,other,0,living,1519.4149291719946,17
gender,other,1,living,1468.0374650950191,13
gender,other,2,living,1535.9901183966056,11
gender,other,3,living,1456.9783237705497,12
gender,other,4,living,1502.3476296306471,14
gender,other,5,living,1476.0017537219144,12
gender,other,6,living,1490.4086270572857,15
gender,other,7,living,1559.423223860411,7
gender,other,8,living,1511.9419242761178,13
gender,other,0,biodiversity,1439.9995891235496,7
gender,other,1,biodiversity,1453.1499043184065,12
gender,other,2,biodiversity,1512.420830602557,15
gender,other,3,biodiversity,1489.2536825243833,13
gender,other,4,biodiversity,1526.8357873891766,14
gender,other,5,biodiversity,1500.5013706454952,14
gender,other,6,biodiversity,1569.6154994706533,8
gender,other,7,biodiversity,1548.4723081129453,18
gender,other,8,biodiversity,1464.0847669971647,17
gender,other,0,safety,1486.4450927654616,15
gender,other,1,safety,1512.4166239359708,13
gender,other,2,safety,1455.533148505315,16
gender,other,3,safety,1526.4184344446396,10
gender,other,4,safety,1475.7326513114085,18
gender,other,5,safety,1502.3685405630415,10
gender,other,6,safety,1426.3401318360889,12
gender,other,7,safety,1566.0917421280983,6
gender,other,8,safety,1546.3969484245613,6
age,younger,0,living,1738.499312415803,608
age,younger,1,living,1846.8148613274702,723
age,younger,2,living,1294.0360833187372,724
age,younger,3,living,1413.7056805025675,710
age,younger,4,living,1571.2398733291457,654
age,younger,5,living,1700.0909738784028,597
age,younger,6,living,1544.2203139868286,496
age,younger,7,living,1869.426237404642,422
age,younger,8,living,1328.1824931399672,758
age,younger,0,biodiversity,1358.5387909704336,666
age,younger,1,biodiversity,1797.4726007514769,767
age,younger,2,biodiversity,451.33867507467005,534
age,younger,3,biodiversity,1280.5012658976223,845
age,younger,4,biodiversity,1071.1511440541315,822
age,younger,5,biodiversity,1918.2887932042825,818
age,younger,6,biodiversity,1860.012423914134,645
age,younger,7,biodiversity,1669.311401054819,745
age,younger,8,biodiversity,1506.4522290309594,750
age,younger,0,safety,543.9095944350657,451
age,younger,1,safety,1470.8683653823853,805
age,younger,2,safety,1344.2193889231369,554
age,younger,3,safety,1889.4475978601454,528
age,younger,4,safety,1648.6103329555121,699
age,younger,5,safety,1791.8602575088807,600
age,younger,6,safety,1382.4693058546252,730
age,younger,7,safety,1716.7833654999515,509
age,younger,8,safety,1156.637920102501,622
age,middle,0,living,542.95635321351,793
age,middle,1,living,1490.802203453482,1031
age,middle,2,living,1997.4400091966784,1105
age,middle,3,living,1809.694591439051,890
