demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2098.3371847766784,2415
global,global,1,living,1315.9002195448904,2719
global,global,2,living,1890.3226630740423,3004
global,global,3,living,1968.1905916344256,3181
global,global,4,living,246.9369533753281,2694
global,global,5,living,1851.5384946974923,2877
global,global,6,living,1931.9382712064323,2577
global,global,7,living,2219.540399044195,970
global,global,8,living,1368.7646522175812,3295
global,global,0,biodiversity,2107.257129932315,1332
global,global,1,biodiversity,698.1529152623183,2202
global,global,2,biodiversity,1724.4330051951918,1818
global,global,3,biodiversity,1969.0689286872328,1902
global,global,4,biodiversity,843.8972089176558,2107
global,global,5,biodiversity,1451.3232059605689,2311
global,global,6,biodiversity,1809.2613525746194,1417
global,global,7,biodiversity,996.4227963561328,1212
global,global,8,biodiversity,317.6293829414246,2307
global,global,0,safety,1784.6335623080265,2373
global,global,1,safety,1904.1165518245211,3127
global,global,2,safety,1048.7783163129045,2308
global,global,3,safety,2120.5697476653745,2524
global,global,4,safety,2247.35157662372,2600
global,global,5,safety,2162.125641377791,2794
global,global,6,safety,809.0814887637121,2288
global,global,7,safety,2380.4731272294744,2671
global,global,8,safety,1159.1753030898703,2275
gender,man,0,living,1613.1172446677535,1277
gender,man,1,living,303.9358075133797,1342
gender,man,2,living,1973.232962558525,1496
gender,man,3,living,1809.0129922688202,1615
gender,man,4,living,1378.4363985795915,1363
gender,man,5,living,891.7747544906587,1471
gender,man,6,living,1108.3501819967219,1271
gender,man,7,living,1865.2097648761114,509
gender,man,8,living,-47.61933572459348,1666
gender,man,0,biodiversity,1868.24113800208,726
gender,man,1,biodiversity,1673.601773459377,1196
gender,man,2,biodiversity,1614.7195318118456,949
gender,man,3,biodiversity,1814.928303244355,997
gender,man,4,biodiversity,1355.11780719157,1058
gender,man,5,biodiversity,880.6266214702407,1167
gender,man,6,biodiversity,1931.9694806153732,715
gender,man,7,biodiversity,1007.8881088642331,644
gender,man,8,biodiversity,-434.2326746829518,1144
gender,man,0,safety,1398.531564429831,1218
gender,man,1,safety,1277.158259236331,1662
gender,man,2,safety,1765.3520961925947,1232
gender,man,3,safety,1799.4702646118585,1244
gender,man,4,safety,1873.9820116561295,1274
gender,man,5,safety,1905.5850049583917,1401
gender,man,6,safety,1548.602156855516,1155
gender,man,7,safety,1970.0402884022617,1449
gender,man,8,safety,2033.0262556072541,1183
gender,woman,0,living,1612.4133298360528,946
gender,woman,1,living,1722.8294472969233,1064
gender,woman,2,living,750.7460348994539,1192
gender,woman,3,living,1023.5633688085206,1297
gender,woman,4,living,1630.285372706554,1116
gender,woman,5,living,1804.6617488878683,1140
gender,woman,6,living,1125.050096179534,980
gender,woman,7,living,1877.0221211954556,422
gender,woman,8,living,1978.8494685350977,1353
gender,woman,0,biodiversity,1942.2066123376703,531
gender,woman,1,biodiversity,297.9194613806556,860
gender,woman,2,biodiversity,1560.3772252548163,762
gender,woman,3,biodiversity,1824.2159294537496,766
gender,woman,4,biodiversity,1327.5909709806053,902
gender,woman,5,biodiversity,1766.445468905991,994
gender,woman,6,biodiversity,563.3478351621233,611
gender,woman,7,biodiversity,1403.9148437694362,485
gender,woman,8,biodiversity,1663.6298987191608,1003
gender,woman,0,safety,1868.7447797267348,882
gender,woman,1,safety,1709.4865043510242,1182
gender,woman,2,safety,1059.086224622921,904
gender,woman,3,safety,1968.1797819939632,1114
gender,woman,4,safety,1655.913488343155,1095
gender,woman,5,safety,1377.7667123991087,1086
gender,woman,6,safety,1336.5906300631918,947
gender,woman,7,safety,1830.797604562244,968
gender,woman,8,safety,497.75344998579044,866
gender,other,0,living,1490.9506290934787,11
gender,other,1,living,1476.069695920495,14
gender,other,2,living,1498.3048469646606,12
gender,other,3,living,1410.0285219887792,7
gender,other,4,living,1535.906622006086,7
gender,other,5,living,1462.4937807119175,9
gender,other,6,living,1559.9182441958892,9
gender,other,7,living,1548.21974081372,14
gender,other,8,living,1511.7398091632406,19
gender,other,0,biodiversity,1477.2511783426255,14
gender,other,1,biodiversity,1502.642162380458,22
gender,other,2,biodiversity,1440.3541171011161,13
gender,other,3,biodiversity,1547.519454331424,10
gender,other,4,biodiversity,1562.1572888661888,11
gender,other,5,biodiversity,1488.6379931513325,11
gender,other,6,biodiversity,1524.0320125493668,8
gender,other,7,biodiversity,1514.5427349594397,19
gender,other,8,biodiversity,1459.3320201752904,24
gender,other,0,safety,1499.7410304109744,12
gender,other,1,safety,1488.0150090841396,15
gender,other,2,safety,1524.7483435311965,14
gender,other,3,safety,1511.9875905844483,9
gender,other,4,safety,1537.596655266617,13
gender,other,5,safety,1467.137557380439,7
gender,other,6,safety,1425.0783481378767,16
gender,other,7,safety,1569.99296327053,8
gender,other,8,safety,1477.2762728271198,10
age,younger,0,living,1079.774316529784,718
age,younger,1,living,1075.7506016254817,695
age,younger,2,living,1802.641324747623,842
age,younger,3,living,1677.0477960498847,890
age,younger,4,living,1873.6061230933656,773
age,younger,5,living,1376.6303261486119,729
age,younger,6,living,1164.4125801622638,672
age,younger,7,living,1833.6695278898965,320
age,younger,8,living,1746.1257652609606,919
age,younger,0,biodiversity,1294.2283483261576,421
age,younger,1,biodiversity,1566.468637455238,644
age,younger,2,biodiversity,1725.70338143581,476
age,younger,3,biodiversity,1917.0605535993095,538
age,younger,4,biodiversity,918.9293740110728,565
age,younger,5,biodiversity,1420.1379718052635,647
age,younger,6,biodiversity,1607.1998149121137,390
age,younger,7,biodiversity,1443.6442271900166,390
age,younger,8,biodiversity,1042.8053577591947,667
age,younger,0,safety,142.11464985430533,636
age,younger,1,safety,972.1624020903377,902
age,younger,2,safety,1618.0814558226896,714
age,younger,3,safety,1264.4867242461012,651
age,younger,4,safety,1765.8254465630628,830
age,younger,5,safety,1810.9398649853554,736
age,younger,6,safety,1422.1604242190685,640
age,younger,7,safety,1907.1696028903536,761
age,younger,8,safety,1788.5701440556668,616
age,middle,0,living,1859.8022837487895,991
age,middle,1,living,1118.7914947453926,1209
age,middle,2,living,947.2889820974063,1225
age,middle,3,living,1742.1874411255512,1321
age,middle,4,living,1010.0364000235346,1146
age,middle,5,living,1552.141484281139,1232
age,middle,6,living,1824.2225065900252,1014
age,middle,7,living,1966.2677612024324,383
age,middle,8,living,1375.5451249266773,1423
age,middle,0,biodiversity,1978.460155670037,545
age,middle,1,biodiversity,1388.4612828618842,990
age,middle,2,biodiversity,1734.2865735475557,814
age,middle,3,biodiversity,1526.3509106410552,873
age,middle,4,biodiversity,1672.5031897144816,955
age,middle,5,biodiversity,1774.7452832352621,995
age,middle,6,biodiversity,1614.9517207077474,592
age,middle,7,biodiversity,1428.5081846147777,509
age,middle,8,biodiversity,1454.527588324523,987
age,middle,0,safety,1935.3131005803314,971
age,middle,1,safety,1875.1527508581187,1264
age,middle,2,safety,1214.6821706040716,989
age,middle,3,safety,1842.364796013179,1120
age,middle,4,safety,1896.7719561363194,1014
age,middle,5,safety,1642.1519127225035,1127
age,middle,6,safety,1534.5605002603986,990
age,middle,7,safety,1021.1570019299355,1123
age,middle,8,safety,1070.2987369036446,946
age,older,0,living,1855.0048755689545,523
age,older,1,living,1819.0827698294956,517
age,older,2,living,1700.3705674493826,627
age,older,3,living,1501.9479098057118,703
age,older,4,living,1058.0532388802449,556
age,older,5,living,1344.1503028731665,651
age,older,6,living,1663.441876090987,562
age,older,7,living,1600.3299219494324,239
age,older,8,living,1185.3097358688476,688
age,older,0,biodiversity,1693.0372538943413,305
age,older,1,biodiversity,1446.6239294773468,445
age,older,2,biodiversity,1582.9063766731238,432
age,older,3,biodiversity,1806.7067270517482,361
age,older,4,biodiversity,1667.1926633558076,444
age,older,5,biodiversity,1731.0146968643119,532
age,older,6,biodiversity,1378.1074349977264,352
age,older,7,biodiversity,1416.014908781805,242
age,older,8,biodiversity,1142.133892937699,509
age,older,0,safety,1872.3541351207539,494
age,older,1,safety,1667.2002786469568,687
age,older,2,safety,1158.4704877333004,432
age,older,3,safety,1694.5306030590461,585
