demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1914.7240852699645,2136
global,global,1,living,645.0139641263918,1536
global,global,2,living,-57.399202274925564,983
global,global,3,living,1199.453879396291,2335
global,global,4,living,2247.6868412185736,1267
global,global,5,living,2018.2481161270798,2254
global,global,6,living,1806.5705747592456,1554
global,global,7,living,1363.017434821032,1861
global,global,8,living,1642.9094952043538,2136
global,global,0,biodiversity,1084.4517216664015,2970
global,global,1,biodiversity,859.5587709405478,2423
global,global,2,biodiversity,2331.4783591113155,3278
global,global,3,biodiversity,2358.573752178622,2806
global,global,4,biodiversity,2458.6168181932862,2939
global,global,5,biodiversity,1617.4876370639429,3579
global,global,6,biodiversity,2017.3209414702928,2950
global,global,7,biodiversity,2215.5823104951783,4042
global,global,8,biodiversity,2172.353060447964,3279
global,global,0,safety,881.9292586447606,1939
global,global,1,safety,1175.6378998317848,1833
global,global,2,safety,2046.791912923626,2085
global,global,3,safety,2167.851807801491,1475
global,global,4,safety,1744.1635231778698,2409
global,global,5,safety,1630.5482162105882,2662
global,global,6,safety,1320.1535651380896,2983
global,global,7,safety,505.9353120958006,1544
global,global,8,safety,684.9841821151322,2042
gender,man,0,living,1273.2802276194807,1058
gender,man,1,living,735.3712619199179,781
gender,man,2,living,1731.637304852159,572
gender,man,3,living,1316.283134014965,1229
gender,man,4,living,1464.0375042718993,685
gender,man,5,living,1829.2101169290784,1054
gender,man,6,living,1997.6524955470582,695
gender,man,7,living,1616.889668918542,965
gender,man,8,living,1530.7012620555877,1103
gender,man,0,biodiversity,1502.090182983196,1461
gender,man,1,biodiversity,-347.36492741759474,1183
gender,man,2,biodiversity,2040.9974417951712,1749
gender,man,3,biodiversity,1725.890056372551,1434
gender,man,4,biodiversity,2020.4251139762528,1493
gender,man,5,biodiversity,1698.1403466000008,1927
gender,man,6,biodiversity,1776.9171332896512,1461
gender,man,7,biodiversity,2160.193450915234,2004
gender,man,8,biodiversity,2068.070643823904,1712
gender,man,0,safety,932.0310944319119,1038
gender,man,1,safety,1762.7454561492846,952
gender,man,2,safety,1693.8303162010022,1157
gender,man,3,safety,1984.5042759147423,749
gender,man,4,safety,1521.1769464217548,1216
gender,man,5,safety,2076.8560015933067,1310
gender,man,6,safety,1607.6663730354958,1582
gender,man,7,safety,1046.6602308107285,799
gender,man,8,safety,1244.1200294697567,1055
gender,woman,0,living,1707.1901359719145,856
gender,woman,1,living,1471.286231930732,695
gender,woman,2,living,-49.24692186101696,387
