demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2230.43992963893,1373
global,global,1,living,1985.5875806098916,2497
global,global,2,living,1797.1363133471987,2727
global,global,3,living,359.8595185354281,2443
global,global,4,living,1388.2097935975228,2193
global,global,5,living,1688.66333247122,2708
global,global,6,living,942.8056430609606,2668
global,global,7,living,-206.82445852077956,2080
global,global,8,living,1334.8315543773042,2543
global,global,0,biodiversity,2232.2261833548255,3495
global,global,1,biodiversity,2354.300140732217,2928
global,global,2,biodiversity,1646.60753164092,3318
global,global,3,biodiversity,1985.0595687744192,2287
global,global,4,biodiversity,1341.5123369791675,3484
global,global,5,biodiversity,911.8985068377983,3098
global,global,6,biodiversity,974.3993554471728,2592
global,global,7,biodiversity,1529.2424439130534,3232
global,global,8,biodiversity,348.42529998717816,3112
global,global,0,safety,963.0453349715177,1511
global,global,1,safety,947.284190395408,1586
global,global,2,safety,888.0185457647638,1676
global,global,3,safety,1944.0399894037776,1738
global,global,4,safety,2101.253394746764,1449
global,global,5,safety,2047.3834708269678,1464
global,global,6,safety,606.7852148893904,1729
global,global,7,safety,1528.076708831729,1841
global,global,8,safety,2005.4647826210282,1528
gender,man,0,living,2021.0933576639195,694
gender,man,1,living,1917.2348459399514,1269
gender,man,2,living,1529.7479173326572,1368
gender,man,3,living,-227.48948320692318,1255
gender,man,4,living,962.9934625827032,1075
gender,man,5,living,1588.1114231994018,1281
gender,man,6,living,1464.6859380720439,1342
gender,man,7,living,303.0479280658016,1078
gender,man,8,living,1023.1754844652955,1314
gender,man,0,biodiversity,1785.1934818255486,1764
gender,man,1,biodiversity,1718.16616504686,1557
gender,man,2,biodiversity,1932.9502942902009,1590
gender,man,3,biodiversity,2151.4186926137554,1172
gender,man,4,biodiversity,1216.7327785426012,1879
gender,man,5,biodiversity,1183.5585530750914,1624
gender,man,6,biodiversity,926.7688090576964,1331
gender,man,7,biodiversity,1968.3372007962064,1663
gender,man,8,biodiversity,862.785256520881,1674
gender,man,0,safety,1326.140522832924,775
gender,man,1,safety,213.37829676258573,806
gender,man,2,safety,1065.8032264882759,886
gender,man,3,safety,1884.2209979635732,924
gender,man,4,safety,1562.2435912186354,729
gender,man,5,safety,1730.169054794496,765
gender,man,6,safety,1007.2299200491044,858
gender,man,7,safety,1583.7837217548154,959
gender,man,8,safety,1975.1196073145143,792
gender,woman,0,living,1835.3858168080749,586
gender,woman,1,living,1116.359391787206,1029
gender,woman,2,living,1574.7343191523642,1068
gender,woman,3,living,1980.8583097628157,1023
gender,woman,4,living,1728.522973452226,931
gender,woman,5,living,1759.9569265257405,1164
gender,woman,6,living,914.8405172277236,1104
gender,woman,7,living,1326.1647303974673,927
gender,woman,8,living,1866.6078689200783,998
gender,woman,0,biodiversity,1939.98035327999,1436
gender,woman,1,biodiversity,1828.263129725244,1178
gender,woman,2,biodiversity,2082.182298752718,1296
gender,woman,3,biodiversity,1878.8500540956072,896
gender,woman,4,biodiversity,1378.2222296291518,1307
gender,woman,5,biodiversity,738.8125537863616,1230
gender,woman,6,biodiversity,1124.1798059086948,1041
gender,woman,7,biodiversity,1475.6622152795408,1287
gender,woman,8,biodiversity,1430.8851841026428,1227
gender,woman,0,safety,1245.0547086028107,609
gender,woman,1,safety,1697.743138536362,591
gender,woman,2,safety,1140.2265833357305,639
gender,woman,3,safety,1520.7039159242347,690
gender,woman,4,safety,1926.7711682465947,573
gender,woman,5,safety,1760.7786584934543,571
gender,woman,6,safety,1382.1457296252515,716
gender,woman,7,safety,1010.277671840345,745
gender,woman,8,safety,1655.37033316141,606
gender,other,0,living,1497.5666820681774,20
gender,other,1,living,1489.7598913735505,13
gender,other,2,living,1524.3435166278082,16
gender,other,3,living,1440.287771507449,13
gender,other,4,living,1566.0320216421655,17
gender,other,5,living,1482.2383083483298,10
gender,other,6,living,1450.1843429663634,16
gender,other,7,living,1516.2745570601019,13
gender,other,8,living,1549.4168406449176,18
gender,other,0,biodiversity,1451.7422895829473,12
gender,other,1,biodiversity,1512.3572749010568,11
gender,other,2,biodiversity,1427.980787403326,14
gender,other,3,biodiversity,1535.9639911388479,19
gender,other,4,biodiversity,1584.1429344412588,14
gender,other,5,biodiversity,1466.949353800276,15
gender,other,6,biodiversity,1500.0193243759472,8
gender,other,7,biodiversity,1484.0726306456565,15
gender,other,8,biodiversity,1530.8159554120928,10
gender,other,0,safety,1559.999539320454,7
gender,other,1,safety,1500.0143094285309,6
gender,other,2,safety,1547.1755478526268,12
gender,other,3,safety,1476.000494230152,8
gender,other,4,safety,1485.4959764378586,13
gender,other,5,safety,1524.0295112727463,8
gender,other,6,safety,1464.0142923584262,13
gender,other,7,safety,1426.3656349349314,6
gender,other,8,safety,1512.015745697664,11
age,younger,0,living,1899.244240267308,431
age,younger,1,living,1723.6516961376628,697
age,younger,2,living,1711.775444527657,814
age,younger,3,living,1034.3747496314961,612
age,younger,4,living,1430.5312021606676,616
age,younger,5,living,1786.8178677130898,686
age,younger,6,living,1554.344420296631,762
