demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2261.5456581778976,2118
global,global,1,living,1682.9526456411963,2661
global,global,2,living,2104.035735158139,2358
global,global,3,living,1871.4148280118486,1787
global,global,4,living,950.4022398685931,1559
global,global,5,living,1999.3042358023486,2565
global,global,6,living,1014.7486901045635,2465
global,global,7,living,1814.633895757046,2595
global,global,8,living,176.9219513103645,1740
global,global,0,biodiversity,394.01006055361864,2602
global,global,1,biodiversity,207.68172906017514,2226
global,global,2,biodiversity,838.8589398816084,2547
global,global,3,biodiversity,1966.211986865847,2620
global,global,4,biodiversity,1108.8717315742583,2523
global,global,5,biodiversity,2177.275073703997,1390
global,global,6,biodiversity,2089.2805968009516,1788
global,global,7,biodiversity,-344.24332453677226,1221
global,global,8,biodiversity,1537.6693904617125,2295
global,global,0,safety,2367.2930030015173,2357
global,global,1,safety,1965.069937894411,3022
global,global,2,safety,2273.486319492383,2003
global,global,3,safety,1924.0301095806985,2970
global,global,4,safety,1058.3341098882242,2883
global,global,5,safety,1995.998698549149,2676
global,global,6,safety,-26.780418402861006,2448
global,global,7,safety,1690.8065986193074,2838
global,global,8,safety,1839.1070002545268,3043
gender,man,0,living,1877.6320961480637,1064
gender,man,1,living,1907.8256573172473,1350
gender,man,2,living,1832.711856525778,1244
gender,man,3,living,1703.8823900301732,911
gender,man,4,living,1375.8120790178436,800
gender,man,5,living,1737.2460479926885,1270
gender,man,6,living,1981.3702667977432,1262
gender,man,7,living,1417.6711957611462,1324
gender,man,8,living,875.726420702554,927
gender,man,0,biodiversity,1797.606998447563,1341
gender,man,1,biodiversity,549.4185342025353,1156
gender,man,2,biodiversity,1988.8051047362144,1370
gender,man,3,biodiversity,1960.4251674754612,1317
gender,man,4,biodiversity,1209.5650521470702,1240
gender,man,5,biodiversity,1942.3829470475746,763
gender,man,6,biodiversity,1904.9623478906162,963
gender,man,7,biodiversity,514.7568770191623,615
gender,man,8,biodiversity,1531.6830293615346,1219
gender,man,0,safety,1699.3785294189245,1205
gender,man,1,safety,1658.439182761386,1495
