demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1871.8343460530587,1960
global,global,1,living,1315.5374567043207,1524
global,global,2,living,-245.6767915773046,2467
global,global,3,living,2152.9307100325886,2363
global,global,4,living,807.1946915814957,2345
global,global,5,living,2342.390976924961,2008
global,global,6,living,1475.4829376371622,2545
global,global,7,living,1903.226960942155,2247
global,global,8,living,931.9436101421251,1951
global,global,0,biodiversity,1625.5870986654884,2049
global,global,1,biodiversity,1072.7909600787216,2462
global,global,2,biodiversity,1918.197065014385,2240
global,global,3,biodiversity,2331.6368226847135,2103
global,global,4,biodiversity,781.1733603547881,2326
global,global,5,biodiversity,-95.00972284171658,2295
global,global,6,biodiversity,2248.510794517218,1647
global,global,7,biodiversity,1594.1322633681057,2521
global,global,8,biodiversity,1474.7971153378126,2791
global,global,0,safety,1577.0804205448253,2086
global,global,1,safety,1946.6848031727122,2589
global,global,2,safety,942.9587715652123,2507
global,global,3,safety,1971.800946743178,3365
global,global,4,safety,2276.2866237060566,2941
global,global,5,safety,2052.2255289724985,2799
global,global,6,safety,237.69002809862982,2127
global,global,7,safety,1847.589373736786,2615
global,global,8,safety,2384.252151882661,2427
gender,man,0,living,1790.9262533910096,986
gender,man,1,living,1321.8478501082918,816
gender,man,2,living,766.4465195113141,1268
gender,man,3,living,1559.591972221363,1195
gender,man,4,living,1223.86563118879,1185
gender,man,5,living,2051.1226866255674,1005
gender,man,6,living,1504.3932629117874,1316
gender,man,7,living,1925.110502580365,1139
gender,man,8,living,1705.7114827327878,1062
gender,man,0,biodiversity,1730.3368540332892,1005
gender,man,1,biodiversity,1517.956208079903,1290
gender,man,2,biodiversity,1952.6040741095496,1151
gender,man,3,biodiversity,1066.6522086002437,1105
gender,man,4,biodiversity,1675.2858275490994,1221
gender,man,5,biodiversity,760.9571343107649,1171
gender,man,6,biodiversity,1998.7321222060134,889
gender,man,7,biodiversity,1567.5997382366895,1255
gender,man,8,biodiversity,1867.2227257454501,1389
gender,man,0,safety,1727.176029333704,1140
gender,man,1,safety,736.7719025525383,1299
gender,man,2,safety,1386.2559485832012,1337
gender,man,3,safety,2012.165133238956,1717
gender,man,4,safety,1971.0574658633918,1460
gender,man,5,safety,2067.8183195443285,1414
gender,man,6,safety,1149.9106096425091,1084
gender,man,7,safety,1800.0391357880058,1301
gender,man,8,safety,1528.718653066047,1224
gender,woman,0,living,1671.3668915398014,812
gender,woman,1,living,1500.8672990408645,670
gender,woman,2,living,661.4496885223954,981
gender,woman,3,living,1993.1255142538755,914
gender,woman,4,living,1715.1914358718905,986
gender,woman,5,living,1914.1798861762256,816
gender,woman,6,living,1866.3798287420461,998
gender,woman,7,living,1617.4666623150329,876
gender,woman,8,living,1088.7064070908543,791
gender,woman,0,biodiversity,1025.12328732662,812
gender,woman,1,biodiversity,1278.0901901997222,1025
gender,woman,2,biodiversity,1644.590449454234,880
gender,woman,3,biodiversity,1991.5580393297325,776
gender,woman,4,biodiversity,1053.1302600989936,896
gender,woman,5,biodiversity,1436.0358039978312,1007
gender,woman,6,biodiversity,1786.731880943874,582
gender,woman,7,biodiversity,1541.953513365023,992
gender,woman,8,biodiversity,1253.8660242230853,1142
gender,woman,0,safety,1921.8839483757492,821
gender,woman,1,safety,1983.9054725693807,1045
gender,woman,2,safety,1069.752358105455,1023
gender,woman,3,safety,1505.6867318398329,1354
gender,woman,4,safety,1366.8286724531347,1182
gender,woman,5,safety,1575.1819393243427,1122
gender,woman,6,safety,1384.4056261006572,892
gender,woman,7,safety,1203.8545832789234,1079
gender,woman,8,safety,1829.3161720173712,994
gender,other,0,living,1451.5048450886632,8
gender,other,1,living,1499.9719571531236,12
gender,other,2,living,1550.669950044911,16
gender,other,3,living,1532.4026027694383,13
gender,other,4,living,1559.9856905714691,7
gender,other,5,living,1429.3025470951598,14
gender,other,6,living,1472.759696881502,24
gender,other,7,living,1515.8867939602649,11
gender,other,8,living,1490.483335313173,11
gender,other,0,biodiversity,1455.9889435742482,8
gender,other,1,biodiversity,1513.2548157552715,9
gender,other,2,biodiversity,1535.9753369396815,7
gender,other,3,biodiversity,1561.5422797815704,9
gender,other,4,biodiversity,1438.6206879558224,17
gender,other,5,biodiversity,1499.1817303468683,14
gender,other,6,biodiversity,1487.729734525313,11
gender,other,7,biodiversity,1524.0164600639494,10
gender,other,8,biodiversity,1489.1834842683472,11
gender,other,0,safety,1452.9967695305374,16
gender,other,1,safety,1559.920923947934,7
gender,other,2,safety,1503.0985865895163,14
gender,other,3,safety,1489.9793899676854,21
gender,other,4,safety,1518.1413290908788,19
gender,other,5,safety,1548.0000478973636,10
gender,other,6,safety,1475.8747256383335,16
gender,other,7,safety,1441.75986303405,11
gender,other,8,safety,1524.1617960445624,12
age,younger,0,living,1265.247202800916,536
age,younger,1,living,678.66371599434,416
age,younger,2,living,1239.9030511223564,672
age,younger,3,living,1886.547756118584,648
age,younger,4,living,1850.7114464551144,612
age,younger,5,living,1528.484810191986,605
age,younger,6,living,1630.3659268404588,690
age,younger,7,living,1571.3457267703363,645
age,younger,8,living,1366.2093777408563,572
age,younger,0,biodiversity,1178.8132785414698,563
age,younger,1,biodiversity,1705.401324982855,754
age,younger,2,biodiversity,1664.0297215674889,605
age,younger,3,biodiversity,1817.7639182159182,585
age,younger,4,biodiversity,1481.1484525716387,669
age,younger,5,biodiversity,1207.6810474405008,672
age,younger,6,biodiversity,1844.324609697272,455
age,younger,7,biodiversity,1585.2566672470884,702
age,younger,8,biodiversity,1789.8979873898936,781
age,younger,0,safety,1514.095899395688,619
age,younger,1,safety,1860.4015787877818,732
age,younger,2,safety,1788.884895816937,801
age,younger,3,safety,1633.2333817105973,918
age,younger,4,safety,1813.7117124656404,803
age,younger,5,safety,1475.7113150061584,763
age,younger,6,safety,1378.1521048357286,597
age,younger,7,safety,1900.9451814992879,732
age,younger,8,safety,1657.699802402973,635
age,middle,0,living,1447.4695211084038,891
age,middle,1,living,1683.0712869029128,713
age,middle,2,living,1086.4193938675237,1061
