demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2116.1203948253237,2298
global,global,1,living,1483.7121836949234,1818
global,global,2,living,866.990361104671,2403
global,global,3,living,783.4233898682718,2422
global,global,4,living,1930.0194754814968,1692
global,global,5,living,2177.7441700910485,1346
global,global,6,living,-268.55242200890075,1570
global,global,7,living,1898.6112948720863,2047
global,global,8,living,568.5255297988815,2318
global,global,0,biodiversity,2138.958934870444,2840
global,global,1,biodiversity,2062.9553652798168,3347
global,global,2,biodiversity,304.8572116570548,2475
global,global,3,biodiversity,1149.845984684778,3094
global,global,4,biodiversity,-704.4664121606099,1571
global,global,5,biodiversity,1951.275629126393,2444
global,global,6,biodiversity,2431.50007398799,2149
global,global,7,biodiversity,185.1826328732766,2294
global,global,8,biodiversity,1578.0640481581593,3312
global,global,0,safety,1802.5899832110667,2468
global,global,1,safety,2426.773994623111,2654
global,global,2,safety,2165.778567277737,2639
global,global,3,safety,1333.9238876608758,2673
global,global,4,safety,1388.8271497511798,2483
global,global,5,safety,91.36864714753358,2634
global,global,6,safety,1268.4346873348818,2640
global,global,7,safety,-296.6280988666501,1257
global,global,8,safety,851.0662794965093,2412
gender,man,0,living,1439.8807981565888,1150
gender,man,1,living,1706.868746606463,983
gender,man,2,living,1216.5917958521068,1270
gender,man,3,living,1082.1931009797843,1211
gender,man,4,living,1661.3641229627046,917
gender,man,5,living,1896.0069792351483,722
gender,man,6,living,796.0529984796498,888
gender,man,7,living,2038.7916261181254,971
gender,man,8,living,1572.6376251006734,1096
gender,man,0,biodiversity,2104.1696268380997,1453
gender,man,1,biodiversity,2045.7439668325526,1770
gender,man,2,biodiversity,602.0165205423556,1259
gender,man,3,biodiversity,1900.4831971911278,1565
gender,man,4,biodiversity,760.6810125142981,882
gender,man,5,biodiversity,1137.382400434013,1258
gender,man,6,biodiversity,1762.8955038963913,1072
gender,man,7,biodiversity,646.3338742904535,1199
gender,man,8,biodiversity,1657.428622263822,1684
gender,man,0,safety,2036.7826529450058,1257
gender,man,1,safety,1992.4818074817622,1366
gender,man,2,safety,2087.9742287167005,1337
gender,man,3,safety,1504.6041340257498,1373
gender,man,4,safety,1607.8414470332393,1210
gender,man,5,safety,1439.568247196739,1302
gender,man,6,safety,1556.927336165296,1388
gender,man,7,safety,991.4909042093576,653
gender,man,8,safety,1733.275353828745,1188
