demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2306.6935886800584,2116
global,global,1,living,1858.4270705715771,2717
global,global,2,living,1742.722340475516,2801
global,global,3,living,953.6002842320397,1576
global,global,4,living,1395.0625644644224,2655
global,global,5,living,1330.8899184425006,2421
global,global,6,living,2272.751567454459,2224
global,global,7,living,2211.463378328623,2273
global,global,8,living,1612.7236524772363,3011
global,global,0,biodiversity,1880.1851999762578,1764
global,global,1,biodiversity,962.3290405421645,2932
global,global,2,biodiversity,1131.0245947917024,2397
global,global,3,biodiversity,2165.8056521970975,2335
global,global,4,biodiversity,2011.7562740432245,2796
global,global,5,biodiversity,2067.820573471692,1472
global,global,6,biodiversity,1172.0261822314133,2353
global,global,7,biodiversity,1621.398437967992,3089
global,global,8,biodiversity,1359.4257479574687,3022
global,global,0,safety,2026.5296373739925,1969
global,global,1,safety,2251.2476081440673,1551
global,global,2,safety,1344.8975958642106,2660
global,global,3,safety,1776.4387900076729,2532
global,global,4,safety,1991.4756521280626,2308
global,global,5,safety,852.9850074476429,1777
global,global,6,safety,436.92741997495364,1378
global,global,7,safety,1586.3592055174997,2704
global,global,8,safety,1435.7763632109784,2467
gender,man,0,living,1674.8299030565001,1041
gender,man,1,living,1654.441812877336,1358
gender,man,2,living,511.03542728795475,1455
gender,man,3,living,1169.8991234678979,862
gender,man,4,living,570.1885858220909,1407
gender,man,5,living,683.3326010191605,1187
gender,man,6,living,2050.3049223869907,1127
gender,man,7,living,1923.185899873655,1166
gender,man,8,living,1438.9578106351014,1517
gender,man,0,biodiversity,1855.5387099874636,828
gender,man,1,biodiversity,581.4988396947678,1519
gender,man,2,biodiversity,1395.3532279449817,1260
gender,man,3,biodiversity,2014.8148530431552,1236
gender,man,4,biodiversity,1755.4157806803855,1478
gender,man,5,biodiversity,1930.026649209777,740
gender,man,6,biodiversity,204.55248822934684,1164
gender,man,7,biodiversity,1689.5029558486447,1584
gender,man,8,biodiversity,1031.9083866172323,1525
gender,man,0,safety,1999.6537359857634,965
gender,man,1,safety,1577.4069677798532,811
gender,man,2,safety,1606.9487330086326,1431
gender,man,3,safety,1798.9256353177425,1339
gender,man,4,safety,1970.6414791502793,1150
gender,man,5,safety,992.1930801439455,934
gender,man,6,safety,1337.0994483290506,755
gender,man,7,safety,1728.8495315668947,1380
gender,man,8,safety,470.12009834999475,1205
gender,woman,0,living,1820.855455187188,901
gender,woman,1,living,1674.1833458531628,1065
gender,woman,2,living,1905.8236021536125,1114
gender,woman,3,living,419.1146845585413,595
gender,woman,4,living,1971.333218608272,1056
gender,woman,5,living,1849.1606685426439,1074
gender,woman,6,living,1238.3167881218328,859
gender,woman,7,living,1707.206650882158,896
gender,woman,8,living,1305.6858063360294,1224
gender,woman,0,biodiversity,1788.1641087364583,699
gender,woman,1,biodiversity,1491.5087282629647,1171
gender,woman,2,biodiversity,1425.0560718153704,966
gender,woman,3,biodiversity,765.8680091942147,920
gender,woman,4,biodiversity,1341.7984418921114,1044
gender,woman,5,biodiversity,1999.018039195677,593
gender,woman,6,biodiversity,1839.8157837762942,976
gender,woman,7,biodiversity,1880.4053253829745,1248
gender,woman,8,biodiversity,1533.7821098639695,1221
gender,woman,0,safety,1786.6779345731559,834
gender,woman,1,safety,2016.6057347249236,618
gender,woman,2,safety,337.67872345221963,996
gender,woman,3,safety,1644.9285741496878,994
gender,woman,4,safety,1373.357088024486,954
gender,woman,5,safety,1685.833189847105,754
gender,woman,6,safety,669.3686123501415,555
gender,woman,7,safety,1535.7809992735333,1119
gender,woman,8,safety,1759.47770059141,1022
gender,other,0,living,1454.2629868164968,14
gender,other,1,living,1513.0189341644996,17
gender,other,2,living,1563.0797918529909,9
gender,other,3,living,1547.9747777473874,14
gender,other,4,living,1534.6842319744733,13
gender,other,5,living,1425.463870662631,10
gender,other,6,living,1499.795022665686,18
gender,other,7,living,1489.0405882141167,17
gender,other,8,living,1480.1676488259534,14
gender,other,0,biodiversity,1533.6086769316607,11
gender,other,1,biodiversity,1425.308338769675,16
gender,other,2,biodiversity,1474.357195986386,12
gender,other,3,biodiversity,1523.2294153305195,14
gender,other,4,biodiversity,1547.9310194569844,12
gender,other,5,biodiversity,1464.8543417260446,11
gender,other,6,biodiversity,1568.0512893476744,6
gender,other,7,biodiversity,1499.600930373297,8
gender,other,8,biodiversity,1451.2080949423528,10
gender,other,0,safety,1535.8750417742103,11
gender,other,1,safety,1572.5815036892443,10
gender,other,2,safety,1455.5120871045751,12
gender,other,3,safety,1486.4492803784462,21
gender,other,4,safety,1507.6559326901545,11
gender,other,5,safety,1464.2111804936485,11
gender,other,6,safety,1425.1932926693064,8
gender,other,7,safety,1547.7534765359167,12
gender,other,8,safety,1499.403871492387,16
age,younger,0,living,1708.4212703700002,555
age,younger,1,living,1526.1516326987087,751
age,younger,2,living,1625.1184722387352,771
age,younger,3,living,964.8505928652212,446
age,younger,4,living,811.8225028146852,728
age,younger,5,living,1100.548396715068,636
age,younger,6,living,1900.9184972646112,595
age,younger,7,living,1880.5994135555225,675
age,younger,8,living,1516.9061790893297,813
age,younger,0,biodiversity,1141.3022852756271,462
age,younger,1,biodiversity,1694.4385059049848,892
age,younger,2,biodiversity,1420.5894595331492,713
