demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1676.0651813986565,2285
global,global,1,living,2071.1615329345614,1407
global,global,2,living,1509.0817052517602,1850
global,global,3,living,1011.4344337146176,2391
global,global,4,living,97.16400618520495,2208
global,global,5,living,1744.6722575212168,2112
global,global,6,living,561.5069347593214,1894
global,global,7,living,2167.439736766986,1582
global,global,8,living,867.2316172207018,2139
global,global,0,biodiversity,1781.264102896538,1995
global,global,1,biodiversity,2041.1259274138097,2304
global,global,2,biodiversity,1006.8275984324047,2240
global,global,3,biodiversity,-606.0530779363881,1596
global,global,4,biodiversity,-51.85337819151361,1788
global,global,5,biodiversity,1478.480294067073,2005
global,global,6,biodiversity,2336.6759346308286,1960
global,global,7,biodiversity,526.6064019284595,2473
global,global,8,biodiversity,1898.7670335130083,2525
global,global,0,safety,1177.686078118178,2621
global,global,1,safety,-50.15671276077816,2083
global,global,2,safety,1094.4208433302006,3081
global,global,3,safety,2384.723012514312,3114
global,global,4,safety,2123.358230596537,3646
global,global,5,safety,1750.335753718746,3200
global,global,6,safety,2303.130242892707,2727
global,global,7,safety,2452.726212404744,3144
global,global,8,safety,2154.6814744926355,2930
gender,man,0,living,1775.3163674830005,1218
gender,man,1,living,1849.4025370563359,670
gender,man,2,living,1340.1255426502523,957
gender,man,3,living,1202.9916232470132,1183
gender,man,4,living,598.8957899153646,1101
gender,man,5,living,1736.7427383498239,1079
gender,man,6,living,893.1253672529667,984
gender,man,7,living,1985.5764000115114,787
gender,man,8,living,677.7712728468232,1075
gender,man,0,biodiversity,1755.532716623167,973
gender,man,1,biodiversity,1867.4347107647109,1149
gender,man,2,biodiversity,1547.2968827318061,1182
gender,man,3,biodiversity,1253.7562614277708,943
gender,man,4,biodiversity,694.4364397178794,935
gender,man,5,biodiversity,2010.650009668722,959
gender,man,6,biodiversity,1978.0178808933758,1002
gender,man,7,biodiversity,1515.4007801035311,1300
gender,man,8,biodiversity,1088.8837413774402,1237
gender,man,0,safety,1345.8832986464997,1372
gender,man,1,safety,885.1665196651956,1144
gender,man,2,safety,1830.8726365278515,1526
gender,man,3,safety,1951.0685252109238,1582
gender,man,4,safety,1808.7391894535049,1857
gender,man,5,safety,1514.7738309926192,1675
gender,man,6,safety,1775.5949427309038,1494
gender,man,7,safety,2141.042989628047,1555
gender,man,8,safety,1475.546544713644,1485
gender,woman,0,living,1613.6165188658524,849
gender,woman,1,living,1916.0971867965445,573
gender,woman,2,living,1693.644465169185,752
gender,woman,3,living,1720.4441041957894,986
gender,woman,4,living,1470.254360397853,914
gender,woman,5,living,1246.8334726534256,851
gender,woman,6,living,1404.5323794283304,815
gender,woman,7,living,1871.6832483303021,707
gender,woman,8,living,1815.214049908492,899
gender,woman,0,biodiversity,1753.7042065733324,816
gender,woman,1,biodiversity,1894.9335306208893,897
gender,woman,2,biodiversity,1357.6448512622542,900
gender,woman,3,biodiversity,552.5199786010287,631
gender,woman,4,biodiversity,976.9033238193613,757
gender,woman,5,biodiversity,1038.5130064025602,825
gender,woman,6,biodiversity,2034.3200426597002,799
gender,woman,7,biodiversity,1149.1817474261354,989
gender,woman,8,biodiversity,1516.535565017406,1024
gender,woman,0,safety,992.2394756283021,1025
gender,woman,1,safety,1484.016209297594,894
gender,woman,2,safety,231.47801842806885,1173
gender,woman,3,safety,1794.4403743014614,1319
gender,woman,4,safety,1522.1533053827102,1451
gender,woman,5,safety,1560.9781593479465,1217
gender,woman,6,safety,2103.8555727271264,1078
gender,woman,7,safety,1895.769517511814,1203
gender,woman,8,safety,1680.5637544811118,1124
gender,other,0,living,1513.5197239739448,9
gender,other,1,living,1536.414300586377,9
gender,other,2,living,1477.2112594073112,8
gender,other,3,living,1525.6259094161273,14
gender,other,4,living,1548.0,4
gender,other,5,living,1503.8784848232506,10
gender,other,6,living,1451.943101473951,10
gender,other,7,living,1487.9875184036434,11
gender,other,8,living,1463.9450666367454,7
gender,other,0,biodiversity,1499.9808037044486,8
gender,other,1,biodiversity,1511.0640110211825,15
gender,other,2,biodiversity,1561.2465343887577,11
gender,other,3,biodiversity,1475.9694066046525,8
gender,other,4,biodiversity,1547.8893087903778,10
gender,other,5,biodiversity,1412.3323776900995,11
gender,other,6,biodiversity,1463.942743612414,15
gender,other,7,biodiversity,1534.8957078449778,11
gender,other,8,biodiversity,1485.794361730656,9
gender,other,0,safety,1535.7445678912416,11
gender,other,1,safety,1469.7152525734616,25
gender,other,2,safety,1522.114188992825,16
gender,other,3,safety,1548.5998964437554,18
gender,other,4,safety,1491.668828001449,25
gender,other,5,safety,1441.6408378754877,25
gender,other,6,safety,1499.583153995654,22
gender,other,7,safety,1572.5606712041197,8
gender,other,8,safety,1427.8817862859366,8
age,younger,0,living,1741.8499955943723,680
age,younger,1,living,1831.9080878316533,383
age,younger,2,living,461.6396501333267,508
age,younger,3,living,1379.6897837101114,606
age,younger,4,living,1630.924268993699,616
age,younger,5,living,1213.1504670691222,554
age,younger,6,living,1675.2541998922,547
age,younger,7,living,1788.9735285726997,461
age,younger,8,living,819.4110579359221,535
age,younger,0,biodiversity,1626.1319772467227,647
age,younger,1,biodiversity,1921.972424844826,612
age,younger,2,biodiversity,1704.6839291545666,637
age,younger,3,biodiversity,1032.7298082427433,510
age,younger,4,biodiversity,1273.7342979417112,522
age,younger,5,biodiversity,1505.394252519564,577
age,younger,6,biodiversity,1815.5145755503545,537
age,younger,7,biodiversity,1534.6783825291386,723
age,younger,8,biodiversity,1569.0492315242132,639
age,younger,0,safety,1698.2838581247854,748
age,younger,1,safety,1659.6328555932048,728
age,younger,2,safety,1232.654600022045,713
age,younger,3,safety,1749.7388403068844,959
age,younger,4,safety,1874.306037440121,970
age,younger,5,safety,1802.3496828106065,888
age,younger,6,safety,1938.9004572084143,841
age,younger,7,safety,1423.682820422013,845
age,younger,8,safety,1673.4796015682487,796
age,middle,0,living,1556.6143229586391,944
age,middle,1,living,1944.3931043169755,573
age,middle,2,living,1873.8463609007665,824
age,middle,3,living,1726.3217231705917,1016
age,middle,4,living,224.74510574094498,932
age,middle,5,living,1809.8949039388585,873
age,middle,6,living,967.7129848013478,839
age,middle,7,living,1709.5992939458831,687
age,middle,8,living,1263.5484473381025,964
age,middle,0,biodiversity,1939.5434389417076,768
age,middle,1,biodiversity,1230.1161433597622,986
age,middle,2,biodiversity,1579.7835987645567,930
age,middle,3,biodiversity,841.4881605488961,692
age,middle,4,biodiversity,614.7242258191213,784
age,middle,5,biodiversity,1507.4783872098258,804
age,middle,6,biodiversity,1906.0195748179758,784
age,middle,7,biodiversity,1354.201537036347,1017
age,middle,8,biodiversity,1727.4572765410687,1069
age,middle,0,safety,516.7636161274171,1063
age,middle,1,safety,439.7060634825778,862
age,middle,2,safety,1569.594595059431,1339
age,middle,3,safety,1678.8266898552076,1350
age,middle,4,safety,1623.0688977421476,1571
age,middle,5,safety,1337.7919502980287,1348
age,middle,6,safety,2082.4536123750777,1193
age,middle,7,safety,1796.7736957775396,1356
age,middle,8,safety,1936.9774472214472,1180
age,older,0,living,1409.7153665457554,442
age,older,1,living,1773.086972999106,296
age,older,2,living,1620.1485297537502,388
age,older,3,living,757.0313746314752,545
age,older,4,living,1727.6742153475695,464
age,older,5,living,1665.188411924827,500
age,older,6,living,1257.6212728118314,415
age,older,7,living,1710.4612752055405,357
age,older,8,living,1498.5790139720411,471
age,older,0,biodiversity,1786.8789712042885,378
age,older,1,biodiversity,1879.6077430981843,456
age,older,2,biodiversity,1234.8327769452228,523
age,older,3,biodiversity,1331.4782898552055,377
age,older,4,biodiversity,1505.0179684702998,395
age,older,5,biodiversity,1667.7237182448657,409
age,older,6,biodiversity,1255.9347135679923,486
age,older,7,biodiversity,1531.1998486698806,561
age,older,8,biodiversity,1425.1061607621114,553
age,older,0,safety,1317.0092377250749,590
age,older,1,safety,1368.0369465109982,465
age,older,2,safety,1419.7791847766816,658
age,older,3,safety,1812.763990104913,604
age,older,4,safety,1458.6089561450449,779
age,older,5,safety,1715.7085723178857,669
age,older,6,safety,1689.6167478100645,556
age,older,7,safety,1893.422506444939,558
age,older,8,safety,1114.1268331555486,633
ethnicity,white,0,living,1795.7828214682004,1751
ethnicity,white,1,living,2095.5964122809373,1078
ethnicity,white,2,living,1481.100067061011,1447
ethnicity,white,3,living,1211.270607966823,1894
ethnicity,white,4,living,1295.859806749632,1736
ethnicity,white,5,living,1683.4289389999603,1660
ethnicity,white,6,living,1132.0440686350585,1583
ethnicity,white,7,living,2001.7082253322772,1334
ethnicity,white,8,living,954.3708425378203,1755
ethnicity,white,0,biodiversity,1968.8370645209557,1532
ethnicity,white,1,biodiversity,1938.0199419880482,1800
ethnicity,white,2,biodiversity,1027.9414351187945,1846
ethnicity,white,3,biodiversity,147.70460921459852,1329
ethnicity,white,4,biodiversity,57.50267323249902,1445
ethnicity,white,5,biodiversity,1696.5565426222863,1509
ethnicity,white,6,biodiversity,2225.558786272472,1569
ethnicity,white,7,biodiversity,1152.4581128174284,1971
ethnicity,white,8,biodiversity,1542.4139849615199,1943
ethnicity,white,0,safety,882.0377615661438,2079
ethnicity,white,1,safety,575.5975809029491,1731
ethnicity,white,2,safety,809.8918105267942,2351
ethnicity,white,3,safety,2323.8337948139865,2518
ethnicity,white,4,safety,2010.2824054574094,2901
ethnicity,white,5,safety,2077.384816407114,2526
ethnicity,white,6,safety,2114.2978787205548,2237
ethnicity,white,7,safety,2301.4384903450123,2380
ethnicity,white,8,safety,1470.8159707847374,2255
ethnicity,other,0,living,1531.1190082222095,222
ethnicity,other,1,living,1634.0042512737025,118
ethnicity,other,2,living,1386.1335197419808,194
ethnicity,other,3,living,1550.588374986873,205
ethnicity,other,4,living,1319.3384599329318,204
ethnicity,other,5,living,1501.1571901812933,210
ethnicity,other,6,living,1583.9580694997267,151
ethnicity,other,7,living,1670.451169129042,104
ethnicity,other,8,living,1611.363118842234,148
ethnicity,other,0,biodiversity,1443.1871489731245,198
ethnicity,other,1,biodiversity,1715.780569534654,189
ethnicity,other,2,biodiversity,1647.6830509518013,166
ethnicity,other,3,biodiversity,1494.781126541927,192
ethnicity,other,4,biodiversity,1610.5185767559221,185
ethnicity,other,5,biodiversity,1473.878278502903,220
ethnicity,other,6,biodiversity,1589.9365913307238,178
ethnicity,other,7,biodiversity,1418.2109900476944,233
ethnicity,other,8,biodiversity,1536.3330677873275,241
ethnicity,other,0,safety,1565.615183532974,216
ethnicity,other,1,safety,1508.602667863795,243
ethnicity,other,2,safety,1409.6919862087589,243
ethnicity,other,3,safety,1399.792893511203,278
ethnicity,other,4,safety,1652.6973889767078,296
ethnicity,other,5,safety,1600.8452672925264,265
ethnicity,other,6,safety,1746.8874060330716,260
ethnicity,other,7,safety,1481.0873688562988,268
ethnicity,other,8,safety,1695.168645470301,253
education,sixteen,0,living,1652.2560547705266,175
education,sixteen,1,living,1577.0871246247661,90
education,sixteen,2,living,1324.3417349538965,98
education,sixteen,3,living,1516.4842441529383,152
education,sixteen,4,living,1429.8075229700526,141
education,sixteen,5,living,1345.7738274149374,158
education,sixteen,6,living,1625.6039987268987,153
education,sixteen,7,living,1674.4181217376533,98
education,sixteen,8,living,1470.7649665725755,163
education,sixteen,0,biodiversity,1522.6316629337002,127
education,sixteen,1,biodiversity,1624.8140214022078,147
education,sixteen,2,biodiversity,1717.4415388289453,135
education,sixteen,3,biodiversity,1400.4022287748433,131
education,sixteen,4,biodiversity,1291.762072462704,89
education,sixteen,5,biodiversity,1595.0549013747825,131
