demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2054.376720163801,2502
global,global,1,living,1245.68270035639,2603
global,global,2,living,2232.9020290552967,2228
global,global,3,living,83.07452549811785,1345
global,global,4,living,1701.7458763373847,2395
global,global,5,living,413.4095277374945,2268
global,global,6,living,2117.9516155300566,2006
global,global,7,living,1191.3202403748671,2069
global,global,8,living,890.6981500603273,2342
global,global,0,biodiversity,747.7535359152203,3071
global,global,1,biodiversity,1939.107346851359,2431
global,global,2,biodiversity,999.2650095344634,2762
global,global,3,biodiversity,2467.606283852633,2424
global,global,4,biodiversity,2153.7199822911375,2964
global,global,5,biodiversity,923.9539088359571,1713
global,global,6,biodiversity,2017.8175504637268,2636
global,global,7,biodiversity,1700.3634444296958,3022
global,global,8,biodiversity,1798.5519445834827,2407
global,global,0,safety,2060.453458060873,2180
global,global,1,safety,1781.6980303231774,2530
global,global,2,safety,1973.6821082425483,2706
global,global,3,safety,2324.153049673098,1677
global,global,4,safety,887.3499177334282,2243
global,global,5,safety,1304.8563474431685,2552
global,global,6,safety,1929.8819038422257,2282
global,global,7,safety,525.7739896407207,1227
global,global,8,safety,1770.742259729799,2715
gender,man,0,living,1997.2366118380398,1289
gender,man,1,living,969.774059187773,1414
gender,man,2,living,1736.513265037597,1191
gender,man,3,living,1547.8662429668093,741
gender,man,4,living,1818.5511023773206,1203
gender,man,5,living,1295.9284018046244,1275
gender,man,6,living,2020.7202078422863,1001
gender,man,7,living,1629.2928150160233,1001
gender,man,8,living,1375.2342825209066,1245
gender,man,0,biodiversity,1807.5425025430754,1543
gender,man,1,biodiversity,2001.0821850393302,1140
gender,man,2,biodiversity,1177.8471001426249,1453
gender,man,3,biodiversity,1783.807550426097,1268
gender,man,4,biodiversity,1421.6523839005526,1470
gender,man,5,biodiversity,244.1284486288872,902
gender,man,6,biodiversity,1942.535986468681,1299
gender,man,7,biodiversity,1313.837236207981,1530
gender,man,8,biodiversity,1523.4035682476267,1271
gender,man,0,safety,1782.3030941950476,1096
gender,man,1,safety,1646.9847305964413,1280
gender,man,2,safety,1615.1114022009685,1298
gender,man,3,safety,2080.505065475024,865
gender,man,4,safety,1547.4934262925767,1163
gender,man,5,safety,1163.421672729991,1322
gender,man,6,safety,1947.988581809316,1128
gender,man,7,safety,1007.0430898140235,648
gender,man,8,safety,1683.1578013772516,1388
gender,woman,0,living,1837.3613766031403,1006
gender,woman,1,living,1775.064123614245,1012
gender,woman,2,living,1925.7695554374686,889
gender,woman,3,living,353.61733191543203,549
gender,woman,4,living,1290.058132437392,1026
gender,woman,5,living,1168.5577892093522,879
gender,woman,6,living,1943.7911131622814,835
