demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1881.9650816703195,2563
global,global,1,living,2384.8817918303675,2283
global,global,2,living,1892.1003126039175,2232
global,global,3,living,2016.121492606819,2421
global,global,4,living,316.0866602617801,2371
global,global,5,living,803.948131350808,2353
global,global,6,living,1185.8366737804304,1833
global,global,7,living,2100.308446474225,2478
global,global,8,living,1845.2541212018928,2942
global,global,0,biodiversity,559.683534058473,1626
global,global,1,biodiversity,2192.798840197486,2832
global,global,2,biodiversity,2406.404685215704,2854
global,global,3,biodiversity,1875.2588227214283,2195
global,global,4,biodiversity,913.7670885198024,1980
global,global,5,biodiversity,2299.078033955682,2426
global,global,6,biodiversity,2161.3289768665413,2878
global,global,7,biodiversity,663.4569617711884,2820
global,global,8,biodiversity,1389.0889403897077,2435
global,global,0,safety,799.6006236945321,2113
global,global,1,safety,1020.1364650424796,2325
global,global,2,safety,1900.2034665515393,1464
global,global,3,safety,686.9444571664994,2410
global,global,4,safety,2002.6831623307637,2067
global,global,5,safety,1394.5987710169088,2197
global,global,6,safety,1657.3443634415303,2725
global,global,7,safety,2181.6878030731864,1658
global,global,8,safety,1310.723113362231,2819
gender,man,0,living,1601.3802989785938,1355
gender,man,1,living,1933.735090888887,1219
gender,man,2,living,2075.5823453540866,1077
gender,man,3,living,1007.8864184856321,1233
gender,man,4,living,1416.3819573955784,1332
gender,man,5,living,688.2211196314523,1224
gender,man,6,living,1475.0617653356644,993
gender,man,7,living,1794.7636253658093,1269
gender,man,8,living,1625.8814462539442,1494
gender,man,0,biodiversity,1131.155163256253,824
gender,man,1,biodiversity,1648.7483381642764,1437
gender,man,2,biodiversity,1692.990101352234,1481
gender,man,3,biodiversity,1919.6150448134556,1125
gender,man,4,biodiversity,946.8890029434059,1001
gender,man,5,biodiversity,1562.6496402668931,1277
gender,man,6,biodiversity,2065.611184196195,1525
gender,man,7,biodiversity,1483.6975855169621,1437
gender,man,8,biodiversity,1996.951349484663,1239
gender,man,0,safety,1635.276200737035,1049
gender,man,1,safety,1085.4807628586013,1157
gender,man,2,safety,1535.2846296328635,823
gender,man,3,safety,468.10952127843734,1193
gender,man,4,safety,1893.5615077791902,1031
gender,man,5,safety,341.8415774082104,1044
gender,man,6,safety,1955.648730528767,1390
gender,man,7,safety,1986.8001527382087,788
gender,man,8,safety,1801.4785997784434,1407
gender,woman,0,living,2007.1364286062908,1006
gender,woman,1,living,1632.8111925769856,926
gender,woman,2,living,959.3063499157182,943
gender,woman,3,living,1950.8470321120612,942
gender,woman,4,living,924.9878211600395,912
gender,woman,5,living,1831.4220611132625,955
gender,woman,6,living,1393.3429562683418,729
gender,woman,7,living,1806.720525076022,913
gender,woman,8,living,1472.0265169013146,1178
gender,woman,0,biodiversity,1199.8473428405655,630
gender,woman,1,biodiversity,1913.2184906040513,1072
gender,woman,2,biodiversity,1658.1904431430269,1092
gender,woman,3,biodiversity,1477.794282130962,829
gender,woman,4,biodiversity,1817.965308902206,777
gender,woman,5,biodiversity,1979.3571266182453,943
gender,woman,6,biodiversity,1868.299074454428,1133
gender,woman,7,biodiversity,1355.3265536821086,1167
gender,woman,8,biodiversity,1017.7246230024632,1013
gender,woman,0,safety,1644.4845652630763,841
gender,woman,1,safety,1603.6168580672322,982
gender,woman,2,safety,1911.4829152569498,571
gender,woman,3,safety,1481.485266290103,1057
gender,woman,4,safety,1768.0792460615346,882
gender,woman,5,safety,1883.7143146751625,930
gender,woman,6,safety,910.7013449497314,1098
gender,woman,7,safety,1688.21694305491,781
gender,woman,8,safety,1199.6501333041379,1166
gender,other,0,living,1451.5424519481269,8
gender,other,1,living,1565.2089386441291,8
gender,other,2,living,1405.021484376975,11
gender,other,3,living,1513.8505849547394,15
gender,other,4,living,1545.5626832306891,12
gender,other,5,living,1523.9414113233443,16
gender,other,6,living,1436.3056710453675,17
gender,other,7,living,1570.011262753798,24
gender,other,8,living,1460.9110431475192,17
gender,other,0,biodiversity,1475.103388886396,18
gender,other,1,biodiversity,1469.924050569519,13
gender,other,2,biodiversity,1500.0512997076555,8
gender,other,3,biodiversity,1450.4483742283585,14
gender,other,4,biodiversity,1534.7796461763435,15
gender,other,5,biodiversity,1558.2130167917194,11
gender,other,6,biodiversity,1557.404563480478,9
gender,other,7,biodiversity,1516.5793450762915,15
gender,other,8,biodiversity,1440.1360616826746,15
gender,other,0,safety,1488.7752233339272,9
gender,other,1,safety,1513.5354177313911,13
gender,other,2,safety,1523.1413527775205,10
gender,other,3,safety,1440.0733193815458,5
gender,other,4,safety,1499.2009700706376,12
gender,other,5,safety,1537.5926522523048,9
gender,other,6,safety,1480.674362399928,18
gender,other,7,safety,1560.0916805058184,7
gender,other,8,safety,1462.2432835665447,9
age,younger,0,living,1776.9004175958373,739
age,younger,1,living,1915.8956203597877,639
age,younger,2,living,1608.9706430258873,662
age,younger,3,living,1499.892131931872,661
age,younger,4,living,1439.4185044770045,715
age,younger,5,living,1523.117872064326,693
age,younger,6,living,1250.3434926220023,489
age,younger,7,living,1464.7940250928398,695
age,younger,8,living,1851.01308205926,835
age,younger,0,biodiversity,1844.9893466470608,506
age,younger,1,biodiversity,1799.112511497639,770
