demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1797.619903742675,2507
global,global,1,living,1047.847916382599,2394
global,global,2,living,426.02199502686534,1754
global,global,3,living,2274.1018137696447,1700
global,global,4,living,1924.3906947738312,2213
global,global,5,living,1040.5574997481153,2144
global,global,6,living,1432.2789328439783,2111
global,global,7,living,1668.171277181979,2019
global,global,8,living,2082.5298906034914,1488
global,global,0,biodiversity,1206.0027116015806,2588
global,global,1,biodiversity,989.8141964608067,2251
global,global,2,biodiversity,1957.2370349385899,2913
global,global,3,biodiversity,1067.5159506690584,2635
global,global,4,biodiversity,1177.0735228610558,2213
global,global,5,biodiversity,1858.8311994791634,1436
global,global,6,biodiversity,2056.4545545434194,2446
global,global,7,biodiversity,2204.8640673338305,2817
global,global,8,biodiversity,1703.6345870037283,2603
global,global,0,safety,1405.8124982714348,2433
global,global,1,safety,1984.4882934191687,3039
global,global,2,safety,526.2451990864232,2397
global,global,3,safety,1413.0705241318549,2794
global,global,4,safety,2342.977495015035,2267
global,global,5,safety,1758.655292889513,2596
global,global,6,safety,2057.446078403082,2705
global,global,7,safety,1843.2300530724824,2666
global,global,8,safety,1293.3197814004047,2171
gender,man,0,living,1445.782486986113,1164
gender,man,1,living,1572.8416548020925,1189
gender,man,2,living,1210.985136275284,932
gender,man,3,living,1925.8647712506865,897
gender,man,4,living,1994.574719096573,1174
gender,man,5,living,1511.0312557920872,1126
gender,man,6,living,1162.1097226904808,1073
gender,man,7,living,815.9084723199322,992
gender,man,8,living,1832.4221250707626,771
gender,man,0,biodiversity,1356.8031663414272,1327
gender,man,1,biodiversity,890.7123298605578,1093
gender,man,2,biodiversity,1742.5822652866464,1525
gender,man,3,biodiversity,1573.5802866265046,1355
gender,man,4,biodiversity,1656.9124037647562,1103
gender,man,5,biodiversity,1858.771332235369,740
gender,man,6,biodiversity,2023.6209955829634,1262
gender,man,7,biodiversity,1927.8181920413233,1424
gender,man,8,biodiversity,778.6038402680317,1375
gender,man,0,safety,1647.3271914688696,1280
gender,man,1,safety,2089.284970798886,1573
gender,man,2,safety,-123.41702252561625,1212
gender,man,3,safety,1916.6916178571778,1484
gender,man,4,safety,1685.939696139986,1179
gender,man,5,safety,1879.4404702502313,1339
gender,man,6,safety,2039.6705788038055,1409
gender,man,7,safety,1940.6964211109596,1329
gender,man,8,safety,1521.2856954991105,1097
gender,woman,0,living,1535.5677095345225,1005
gender,woman,1,living,1186.7889881829205,940
gender,woman,2,living,1276.8616534440403,787
gender,woman,3,living,1881.6761934720978,662
gender,woman,4,living,1100.4317624367757,850
gender,woman,5,living,1434.7616098940816,875
gender,woman,6,living,1846.3714087101337,755
gender,woman,7,living,1762.7724865902242,763
gender,woman,8,living,1694.8080600465123,577
gender,woman,0,biodiversity,688.6742755318058,1076
gender,woman,1,biodiversity,1249.993607975663,933
gender,woman,2,biodiversity,1856.337666052086,1188
gender,woman,3,biodiversity,1022.9322045985282,1068
gender,woman,4,biodiversity,1886.1150633323064,868
gender,woman,5,biodiversity,1761.5893739144055,544
gender,woman,6,biodiversity,1535.3226243078157,1006
