demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1395.4484191579143,3241
global,global,1,living,1994.2610966018667,2024
global,global,2,living,1039.1194943185417,2444
global,global,3,living,1582.1144030074486,3138
global,global,4,living,1691.2709264022192,2708
global,global,5,living,-755.8514370799633,2131
global,global,6,living,-788.8490182785007,2146
global,global,7,living,2341.862200247912,2065
global,global,8,living,1137.724598913291,2889
global,global,0,biodiversity,2033.5547186076749,1711
global,global,1,biodiversity,387.8733148334144,2746
global,global,2,biodiversity,51.8277416323907,2884
global,global,3,biodiversity,797.8670751441089,3234
global,global,4,biodiversity,1546.8922785987393,2853
global,global,5,biodiversity,1107.5301283484469,2972
global,global,6,biodiversity,2310.189621348428,3030
global,global,7,biodiversity,1887.768951190598,2575
global,global,8,biodiversity,2213.1888712886202,2217
global,global,0,safety,1128.6238991260982,2136
global,global,1,safety,1236.972765999666,1603
global,global,2,safety,1158.2121788092472,1905
global,global,3,safety,1844.6100111273636,1983
global,global,4,safety,2313.3395526318996,2099
global,global,5,safety,225.88987082117566,1911
global,global,6,safety,-46.61412484064365,1702
global,global,7,safety,2007.7012704763342,1739
global,global,8,safety,-239.8728410065721,1214
gender,man,0,living,1565.8630600517893,1670
gender,man,1,living,1884.1644737106433,1013
gender,man,2,living,949.3832794073171,1287
gender,man,3,living,1347.0103138709442,1567
gender,man,4,living,1488.677315190142,1393
gender,man,5,living,381.84076556092344,1070
gender,man,6,living,339.76539439376256,1214
gender,man,7,living,2092.65910558398,1049
gender,man,8,living,1158.6120235292772,1499
gender,man,0,biodiversity,1889.4603276423575,841
gender,man,1,biodiversity,1643.6307001940916,1517
gender,man,2,biodiversity,1257.1364779747682,1524
gender,man,3,biodiversity,1628.3103720834881,1616
gender,man,4,biodiversity,1852.5598589747838,1532
gender,man,5,biodiversity,1753.4188841879838,1550
gender,man,6,biodiversity,1785.1073520187865,1470
gender,man,7,biodiversity,2048.976426701862,1268
gender,man,8,biodiversity,1980.8070605237328,1148
gender,man,0,safety,1551.6829893438783,1103
gender,man,1,safety,1403.8658760635567,811
gender,man,2,safety,1203.4194993875035,999
gender,man,3,safety,1487.657911242913,1085
gender,man,4,safety,1818.1252129879376,1029
gender,man,5,safety,690.1939148628617,950
gender,man,6,safety,308.01052548028656,779
gender,man,7,safety,2022.4594081879775,828
gender,man,8,safety,711.5435929610173,612
gender,woman,0,living,1881.684144532432,1244
gender,woman,1,living,1839.3009530965821,933
gender,woman,2,living,1511.5099819968902,964
gender,woman,3,living,1952.7763946569046,1306
gender,woman,4,living,1693.7112627839656,1085
gender,woman,5,living,1269.0863522327043,938
gender,woman,6,living,1030.3480598705398,786
gender,woman,7,living,2010.5650594851686,806
gender,woman,8,living,1532.9138551865403,1098
gender,woman,0,biodiversity,1917.1456474546078,628
gender,woman,1,biodiversity,745.8871843326868,1086
gender,woman,2,biodiversity,912.0601455436278,1155
gender,woman,3,biodiversity,1369.5594788808999,1368
gender,woman,4,biodiversity,1515.8581091761744,1125
gender,woman,5,biodiversity,1444.797933199718,1256
gender,woman,6,biodiversity,1582.0082572245235,1229
gender,woman,7,biodiversity,1211.7862508326489,1040
gender,woman,8,biodiversity,1997.9209078875372,817
gender,woman,0,safety,926.75009548935,842
gender,woman,1,safety,1616.7435163082323,609
gender,woman,2,safety,1512.844057991284,784
gender,woman,3,safety,1893.939708481376,763
gender,woman,4,safety,1923.5767546826132,811
gender,woman,5,safety,1252.1242854010775,830
gender,woman,6,safety,1338.9200621867535,761
gender,woman,7,safety,1744.505969484048,660
gender,woman,8,safety,727.5393414517932,544
gender,other,0,living,1499.5868106816108,12
gender,other,1,living,1547.975693822592,16
gender,other,2,living,1561.4073291598784,11
gender,other,3,living,1451.7675160605124,16
gender,other,4,living,1535.9481759049186,9
gender,other,5,living,1511.9323527023819,13
gender,other,6,living,1477.9300488217127,10
gender,other,7,living,1487.7072557240224,15
gender,other,8,living,1426.3854206850988,10
gender,other,0,biodiversity,1488.3644215630607,7
gender,other,1,biodiversity,1560.9889277977443,13
gender,other,2,biodiversity,1549.9229537090869,16
gender,other,3,biodiversity,1501.0708182232886,14
gender,other,4,biodiversity,1428.0577609860577,10
gender,other,5,biodiversity,1450.383297459358,14
gender,other,6,biodiversity,1537.1267093605834,17
gender,other,7,biodiversity,1474.9438299106841,16
gender,other,8,biodiversity,1513.6399315577062,13
gender,other,0,safety,1581.1008588526013,9
gender,other,1,safety,1546.0506641027055,10
gender,other,2,safety,1464.2904853857929,11
gender,other,3,safety,1520.7762105226645,12
gender,other,4,safety,1473.995323409103,18
gender,other,5,safety,1487.8916860500822,13
gender,other,6,safety,1436.5742531178018,13
gender,other,7,safety,1438.430928145851,11
gender,other,8,safety,1535.634561041287,9
age,younger,0,living,1194.330771683641,933
age,younger,1,living,1877.4170519423546,601
age,younger,2,living,1353.730613697527,693
age,younger,3,living,1667.64385446193,867
age,younger,4,living,1495.0918315088727,719
age,younger,5,living,1082.3994586681788,599
age,younger,6,living,438.1949879894924,602
age,younger,7,living,1924.0247322840364,541
age,younger,8,living,1162.7867554764678,871
age,younger,0,biodiversity,1683.0111397768596,442
age,younger,1,biodiversity,1486.6261811186107,834
age,younger,2,biodiversity,1907.9520328293213,765
age,younger,3,biodiversity,1754.3672196589441,886
age,younger,4,biodiversity,1015.845490035625,797
age,younger,5,biodiversity,1466.7973020576144,888
age,younger,6,biodiversity,1226.6233896358399,763
age,younger,7,biodiversity,1799.145528591575,686
age,younger,8,biodiversity,1430.2416963063395,685
age,younger,0,safety,1595.0021606386836,580
age,younger,1,safety,1387.9565307198495,523
age,younger,2,safety,1460.318105272984,522
age,younger,3,safety,1755.1615697334819,571
age,younger,4,safety,1810.546120114245,614
age,younger,5,safety,1546.771122015714,539
age,younger,6,safety,869.985027867606,470
age,younger,7,safety,1883.2790699931634,424
age,younger,8,safety,1129.53904083941,367
age,middle,0,living,1799.073296319924,1368
age,middle,1,living,1561.541490983392,936
age,middle,2,living,1425.2061715751204,1048
age,middle,3,living,1879.9706214382152,1314
age,middle,4,living,1733.9082017095648,1130
age,middle,5,living,614.6003481434593,936
age,middle,6,living,1053.0200955735077,944
age,middle,7,living,2021.5308748694001,876
age,middle,8,living,1943.9917980652597,1174
age,middle,0,biodiversity,1575.241294994192,710
age,middle,1,biodiversity,1540.0548289811554,1144
age,middle,2,biodiversity,165.50421464980522,1268
age,middle,3,biodiversity,618.3817785953507,1412
age,middle,4,biodiversity,1778.6734528800641,1231
age,middle,5,biodiversity,999.1004430185933,1290
age,middle,6,biodiversity,1756.783857963898,1234
age,middle,7,biodiversity,1117.546549387286,1061
age,middle,8,biodiversity,2027.7849902241176,880
age,middle,0,safety,1046.8388181675068,905
age,middle,1,safety,1864.9100482068513,615
age,middle,2,safety,1620.2840158872937,826
age,middle,3,safety,1784.502114572563,854
age,middle,4,safety,1828.8358476090673,784
age,middle,5,safety,1089.602568142988,885
age,middle,6,safety,1283.0092844720052,690
age,middle,7,safety,1893.055067175941,713
age,middle,8,safety,614.367443706633,520
age,older,0,living,1784.539444516894,616
age,older,1,living,1838.6026468308391,419
age,older,2,living,1742.8087595904337,515
age,older,3,living,1289.3680210534314,703
age,older,4,living,1685.9498934330481,622
age,older,5,living,965.872855010317,485
age,older,6,living,1118.020332029251,458
age,older,7,living,1562.721360522154,451
age,older,8,living,811.8484046977336,555
age,older,0,biodiversity,1854.0672366332178,319
age,older,1,biodiversity,1552.6372961739426,629
