demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1451.6766691653684,2685
global,global,1,living,1926.2860149220407,1755
global,global,2,living,373.98879795605353,2442
global,global,3,living,2264.870505478073,2086
global,global,4,living,1579.5523412166635,2653
global,global,5,living,1222.9450846385498,2333
global,global,6,living,310.47750044114156,1789
global,global,7,living,487.98788459442613,2458
global,global,8,living,2068.5331750011155,2691
global,global,0,biodiversity,350.25600579513684,1944
global,global,1,biodiversity,2325.396755948585,1635
global,global,2,biodiversity,974.2265120913287,2408
global,global,3,biodiversity,2046.60415193744,2591
global,global,4,biodiversity,2151.8493553802396,2696
global,global,5,biodiversity,1055.14393936176,2411
global,global,6,biodiversity,358.3939184729221,1870
global,global,7,biodiversity,1701.7564819770216,2309
global,global,8,biodiversity,1671.3933423799645,2876
global,global,0,safety,1432.8805618241204,2743
global,global,1,safety,1213.8178200122197,2886
global,global,2,safety,261.1281137107484,2714
global,global,3,safety,2284.254304604136,2476
global,global,4,safety,827.2915984402036,2173
global,global,5,safety,1013.9424407712121,1817
global,global,6,safety,1642.304398593235,2978
global,global,7,safety,1920.6050937273778,1501
global,global,8,safety,167.12576800687074,2380
gender,man,0,living,1666.5506544732436,1383
gender,man,1,living,1770.4403521726779,948
gender,man,2,living,1046.5046975173925,1288
gender,man,3,living,1906.7567660853229,1030
gender,man,4,living,1799.718425613736,1354
gender,man,5,living,698.4698969088047,1227
gender,man,6,living,730.1183079124455,970
gender,man,7,living,1718.3751449351744,1249
gender,man,8,living,2036.8766416035169,1255
gender,man,0,biodiversity,595.6139099218099,1047
gender,man,1,biodiversity,2024.7319783323574,752
gender,man,2,biodiversity,1262.1791581269197,1238
gender,man,3,biodiversity,1721.4669458785706,1294
gender,man,4,biodiversity,1880.5133729739148,1406
gender,man,5,biodiversity,1648.7560645233777,1324
gender,man,6,biodiversity,1023.4388979319261,950
gender,man,7,biodiversity,1974.7397728423114,1176
gender,man,8,biodiversity,1521.2693382942248,1417
gender,man,0,safety,1334.0953414961418,1403
gender,man,1,safety,1418.6309984483623,1483
gender,man,2,safety,1301.237423010415,1487
gender,man,3,safety,1901.810449543334,1212
gender,man,4,safety,950.1980198574163,1074
gender,man,5,safety,1661.672622611414,993
gender,man,6,safety,1694.9236777087092,1484
gender,man,7,safety,2018.1165806119473,733
gender,man,8,safety,1077.8302009877184,1247
gender,woman,0,living,1791.9907908787295,1009
gender,woman,1,living,1942.6939810334475,631
gender,woman,2,living,1497.5746333746933,971
gender,woman,3,living,1855.8622330343405,895
gender,woman,4,living,1436.913110723927,1036
gender,woman,5,living,1622.9993840387456,910
gender,woman,6,living,944.9621829369481,703
gender,woman,7,living,858.1993241648066,1048
gender,woman,8,living,1187.6723682992392,1143
gender,woman,0,biodiversity,1276.2094046306172,791
gender,woman,1,biodiversity,1877.3647876750877,638
gender,woman,2,biodiversity,1918.2866934677868,812
gender,woman,3,biodiversity,1823.0045978033618,963
gender,woman,4,biodiversity,1657.4296893155529,1001
gender,woman,5,biodiversity,1118.5287960415667,961
gender,woman,6,biodiversity,1164.5725789026062,813
gender,woman,7,biodiversity,864.8541291932388,942
gender,woman,8,biodiversity,1745.1335982438543,1117
gender,woman,0,safety,1932.5678733867146,1118
gender,woman,1,safety,1734.433893409927,1194
gender,woman,2,safety,1242.724496450014,1086
gender,woman,3,safety,2039.1092508269653,1112
gender,woman,4,safety,1499.5722538668635,949
gender,woman,5,safety,818.9757902801201,739
gender,woman,6,safety,1763.6006040835607,1241
gender,woman,7,safety,1868.9286137966542,678
gender,woman,8,safety,718.6146415077654,967
gender,other,0,living,1415.4916916342015,11
gender,other,1,living,1551.5398294965041,16
gender,other,2,living,1476.4266663018914,14
gender,other,3,living,1571.7164590929895,8
gender,other,4,living,1511.2580721834906,17
gender,other,5,living,1450.869879123841,16
gender,other,6,living,1490.0738760966287,13
gender,other,7,living,1499.9746546016306,12
gender,other,8,living,1533.0160913345153,25
gender,other,0,biodiversity,1488.5904165423053,11
gender,other,1,biodiversity,1432.2865751127315,12
gender,other,2,biodiversity,1546.7589832958308,16
gender,other,3,biodiversity,1499.7083673343436,16
gender,other,4,biodiversity,1572.966133978161,12
gender,other,5,biodiversity,1474.2060327206889,14
gender,other,6,biodiversity,1453.3222177858322,16
gender,other,7,biodiversity,1524.3348543259515,14
gender,other,8,biodiversity,1511.5502789553307,11
gender,other,0,safety,1559.929128350157,7
gender,other,1,safety,1450.3069583717731,14
gender,other,2,safety,1523.6707264059382,6
gender,other,3,safety,1512.0113727032547,9
gender,other,4,safety,1440.4113585569364,9
gender,other,5,safety,1475.9154849208571,10
gender,other,6,safety,1499.9999859478503,8
gender,other,7,safety,1488.7973033249846,11
gender,other,8,safety,1545.536106913313,10
age,younger,0,living,1326.1096025016786,754
age,younger,1,living,1744.5648233430754,468
age,younger,2,living,1176.8180253142232,720
age,younger,3,living,1655.6174066985498,496
age,younger,4,living,1704.3532107976434,819
age,younger,5,living,1035.164110816436,707
age,younger,6,living,1374.734441578706,548
age,younger,7,living,1101.3786409722773,720
age,younger,8,living,1927.0997336701723,644
age,younger,0,biodiversity,1194.1290795083005,560
age,younger,1,biodiversity,1803.0443394134122,439
age,younger,2,biodiversity,1319.1479437291487,632
age,younger,3,biodiversity,1851.6386173730393,663
age,younger,4,biodiversity,1740.8837850392856,769
age,younger,5,biodiversity,1403.4748700945,683
age,younger,6,biodiversity,754.5272184038488,487
age,younger,7,biodiversity,1728.021630576743,693
age,younger,8,biodiversity,1841.5436724250305,752
age,younger,0,safety,1513.8345028099866,804
age,younger,1,safety,1721.5372629368471,777
age,younger,2,safety,1359.6021854687253,844
age,younger,3,safety,1844.7739403127466,693
age,younger,4,safety,1685.454091409125,582
age,younger,5,safety,1471.5535919717986,572
age,younger,6,safety,1566.7367423853048,840
age,younger,7,safety,1797.4589544502455,382
age,younger,8,safety,1230.12210767933,734
age,middle,0,living,1773.8732323063548,1138
age,middle,1,living,1740.292379991521,689
age,middle,2,living,497.99143880370036,1057
age,middle,3,living,1985.9747121869023,913
age,middle,4,living,1309.3419481797173,997
age,middle,5,living,1532.9317687283697,918
age,middle,6,living,577.9275871421115,735
age,middle,7,living,1710.9217205778955,1005
age,middle,8,living,974.4045098284837,1196
age,middle,0,biodiversity,978.4239737273571,823
age,middle,1,biodiversity,1945.051335803358,623
age,middle,2,biodiversity,1918.120958504626,919
age,middle,3,biodiversity,1780.3402052466222,1082
age,middle,4,biodiversity,1751.2000428086756,1079
age,middle,5,biodiversity,1520.1353007009036,1090
age,middle,6,biodiversity,1378.327238474446,840
age,middle,7,biodiversity,289.90431026350797,990
age,middle,8,biodiversity,1717.0751493200466,1158
age,middle,0,safety,1817.3743654566122,1150
age,middle,1,safety,1518.9882020611917,1284
age,middle,2,safety,1822.157016939958,1199
age,middle,3,safety,2086.3371374080925,1103
age,middle,4,safety,1290.613372704987,1022
age,middle,5,safety,1099.1708976507161,726
age,middle,6,safety,1622.9289844906862,1324
age,middle,7,safety,1912.7333987443844,703
age,middle,8,safety,888.1267277313774,985
age,older,0,living,1571.7690734141402,504
age,older,1,living,1741.3430323429914,430
age,older,2,living,1851.7128093663182,486
age,older,3,living,1323.3730796201355,524
age,older,4,living,1658.1604252177187,582
age,older,5,living,979.3229065229847,528
age,older,6,living,1444.880875683511,402
age,older,7,living,1421.256080287016,571
age,older,8,living,1787.7673627982472,575
age,older,0,biodiversity,1540.0683008739331,467
age,older,1,biodiversity,1626.2722178378165,337
age,older,2,biodiversity,1247.4849675650873,511
age,older,3,biodiversity,1522.4305516856948,516
age,older,4,biodiversity,1700.2437222855124,568
age,older,5,biodiversity,1128.7195754946374,511
age,older,6,biodiversity,1610.4993539427535,445
age,older,7,biodiversity,1900.5185646880334,439
age,older,8,biodiversity,1374.4013659243928,632
age,older,0,safety,1897.2053579580588,561
age,older,1,safety,1695.8655100939734,628
age,older,2,safety,918.4650432224095,521
age,older,3,safety,1672.5162723159808,530
age,older,4,safety,1382.2976532686325,425
age,older,5,safety,1588.3332964611766,442
age,older,6,safety,1743.025647262684,561
age,older,7,safety,1179.3887333028538,340
age,older,8,safety,1550.2032069384516,492
ethnicity,white,0,living,1877.799154337571,2037
ethnicity,white,1,living,2175.905050425695,1410
ethnicity,white,2,living,693.2313192322378,1972
ethnicity,white,3,living,1959.4829453843242,1694
ethnicity,white,4,living,2049.2958251110995,2060
ethnicity,white,5,living,558.0152621959606,1798
ethnicity,white,6,living,803.3030615756838,1461
ethnicity,white,7,living,776.7588410397362,1998
ethnicity,white,8,living,2004.90893268503,2114
ethnicity,white,0,biodiversity,726.433811343246,1630
ethnicity,white,1,biodiversity,2125.252731847972,1166
ethnicity,white,2,biodiversity,1578.459683679872,1803
ethnicity,white,3,biodiversity,1939.7334454306992,1976
ethnicity,white,4,biodiversity,1978.849031893249,2141
ethnicity,white,5,biodiversity,1783.3023255260598,1984
ethnicity,white,6,biodiversity,449.4179569793512,1548
ethnicity,white,7,biodiversity,1951.7646638670606,1913
ethnicity,white,8,biodiversity,1841.739426671088,2167
ethnicity,white,0,safety,1953.444378168218,2159
ethnicity,white,1,safety,1685.269922030853,2272
ethnicity,white,2,safety,774.5609305028804,2201
ethnicity,white,3,safety,2220.871192545593,1986
ethnicity,white,4,safety,122.5989184218009,1760
ethnicity,white,5,safety,765.1995683142246,1516
ethnicity,white,6,safety,2118.8973301922974,2293
ethnicity,white,7,safety,1932.3945199516963,1202
ethnicity,white,8,safety,1040.821288210667,1899
ethnicity,other,0,living,1577.5505131399832,240
ethnicity,other,1,living,1761.9593914504921,126
ethnicity,other,2,living,1531.3000424143968,216
ethnicity,other,3,living,1443.5805039999698,170
ethnicity,other,4,living,1382.807343652888,231
ethnicity,other,5,living,1559.4709273145074,241
ethnicity,other,6,living,1319.6667998790465,165
ethnicity,other,7,living,1515.1668367767572,210
ethnicity,other,8,living,1654.0198035045737,221
ethnicity,other,0,biodiversity,1339.5921693180999,170
ethnicity,other,1,biodiversity,1683.7503546274445,171
ethnicity,other,2,biodiversity,1724.008219090382,182
ethnicity,other,3,biodiversity,1624.3615143431555,200
ethnicity,other,4,biodiversity,1540.0934507843444,191
ethnicity,other,5,biodiversity,1384.9703108035362,227
ethnicity,other,6,biodiversity,1555.456909577994,179
ethnicity,other,7,biodiversity,1093.7933202138458,151
ethnicity,other,8,biodiversity,1525.875120208456,277
ethnicity,other,0,safety,1597.8839674053036,242
ethnicity,other,1,safety,1399.277228918118,311
ethnicity,other,2,safety,1348.7997492237091,258
ethnicity,other,3,safety,1499.1170017958711,237
ethnicity,other,4,safety,1782.253522915941,195
ethnicity,other,5,safety,1534.0420310267723,168
ethnicity,other,6,safety,1389.3017575866613,306
ethnicity,other,7,safety,1717.1837927129834,162
ethnicity,other,8,safety,1302.8261093190679,233
education,sixteen,0,living,1473.1244981130726,191
education,sixteen,1,living,1569.1644913363896,148
education,sixteen,2,living,1636.3141210505871,171
education,sixteen,3,living,1461.9953592947047,180
education,sixteen,4,living,1587.3748323471743,188
education,sixteen,5,living,1510.394420917219,186
education,sixteen,6,living,1683.6564062688644,147
education,sixteen,7,living,1601.4430292263569,166
education,sixteen,8,living,1321.3939131253276,183
education,sixteen,0,biodiversity,1582.968650460196,141
education,sixteen,1,biodiversity,1264.3043519779148,88
education,sixteen,2,biodiversity,1665.8741634756157,128
education,sixteen,3,biodiversity,1603.4227386295265,139
education,sixteen,4,biodiversity,1117.7618832581384,138
education,sixteen,5,biodiversity,1701.1222884722158,147
education,sixteen,6,biodiversity,1463.4540479841633,145
education,sixteen,7,biodiversity,1535.0486287083638,101
education,sixteen,8,biodiversity,1248.4393678075212,181
education,sixteen,0,safety,1608.4411739394304,169
education,sixteen,1,safety,1113.9226828699288,177
education,sixteen,2,safety,1538.5314635014756,162
education,sixteen,3,safety,1365.3155206524186,153
education,sixteen,4,safety,1750.988209576262,100
education,sixteen,5,safety,1481.8236420446426,123
education,sixteen,6,safety,1634.3614096695283,145
education,sixteen,7,safety,1235.1452301314464,137
education,sixteen,8,safety,1413.3447080496937,138
education,eighteen,0,living,1444.4861804164818,405
education,eighteen,1,living,1816.5151685562669,292
education,eighteen,2,living,1396.3496306810043,439
education,eighteen,3,living,1588.3074302878354,331
education,eighteen,4,living,1025.4183351702675,367
education,eighteen,5,living,1289.3726247515283,432
education,eighteen,6,living,1548.3380788139414,328
education,eighteen,7,living,1658.403603223026,436
education,eighteen,8,living,1772.194962545306,464
education,eighteen,0,biodiversity,1461.0014230980692,378
education,eighteen,1,biodiversity,1834.3821442873136,267
education,eighteen,2,biodiversity,1612.8167266912396,401
education,eighteen,3,biodiversity,1682.4678262309367,351
education,eighteen,4,biodiversity,1528.8474765775075,424
education,eighteen,5,biodiversity,1338.715983922348,400
education,eighteen,6,biodiversity,1513.4142331749445,345
education,eighteen,7,biodiversity,1579.8637392254313,390
