demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1276.7249790577494,2182
global,global,1,living,1452.801034520142,2271
global,global,2,living,1620.541271314343,2109
global,global,3,living,675.8267491313679,2157
global,global,4,living,2216.0714761131785,2235
global,global,5,living,2119.7160061022773,1660
global,global,6,living,2008.0119319509954,1828
global,global,7,living,1538.7062668029757,2666
global,global,8,living,826.5327518603727,1820
global,global,0,biodiversity,1636.1482579031735,2935
global,global,1,biodiversity,-255.92809148889484,2093
global,global,2,biodiversity,1292.9545495001016,2252
global,global,3,biodiversity,2278.9456397368776,3372
global,global,4,biodiversity,2395.7866362425984,2165
global,global,5,biodiversity,2075.2390363832437,2535
global,global,6,biodiversity,2170.8548395701964,3263
global,global,7,biodiversity,1911.4725722589585,3259
global,global,8,biodiversity,1235.1401072448675,2596
global,global,0,safety,2410.6232172500863,2197
global,global,1,safety,1907.3658697446128,2450
global,global,2,safety,2221.662763319372,2404
global,global,3,safety,659.2946946278213,2260
global,global,4,safety,2129.0798195102434,2478
global,global,5,safety,950.3835874981119,1615
global,global,6,safety,1446.3604972433857,2355
global,global,7,safety,2286.6129257856715,1610
global,global,8,safety,1974.4741949299944,2533
gender,man,0,living,1686.872757739996,1159
gender,man,1,living,1930.5390246566658,1147
gender,man,2,living,1799.8517265443243,1116
gender,man,3,living,1563.6762332361768,1110
gender,man,4,living,1310.7427587855661,1155
gender,man,5,living,2005.643716459345,860
gender,man,6,living,1124.5320718145686,995
gender,man,7,living,1890.6335368402385,1396
gender,man,8,living,630.9546383081603,946
gender,man,0,biodiversity,2041.7868874037306,1519
gender,man,1,biodiversity,989.0828563372081,1194
gender,man,2,biodiversity,1154.313057574547,1158
gender,man,3,biodiversity,2102.96099449284,1756
gender,man,4,biodiversity,1852.599125714642,1074
gender,man,5,biodiversity,1788.811420828397,1325
gender,man,6,biodiversity,1509.6413241950486,1664
gender,man,7,biodiversity,2006.4380806727818,1677
gender,man,8,biodiversity,1116.0586475451971,1321
gender,man,0,safety,1755.3058768773092,1063
gender,man,1,safety,1352.2899253108346,1224
gender,man,2,safety,1894.0058551059485,1190
gender,man,3,safety,791.538379693995,1190
gender,man,4,safety,1637.5818333861857,1249
gender,man,5,safety,939.1845195641932,813
gender,man,6,safety,1146.574064193608,1187
gender,man,7,safety,2002.5951474866044,717
gender,man,8,safety,1834.225086486904,1219
gender,woman,0,living,835.2432154189378,863
gender,woman,1,living,679.5365778764216,930
gender,woman,2,living,1702.6328197149849,865
gender,woman,3,living,972.4239394788317,901
gender,woman,4,living,2010.3664993317182,920
gender,woman,5,living,1531.4633358377048,670
gender,woman,6,living,1926.8585144837557,691
gender,woman,7,living,1441.0549317235552,1027
gender,woman,8,living,1566.2536074599207,789
gender,woman,0,biodiversity,785.9057595609889,1129
gender,woman,1,biodiversity,400.0838304877475,795
gender,woman,2,biodiversity,958.9273186052042,900
gender,woman,3,biodiversity,1531.5766620455283,1339
gender,woman,4,biodiversity,2005.7102331712088,915
gender,woman,5,biodiversity,1974.0492538072644,1005
gender,woman,6,biodiversity,1544.2539551400469,1312
gender,woman,7,biodiversity,1882.1235478766532,1330
gender,woman,8,biodiversity,1782.6260565622117,1089
gender,woman,0,safety,1415.3389863734499,876
gender,woman,1,safety,1826.132618654136,924
gender,woman,2,safety,1542.6831065846363,932
gender,woman,3,safety,1681.4214357337341,937
gender,woman,4,safety,1886.7275203321417,963
gender,woman,5,safety,1248.2575164907419,753
gender,woman,6,safety,1768.7165711341174,949
gender,woman,7,safety,2006.5232458131688,658
gender,woman,8,safety,304.0005494170959,1006
gender,other,0,living,1412.1785879133379,11
gender,other,1,living,1463.6077244176167,11
gender,other,2,living,1547.9991283330742,8
gender,other,3,living,1486.1391928999592,23
gender,other,4,living,1452.0605526570016,18
gender,other,5,living,1559.9866619616687,9
gender,other,6,living,1514.3610890239559,15
gender,other,7,living,1524.3700481986657,16
gender,other,8,living,1536.1898730267449,13
gender,other,0,biodiversity,1547.5105047163515,16
gender,other,1,biodiversity,1513.5417958062735,13
gender,other,2,biodiversity,1577.6447681951654,7
gender,other,3,biodiversity,1488.834584688218,11
gender,other,4,biodiversity,1463.5601104755358,11
gender,other,5,biodiversity,1547.083138069339,26
gender,other,6,biodiversity,1435.758635245818,11
gender,other,7,biodiversity,1413.1549357574895,21
gender,other,8,biodiversity,1503.1461574869747,22
gender,other,0,safety,1524.4295631962161,8
gender,other,1,safety,1475.2009700706376,12
gender,other,2,safety,1488.0,5
gender,other,3,safety,1511.1733726032292,9
gender,other,4,safety,1500.0285847440816,12
gender,other,5,safety,1536.4290360451712,7
gender,other,6,safety,1464.000987282082,7
gender,other,7,safety,1440.0295720261636,7
gender,other,8,safety,1560.0024006012247,9
age,younger,0,living,1629.104485503233,647
age,younger,1,living,1882.5590205488322,590
age,younger,2,living,1832.1962201262684,595
age,younger,3,living,703.8183508363788,638
age,younger,4,living,1353.019608109788,644
age,younger,5,living,1736.3587583086687,456
age,younger,6,living,868.3426436661733,552
age,younger,7,living,1229.9881631873861,774
age,younger,8,living,1580.375131721125,514
age,younger,0,biodiversity,1560.6139945923724,843
age,younger,1,biodiversity,1305.144969239471,659
age,younger,2,biodiversity,1890.1787418155866,645
age,younger,3,biodiversity,1690.0440169325907,928
age,younger,4,biodiversity,1738.1245955623067,617
age,younger,5,biodiversity,1207.444760621766,733
age,younger,6,biodiversity,1749.867519175788,861
age,younger,7,biodiversity,1862.3315522536332,957
age,younger,8,biodiversity,1355.3532326674963,813
age,younger,0,safety,1746.7897624540497,542
age,younger,1,safety,1674.1538184689841,650
age,younger,2,safety,1170.5867248113314,641
age,younger,3,safety,1354.6817226301873,657
age,younger,4,safety,1561.1810557604306,635
age,younger,5,safety,1210.087894238342,475
age,younger,6,safety,1918.6779512973087,577
age,younger,7,safety,1614.96580091865,445
age,younger,8,safety,1005.0421024862624,694
age,middle,0,living,1062.2337266505308,914
age,middle,1,living,1180.894137048889,967
age,middle,2,living,1434.6844067152101,934
age,middle,3,living,1417.5322201755037,962
age,middle,4,living,1821.1033550085945,980
age,middle,5,living,1846.9070554908478,763
age,middle,6,living,1994.1846965242567,744
age,middle,7,living,1754.56869908226,1111
