demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,945.6159765833062,2505
global,global,1,living,851.2592776076513,2025
global,global,2,living,2310.8664631413076,2005
global,global,3,living,2125.307894043372,2341
global,global,4,living,1395.6685155161165,2472
global,global,5,living,2002.4232599012566,2362
global,global,6,living,619.3006525253145,2415
global,global,7,living,1069.9804767621683,2641
global,global,8,living,1541.7658669993655,2086
global,global,0,biodiversity,-346.4211364252588,1321
global,global,1,biodiversity,1252.4926088743348,2648
global,global,2,biodiversity,1722.682882801603,2790
global,global,3,biodiversity,2371.5934886210994,1974
global,global,4,biodiversity,1553.8977714786645,2441
global,global,5,biodiversity,1911.2593884192775,2597
global,global,6,biodiversity,2100.6460632745666,2160
global,global,7,biodiversity,481.24839458191883,1885
global,global,8,biodiversity,683.2553977175445,3026
global,global,0,safety,650.3796995658095,2384
global,global,1,safety,804.1179053656609,2128
global,global,2,safety,1490.5926455637662,2791
global,global,3,safety,2166.3047297317166,2406
global,global,4,safety,2123.0275070517123,2510
global,global,5,safety,464.45208216863386,2739
global,global,6,safety,2023.5158214726587,1771
global,global,7,safety,1624.0465266525373,2962
global,global,8,safety,1850.8195661301138,1915
gender,man,0,living,1001.9512524285841,1234
gender,man,1,living,1246.03831979513,1021
gender,man,2,living,1971.7883064553093,1022
gender,man,3,living,1948.841013451045,1225
gender,man,4,living,1654.6451745113193,1222
gender,man,5,living,1889.128151435525,1173
gender,man,6,living,718.2512835873891,1212
gender,man,7,living,1695.9341446007154,1337
gender,man,8,living,1979.9174230236092,1104
gender,man,0,biodiversity,1024.3301915493505,719
gender,man,1,biodiversity,1829.0534935002058,1282
gender,man,2,biodiversity,1881.3063244658242,1354
gender,man,3,biodiversity,2093.7804553805163,1033
gender,man,4,biodiversity,1557.2884603589748,1236
gender,man,5,biodiversity,1221.9648252521731,1332
gender,man,6,biodiversity,1984.1063250732643,1135
gender,man,7,biodiversity,1464.1982470964938,1053
gender,man,8,biodiversity,1426.1467025195486,1608
gender,man,0,safety,1028.400248692156,1227
gender,man,1,safety,1171.8074994694389,1149
gender,man,2,safety,1308.8295970256622,1444
gender,man,3,safety,1866.556446228925,1238
gender,man,4,safety,1653.0526922448273,1270
gender,man,5,safety,1902.570108282514,1379
gender,man,6,safety,1800.5148214752141,905
gender,man,7,safety,2025.2619194887754,1477
gender,man,8,safety,1764.0418493985746,1033
gender,woman,0,living,799.8462867701147,989
gender,woman,1,living,1175.761276494953,865
gender,woman,2,living,1987.4709763652083,814
gender,woman,3,living,1938.854293124625,963
gender,woman,4,living,1555.6639855410078,1029
gender,woman,5,living,1865.1855125973075,936
gender,woman,6,living,1352.3123569364104,950
gender,woman,7,living,1334.2085063919762,1045
gender,woman,8,living,1737.0145679732948,781
gender,woman,0,biodiversity,728.2009644057587,565
gender,woman,1,biodiversity,1498.8320012593288,1074
gender,woman,2,biodiversity,1635.6879855322695,1127
gender,woman,3,biodiversity,1949.5850136024978,798
gender,woman,4,biodiversity,1852.6653426611051,1009
gender,woman,5,biodiversity,1986.2440076530481,1019
gender,woman,6,biodiversity,1736.0142120853898,838
gender,woman,7,biodiversity,582.9559344347451,723
gender,woman,8,biodiversity,1097.806479992082,1219
gender,woman,0,safety,1528.1661465032562,973
gender,woman,1,safety,1104.132354174302,836
gender,woman,2,safety,796.5976711370538,1100
gender,woman,3,safety,1764.5409804693309,966
gender,woman,4,safety,1824.976861921957,1010
gender,woman,5,safety,992.3294050266127,1170
gender,woman,6,safety,1957.2351379722238,678
gender,woman,7,safety,575.626867605526,1231
gender,woman,8,safety,1801.8930820866426,760
gender,other,0,living,1439.9748874039738,11
gender,other,1,living,1488.292446728139,13
gender,other,2,living,1476.307972578496,14
gender,other,3,living,1527.6243500921546,16
gender,other,4,living,1512.163297332659,15
gender,other,5,living,1562.6310515499613,7
gender,other,6,living,1500.0761881799015,16
gender,other,7,living,1547.3674323960076,12
gender,other,8,living,1452.4029094920522,8
gender,other,0,biodiversity,1523.864449303905,10
gender,other,1,biodiversity,1427.9320295573518,8
gender,other,2,biodiversity,1537.2807816501843,11
gender,other,3,biodiversity,1496.7246003890098,18
gender,other,4,biodiversity,1563.0336932880143,19
gender,other,5,biodiversity,1453.8988344068068,10
gender,other,6,biodiversity,1547.8876975278993,14
gender,other,7,biodiversity,1464.7601333967089,19
gender,other,8,biodiversity,1489.290656959486,17
gender,other,0,safety,1526.7023460557896,16
gender,other,1,safety,1463.998034794549,9
gender,other,2,safety,1423.174758255071,12
gender,other,3,safety,1499.9292592225468,8
gender,other,4,safety,1572.051137832273,16
gender,other,5,safety,1490.527016509863,13
gender,other,6,safety,1523.8700885697888,6
gender,other,7,safety,1477.6315228462581,8
gender,other,8,safety,1522.2066954348318,12
age,younger,0,living,455.7408578156923,663
age,younger,1,living,1678.0610194599258,629
age,younger,2,living,1927.9968030922503,562
age,younger,3,living,1573.485609112721,671
age,younger,4,living,1485.7550823956253,699
age,younger,5,living,1868.067498241682,631
age,younger,6,living,393.21018950980186,665
