demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2445.3473019516687,2269
global,global,1,living,1368.961926052709,2529
global,global,2,living,2048.3052980750017,2733
global,global,3,living,1398.9663929384064,3146
global,global,4,living,2229.363756013085,3270
global,global,5,living,1835.7946422479358,2537
global,global,6,living,2077.0310222338626,2797
global,global,7,living,2360.46088611102,3087
global,global,8,living,1560.739857090226,2910
global,global,0,biodiversity,1787.937469076069,2351
global,global,1,biodiversity,1301.5444970660462,3054
global,global,2,biodiversity,-215.97989005138754,1816
global,global,3,biodiversity,915.0893765747254,2272
global,global,4,biodiversity,1137.0158924203988,2166
global,global,5,biodiversity,1670.832896960478,2630
global,global,6,biodiversity,2247.5858241502565,1603
global,global,7,biodiversity,1879.3492586282584,2454
global,global,8,biodiversity,116.89050595158042,2602
global,global,0,safety,2078.8427897684187,1533
global,global,1,safety,1248.758152598378,2132
global,global,2,safety,1656.797469021807,1475
global,global,3,safety,680.9616170617685,2089
global,global,4,safety,1373.2792448773407,2184
global,global,5,safety,1978.6982664322977,898
global,global,6,safety,1291.490703002457,2094
global,global,7,safety,394.1297960090948,2168
global,global,8,safety,1541.718904076775,2501
gender,man,0,living,1980.5931277637976,1158
gender,man,1,living,810.8910880045685,1273
gender,man,2,living,1715.698764974706,1360
gender,man,3,living,1421.164200084403,1590
gender,man,4,living,1847.0444534873282,1734
gender,man,5,living,1233.8589299761736,1261
gender,man,6,living,2066.564215251987,1330
gender,man,7,living,1711.0379535261077,1569
gender,man,8,living,387.1090754359653,1425
gender,man,0,biodiversity,1668.9893842138147,1237
gender,man,1,biodiversity,1980.969822135914,1538
gender,man,2,biodiversity,1002.3688980307967,989
gender,man,3,biodiversity,1820.2482514951403,1176
gender,man,4,biodiversity,1944.7867893774242,1120
gender,man,5,biodiversity,1425.8812370929102,1443
gender,man,6,biodiversity,2031.2694831677427,919
gender,man,7,biodiversity,1846.2541286796443,1320
gender,man,8,biodiversity,1231.546671384595,1346
gender,man,0,safety,1831.1968839975366,828
gender,man,1,safety,1465.5778517648787,1070
gender,man,2,safety,1734.724151063774,793
gender,man,3,safety,1383.6269764543872,1006
gender,man,4,safety,1665.972982505656,1090
gender,man,5,safety,1980.5293736694528,508
gender,man,6,safety,1206.7442890744028,1028
gender,man,7,safety,561.2242511384414,1059
gender,man,8,safety,1791.4048877729128,1254
gender,woman,0,living,1720.5343895080723,899
gender,woman,1,living,1878.4724131967182,1165
gender,woman,2,living,2064.689200274951,1110
gender,woman,3,living,1509.604301012693,1280
gender,woman,4,living,959.8287985354457,1212
gender,woman,5,living,1825.911916652691,1086
gender,woman,6,living,1892.5787198547928,1162
gender,woman,7,living,2039.3102399222194,1195
gender,woman,8,living,1767.7528655911108,1205
gender,woman,0,biodiversity,1831.9047569143002,926
gender,woman,1,biodiversity,1431.9176365168048,1312
gender,woman,2,biodiversity,1061.2975446905468,729
gender,woman,3,biodiversity,1146.2374617279695,911
gender,woman,4,biodiversity,511.5105761797622,847
gender,woman,5,biodiversity,1405.4277360960757,1037
gender,woman,6,biodiversity,1985.2051500421862,608
