demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1878.629013584129,2296
global,global,1,living,2165.7895735704565,2710
global,global,2,living,1795.533337470262,2947
global,global,3,living,2117.4668791126846,2137
global,global,4,living,2013.2584113759058,2663
global,global,5,living,2315.8171010729097,2069
global,global,6,living,970.4610095701037,2419
global,global,7,living,1634.105850299672,2331
global,global,8,living,2063.769721607509,2300
global,global,0,biodiversity,2209.053357331408,2178
global,global,1,biodiversity,1419.258253271401,2381
global,global,2,biodiversity,1734.9739599445145,2586
global,global,3,biodiversity,1908.0990194688395,2170
global,global,4,biodiversity,2122.9254929411813,2593
global,global,5,biodiversity,1764.5265521740162,2452
global,global,6,biodiversity,1986.1615740613054,1947
global,global,7,biodiversity,556.9618101631448,1757
global,global,8,biodiversity,2156.7916226074326,2380
global,global,0,safety,1289.5752351908795,2455
global,global,1,safety,726.8034726719624,2043
global,global,2,safety,536.8059240321805,1805
global,global,3,safety,2433.8917890860175,2208
global,global,4,safety,2220.518477633811,2891
global,global,5,safety,1013.27394604777,1860
global,global,6,safety,2342.6208818343703,2784
global,global,7,safety,2094.9386457952655,2639
global,global,8,safety,1368.1905297138985,2299
gender,man,0,living,1969.651352723001,1270
gender,man,1,living,1814.1037265690386,1398
gender,man,2,living,1426.7745039728707,1415
gender,man,3,living,1518.7973639307115,1127
gender,man,4,living,838.4586948841301,1288
gender,man,5,living,1901.2275877152188,1082
gender,man,6,living,479.4907540942066,1244
gender,man,7,living,1352.752460207995,1226
gender,man,8,living,1950.1652255761778,1122
gender,man,0,biodiversity,1604.0750233873532,1197
gender,man,1,biodiversity,1530.4916876000073,1198
gender,man,2,biodiversity,1786.2342609542084,1323
gender,man,3,biodiversity,1650.8015834221892,1202
gender,man,4,biodiversity,1905.2804595559603,1314
gender,man,5,biodiversity,1670.430348660267,1386
gender,man,6,biodiversity,2050.161573332751,917
gender,man,7,biodiversity,276.0827477631196,861
gender,man,8,biodiversity,1793.7360461699466,1144
gender,man,0,safety,1159.010693633178,1263
gender,man,1,safety,996.1920716244277,1129
gender,man,2,safety,1267.3950998640046,967
gender,man,3,safety,2038.4377158627099,1050
gender,man,4,safety,1862.8773506666726,1434
gender,man,5,safety,806.5417056959108,930
gender,man,6,safety,1896.254856017864,1375
gender,man,7,safety,1681.037996318641,1337
gender,man,8,safety,1448.3165205264363,1225
gender,woman,0,living,297.1510343025968,880
gender,woman,1,living,2014.152721234973,1106
gender,woman,2,living,1915.9526651207636,1194
gender,woman,3,living,1441.8850060921702,832
gender,woman,4,living,1770.3521702568048,1060
gender,woman,5,living,1529.3875190108022,854
gender,woman,6,living,1451.3792290516424,1014
gender,woman,7,living,1851.713977327898,881
gender,woman,8,living,1774.7921578547532,979
gender,woman,0,biodiversity,1829.4659336313618,828
gender,woman,1,biodiversity,1719.8951680318464,939
gender,woman,2,biodiversity,1670.5510585066486,1045
gender,woman,3,biodiversity,1954.5691018014586,795
gender,woman,4,biodiversity,1492.4270319314542,1085
gender,woman,5,biodiversity,1365.1338988233852,890
gender,woman,6,biodiversity,1324.275451449892,774
gender,woman,7,biodiversity,1719.0861440463198,813
gender,woman,8,biodiversity,1923.4894586425567,1037
gender,woman,0,safety,1766.201716396685,1021
gender,woman,1,safety,1521.1657162306576,817
gender,woman,2,safety,1406.5022988653304,756
gender,woman,3,safety,1913.689133987102,874
gender,woman,4,safety,1787.2922279871973,1137
gender,woman,5,safety,1729.3190752248768,847
gender,woman,6,safety,1475.3720285119339,1097
gender,woman,7,safety,1654.0115683810805,1039
gender,woman,8,safety,1952.7237968915144,874
gender,other,0,living,1488.854448202597,13
gender,other,1,living,1462.8411977289227,15
gender,other,2,living,1503.686951031129,10
gender,other,3,living,1551.6589526320101,18
gender,other,4,living,1450.4732763921722,14
gender,other,5,living,1534.5407883058915,7
gender,other,6,living,1560.695167008784,13
gender,other,7,living,1522.5716155582095,16
gender,other,8,living,1423.3424464764023,14
gender,other,0,biodiversity,1499.97772929626,10
gender,other,1,biodiversity,1511.9985220112176,7
gender,other,2,biodiversity,1388.7686629702166,16
gender,other,3,biodiversity,1533.1356128544267,11
gender,other,4,biodiversity,1554.6345555199305,13
gender,other,5,biodiversity,1485.6916031399758,11
gender,other,6,biodiversity,1476.0579201645892,10
gender,other,7,biodiversity,1566.843398823689,8
gender,other,8,biodiversity,1456.2169562378353,6
gender,other,0,safety,1451.7309919070126,18
gender,other,1,safety,1467.0641245908653,15
gender,other,2,safety,1546.5172378687478,20
gender,other,3,safety,1489.1680000627466,15
gender,other,4,safety,1514.0976624927491,15
gender,other,5,safety,1438.0391482815578,13
gender,other,6,safety,1571.9505319296388,6
gender,other,7,safety,1502.088770322678,10
gender,other,8,safety,1525.490639068497,14
age,younger,0,living,1494.847697116274,661
age,younger,1,living,1779.2006191470314,809
age,younger,2,living,1584.7389778839204,816
age,younger,3,living,518.3984346842437,630
age,younger,4,living,1693.1468067722394,760
