demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,805.3805719335714,2085
global,global,1,living,1864.5999439707225,2859
global,global,2,living,1768.8260474873816,2557
global,global,3,living,1689.221618125298,2407
global,global,4,living,1945.9025382771115,2791
global,global,5,living,1433.5428660934354,2805
global,global,6,living,2258.658750642414,2091
global,global,7,living,1827.3938367794642,2537
global,global,8,living,489.66306126840027,1826
global,global,0,biodiversity,922.8637417935034,1799
global,global,1,biodiversity,2147.6926415906655,2141
global,global,2,biodiversity,2100.3779261492587,2542
global,global,3,biodiversity,1390.7219757341518,2203
global,global,4,biodiversity,1479.770537825712,2591
global,global,5,biodiversity,1429.2691043753634,2225
global,global,6,biodiversity,1925.1167639910427,2294
global,global,7,biodiversity,1218.6371620349921,2315
global,global,8,biodiversity,2292.395319367736,1950
global,global,0,safety,-797.7985191776008,1697
global,global,1,safety,2220.86236369441,2724
global,global,2,safety,1365.8120297584487,2568
global,global,3,safety,1312.521655668776,2728
global,global,4,safety,1678.209236243588,2470
global,global,5,safety,636.1086773443225,1995
global,global,6,safety,2303.295745652436,1540
global,global,7,safety,1952.5684207950962,2849
global,global,8,safety,2107.552350227415,2711
gender,man,0,living,1144.9516532275893,1069
gender,man,1,living,1760.6987048801113,1450
gender,man,2,living,719.0262854784543,1290
gender,man,3,living,1830.9118937442968,1225
gender,man,4,living,1846.7603142783648,1399
gender,man,5,living,1650.16317067072,1455
gender,man,6,living,2021.5195987383163,1032
gender,man,7,living,1609.0931485622393,1292
gender,man,8,living,1792.4790594484507,1100
gender,man,0,biodiversity,1354.7122231909575,889
gender,man,1,biodiversity,2011.2769117188363,1023
gender,man,2,biodiversity,1726.5537915967275,1293
gender,man,3,biodiversity,1135.251313646756,1177
gender,man,4,biodiversity,1520.9623698432351,1302
gender,man,5,biodiversity,1101.9211559454363,1169
gender,man,6,biodiversity,1868.2290291363724,1179
gender,man,7,biodiversity,708.4564311749818,1141
gender,man,8,biodiversity,1828.3345059594426,985
gender,man,0,safety,696.5748059859216,900
gender,man,1,safety,1338.6243528240213,1447
gender,man,2,safety,1153.3150984274141,1322
gender,man,3,safety,1780.4620816211957,1355
gender,man,4,safety,1528.426075911707,1320
gender,man,5,safety,761.0605650326846,1082
gender,man,6,safety,1615.682647501052,781
gender,man,7,safety,1905.9247538907325,1410
gender,man,8,safety,2087.4095393419434,1337
gender,woman,0,living,1685.5437607850502,928
gender,woman,1,living,1825.8263369592946,1087
gender,woman,2,living,1932.0559531677104,994
gender,woman,3,living,1731.2976191833254,966
gender,woman,4,living,1421.9017762254205,1141
gender,woman,5,living,1596.942520972452,1150
gender,woman,6,living,1978.6392664941766,926
gender,woman,7,living,1869.5990901639207,995
gender,woman,8,living,-158.77428730711003,657
gender,woman,0,biodiversity,956.8670344863765,769
gender,woman,1,biodiversity,1710.940737804108,863
gender,woman,2,biodiversity,938.5023764152878,1034
gender,woman,3,biodiversity,1665.719742390337,918
gender,woman,4,biodiversity,1786.7415478212438,1057
gender,woman,5,biodiversity,1817.9803355489275,919
gender,woman,6,biodiversity,1607.4556055324326,903
gender,woman,7,biodiversity,1874.5585839854916,933
gender,woman,8,biodiversity,1954.0234907666816,810
gender,woman,0,safety,1254.1663510584458,684
gender,woman,1,safety,1805.8359736141986,1061
gender,woman,2,safety,1443.904295634978,1038
gender,woman,3,safety,357.9244531391167,1117
gender,woman,4,safety,1951.3802009616202,951
gender,woman,5,safety,1511.378752848755,764
gender,woman,6,safety,1906.1882280549803,606
gender,woman,7,safety,625.1134179456313,1139
gender,woman,8,safety,1581.33203035544,1058
gender,other,0,living,1549.5635888446157,14
gender,other,1,living,1424.3206954801183,14
gender,other,2,living,1451.8934451078696,8
gender,other,3,living,1498.7085005461374,12
gender,other,4,living,1534.513033217065,11
gender,other,5,living,1491.3533740397475,13
gender,other,6,living,1523.4653863079798,10
gender,other,7,living,1462.764709111015,17
gender,other,8,living,1560.0524667153468,11
gender,other,0,biodiversity,1559.3292976018222,11
gender,other,1,biodiversity,1487.7903250691866,17
gender,other,2,biodiversity,1440.862182708722,11
gender,other,3,biodiversity,1522.4576833175904,12
gender,other,4,biodiversity,1476.9989615315772,16
gender,other,5,biodiversity,1539.2031726404157,11
gender,other,6,biodiversity,1499.714121963543,14
gender,other,7,biodiversity,1527.8291046758397,12
gender,other,8,biodiversity,1458.2527610938112,12
gender,other,0,safety,1464.0213572917537,9
gender,other,1,safety,1497.969906241175,18
gender,other,2,safety,1564.2058812345272,18
gender,other,3,safety,1581.3119097653632,7
gender,other,4,safety,1476.6058994412329,20
gender,other,5,safety,1437.548205763807,7
gender,other,6,safety,1526.0469695252932,14
gender,other,7,safety,1491.3524144168096,11
gender,other,8,safety,1449.2178176275934,8
age,younger,0,living,1772.6424704067215,669
age,younger,1,living,1450.2349205890605,868
age,younger,2,living,1698.6984761292306,708
age,younger,3,living,1652.0084465337468,671
age,younger,4,living,1728.0067083649144,738
age,younger,5,living,1821.2404392364977,847
age,younger,6,living,1886.7807730132965,526
age,younger,7,living,1372.8360414372228,717
age,younger,8,living,1082.4979471931315,502
age,younger,0,biodiversity,1882.6834663963355,537
age,younger,1,biodiversity,1648.6567080072411,530
age,younger,2,biodiversity,1607.215442581205,730
age,younger,3,biodiversity,1701.0438017445276,644
age,younger,4,biodiversity,1728.0656623536345,781
age,younger,5,biodiversity,1588.3031998862753,682
age,younger,6,biodiversity,1393.2149086542574,635
age,younger,7,biodiversity,964.1280065641419,581
age,younger,8,biodiversity,1823.4504848231015,550
age,younger,0,safety,1561.0865325574928,535
age,younger,1,safety,1635.8472708568545,751
age,younger,2,safety,1755.3584655009706,733
age,younger,3,safety,1009.6135247142303,708
age,younger,4,safety,1417.3909818757438,733
age,younger,5,safety,1204.9821884696507,530
age,younger,6,safety,1711.4212669192236,409
age,younger,7,safety,1586.323624466616,765
age,younger,8,safety,1943.120717924256,702
age,middle,0,living,1738.285896984953,899
age,middle,1,living,1879.8602750154832,1140
age,middle,2,living,1113.726446303174,1022
age,middle,3,living,1088.3663640209995,995
age,middle,4,living,1946.1796178286577,1198
age,middle,5,living,1534.4429697080716,1187
age,middle,6,living,1986.7174247102519,912
age,middle,7,living,1806.0846240754329,1096
age,middle,8,living,1438.010266670182,863
age,middle,0,biodiversity,615.3089953437774,692
age,middle,1,biodiversity,1908.807299914693,875
age,middle,2,biodiversity,1613.1780713320402,1059
age,middle,3,biodiversity,1407.6748992720295,939
age,middle,4,biodiversity,1042.683341890958,1084
age,middle,5,biodiversity,1442.7645915412452,898
age,middle,6,biodiversity,1992.7145480277827,953
age,middle,7,biodiversity,1323.0181223968032,1044
age,middle,8,biodiversity,1866.5828281257739,818
age,middle,0,safety,321.8694392861494,683
age,middle,1,safety,1796.1150011258517,1205
age,middle,2,safety,1210.730520279171,1095
age,middle,3,safety,1748.8899417048583,1192
age,middle,4,safety,2055.16954331732,985
age,middle,5,safety,1465.5968804753936,910
age,middle,6,safety,1378.5302158448346,677
age,middle,7,safety,1663.473492642703,1237
age,middle,8,safety,1924.1732430632753,1090
age,older,0,living,720.0779566639748,446
age,older,1,living,1834.2302950741187,535
age,older,2,living,1756.662439744851,549
age,older,3,living,1776.6757326273525,530
age,older,4,living,1477.2173117851298,613
age,older,5,living,1096.7170701630776,572
age,older,6,living,1421.12544805713,527
age,older,7,living,1686.741265131405,484
age,older,8,living,1576.4144672139578,404
age,older,0,biodiversity,1307.3688562750065,434
age,older,1,biodiversity,1578.5043367526912,495
age,older,2,biodiversity,1547.1999581678738,535
age,older,3,biodiversity,1326.0019165448502,517
age,older,4,biodiversity,1430.296951636539,500
age,older,5,biodiversity,1516.652658766221,513
age,older,6,biodiversity,1408.2160147781162,503
age,older,7,biodiversity,1906.1771402486604,454
age,older,8,biodiversity,1640.9837454423125,433
age,older,0,safety,1395.0281382755597,361
age,older,1,safety,1676.8028891361398,566
age,older,2,safety,1246.6718330702877,537
age,older,3,safety,1636.903786826656,581
age,older,4,safety,1222.5926927665992,567
age,older,5,safety,1587.8435088620972,403
age,older,6,safety,1814.608624597171,309
age,older,7,safety,1843.7985224849153,554
age,older,8,safety,845.8823863008334,606
ethnicity,white,0,living,1023.927242406057,1703
ethnicity,white,1,living,2034.6719378412865,2185
ethnicity,white,2,living,2081.2139506626645,1954
ethnicity,white,3,living,1707.6830709147703,1910
ethnicity,white,4,living,1682.2995002223333,2225
ethnicity,white,5,living,1358.7358175057523,2252
ethnicity,white,6,living,2206.6812870650383,1673
ethnicity,white,7,living,1936.7962534565047,1976
ethnicity,white,8,living,889.9522907856665,1526
ethnicity,white,0,biodiversity,698.2626332318337,1432
ethnicity,white,1,biodiversity,2180.913472512762,1654
ethnicity,white,2,biodiversity,1772.575319175318,2013
ethnicity,white,3,biodiversity,961.4688141284613,1805
ethnicity,white,4,biodiversity,939.9198902673126,2031
ethnicity,white,5,biodiversity,1138.6307744144956,1835
ethnicity,white,6,biodiversity,1577.2328359646056,1818
ethnicity,white,7,biodiversity,1365.3632576167674,1809
ethnicity,white,8,biodiversity,2110.894410033052,1563
ethnicity,white,0,safety,-605.3347311003356,1360
ethnicity,white,1,safety,2025.011279118806,2168
ethnicity,white,2,safety,1119.8110877298864,2022
ethnicity,white,3,safety,1599.3863812539723,2167
ethnicity,white,4,safety,1848.5838624102507,1993
ethnicity,white,5,safety,787.6180660842602,1569
ethnicity,white,6,safety,2116.8694419582084,1183
ethnicity,white,7,safety,1666.0860286451152,2257
ethnicity,white,8,safety,1758.5342435660493,2077
ethnicity,other,0,living,1549.8207619089876,220
ethnicity,other,1,living,1667.6493885249317,263
ethnicity,other,2,living,1096.176249719935,237
ethnicity,other,3,living,1693.9781795456,204
ethnicity,other,4,living,1652.3123148473878,228
ethnicity,other,5,living,1340.3762719831627,266
ethnicity,other,6,living,1725.6248897237626,212
ethnicity,other,7,living,1115.9619730610316,239
ethnicity,other,8,living,1268.2756871847726,153
ethnicity,other,0,biodiversity,1527.5388679597363,172
ethnicity,other,1,biodiversity,901.0743053324821,181
ethnicity,other,2,biodiversity,980.602592093711,230
ethnicity,other,3,biodiversity,1658.5830347963101,219
ethnicity,other,4,biodiversity,1501.8581035520153,231
ethnicity,other,5,biodiversity,1670.6010250097588,191
ethnicity,other,6,biodiversity,1731.67402557441,197
ethnicity,other,7,biodiversity,1352.0150099426396,186
ethnicity,other,8,biodiversity,1590.649772964981,173
ethnicity,other,0,safety,1467.2778916885968,173
ethnicity,other,1,safety,1572.7466049162822,251
ethnicity,other,2,safety,1365.7073543353365,260
ethnicity,other,3,safety,1390.3790725029105,217
ethnicity,other,4,safety,1743.801744795748,202
ethnicity,other,5,safety,1491.805315551904,199
ethnicity,other,6,safety,1612.0025090473289,151
ethnicity,other,7,safety,1690.6010391328412,199
ethnicity,other,8,safety,1322.2266632880576,226
education,sixteen,0,living,1219.5522239073912,102
education,sixteen,1,living,1605.4518978968251,185
education,sixteen,2,living,1490.9724383879125,169
education,sixteen,3,living,1689.7611330413893,140
education,sixteen,4,living,1617.073432672648,178
education,sixteen,5,living,1504.5125771363566,180
education,sixteen,6,living,1646.2931721747739,165
education,sixteen,7,living,1535.918547410459,172
education,sixteen,8,living,1309.0673015086697,121
education,sixteen,0,biodiversity,1536.319964268581,148
education,sixteen,1,biodiversity,1514.5264149364123,151
education,sixteen,2,biodiversity,1602.9308179077284,152
education,sixteen,3,biodiversity,1324.409189340785,153
education,sixteen,4,biodiversity,1187.4244365964923,171
education,sixteen,5,biodiversity,1582.639835794463,156
education,sixteen,6,biodiversity,1705.7629782988845,127
education,sixteen,7,biodiversity,1635.2212478313281,147
education,sixteen,8,biodiversity,1382.4823960792046,135
education,sixteen,0,safety,1570.6949739008112,105
education,sixteen,1,safety,1472.3080437753188,142
education,sixteen,2,safety,1097.9873419335725,163
education,sixteen,3,safety,1594.050894193338,162
education,sixteen,4,safety,1318.2605789434042,163
education,sixteen,5,safety,1676.0685357536531,121
education,sixteen,6,safety,1692.9703935147706,108
education,sixteen,7,safety,1208.5974657934016,190
education,sixteen,8,safety,1545.2227928780114,166
education,eighteen,0,living,1554.8077281169003,376
education,eighteen,1,living,1759.9132151287702,429
education,eighteen,2,living,1051.194783644216,371
education,eighteen,3,living,548.4002222589166,397
education,eighteen,4,living,1886.8479204321486,452
education,eighteen,5,living,1400.0825469734252,449
education,eighteen,6,living,1385.4862953211823,398
education,eighteen,7,living,1469.3160047535969,469
education,eighteen,8,living,1500.0566950016369,375
education,eighteen,0,biodiversity,1328.7463383756533,284
education,eighteen,1,biodiversity,1574.958565827362,357
education,eighteen,2,biodiversity,1621.4247832587157,424
education,eighteen,3,biodiversity,1817.5985018925435,399
education,eighteen,4,biodiversity,919.7762465204328,393
education,eighteen,5,biodiversity,1362.7897341349087,363
education,eighteen,6,biodiversity,1695.6578065759809,408
education,eighteen,7,biodiversity,1746.3418922396245,358
education,eighteen,8,biodiversity,1521.8985441501538,352
education,eighteen,0,safety,1307.4640235130885,277
education,eighteen,1,safety,1239.2485053068115,443
education,eighteen,2,safety,1215.2840659727076,438
education,eighteen,3,safety,1723.8821683448296,443
education,eighteen,4,safety,1577.4134430720633,436
education,eighteen,5,safety,1330.688105312223,331
education,eighteen,6,safety,1618.892831318818,292
education,eighteen,7,safety,1858.0858978963095,450
education,eighteen,8,safety,1651.3965245545191,478
education,older,0,living,1265.207238531031,1507
education,older,1,living,1431.5733325656822,1900
education,older,2,living,1676.3477598818315,1722
education,older,3,living,1803.8700615846353,1634
education,older,4,living,1477.3844187740901,1896
education,older,5,living,1400.0191290710077,1967
education,older,6,living,2123.112625662545,1375
education,older,7,living,1836.4577232450301,1633
education,older,8,living,1100.036509128472,1252
education,older,0,biodiversity,1138.0239504476765,1220
education,older,1,biodiversity,2068.8839984379197,1375
education,older,2,biodiversity,1647.0397797661049,1731
education,older,3,biodiversity,1359.959132442534,1525
education,older,4,biodiversity,1923.0094846999566,1784
education,older,5,biodiversity,1469.9159051606127,1555
education,older,6,biodiversity,1483.8529288377183,1525
education,older,7,biodiversity,1302.9065671504657,1550
education,older,8,biodiversity,2134.3556781709162,1303
education,older,0,safety,-131.91251585701082,1192
education,older,1,safety,1962.2599791189755,1911
education,older,2,safety,1896.2230079492706,1744
education,older,3,safety,1159.8872592572654,1841
education,older,4,safety,1819.9231126530672,1664
education,older,5,safety,749.6682720281881,1369
education,older,6,safety,1787.3159423004388,988
education,older,7,safety,1998.422655538034,1894
education,older,8,safety,1653.1649540903566,1723
income,lower,0,living,1751.3145098569212,386
income,lower,1,living,1332.564114946656,454
income,lower,2,living,1519.5528366591118,449
income,lower,3,living,1458.1921869800972,422
income,lower,4,living,1530.6991244626984,513
income,lower,5,living,1852.787041361137,453
income,lower,6,living,1724.5238391929365,350
income,lower,7,living,1227.2962385079452,421
income,lower,8,living,1144.4705852878872,332
income,lower,0,biodiversity,1223.568080867383,328
income,lower,1,biodiversity,1171.6804071925274,362
income,lower,2,biodiversity,1155.1261004128385,432
income,lower,3,biodiversity,684.1591407507635,344
income,lower,4,biodiversity,1280.4294195477003,409
income,lower,5,biodiversity,1652.3073190315074,391
income,lower,6,biodiversity,1827.7277019108624,316
income,lower,7,biodiversity,1668.759219022997,406
income,lower,8,biodiversity,1750.3861477102812,342
income,lower,0,safety,1532.4586810282797,329
income,lower,1,safety,1358.9946821283556,439
income,lower,2,safety,1592.4081663459583,448
income,lower,3,safety,1736.9482973747351,450
income,lower,4,safety,1689.6262834220204,442
income,lower,5,safety,1406.4342377220871,315
income,lower,6,safety,1652.067090237834,260
income,lower,7,safety,1824.988960883206,445
income,lower,8,safety,1485.5867113719844,482
income,middle,0,living,1063.3373832212433,644
income,middle,1,living,1414.0477167020617,797
income,middle,2,living,859.7649488611966,751
income,middle,3,living,1581.4687386761175,687
income,middle,4,living,1547.5176618336384,807
income,middle,5,living,57.02352010540744,820
income,middle,6,living,1719.4457666763863,615
income,middle,7,living,2009.4391889356748,745
income,middle,8,living,1239.4260940238369,526
income,middle,0,biodiversity,1442.4462850138764,543
income,middle,1,biodiversity,1958.2545731462221,610
income,middle,2,biodiversity,1731.8203478334033,737
income,middle,3,biodiversity,1462.9309500472978,704
income,middle,4,biodiversity,1286.735370520272,734
income,middle,5,biodiversity,1712.085344767083,671
income,middle,6,biodiversity,1829.6548534497026,717
income,middle,7,biodiversity,1673.781500450076,665
income,middle,8,biodiversity,1589.633116110146,619
