demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2402.0740905564467,2577
global,global,1,living,1148.225847789004,2939
global,global,2,living,897.1924731731235,2435
global,global,3,living,2150.385710709073,3224
global,global,4,living,-265.2159280852468,1567
global,global,5,living,1456.1000121596041,1946
global,global,6,living,2215.7416817880794,3100
global,global,7,living,2016.125251356251,2978
global,global,8,living,973.5696106488404,1572
global,global,0,biodiversity,2316.57547922496,1577
global,global,1,biodiversity,1402.3185508852105,1749
global,global,2,biodiversity,26.379202209483303,1601
global,global,3,biodiversity,1028.7986332249568,2280
global,global,4,biodiversity,1259.6210716727076,2239
global,global,5,biodiversity,1549.4305419227755,2647
global,global,6,biodiversity,580.8672693497083,2369
global,global,7,biodiversity,1820.967429826233,2330
global,global,8,biodiversity,2113.8413552270495,2140
global,global,0,safety,2383.7089197202595,1950
global,global,1,safety,280.92258609193317,2179
global,global,2,safety,-0.8343313036361941,2417
global,global,3,safety,1796.9769458140681,2845
global,global,4,safety,1385.3570832418789,2137
global,global,5,safety,2118.0841407278763,2168
global,global,6,safety,1101.082007132568,2778
global,global,7,safety,2092.8019499193338,2620
global,global,8,safety,2074.9518178553562,2936
gender,man,0,living,2052.0188948793357,1372
gender,man,1,living,1903.374033267504,1494
gender,man,2,living,301.5010546180267,1249
gender,man,3,living,1268.6333952351542,1663
gender,man,4,living,578.5714978570171,782
gender,man,5,living,1855.144970135595,1022
gender,man,6,living,2098.3420807053435,1581
gender,man,7,living,1763.7444458028583,1468
gender,man,8,living,1255.6968865812782,777
gender,man,0,biodiversity,2024.9951639392104,805
gender,man,1,biodiversity,1445.7176481747952,874
gender,man,2,biodiversity,633.8143702827532,877
gender,man,3,biodiversity,1971.8366658982757,1161
gender,man,4,biodiversity,1053.6894106782727,1142
gender,man,5,biodiversity,908.9535714608213,1330
gender,man,6,biodiversity,1090.6536836264504,1260
gender,man,7,biodiversity,1858.062296184913,1218
gender,man,8,biodiversity,1744.2851730853238,1031
gender,man,0,safety,1976.695902643298,974
gender,man,1,safety,1076.1270407519069,1183
gender,man,2,safety,638.7712773837063,1256
gender,man,3,safety,2104.7797186542116,1403
gender,man,4,safety,1513.0637536368918,1147
gender,man,5,safety,1360.0540897032395,1133
gender,man,6,safety,903.6552631206414,1450
gender,man,7,safety,1672.5837180811984,1301
gender,man,8,safety,1787.5674431092687,1471
gender,woman,0,living,1956.9061850414016,993
gender,woman,1,living,1641.4364621627612,1213
gender,woman,2,living,1574.2316693594248,1046
