demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,-642.5738640638899,2342
global,global,1,living,597.3161062618873,2667
global,global,2,living,1582.0196452378707,3282
global,global,3,living,1773.938591480419,2863
global,global,4,living,1260.2773228022613,2572
global,global,5,living,2290.1535134450337,1563
global,global,6,living,1678.8781357524108,2379
global,global,7,living,1671.9887670718472,3405
global,global,8,living,1958.0142378484215,2451
global,global,0,biodiversity,1971.6365015425615,2244
global,global,1,biodiversity,1322.5024488025933,2341
global,global,2,biodiversity,210.68496021365496,1917
global,global,3,biodiversity,1660.896803902666,2585
global,global,4,biodiversity,1085.7484016079352,2737
global,global,5,biodiversity,1145.554363017063,2840
global,global,6,biodiversity,1635.197337940863,2387
global,global,7,biodiversity,1862.0136282658284,2264
global,global,8,biodiversity,2152.1773960512087,1421
global,global,0,safety,1589.2949496904719,2176
global,global,1,safety,1712.741399821308,2299
global,global,2,safety,1685.9669355941414,2295
global,global,3,safety,329.09324820592525,2187
global,global,4,safety,2082.480892282873,1882
global,global,5,safety,1378.262332544183,1611
global,global,6,safety,1227.000445515954,2433
global,global,7,safety,1815.2515853838033,2494
global,global,8,safety,2256.481470514467,1663
gender,man,0,living,1168.5575011585252,1317
gender,man,1,living,241.99287851606465,1281
gender,man,2,living,1559.3649283512932,1664
gender,man,3,living,1717.261744750246,1442
gender,man,4,living,1453.0203056581672,1435
gender,man,5,living,2100.7604653905314,784
gender,man,6,living,1852.049856550937,1122
gender,man,7,living,1788.551027537279,1785
gender,man,8,living,1818.0870731212426,1296
gender,man,0,biodiversity,1981.504935451661,1151
gender,man,1,biodiversity,1526.6825700996972,1152
gender,man,2,biodiversity,494.80139499629144,963
gender,man,3,biodiversity,1938.4049130203164,1307
gender,man,4,biodiversity,1804.7715221865526,1449
gender,man,5,biodiversity,883.10522974893,1435
gender,man,6,biodiversity,1629.8695318822538,1239
gender,man,7,biodiversity,1437.333927561882,1109
gender,man,8,biodiversity,1919.6153675574822,793
gender,man,0,safety,1732.2788571605463,1133
gender,man,1,safety,971.4876605716017,1175
gender,man,2,safety,1376.1790860135554,1119
gender,man,3,safety,696.349181971532,1160
gender,man,4,safety,1943.797636236853,904
gender,man,5,safety,1591.3374207824997,912
gender,man,6,safety,1810.5783829892755,1166
gender,man,7,safety,1557.924271303846,1292
gender,man,8,safety,2009.174773921111,839
gender,woman,0,living,385.6361996054689,920
gender,woman,1,living,1519.491705226505,1114
gender,woman,2,living,1768.3631035717588,1325
gender,woman,3,living,1588.9590494990043,1134
gender,woman,4,living,1899.8392573558895,1026
gender,woman,5,living,1858.244449933875,659
gender,woman,6,living,1386.3719191759792,1047
gender,woman,7,living,1852.4099824666262,1335
gender,woman,8,living,1965.245463965466,920
gender,woman,0,biodiversity,1614.3026463872645,909
gender,woman,1,biodiversity,1710.036165398663,1038
gender,woman,2,biodiversity,1270.427638509069,828
gender,woman,3,biodiversity,1221.1479338192385,1007
gender,woman,4,biodiversity,1658.1937453685719,1102
gender,woman,5,biodiversity,1685.364194552336,1157
gender,woman,6,biodiversity,1929.3015782864918,946
gender,woman,7,biodiversity,1885.449220061143,956
gender,woman,8,biodiversity,1848.158634728273,513
gender,woman,0,safety,948.4009233886883,834
gender,woman,1,safety,1555.1369287407074,921
gender,woman,2,safety,1502.7253360343332,875
gender,woman,3,safety,1405.6654784691445,876
gender,woman,4,safety,1773.509934985964,810
gender,woman,5,safety,1083.7349079891662,602
gender,woman,6,safety,1637.8524636412506,996
gender,woman,7,safety,1715.022301250717,938
gender,woman,8,safety,2018.937350120091,680
gender,other,0,living,1463.462580813714,7
gender,other,1,living,1547.5334517394808,12
gender,other,2,living,1497.6187368479832,16
gender,other,3,living,1448.8097618086254,22
gender,other,4,living,1512.7975957554675,9
gender,other,5,living,1535.899984564777,17
gender,other,6,living,1487.9375512419192,11
gender,other,7,living,1571.9687923624988,8
gender,other,8,living,1427.2645612460974,8
gender,other,0,biodiversity,1581.5599232160773,9
gender,other,1,biodiversity,1452.394424113894,10
gender,other,2,biodiversity,1439.8891595797052,9
gender,other,3,biodiversity,1488.5557958911766,11
gender,other,4,biodiversity,1533.7299336725134,21
gender,other,5,biodiversity,1464.4158591362882,13
gender,other,6,biodiversity,1548.325064961874,8
gender,other,7,biodiversity,1510.9524297995765,21
gender,other,8,biodiversity,1477.4661217819983,20
gender,other,0,safety,1464.0753944185524,7
gender,other,1,safety,1427.497567807356,16
gender,other,2,safety,1558.9643560580162,11
gender,other,3,safety,1488.4161808630558,15
gender,other,4,safety,1476.0043717787687,8
gender,other,5,safety,1489.170384042558,17
gender,other,6,safety,1513.6261279353484,11
gender,other,7,safety,1522.8872145458704,16
gender,other,8,safety,1559.9995928588148,5
age,younger,0,living,1373.7571086837318,707
age,younger,1,living,1258.9285238335456,729
age,younger,2,living,1841.7159432889932,847
age,younger,3,living,775.2207480370868,738
age,younger,4,living,1668.4307109495323,754
age,younger,5,living,1899.8195016759535,517
age,younger,6,living,1667.766781767615,685
age,younger,7,living,1815.5713737384042,937
age,younger,8,living,1602.8661042549916,714
age,younger,0,biodiversity,1630.077986882912,623
age,younger,1,biodiversity,1688.276236451323,631
age,younger,2,biodiversity,1206.0104142849964,554
age,younger,3,biodiversity,1839.4212983060079,670
age,younger,4,biodiversity,1546.9259125808617,806
age,younger,5,biodiversity,1088.0981311135874,778
age,younger,6,biodiversity,1859.419707965107,613
age,younger,7,biodiversity,1724.3977470549378,656
age,younger,8,biodiversity,1526.5706407169014,501
age,younger,0,safety,1880.9546641848367,586
age,younger,1,safety,1718.8145356813761,661
age,younger,2,safety,1165.6596950914522,652
age,younger,3,safety,1578.1303056920476,611
age,younger,4,safety,1382.5880845947552,517
age,younger,5,safety,1201.7776009478077,514
age,younger,6,safety,1624.8395914144342,632
age,younger,7,safety,1239.7078118425088,714
age,younger,8,safety,1833.8462481193515,435
age,middle,0,living,-46.40998298668286,1010
age,middle,1,living,881.8247327183076,1098
age,middle,2,living,1333.001169809274,1363
age,middle,3,living,1720.8665282589707,1268
age,middle,4,living,1467.1005292845687,1137
age,middle,5,living,1994.7158751573459,602
age,middle,6,living,1752.2727140569136,1009
age,middle,7,living,1482.709824806046,1403
age,middle,8,living,1788.9217436226697,992
age,middle,0,biodiversity,1707.5629541450046,984
age,middle,1,biodiversity,1023.0593344039299,990
age,middle,2,biodiversity,1786.864106450025,890
age,middle,3,biodiversity,1171.5091276720973,1082
age,middle,4,biodiversity,1468.663813109789,1153
age,middle,5,biodiversity,1164.0336099423178,1222
age,middle,6,biodiversity,1844.5578827330048,1091
age,middle,7,biodiversity,1348.8500796088038,944
age,middle,8,biodiversity,1979.0922244931749,558
age,middle,0,safety,1314.9161145669427,902
age,middle,1,safety,1403.3801640920678,952
age,middle,2,safety,1034.0842563549,910
age,middle,3,safety,1294.016127669159,982
age,middle,4,safety,1957.9835032121139,782
age,middle,5,safety,1149.6858588697069,649
age,middle,6,safety,1919.6129521958328,990
age,middle,7,safety,1791.251282432458,1055
age,middle,8,safety,1693.6260671973905,730
age,older,0,living,1654.252921131474,522
age,older,1,living,1331.2531401952067,569
age,older,2,living,1697.8262999714555,793
age,older,3,living,1562.7314802551177,586
age,older,4,living,1771.0428776871647,571
age,older,5,living,1675.1293170042497,335
age,older,6,living,1562.4259478224167,484
age,older,7,living,1539.0906927867259,773
age,older,8,living,1844.776215290797,519
age,older,0,biodiversity,1713.8803421398654,457
age,older,1,biodiversity,1651.4691444538444,569
age,older,2,biodiversity,657.3356948114596,350
age,older,3,biodiversity,1417.7651453029803,569
age,older,4,biodiversity,1844.1375159138108,597
age,older,5,biodiversity,1534.5762621100969,594
age,older,6,biodiversity,1342.659044038506,476
age,older,7,biodiversity,1584.4871926270882,487
age,older,8,biodiversity,1806.004726616376,255
age,older,0,safety,1162.4949643543118,481
age,older,1,safety,1349.7579883070186,497
age,older,2,safety,1547.7796882009002,436
age,older,3,safety,710.0312454209012,452
age,older,4,safety,1781.9451000192307,417
age,older,5,safety,1648.508315606645,364
age,older,6,safety,1062.304516079481,552
age,older,7,safety,1686.6970402169866,467
age,older,8,safety,1815.9913778897508,356
ethnicity,white,0,living,382.93802925192705,1889
ethnicity,white,1,living,673.8799617529128,2067
ethnicity,white,2,living,1282.1367656356092,2628
ethnicity,white,3,living,452.7643828286229,2258
ethnicity,white,4,living,1783.826967884291,2151
ethnicity,white,5,living,2162.4738848586608,1199
ethnicity,white,6,living,1444.750582122201,1854
ethnicity,white,7,living,1411.7843452648622,2690
ethnicity,white,8,living,1887.8766301669039,1918
ethnicity,white,0,biodiversity,1750.300155457448,1803
ethnicity,white,1,biodiversity,1098.7993640060922,1899
ethnicity,white,2,biodiversity,842.9465998178271,1542
ethnicity,white,3,biodiversity,1572.825313487212,2052
ethnicity,white,4,biodiversity,1629.328177890002,2210
ethnicity,white,5,biodiversity,743.555785484884,2220
ethnicity,white,6,biodiversity,1685.7501023330578,1936
ethnicity,white,7,biodiversity,1916.322278349723,1789
ethnicity,white,8,biodiversity,2100.3072901042124,1099
ethnicity,white,0,safety,1322.955114147295,1725
ethnicity,white,1,safety,1366.7644948960724,1811
ethnicity,white,2,safety,1251.0300731461741,1716
ethnicity,white,3,safety,721.2386745640107,1763
ethnicity,white,4,safety,2121.93440460331,1505
ethnicity,white,5,safety,1455.7841822759133,1319
ethnicity,white,6,safety,1787.611027172386,1856
ethnicity,white,7,safety,1905.2563804763229,1948
ethnicity,white,8,safety,2190.6508111150474,1313
ethnicity,other,0,living,1486.0907611253906,269
ethnicity,other,1,living,1679.946898277755,249
ethnicity,other,2,living,1715.2160049899858,251
ethnicity,other,3,living,1617.7514907235802,224
ethnicity,other,4,living,1121.462285291404,216
ethnicity,other,5,living,1545.4742404070055,202
ethnicity,other,6,living,1515.575009836707,244
ethnicity,other,7,living,1658.5625898024878,310
ethnicity,other,8,living,1447.0879283127315,203
ethnicity,other,0,biodiversity,1767.675007341957,172
ethnicity,other,1,biodiversity,1544.0104600641384,222
ethnicity,other,2,biodiversity,1196.816782328954,188
ethnicity,other,3,biodiversity,1349.1722629787141,168
ethnicity,other,4,biodiversity,1578.8363273320115,258
ethnicity,other,5,biodiversity,1596.9243739780668,271
ethnicity,other,6,biodiversity,1665.383450137799,174
ethnicity,other,7,biodiversity,882.0061907110719,203
ethnicity,other,8,biodiversity,1447.2033658376001,152
ethnicity,other,0,safety,1565.1351010891433,172
ethnicity,other,1,safety,1669.6082824055795,220
ethnicity,other,2,safety,1297.127097987036,209
ethnicity,other,3,safety,1634.9754424575492,200
ethnicity,other,4,safety,1588.4306941144723,164
ethnicity,other,5,safety,1132.8272986017892,162
ethnicity,other,6,safety,1520.3194832559084,221
ethnicity,other,7,safety,1386.809282266545,208
ethnicity,other,8,safety,1706.6865031946634,148
education,sixteen,0,living,1572.1786921939863,150
education,sixteen,1,living,1378.212211741975,159
education,sixteen,2,living,1161.7189890877307,230
education,sixteen,3,living,1594.154514939983,171
education,sixteen,4,living,1616.777724668112,190
education,sixteen,5,living,1677.5551891298326,118
education,sixteen,6,living,1549.9957759165472,150
education,sixteen,7,living,1345.6772221213876,210
education,sixteen,8,living,1654.6143038478674,172
education,sixteen,0,biodiversity,1637.9030376372957,157
education,sixteen,1,biodiversity,1527.8513661528295,159
education,sixteen,2,biodiversity,1263.1777436193001,115
education,sixteen,3,biodiversity,1407.8212209932587,155
education,sixteen,4,biodiversity,1701.1527057602489,188
education,sixteen,5,biodiversity,1428.594125004317,194
education,sixteen,6,biodiversity,1663.2686705962524,137
education,sixteen,7,biodiversity,1489.8617173916703,160
education,sixteen,8,biodiversity,1506.9698969722403,111
education,sixteen,0,safety,1371.179744110336,161
education,sixteen,1,safety,1624.3154954172978,132
education,sixteen,2,safety,1690.7559734686374,107
education,sixteen,3,safety,1404.5129471356229,142
education,sixteen,4,safety,1538.0226322501242,138
education,sixteen,5,safety,1493.659282881174,121
education,sixteen,6,safety,1468.2546325031158,143
education,sixteen,7,safety,1652.6567579381237,118
education,sixteen,8,safety,1316.0900014321005,84
education,eighteen,0,living,1110.2129300402562,386
education,eighteen,1,living,738.2934149973363,384
education,eighteen,2,living,1567.1757819168195,554
education,eighteen,3,living,1675.8580716980812,507
