demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,611.5004855981414,2172
global,global,1,living,1601.0252296761162,1836
global,global,2,living,2000.9626825864805,2118
global,global,3,living,2217.9895819432163,1754
global,global,4,living,755.6452145065267,2156
global,global,5,living,1009.1973163022909,1677
global,global,6,living,1874.4881670813556,1830
global,global,7,living,909.5175402949852,2039
global,global,8,living,2082.1133549511856,1470
global,global,0,biodiversity,2494.1437302012246,2004
global,global,1,biodiversity,2396.0438385193756,3018
global,global,2,biodiversity,1758.9343528852514,3476
global,global,3,biodiversity,1588.3571035006933,3197
global,global,4,biodiversity,2174.784114491844,3426
global,global,5,biodiversity,1804.9352532425619,3357
global,global,6,biodiversity,1660.8570985762365,3516
global,global,7,biodiversity,-233.10173606881364,2812
global,global,8,biodiversity,1990.6118119898874,3378
global,global,0,safety,1479.8652871343095,2211
global,global,1,safety,1364.700540285776,2141
global,global,2,safety,2199.309398371173,2125
global,global,3,safety,1793.010979234999,2109
global,global,4,safety,2106.0436755100877,1614
global,global,5,safety,606.8683148409207,1348
global,global,6,safety,414.94136001543325,1988
global,global,7,safety,1247.241518411375,2344
global,global,8,safety,1136.2056574125722,2184
gender,man,0,living,1528.3857299298238,1123
gender,man,1,living,1698.8373477003759,920
gender,man,2,living,1928.4927536138894,1129
gender,man,3,living,1982.0991858913942,862
gender,man,4,living,1130.1719260935172,1152
gender,man,5,living,1654.918992268899,863
gender,man,6,living,1817.195987590122,903
gender,man,7,living,1440.1045216487314,1067
gender,man,8,living,1736.8416557519836,685
gender,man,0,biodiversity,2004.3703025361772,1011
gender,man,1,biodiversity,1630.5316723637895,1525
gender,man,2,biodiversity,1145.631167311282,1810
gender,man,3,biodiversity,544.3887759518374,1628
gender,man,4,biodiversity,1225.198534975338,1840
gender,man,5,biodiversity,1527.4483085195336,1655
gender,man,6,biodiversity,1671.2196885518906,1852
gender,man,7,biodiversity,1247.7292494206383,1521
gender,man,8,biodiversity,2097.351257380715,1666
gender,man,0,safety,1202.9335836134899,1108
gender,man,1,safety,1083.989836956725,1092
gender,man,2,safety,2052.1503427035327,1117
gender,man,3,safety,1930.929124758676,1048
