demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1810.1261094227953,2742
global,global,1,living,2185.090915398075,2151
global,global,2,living,2015.4898540577656,2122
global,global,3,living,2390.981340103368,2787
global,global,4,living,1290.005480310826,2812
global,global,5,living,2361.2823118378333,2916
global,global,6,living,695.8901880200455,1213
global,global,7,living,1263.4116385633442,2155
global,global,8,living,2286.1383618123505,2376
global,global,0,biodiversity,2152.736902801531,3272
global,global,1,biodiversity,2359.702182215325,2737
global,global,2,biodiversity,2074.156937725117,3412
global,global,3,biodiversity,2449.708100847843,2634
global,global,4,biodiversity,821.66073248563,1870
global,global,5,biodiversity,1402.3450167209585,2630
global,global,6,biodiversity,1529.068530429099,2961
global,global,7,biodiversity,2283.8757998293167,2846
global,global,8,biodiversity,1272.7567674834395,3402
global,global,0,safety,1333.6544682491751,2116
global,global,1,safety,2187.2420628867512,2272
global,global,2,safety,572.0936701302637,2278
global,global,3,safety,2106.260559118383,1253
global,global,4,safety,1910.1691545264116,1913
global,global,5,safety,31.213562407147215,1142
global,global,6,safety,1742.8873510441292,1452
global,global,7,safety,644.164827223294,1608
global,global,8,safety,1226.0774420444782,2228
gender,man,0,living,1886.6564222401425,1374
gender,man,1,living,1768.499996640508,1036
gender,man,2,living,1490.2951559155993,993
gender,man,3,living,1463.39169905974,1473
gender,man,4,living,1578.4197678861237,1436
gender,man,5,living,2124.5060797495853,1372
gender,man,6,living,1010.406503903374,648
gender,man,7,living,1186.4589137952573,1164
gender,man,8,living,1904.8771606438688,1130
gender,man,0,biodiversity,2003.5964162965101,1739
gender,man,1,biodiversity,1070.3475988768887,1398
gender,man,2,biodiversity,2095.5538968854607,1782
gender,man,3,biodiversity,2156.1224944881396,1389
gender,man,4,biodiversity,1030.4079851846366,1005
gender,man,5,biodiversity,598.4178805166855,1343
gender,man,6,biodiversity,1893.74759331226,1569
gender,man,7,biodiversity,2044.0713851793578,1520
gender,man,8,biodiversity,1780.6943316504703,1723
gender,man,0,safety,1966.3402419206282,1022
gender,man,1,safety,1771.667357702634,1185
gender,man,2,safety,1640.8491548395307,1172
gender,man,3,safety,1821.6203454063475,688
gender,man,4,safety,1409.1067292865193,922
gender,man,5,safety,423.5364664718309,585
gender,man,6,safety,1862.083506743907,799
gender,man,7,safety,864.2356613352478,835
gender,man,8,safety,1389.121895414557,1122
gender,woman,0,living,1579.242674389902,1131
gender,woman,1,living,1975.6083827772038,867
gender,woman,2,living,1664.5738526020232,904
gender,woman,3,living,1913.9031295122054,1079
gender,woman,4,living,1634.424265363647,1198
gender,woman,5,living,1948.883071552573,1204
gender,woman,6,living,1382.5686271685643,531
gender,woman,7,living,859.5745010400766,801
gender,woman,8,living,1713.0962798313863,961
gender,woman,0,biodiversity,1717.1504376450903,1257
gender,woman,1,biodiversity,2024.1491989860672,1074
gender,woman,2,biodiversity,1147.3782898335419,1314
gender,woman,3,biodiversity,1584.1233845572588,1050
gender,woman,4,biodiversity,1387.6728120979305,793
gender,woman,5,biodiversity,1827.796840149541,1063
gender,woman,6,biodiversity,246.6565118672823,1178
gender,woman,7,biodiversity,1475.8189579680836,1052
gender,woman,8,biodiversity,750.022340220857,1365
gender,woman,0,safety,1113.4025271410883,869
gender,woman,1,safety,1928.5885727678594,887
gender,woman,2,safety,879.0809532087014,916
gender,woman,3,safety,1906.139390219368,482
gender,woman,4,safety,1796.6038759081518,769
gender,woman,5,safety,1291.3055094854767,532
gender,woman,6,safety,1519.2276674865664,581
gender,woman,7,safety,1246.5050521118324,682
gender,woman,8,safety,1548.0289336714397,928
gender,other,0,living,1522.8604669114775,10
gender,other,1,living,1430.8168868452376,16
gender,other,2,living,1499.858856837123,14
gender,other,3,living,1475.2843156121608,12
gender,other,4,living,1548.0220919649687,8
gender,other,5,living,1464.9408946327417,15
gender,other,6,living,1450.2978343273367,14
gender,other,7,living,1568.9306289434653,12
gender,other,8,living,1533.8137231574653,13
gender,other,0,biodiversity,1545.2442361794363,13
gender,other,1,biodiversity,1468.920299106017,13
gender,other,2,biodiversity,1569.406413657125,12
gender,other,3,biodiversity,1511.9469448535388,13
gender,other,4,biodiversity,1499.009865098479,20
gender,other,5,biodiversity,1426.7070530439162,18
gender,other,6,biodiversity,1487.9750216707384,13
gender,other,7,biodiversity,1466.0918448562793,15
gender,other,8,biodiversity,1536.455917850298,21
gender,other,0,safety,1487.6283052488288,11
gender,other,1,safety,1523.931316347849,10
gender,other,2,safety,1426.3674270011184,8
gender,other,3,safety,1475.9856905714691,6
gender,other,4,safety,1559.9999840886924,11
gender,other,5,safety,1547.9977075000836,6
gender,other,6,safety,1498.354588731329,12
gender,other,7,safety,1512.0018637816117,13
gender,other,8,safety,1463.5861936430479,9
age,younger,0,living,1560.389566783747,769
age,younger,1,living,1898.5633608834444,571
age,younger,2,living,1311.1313331504502,575
age,younger,3,living,1753.8423804010235,774
age,younger,4,living,1796.0171536788166,751
age,younger,5,living,1821.6095610072143,805
age,younger,6,living,834.7916958218696,301
age,younger,7,living,1338.8544575786161,628
age,younger,8,living,1834.4284521568966,690
age,younger,0,biodiversity,1806.4602849069913,969
age,younger,1,biodiversity,1779.2027689259482,717
age,younger,2,biodiversity,2021.1726826113622,918
age,younger,3,biodiversity,1662.9326707423297,728
age,younger,4,biodiversity,1390.0861500823607,585
age,younger,5,biodiversity,973.2835602892966,691
age,younger,6,biodiversity,1446.8967346609245,842
age,younger,7,biodiversity,465.64529797038284,804
age,younger,8,biodiversity,1082.1122295918613,966
age,younger,0,safety,1633.5509819659785,607
age,younger,1,safety,1609.1284499410797,666
age,younger,2,safety,1349.6600640766524,651
age,younger,3,safety,1828.7527834199805,357
age,younger,4,safety,1443.5426037317397,513
age,younger,5,safety,1202.784324875098,345
age,younger,6,safety,1805.012739517278,434
age,younger,7,safety,1495.8676182866975,486
age,younger,8,safety,1752.8476174895898,639
age,middle,0,living,1758.8727499428046,1245
age,middle,1,living,1035.7297426031146,954
age,middle,2,living,1539.7712378653437,878
age,middle,3,living,2033.6251606936903,1120
age,middle,4,living,1664.0798012979028,1222
age,middle,5,living,1465.4258776604563,1169
age,middle,6,living,1610.445266101731,598
age,middle,7,living,925.0369644460002,931
age,middle,8,living,1847.0740601510026,935
age,middle,0,biodiversity,766.313096601583,1394
age,middle,1,biodiversity,2033.4038557233614,1154
age,middle,2,biodiversity,1003.9212144571596,1425
age,middle,3,biodiversity,1866.5090007864505,1054
age,middle,4,biodiversity,1414.1307872605594,804
age,middle,5,biodiversity,1646.4821669010946,1127
age,middle,6,biodiversity,904.0012075435296,1279
age,middle,7,biodiversity,1799.7042560835725,1193
age,middle,8,biodiversity,1835.4854291240447,1408
age,middle,0,safety,1352.5011245579265,864
age,middle,1,safety,1892.800218072001,958
age,middle,2,safety,1305.1267275974772,934
age,middle,3,safety,1945.024931064464,535
age,middle,4,safety,1667.1499220424337,793
age,middle,5,safety,678.6218675926694,478
age,middle,6,safety,1728.123831256657,649
age,middle,7,safety,586.1723193777657,692
age,middle,8,safety,1225.2270131153457,955
age,older,0,living,1294.1746939860843,487
age,older,1,living,1740.0939093923328,388
age,older,2,living,1593.2064316728693,454
age,older,3,living,1363.0220389879155,663
age,older,4,living,1114.2211137445067,663
age,older,5,living,1935.0051823132364,620
age,older,6,living,1460.73631172052,288
age,older,7,living,1394.7703319302793,407
age,older,8,living,1621.8720621968118,468
age,older,0,biodiversity,1896.2796075500767,642
age,older,1,biodiversity,799.1947003989303,606
age,older,2,biodiversity,1823.5179070323393,757
age,older,3,biodiversity,1782.6549721608203,669
age,older,4,biodiversity,1365.798095142576,423
age,older,5,biodiversity,1635.9624278436331,604
age,older,6,biodiversity,1026.0986765047712,629
age,older,7,biodiversity,1757.4889104379733,584
age,older,8,biodiversity,1383.3275084809654,730
age,older,0,safety,1608.2239051620752,423
age,older,1,safety,1718.0060777560502,448
age,older,2,safety,1328.0132678903622,498
age,older,3,safety,1189.8283047634284,283
age,older,4,safety,1635.7931661958628,395
age,older,5,safety,1278.5576120095006,290
age,older,6,safety,1743.0574222776002,308
age,older,7,safety,1776.7603497135278,339
age,older,8,safety,1148.933220873316,462
ethnicity,white,0,living,1471.7874662718916,2149
ethnicity,white,1,living,2114.535008886347,1680
ethnicity,white,2,living,1800.451485156613,1658
ethnicity,white,3,living,2157.81416631376,2218
ethnicity,white,4,living,1867.4205768662578,2304
ethnicity,white,5,living,2228.5234035816807,2286
ethnicity,white,6,living,639.5350828443455,980
ethnicity,white,7,living,705.3664682059998,1660
ethnicity,white,8,living,2034.7090027457198,1775
ethnicity,white,0,biodiversity,2231.267795267945,2586
ethnicity,white,1,biodiversity,2268.367185320157,2155
ethnicity,white,2,biodiversity,1827.0223890626808,2742
ethnicity,white,3,biodiversity,2083.21922227678,2139
ethnicity,white,4,biodiversity,801.9101495669013,1529
ethnicity,white,5,biodiversity,1658.795291017721,2102
ethnicity,white,6,biodiversity,226.44295766525477,2374
ethnicity,white,7,biodiversity,2124.6843107039804,2188
ethnicity,white,8,biodiversity,985.2651712410941,2673
ethnicity,white,0,safety,1499.053404681842,1639
ethnicity,white,1,safety,2103.556343937258,1796
ethnicity,white,2,safety,1292.4652165781736,1801
ethnicity,white,3,safety,2067.7267061754887,1013
ethnicity,white,4,safety,1816.8060571204037,1472
ethnicity,white,5,safety,635.7769009786651,941
ethnicity,white,6,safety,1900.3753441875594,1194
ethnicity,white,7,safety,534.3720612064285,1312
ethnicity,white,8,safety,1356.8441751518533,1794
ethnicity,other,0,living,1511.6295278640355,254
ethnicity,other,1,living,1723.8362507224278,155
ethnicity,other,2,living,1108.0531450439976,170
ethnicity,other,3,living,1430.2365547726956,265
ethnicity,other,4,living,1510.067653846242,250
ethnicity,other,5,living,1656.1354824506186,222
ethnicity,other,6,living,1631.5477566584598,161
ethnicity,other,7,living,1565.6939430232821,228
ethnicity,other,8,living,1582.533134025483,259
ethnicity,other,0,biodiversity,1609.4115471334862,288
ethnicity,other,1,biodiversity,1391.8706266416916,226
ethnicity,other,2,biodiversity,1776.1894139540577,228
ethnicity,other,3,biodiversity,1459.6297275744,205
ethnicity,other,4,biodiversity,1644.0549881416307,213
ethnicity,other,5,biodiversity,882.5314528037525,212
ethnicity,other,6,biodiversity,1688.4531627148428,254
ethnicity,other,7,biodiversity,1431.701302461949,273
ethnicity,other,8,biodiversity,1518.9393092993491,307
ethnicity,other,0,safety,1532.8531351926345,186
ethnicity,other,1,safety,1377.6428071206738,199
ethnicity,other,2,safety,1178.1235342201815,210
ethnicity,other,3,safety,1723.2874864997677,109
ethnicity,other,4,safety,1608.4851645093852,160
ethnicity,other,5,safety,1490.3208756769907,145
ethnicity,other,6,safety,1339.489657268288,145
ethnicity,other,7,safety,1583.1512313405094,167
ethnicity,other,8,safety,1653.7717387703349,189
education,sixteen,0,living,1623.2928040628499,128
education,sixteen,1,living,1542.7972524540535,121
education,sixteen,2,living,1319.217138189565,107
education,sixteen,3,living,1589.3301057524336,200
education,sixteen,4,living,1663.7945701741764,185
education,sixteen,5,living,1684.4355346700866,185
education,sixteen,6,living,1449.859571698978,95
education,sixteen,7,living,1289.2513213599739,117
education,sixteen,8,living,1397.8322046669614,146
education,sixteen,0,biodiversity,1608.0978279873589,214
education,sixteen,1,biodiversity,1336.0183053244,194
education,sixteen,2,biodiversity,1703.6838658696909,203
education,sixteen,3,biodiversity,1588.7024152823524,219
education,sixteen,4,biodiversity,1453.5473415560593,126
education,sixteen,5,biodiversity,1530.3986165451763,211
education,sixteen,6,biodiversity,1558.9258878615256,223
education,sixteen,7,biodiversity,1426.2347497071878,182
education,sixteen,8,biodiversity,1675.3826659929368,194
education,sixteen,0,safety,1629.2063025155744,138
education,sixteen,1,safety,1677.4717510514804,147
education,sixteen,2,safety,1439.1908759184453,125
education,sixteen,3,safety,1588.7314659832994,98
education,sixteen,4,safety,1556.5612392942226,107
education,sixteen,5,safety,1491.6081031937895,101
education,sixteen,6,safety,1414.1957397068202,88
education,sixteen,7,safety,1533.1041641346274,100
education,sixteen,8,safety,927.8608036018383,118
education,eighteen,0,living,1741.510173306664,471
education,eighteen,1,living,1620.7232563741898,332
education,eighteen,2,living,1778.659067724333,355
education,eighteen,3,living,1417.6883435110312,484
education,eighteen,4,living,1717.3759087818016,495
education,eighteen,5,living,1504.279989066747,416
