demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1917.8093060767758,2882
global,global,1,living,1711.943232946073,3229
global,global,2,living,2220.7269138366464,3056
global,global,3,living,876.0832982327186,2359
global,global,4,living,1801.0280367383536,2702
global,global,5,living,1605.912736394838,2850
global,global,6,living,2061.9304280353103,2688
global,global,7,living,2380.58065541032,2047
global,global,8,living,1903.38114384907,2265
global,global,0,biodiversity,2112.262334741297,1943
global,global,1,biodiversity,1573.0416830038585,2906
global,global,2,biodiversity,879.3008110403109,2391
global,global,3,biodiversity,1478.3329341336434,2740
global,global,4,biodiversity,46.192280154707504,2571
global,global,5,biodiversity,1984.4940410465945,2353
global,global,6,biodiversity,2316.61657970147,2443
global,global,7,biodiversity,1419.8704354126664,2120
global,global,8,biodiversity,1966.146549846122,2819
global,global,0,safety,1504.7340803259933,2032
global,global,1,safety,1570.6669465731684,1961
global,global,2,safety,1091.127202096042,2239
global,global,3,safety,2124.5649476700605,2096
global,global,4,safety,2069.3784289475107,2330
global,global,5,safety,2236.5211305718367,1392
global,global,6,safety,-19.800173219945574,1809
global,global,7,safety,793.3701731347693,1072
global,global,8,safety,1001.48731656193,2005
gender,man,0,living,1993.1734377690545,1424
gender,man,1,living,1456.1376998373908,1612
gender,man,2,living,2068.920305464061,1510
gender,man,3,living,1308.8675823153092,1244
gender,man,4,living,1395.6440439216474,1337
gender,man,5,living,983.6058614403869,1449
gender,man,6,living,1412.050293293019,1369
gender,man,7,living,1839.8666628129354,1149
gender,man,8,living,1764.9792379474538,1148
gender,man,0,biodiversity,2002.5198542380124,899
gender,man,1,biodiversity,1229.1656186835776,1528
gender,man,2,biodiversity,1132.3116300738338,1293
gender,man,3,biodiversity,1770.3764441043988,1415
gender,man,4,biodiversity,386.6711181792049,1370
gender,man,5,biodiversity,1568.495967755297,1180
gender,man,6,biodiversity,1731.903596185399,1172
gender,man,7,biodiversity,1681.8319790359913,1111
gender,man,8,biodiversity,1606.413904531011,1432
gender,man,0,safety,2035.9850784445468,1090
gender,man,1,safety,1773.60968966895,1001
gender,man,2,safety,1341.1241967543579,1188
gender,man,3,safety,1634.669506866652,1076
gender,man,4,safety,1900.3460864240417,1173
gender,man,5,safety,1755.2461327435176,691
gender,man,6,safety,823.5131093877827,1003
gender,man,7,safety,1123.2019721393176,545
gender,man,8,safety,1150.623194359753,1015
gender,woman,0,living,1772.5507320540983,1181
gender,woman,1,living,1525.098430110242,1318
gender,woman,2,living,1564.2474867779706,1216
gender,woman,3,living,1477.2198748831702,1006
gender,woman,4,living,1464.9323098987757,1065
gender,woman,5,living,1888.2145351361623,1137
gender,woman,6,living,2019.2448797621123,1078
gender,woman,7,living,1931.2983647540577,763
gender,woman,8,living,1360.9172230572042,944
gender,woman,0,biodiversity,1401.2079229573365,786
gender,woman,1,biodiversity,1929.0065988444387,1191
gender,woman,2,biodiversity,673.8042206495411,929
gender,woman,3,biodiversity,1699.9782724524982,1103
gender,woman,4,biodiversity,1964.7300790331792,1008
gender,woman,5,biodiversity,1807.5126347326348,913
gender,woman,6,biodiversity,1863.255334840836,1050
gender,woman,7,biodiversity,1126.7984849289821,860
gender,woman,8,biodiversity,1634.2340720918976,1114
gender,woman,0,safety,665.198837017989,832
gender,woman,1,safety,1577.9907174009468,807
gender,woman,2,safety,1415.6067844206943,867
gender,woman,3,safety,1823.510980667477,812
gender,woman,4,safety,1755.1699887259495,944
gender,woman,5,safety,1968.9819804635704,565
gender,woman,6,safety,850.7202594152266,700
gender,woman,7,safety,1537.2156758098754,483
gender,woman,8,safety,1694.434196568662,796
gender,other,0,living,1437.5296255368842,13
gender,other,1,living,1475.7548018220357,18
gender,other,2,living,1525.2568786616469,14
gender,other,3,living,1452.3311758992543,6
gender,other,4,living,1569.5642526164152,10
gender,other,5,living,1555.630808810181,9
gender,other,6,living,1500.9638984059566,14
gender,other,7,living,1512.369826779855,11
gender,other,8,living,1465.9642121797701,13
gender,other,0,biodiversity,1476.5366158934557,12
gender,other,1,biodiversity,1536.739682888702,13
gender,other,2,biodiversity,1551.3544669640307,16
gender,other,3,biodiversity,1491.7655179453436,9
gender,other,4,biodiversity,1393.9891213192113,14
gender,other,5,biodiversity,1509.4077200121953,17
gender,other,6,biodiversity,1451.9160993681414,14
gender,other,7,biodiversity,1558.352606594792,5
gender,other,8,biodiversity,1519.2859000061278,18
gender,other,0,safety,1489.2863103423642,15
gender,other,1,safety,1488.4684583727249,17
gender,other,2,safety,1490.6109520890725,11
gender,other,3,safety,1452.1011570338028,8
gender,other,4,safety,1560.0295849534514,11
gender,other,5,safety,1512.0018833688976,13
gender,other,6,safety,1548.0995417669644,14
gender,other,7,safety,1425.0080887246902,8
gender,other,8,safety,1537.3861164661998,15
age,younger,0,living,1304.7751515390019,785
age,younger,1,living,1230.1803815829956,926
age,younger,2,living,1589.6358002310333,908
age,younger,3,living,1540.0104315831918,649
age,younger,4,living,1403.6159397814931,730
age,younger,5,living,1938.8830079022116,758
age,younger,6,living,1640.7684707995465,762
age,younger,7,living,1722.2287292423835,606
age,younger,8,living,1899.2930998109214,618
age,younger,0,biodiversity,1905.1484184528351,523
age,younger,1,biodiversity,1182.216757187017,794
age,younger,2,biodiversity,1400.3182295516403,705
age,younger,3,biodiversity,1837.3877021784615,751
age,younger,4,biodiversity,1540.6389548021575,738
age,younger,5,biodiversity,1796.4731719599813,676
age,younger,6,biodiversity,1709.4147225335755,695
age,younger,7,biodiversity,1457.1543902655678,582
age,younger,8,biodiversity,1690.7667512611436,748
age,younger,0,safety,1858.3092703922757,538
age,younger,1,safety,1759.9235701388022,573
age,younger,2,safety,1010.0140473747998,651
age,younger,3,safety,1500.9985693363428,611
age,younger,4,safety,1710.131393727864,668
age,younger,5,safety,1212.7379652316197,361
age,younger,6,safety,1287.3375099411162,532
age,younger,7,safety,1686.2445930472124,377
age,younger,8,safety,1819.681617445287,517
age,middle,0,living,1890.9064820598987,1207
age,middle,1,living,1779.2924883437877,1350
age,middle,2,living,1748.237407829737,1252
age,middle,3,living,1131.019615677543,1061
age,middle,4,living,1803.307569679612,1112
age,middle,5,living,929.5102883283533,1197
age,middle,6,living,1698.6480663025925,1117
age,middle,7,living,2044.4376529307062,827
age,middle,8,living,1326.010633076648,981
age,middle,0,biodiversity,1813.1521859571815,766
age,middle,1,biodiversity,1649.8595240851334,1353
age,middle,2,biodiversity,1675.6946815677097,1003
age,middle,3,biodiversity,1390.8180086287173,1132
age,middle,4,biodiversity,1271.117802879694,1099
age,middle,5,biodiversity,1997.0802485397262,913
age,middle,6,biodiversity,1607.0141317880057,1038
