demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1334.1563450121014,2539
global,global,1,living,134.48709172324334,1313
global,global,2,living,550.5238472905901,2510
global,global,3,living,1990.7009343814716,2029
global,global,4,living,1681.316184510382,2306
global,global,5,living,2079.645543434068,1643
global,global,6,living,2264.324026638486,1939
global,global,7,living,885.7909180766688,2244
global,global,8,living,1765.4882523417227,2313
global,global,0,biodiversity,239.7867362241202,2535
global,global,1,biodiversity,2199.8058788354138,2576
global,global,2,biodiversity,1060.0746835577238,2556
global,global,3,biodiversity,1414.846425708168,2181
global,global,4,biodiversity,2279.747791335029,1671
global,global,5,biodiversity,1973.5228137960821,2187
global,global,6,biodiversity,2051.60160374219,2411
global,global,7,biodiversity,1734.5355651389552,2674
global,global,8,biodiversity,803.7023736964753,1903
global,global,0,safety,1582.7581121020287,3001
global,global,1,safety,531.3218549579713,2169
global,global,2,safety,2462.7310031515367,2978
global,global,3,safety,2301.316489772429,2502
global,global,4,safety,-291.86485001226623,1881
global,global,5,safety,1668.8805993195356,2546
global,global,6,safety,1077.6926951606752,2313
global,global,7,safety,2264.267259049455,3209
global,global,8,safety,1885.679124377624,3171
gender,man,0,living,419.4823647914635,1220
gender,man,1,living,1090.6112675794786,694
gender,man,2,living,1573.8491795053533,1302
gender,man,3,living,1901.248903955368,1017
gender,man,4,living,1780.751276735584,1229
gender,man,5,living,1741.2635670883506,898
gender,man,6,living,2010.8527429586522,1043
gender,man,7,living,1321.0300982534163,1170
gender,man,8,living,1939.0051397016648,1189
gender,man,0,biodiversity,-293.80346983932947,1294
gender,man,1,biodiversity,2093.7907908851957,1292
gender,man,2,biodiversity,638.4475149476353,1326
gender,man,3,biodiversity,1614.904852350987,1186
gender,man,4,biodiversity,1862.4077827066917,877
gender,man,5,biodiversity,1718.5224418643047,1146
gender,man,6,biodiversity,1511.934580874452,1211
gender,man,7,biodiversity,1772.199644626304,1420
gender,man,8,biodiversity,718.5738247117135,966
gender,man,0,safety,1407.403936766655,1532
gender,man,1,safety,961.6165974352483,1119
gender,man,2,safety,2024.2248478725976,1450
gender,man,3,safety,1992.490626004548,1229
gender,man,4,safety,1074.5335598310548,975
gender,man,5,safety,903.2565913134152,1295
gender,man,6,safety,910.7427423963263,1154
gender,man,7,safety,2135.22362973833,1605
gender,man,8,safety,1880.176015339857,1585
gender,woman,0,living,1652.0087551535744,1074
gender,woman,1,living,601.7892389973867,536
gender,woman,2,living,1123.8024463163104,990
gender,woman,3,living,1827.9831588389654,869
gender,woman,4,living,1169.1754522768144,908
gender,woman,5,living,1965.9039540780698,635
gender,woman,6,living,1860.4037429127923,769
gender,woman,7,living,736.2057797106279,956
gender,woman,8,living,1607.6788663559153,965
gender,woman,0,biodiversity,1376.5244331578963,1003
gender,woman,1,biodiversity,1012.5300210526622,1010
gender,woman,2,biodiversity,1933.8028834736763,970
gender,woman,3,biodiversity,885.2649795302351,844
gender,woman,4,biodiversity,1859.4411164509502,643
gender,woman,5,biodiversity,1837.477962593843,814
